# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خندېدلی مخ;خندېدلی مخ|مخ|مسکا|مسکېدلی مخ
	👩🏽‍✈️;ښځه پيلوټ: غنم رنګه;الوتکه|پيلوټ|ښځه|ښځه پيلوټ: غنم رنګه|غنم رنګه
	👩🏾‍✈️;ښځه پيلوټ: غنمی-تورنګه پوستکۍ;الوتکه|پيلوټ|ښځه|ښځه پيلوټ: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ
	👩🏿‍✈️;ښځه پيلوټ: تور پوستکۍ;الوتکه|پيلوټ|تور پوستکۍ|ښځه|ښځه پيلوټ: تور پوستکۍ
🧑‍🚀;فضانورد;راکټ|فضانورد
	🧑🏻‍🚀;فضانورد: د روڼ پوستکي ټون;د روڼ پوستکي ټون|راکټ|فضانورد|فضانورد: د روڼ پوستکي ټون
	🧑🏼‍🚀;فضانورد: غنمی-روښانه پوستکۍ;راکټ|غنمی-روښانه پوستکۍ|فضانورد|فضانورد: غنمی-روښانه پوستکۍ
	🧑🏽‍🚀;فضانورد: غنم رنګه;راکټ|غنم رنګه|فضانورد|فضانورد: غنم رنګه
	🧑🏾‍🚀;فضانورد: غنمی-تورنګه پوستکۍ;راکټ|غنمی-تورنګه پوستکۍ|فضانورد|فضانورد: غنمی-تورنګه پوستکۍ
	🧑🏿‍🚀;فضانورد: تور پوستکۍ;تور پوستکۍ|راکټ|فضانورد|فضانورد: تور پوستکۍ
👨‍🚀;سړی فضانورد;راکټ|سړی|فضانورد
	👨🏻‍🚀;سړی فضانورد: د روڼ پوستکي ټون;د روڼ پوستکي ټون|راکټ|سړی|سړی فضانورد: د روڼ پوستکي ټون|فضانورد
	👨🏼‍🚀;سړی فضانورد: غنمی-روښانه پوستکۍ;راکټ|سړی|سړی فضانورد: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|فضانورد
	👨🏽‍🚀;سړی فضانورد: غنم رنګه;راکټ|سړی|سړی فضانورد: غنم رنګه|غنم رنګه|فضانورد
	👨🏾‍🚀;سړی فضانورد: غنمی-تورنګه پوستکۍ;راکټ|سړی|سړی فضانورد: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|فضانورد
	👨🏿‍🚀;سړی فضانورد: تور پوستکۍ;تور پوستکۍ|راکټ|سړی|سړی فضانورد: تور پوستکۍ|فضانورد
👩‍🚀;ښځه فضانورد;راکټ|ښځه|فضانورد
	👩🏻‍🚀;ښځه فضانورد: د روڼ پوستکي ټون;د روڼ پوستکي ټون|راکټ|ښځه|ښځه فضانورد: د روڼ پوستکي ټون|فضانورد
	👩🏼‍🚀;ښځه فضانورد: غنمی-روښانه پوستکۍ;راکټ|ښځه|ښځه فضانورد: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|فضانورد
	👩🏽‍🚀;ښځه فضانورد: غنم رنګه;راکټ|ښځه|ښځه فضانورد: غنم رنګه|غنم رنګه|فضانورد
	👩🏾‍🚀;ښځه فضانورد: غنمی-تورنګه پوستکۍ;راکټ|ښځه|ښځه فضانورد: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|فضانورد
	👩🏿‍🚀;ښځه فضانورد: تور پوستکۍ;تور پوستکۍ|راکټ|ښځه|ښځه فضانورد: تور پوستکۍ|فضانورد
🧑‍🚒;د اور وژنې کارمند;اور وژونکی|د اور ټرک|د اور وژنې کارمند
	🧑🏻‍🚒;د اور وژنې کارمند: د روڼ پوستکي ټون;اور وژونکی|د اور ټرک|د اور وژنې کارمند|د اور وژنې کارمند: د روڼ پوستکي ټون|د روڼ پوستکي ټون
	🧑🏼‍🚒;د اور وژنې کارمند: غنمی-روښانه پوستکۍ;اور وژونکی|د اور ټرک|د اور وژنې کارمند|د اور وژنې کارمند: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ
	🧑🏽‍🚒;د اور وژنې کارمند: غنم رنګه;اور وژونکی|د اور ټرک|د اور وژنې کارمند|د اور وژنې کارمند: غنم رنګه|غنم رنګه
	🧑🏾‍🚒;د اور وژنې کارمند: غنمی-تورنګه پوستکۍ;اور وژونکی|د اور ټرک|د اور وژنې کارمند|د اور وژنې کارمند: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ
	🧑🏿‍🚒;د اور وژنې کارمند: تور پوستکۍ;اور وژونکی|تور پوستکۍ|د اور ټرک|د اور وژنې کارمند|د اور وژنې کارمند: تور پوستکۍ
👨‍🚒;سړی اور وژونکی;اور وژونکی|د اور وژنې ټرک|سړی|سړی اور وژونکی
	👨🏻‍🚒;سړی اور وژونکی: د روڼ پوستکي ټون;اور وژونکی|د اور وژنې ټرک|د روڼ پوستکي ټون|سړی|سړی اور وژونکی|سړی اور وژونکی: د روڼ پوستکي ټون
	👨🏼‍🚒;سړی اور وژونکی: غنمی-روښانه پوستکۍ;اور وژونکی|د اور وژنې ټرک|سړی|سړی اور وژونکی|سړی اور وژونکی: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ
	👨🏽‍🚒;سړی اور وژونکی: غنم رنګه;اور وژونکی|د اور وژنې ټرک|سړی|سړی اور وژونکی|سړی اور وژونکی: غنم رنګه|غنم رنګه
	👨🏾‍🚒;سړی اور وژونکی: غنمی-تورنګه پوستکۍ;اور وژونکی|د اور وژنې ټرک|سړی|سړی اور وژونکی|سړی اور وژونکی: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ
	👨🏿‍🚒;سړی اور وژونکی: تور پوستکۍ;اور وژونکی|تور پوستکۍ|د اور وژنې ټرک|سړی|سړی اور وژونکی|سړی اور وژونکی: تور پوستکۍ
👩‍🚒;ښځه اور وژونکی;اور وژونکی|د اور وژنې ټرک|ښځه|ښځه اور وژونکی
	👩🏻‍🚒;ښځه اور وژونکی: د روڼ پوستکي ټون;اور وژونکی|د اور وژنې ټرک|د روڼ پوستکي ټون|ښځه|ښځه اور وژونکی|ښځه اور وژونکی: د روڼ پوستکي ټون
	👩🏼‍🚒;ښځه اور وژونکی: غنمی-روښانه پوستکۍ;اور وژونکی|د اور وژنې ټرک|ښځه|ښځه اور وژونکی|ښځه اور وژونکی: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ
	👩🏽‍🚒;ښځه اور وژونکی: غنم رنګه;اور وژونکی|د اور وژنې ټرک|ښځه|ښځه اور وژونکی|ښځه اور وژونکی: غنم رنګه|غنم رنګه
	👩🏾‍🚒;ښځه اور وژونکی: غنمی-تورنګه پوستکۍ;اور وژونکی|د اور وژنې ټرک|ښځه|ښځه اور وژونکی|ښځه اور وژونکی: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ
	👩🏿‍🚒;ښځه اور وژونکی: تور پوستکۍ;اور وژونکی|تور پوستکۍ|د اور وژنې ټرک|ښځه|ښځه اور وژونکی|ښځه اور وژونکی: تور پوستکۍ
👮;د پولیسو افسر;افسر|پوليس|د پولیسو افسر|کاپ
	👮🏻;د پولیسو افسر: د روڼ پوستکي ټون;افسر|پوليس|د پولیسو افسر|د پولیسو افسر: د روڼ پوستکي ټون|د روڼ پوستکي ټون|کاپ
	👮🏼;د پولیسو افسر: غنمی-روښانه پوستکۍ;افسر|پوليس|د پولیسو افسر|د پولیسو افسر: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|کاپ
	👮🏽;د پولیسو افسر: غنم رنګه;افسر|پوليس|د پولیسو افسر|د پولیسو افسر: غنم رنګه|غنم رنګه|کاپ
	👮🏾;د پولیسو افسر: غنمی-تورنګه پوستکۍ;افسر|پوليس|د پولیسو افسر|د پولیسو افسر: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|کاپ
	👮🏿;د پولیسو افسر: تور پوستکۍ;افسر|پوليس|تور پوستکۍ|د پولیسو افسر|د پولیسو افسر: تور پوستکۍ|کاپ
👮‍♂️;سړی د پولیسو افسر;افسر|پوليس|سړی|سړی د پولیسو افسر|کاپ
	👮🏻‍♂️;سړی د پولیسو افسر: د روڼ پوستکي ټون;افسر|پوليس|د روڼ پوستکي ټون|سړی|سړی د پولیسو افسر|سړی د پولیسو افسر: د روڼ پوستکي ټون|کاپ
	👮🏼‍♂️;سړی د پولیسو افسر: غنمی-روښانه پوستکۍ;افسر|پوليس|سړی|سړی د پولیسو افسر|سړی د پولیسو افسر: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|کاپ
	👮🏽‍♂️;سړی د پولیسو افسر: غنم رنګه;افسر|پوليس|سړی|سړی د پولیسو افسر|سړی د پولیسو افسر: غنم رنګه|غنم رنګه|کاپ
	👮🏾‍♂️;سړی د پولیسو افسر: غنمی-تورنګه پوستکۍ;افسر|پوليس|سړی|سړی د پولیسو افسر|سړی د پولیسو افسر: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|کاپ
	👮🏿‍♂️;سړی د پولیسو افسر: تور پوستکۍ;افسر|پوليس|تور پوستکۍ|سړی|سړی د پولیسو افسر|سړی د پولیسو افسر: تور پوستکۍ|کاپ
👮‍♀️;ښځه د پولیسو افسر;افسر|پوليس|ښځه|ښځه د پولیسو افسر|کاپ
	👮🏻‍♀️;ښځه د پولیسو افسر: د روڼ پوستکي ټون;افسر|پوليس|د روڼ پوستکي ټون|ښځه|ښځه د پولیسو افسر|ښځه د پولیسو افسر: د روڼ پوستکي ټون|کاپ
	👮🏼‍♀️;ښځه د پولیسو افسر: غنمی-روښانه پوستکۍ;افسر|پوليس|ښځه|ښځه د پولیسو افسر|ښځه د پولیسو افسر: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|کاپ
	👮🏽‍♀️;ښځه د پولیسو افسر: غنم رنګه;افسر|پوليس|ښځه|ښځه د پولیسو افسر|ښځه د پولیسو افسر: غنم رنګه|غنم رنګه|کاپ
	👮🏾‍♀️;ښځه د پولیسو افسر: غنمی-تورنګه پوستکۍ;افسر|پوليس|ښځه|ښځه د پولیسو افسر|ښځه د پولیسو افسر: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|کاپ
	👮🏿‍♀️;ښځه د پولیسو افسر: تور پوستکۍ;افسر|پوليس|تور پوستکۍ|ښځه|ښځه د پولیسو افسر|ښځه د پولیسو افسر: تور پوستکۍ|کاپ
🕵️;کشفي;پټ پوليس|جاسوس|کشفي
	🕵🏻;کشفي: د روڼ پوستکي ټون;پټ پوليس|جاسوس|د روڼ پوستکي ټون|کشفي|کشفي: د روڼ پوستکي ټون
	🕵🏼;کشفي: غنمی-روښانه پوستکۍ;پټ پوليس|جاسوس|غنمی-روښانه پوستکۍ|کشفي|کشفي: غنمی-روښانه پوستکۍ
	🕵🏽;کشفي: غنم رنګه;پټ پوليس|جاسوس|غنم رنګه|کشفي|کشفي: غنم رنګه
	🕵🏾;کشفي: غنمی-تورنګه پوستکۍ;پټ پوليس|جاسوس|غنمی-تورنګه پوستکۍ|کشفي|کشفي: غنمی-تورنګه پوستکۍ
	🕵🏿;کشفي: تور پوستکۍ;پټ پوليس|تور پوستکۍ|جاسوس|کشفي|کشفي: تور پوستکۍ
🕵️‍♂️;سړی کشفي;پټ پوليس|جاسوس|سړی|کشفي
	🕵🏻‍♂️;سړی کشفي: د روڼ پوستکي ټون;پټ پوليس|جاسوس|د روڼ پوستکي ټون|سړی|سړی کشفي: د روڼ پوستکي ټون|کشفي
	🕵🏼‍♂️;سړی کشفي: غنمی-روښانه پوستکۍ;پټ پوليس|جاسوس|سړی|سړی کشفي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|کشفي
	🕵🏽‍♂️;سړی کشفي: غنم رنګه;پټ پوليس|جاسوس|سړی|سړی کشفي: غنم رنګه|غنم رنګه|کشفي
	🕵🏾‍♂️;سړی کشفي: غنمی-تورنګه پوستکۍ;پټ پوليس|جاسوس|سړی|سړی کشفي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|کشفي
	🕵🏿‍♂️;سړی کشفي: تور پوستکۍ;پټ پوليس|تور پوستکۍ|جاسوس|سړی|سړی کشفي: تور پوستکۍ|کشفي
🕵️‍♀️;ښځه کشفي;پټ پوليس|جاسوس|ښځه|کشفي
	🕵🏻‍♀️;ښځه کشفي: د روڼ پوستکي ټون;پټ پوليس|جاسوس|د روڼ پوستکي ټون|ښځه|ښځه کشفي: د روڼ پوستکي ټون|کشفي
	🕵🏼‍♀️;ښځه کشفي: غنمی-روښانه پوستکۍ;پټ پوليس|جاسوس|ښځه|ښځه کشفي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|کشفي
	🕵🏽‍♀️;ښځه کشفي: غنم رنګه;پټ پوليس|جاسوس|ښځه|ښځه کشفي: غنم رنګه|غنم رنګه|کشفي
	🕵🏾‍♀️;ښځه کشفي: غنمی-تورنګه پوستکۍ;پټ پوليس|جاسوس|ښځه|ښځه کشفي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|کشفي
	🕵🏿‍♀️;ښځه کشفي: تور پوستکۍ;پټ پوليس|تور پوستکۍ|جاسوس|ښځه|ښځه کشفي: تور پوستکۍ|کشفي
💂;ساتونکی;ساتونکی
	💂🏻;ساتونکی: د روڼ پوستکي ټون;د روڼ پوستکي ټون|ساتونکی|ساتونکی: د روڼ پوستکي ټون
	💂🏼;ساتونکی: غنمی-روښانه پوستکۍ;ساتونکی|ساتونکی: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ
	💂🏽;ساتونکی: غنم رنګه;ساتونکی|ساتونکی: غنم رنګه|غنم رنګه
	💂🏾;ساتونکی: غنمی-تورنګه پوستکۍ;ساتونکی|ساتونکی: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ
	💂🏿;ساتونکی: تور پوستکۍ;تور پوستکۍ|ساتونکی|ساتونکی: تور پوستکۍ
💂‍♂️;سړی ساتونکي;ساتونکي|سړی
	💂🏻‍♂️;سړی ساتونکي: د روڼ پوستکي ټون;د روڼ پوستکي ټون|ساتونکي|سړی|سړی ساتونکي: د روڼ پوستکي ټون
	💂🏼‍♂️;سړی ساتونکي: غنمی-روښانه پوستکۍ;ساتونکي|سړی|سړی ساتونکي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ
	💂🏽‍♂️;سړی ساتونکي: غنم رنګه;ساتونکي|سړی|سړی ساتونکي: غنم رنګه|غنم رنګه
	💂🏾‍♂️;سړی ساتونکي: غنمی-تورنګه پوستکۍ;ساتونکي|سړی|سړی ساتونکي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ
	💂🏿‍♂️;سړی ساتونکي: تور پوستکۍ;تور پوستکۍ|ساتونکي|سړی|سړی ساتونکي: تور پوستکۍ
💂‍♀️;ښځه ساتونکي;ساتونکي|ښځه
	💂🏻‍♀️;ښځه ساتونکي: د روڼ پوستکي ټون;د روڼ پوستکي ټون|ساتونکي|ښځه|ښځه ساتونکي: د روڼ پوستکي ټون
	💂🏼‍♀️;ښځه ساتونکي: غنمی-روښانه پوستکۍ;ساتونکي|ښځه|ښځه ساتونکي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ
	💂🏽‍♀️;ښځه ساتونکي: غنم رنګه;ساتونکي|ښځه|ښځه ساتونکي: غنم رنګه|غنم رنګه
	💂🏾‍♀️;ښځه ساتونکي: غنمی-تورنګه پوستکۍ;ساتونکي|ښځه|ښځه ساتونکي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ
	💂🏿‍♀️;ښځه ساتونکي: تور پوستکۍ;تور پوستکۍ|ساتونکي|ښځه|ښځه ساتونکي: تور پوستکۍ
🥷;ننجا;پټ|په پټه|جنګېدونکی|ننجا
	🥷🏻;ننجا: د روڼ پوستکي ټون;پټ|په پټه|جنګېدونکی|د روڼ پوستکي ټون|ننجا|ننجا: د روڼ پوستکي ټون
	🥷🏼;ننجا: غنمی-روښانه پوستکۍ;پټ|په پټه|جنګېدونکی|غنمی-روښانه پوستکۍ|ننجا|ننجا: غنمی-روښانه پوستکۍ
