# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;nevető arc;arc|nevetés|nevető arc
	🧑🏼‍🌾;gazda / női gazda: közepesen világos bőrtónus;földműves|gazda|gazda / női gazda|gazda / női gazda: közepesen világos bőrtónus|közepesen világos bőrtónus|növénytermesztő
	🧑🏽‍🌾;gazda / női gazda: közepes bőrtónus;földműves|gazda|gazda / női gazda|gazda / női gazda: közepes bőrtónus|közepes bőrtónus|növénytermesztő
	🧑🏾‍🌾;gazda / női gazda: közepesen sötét bőrtónus;földműves|gazda|gazda / női gazda|gazda / női gazda: közepesen sötét bőrtónus|közepesen sötét bőrtónus|növénytermesztő
	🧑🏿‍🌾;gazda / női gazda: sötét bőrtónus;földműves|gazda|gazda / női gazda|gazda / női gazda: sötét bőrtónus|növénytermesztő|sötét bőrtónus
👨‍🌾;gazda;férfi|földműves|gazda|kertész
	👨🏻‍🌾;gazda: világos bőrtónus;férfi|földműves|gazda|gazda: világos bőrtónus|kertész|világos bőrtónus
	👨🏼‍🌾;gazda: közepesen világos bőrtónus;férfi|földműves|gazda|gazda: közepesen világos bőrtónus|kertész|közepesen világos bőrtónus
	👨🏽‍🌾;gazda: közepes bőrtónus;férfi|földműves|gazda|gazda: közepes bőrtónus|kertész|közepes bőrtónus
	👨🏾‍🌾;gazda: közepesen sötét bőrtónus;férfi|földműves|gazda|gazda: közepesen sötét bőrtónus|kertész|közepesen sötét bőrtónus
	👨🏿‍🌾;gazda: sötét bőrtónus;férfi|földműves|gazda|gazda: sötét bőrtónus|kertész|sötét bőrtónus
👩‍🌾;női gazda;földműves|gazda|kertész|nő|női gazda
	👩🏻‍🌾;női gazda: világos bőrtónus;földműves|gazda|kertész|nő|női gazda|női gazda: világos bőrtónus|világos bőrtónus
	👩🏼‍🌾;női gazda: közepesen világos bőrtónus;földműves|gazda|kertész|közepesen világos bőrtónus|nő|női gazda|női gazda: közepesen világos bőrtónus
	👩🏽‍🌾;női gazda: közepes bőrtónus;földműves|gazda|kertész|közepes bőrtónus|nő|női gazda|női gazda: közepes bőrtónus
	👩🏾‍🌾;női gazda: közepesen sötét bőrtónus;földműves|gazda|kertész|közepesen sötét bőrtónus|nő|női gazda|női gazda: közepesen sötét bőrtónus
	👩🏿‍🌾;női gazda: sötét bőrtónus;földműves|gazda|kertész|nő|női gazda|női gazda: sötét bőrtónus|sötét bőrtónus
🧑‍🍳;szakács / szakácsnő;séf|szakács|szakács / szakácsnő
	🧑🏻‍🍳;szakács / szakácsnő: világos bőrtónus;séf|szakács|szakács / szakácsnő|szakács / szakácsnő: világos bőrtónus|világos bőrtónus
	🧑🏼‍🍳;szakács / szakácsnő: közepesen világos bőrtónus;közepesen világos bőrtónus|séf|szakács|szakács / szakácsnő|szakács / szakácsnő: közepesen világos bőrtónus
	🧑🏽‍🍳;szakács / szakácsnő: közepes bőrtónus;közepes bőrtónus|séf|szakács|szakács / szakácsnő|szakács / szakácsnő: közepes bőrtónus
	🧑🏾‍🍳;szakács / szakácsnő: közepesen sötét bőrtónus;közepesen sötét bőrtónus|séf|szakács|szakács / szakácsnő|szakács / szakácsnő: közepesen sötét bőrtónus
	🧑🏿‍🍳;szakács / szakácsnő: sötét bőrtónus;séf|sötét bőrtónus|szakács|szakács / szakácsnő|szakács / szakácsnő: sötét bőrtónus
👨‍🍳;szakács;férfi|séf|szakács
	👨🏻‍🍳;szakács: világos bőrtónus;férfi|séf|szakács|szakács: világos bőrtónus|világos bőrtónus
	👨🏼‍🍳;szakács: közepesen világos bőrtónus;férfi|közepesen világos bőrtónus|séf|szakács|szakács: közepesen világos bőrtónus
	👨🏽‍🍳;szakács: közepes bőrtónus;férfi|közepes bőrtónus|séf|szakács|szakács: közepes bőrtónus
	👨🏾‍🍳;szakács: közepesen sötét bőrtónus;férfi|közepesen sötét bőrtónus|séf|szakács|szakács: közepesen sötét bőrtónus
	👨🏿‍🍳;szakács: sötét bőrtónus;férfi|séf|sötét bőrtónus|szakács|szakács: sötét bőrtónus
👩‍🍳;szakácsnő;nő|séf|szakácsnő
	👩🏻‍🍳;szakácsnő: világos bőrtónus;nő|séf|szakácsnő|szakácsnő: világos bőrtónus|világos bőrtónus
	👩🏼‍🍳;szakácsnő: közepesen világos bőrtónus;közepesen világos bőrtónus|nő|séf|szakácsnő|szakácsnő: közepesen világos bőrtónus
	👩🏽‍🍳;szakácsnő: közepes bőrtónus;közepes bőrtónus|nő|séf|szakácsnő|szakácsnő: közepes bőrtónus
	👩🏾‍🍳;szakácsnő: közepesen sötét bőrtónus;közepesen sötét bőrtónus|nő|séf|szakácsnő|szakácsnő: közepesen sötét bőrtónus
	👩🏿‍🍳;szakácsnő: sötét bőrtónus;nő|séf|sötét bőrtónus|szakácsnő|szakácsnő: sötét bőrtónus
🧑‍🔧;szerelő / szerelőnő;szaki|szerelő|szerelő / szerelőnő|villanyszerelő|vízvezeték-szerelő
	🧑🏻‍🔧;szerelő / szerelőnő: világos bőrtónus;szaki|szerelő|szerelő / szerelőnő|szerelő / szerelőnő: világos bőrtónus|világos bőrtónus|villanyszerelő|vízvezeték-szerelő
	🧑🏼‍🔧;szerelő / szerelőnő: közepesen világos bőrtónus;közepesen világos bőrtónus|szaki|szerelő|szerelő / szerelőnő|szerelő / szerelőnő: közepesen világos bőrtónus|villanyszerelő|vízvezeték-szerelő
	🧑🏽‍🔧;szerelő / szerelőnő: közepes bőrtónus;közepes bőrtónus|szaki|szerelő|szerelő / szerelőnő|szerelő / szerelőnő: közepes bőrtónus|villanyszerelő|vízvezeték-szerelő
	🧑🏾‍🔧;szerelő / szerelőnő: közepesen sötét bőrtónus;közepesen sötét bőrtónus|szaki|szerelő|szerelő / szerelőnő|szerelő / szerelőnő: közepesen sötét bőrtónus|villanyszerelő|vízvezeték-szerelő
	🧑🏿‍🔧;szerelő / szerelőnő: sötét bőrtónus;sötét bőrtónus|szaki|szerelő|szerelő / szerelőnő|szerelő / szerelőnő: sötét bőrtónus|villanyszerelő|vízvezeték-szerelő
👨‍🔧;szerelő;férfi|szerelő|villanyszerelő|vízszerelő
	👨🏻‍🔧;szerelő: világos bőrtónus;férfi|szerelő|szerelő: világos bőrtónus|világos bőrtónus|villanyszerelő|vízszerelő
	👨🏼‍🔧;szerelő: közepesen világos bőrtónus;férfi|közepesen világos bőrtónus|szerelő|szerelő: közepesen világos bőrtónus|villanyszerelő|vízszerelő
	👨🏽‍🔧;szerelő: közepes bőrtónus;férfi|közepes bőrtónus|szerelő|szerelő: közepes bőrtónus|villanyszerelő|vízszerelő
	👨🏾‍🔧;szerelő: közepesen sötét bőrtónus;férfi|közepesen sötét bőrtónus|szerelő|szerelő: közepesen sötét bőrtónus|villanyszerelő|vízszerelő
	👨🏿‍🔧;szerelő: sötét bőrtónus;férfi|sötét bőrtónus|szerelő|szerelő: sötét bőrtónus|villanyszerelő|vízszerelő
👩‍🔧;szerelőnő;nő|szerelő|szerelőnő|villanyszerelő|vízszerelő
	👩🏻‍🔧;szerelőnő: világos bőrtónus;nő|szerelő|szerelőnő|szerelőnő: világos bőrtónus|világos bőrtónus|villanyszerelő|vízszerelő
	👩🏼‍🔧;szerelőnő: közepesen világos bőrtónus;közepesen világos bőrtónus|nő|szerelő|szerelőnő|szerelőnő: közepesen világos bőrtónus|villanyszerelő|vízszerelő
	👩🏽‍🔧;szerelőnő: közepes bőrtónus;közepes bőrtónus|nő|szerelő|szerelőnő|szerelőnő: közepes bőrtónus|villanyszerelő|vízszerelő
	👩🏾‍🔧;szerelőnő: közepesen sötét bőrtónus;közepesen sötét bőrtónus|nő|szerelő|szerelőnő|szerelőnő: közepesen sötét bőrtónus|villanyszerelő|vízszerelő
	👩🏿‍🔧;szerelőnő: sötét bőrtónus;nő|sötét bőrtónus|szerelő|szerelőnő|szerelőnő: sötét bőrtónus|villanyszerelő|vízszerelő
🧑‍🏭;munkás;dolgozó|gyári|munkás
	🧑🏻‍🏭;munkás: világos bőrtónus;dolgozó|gyári|munkás|munkás: világos bőrtónus|világos bőrtónus
	🧑🏼‍🏭;munkás: közepesen világos bőrtónus;dolgozó|gyári|közepesen világos bőrtónus|munkás|munkás: közepesen világos bőrtónus
	🧑🏽‍🏭;munkás: közepes bőrtónus;dolgozó|gyári|közepes bőrtónus|munkás|munkás: közepes bőrtónus
	🧑🏾‍🏭;munkás: közepesen sötét bőrtónus;dolgozó|gyári|közepesen sötét bőrtónus|munkás|munkás: közepesen sötét bőrtónus
	🧑🏿‍🏭;munkás: sötét bőrtónus;dolgozó|gyári|munkás|munkás: sötét bőrtónus|sötét bőrtónus
👨‍🏭;férfi munkás;dolgozó|férfi|gyári|munkás
	👨🏻‍🏭;férfi munkás: világos bőrtónus;dolgozó|férfi|férfi munkás: világos bőrtónus|gyári|munkás|világos bőrtónus
	👨🏼‍🏭;férfi munkás: közepesen világos bőrtónus;dolgozó|férfi|férfi munkás: közepesen világos bőrtónus|gyári|közepesen világos bőrtónus|munkás
	👨🏽‍🏭;férfi munkás: közepes bőrtónus;dolgozó|férfi|férfi munkás: közepes bőrtónus|gyári|közepes bőrtónus|munkás
	👨🏾‍🏭;férfi munkás: közepesen sötét bőrtónus;dolgozó|férfi|férfi munkás: közepesen sötét bőrtónus|gyári|közepesen sötét bőrtónus|munkás
	👨🏿‍🏭;férfi munkás: sötét bőrtónus;dolgozó|férfi|férfi munkás: sötét bőrtónus|gyári|munkás|sötét bőrtónus
👩‍🏭;női munkás;dolgozó|gyári|munkás|nő|női munkás
	👩🏻‍🏭;női munkás: világos bőrtónus;dolgozó|gyári|munkás|nő|női munkás|női munkás: világos bőrtónus|világos bőrtónus
	👩🏼‍🏭;női munkás: közepesen világos bőrtónus;dolgozó|gyári|közepesen világos bőrtónus|munkás|nő|női munkás|női munkás: közepesen világos bőrtónus
	👩🏽‍🏭;női munkás: közepes bőrtónus;dolgozó|gyári|közepes bőrtónus|munkás|nő|női munkás|női munkás: közepes bőrtónus
	👩🏾‍🏭;női munkás: közepesen sötét bőrtónus;dolgozó|gyári|közepesen sötét bőrtónus|munkás|nő|női munkás|női munkás: közepesen sötét bőrtónus
	👩🏿‍🏭;női munkás: sötét bőrtónus;dolgozó|gyári|munkás|nő|női munkás|női munkás: sötét bőrtónus|sötét bőrtónus
🧑‍💼;irodai dolgozó;építész|értelmiségi|irodai dolgozó|menedzser|üzletember
	🧑🏻‍💼;irodai dolgozó: világos bőrtónus;építész|értelmiségi|irodai dolgozó|irodai dolgozó: világos bőrtónus|menedzser|üzletember|világos bőrtónus
	🧑🏼‍💼;irodai dolgozó: közepesen világos bőrtónus;építész|értelmiségi|irodai dolgozó|irodai dolgozó: közepesen világos bőrtónus|közepesen világos bőrtónus|menedzser|üzletember
	🧑🏽‍💼;irodai dolgozó: közepes bőrtónus;építész|értelmiségi|irodai dolgozó|irodai dolgozó: közepes bőrtónus|közepes bőrtónus|menedzser|üzletember
	🧑🏾‍💼;irodai dolgozó: közepesen sötét bőrtónus;építész|értelmiségi|irodai dolgozó|irodai dolgozó: közepesen sötét bőrtónus|közepesen sötét bőrtónus|menedzser|üzletember
	🧑🏿‍💼;irodai dolgozó: sötét bőrtónus;építész|értelmiségi|irodai dolgozó|irodai dolgozó: sötét bőrtónus|menedzser|sötét bőrtónus|üzletember
👨‍💼;férfi irodista;alkalmazott|férfi|férfi irodista|irodai
	👨🏻‍💼;férfi irodista: világos bőrtónus;alkalmazott|férfi|férfi irodista|férfi irodista: világos bőrtónus|irodai|világos bőrtónus
	👨🏼‍💼;férfi irodista: közepesen világos bőrtónus;alkalmazott|férfi|férfi irodista|férfi irodista: közepesen világos bőrtónus|irodai|közepesen világos bőrtónus
	👨🏽‍💼;férfi irodista: közepes bőrtónus;alkalmazott|férfi|férfi irodista|férfi irodista: közepes bőrtónus|irodai|közepes bőrtónus
	👨🏾‍💼;férfi irodista: közepesen sötét bőrtónus;alkalmazott|férfi|férfi irodista|férfi irodista: közepesen sötét bőrtónus|irodai|közepesen sötét bőrtónus
	👨🏿‍💼;férfi irodista: sötét bőrtónus;alkalmazott|férfi|férfi irodista|férfi irodista: sötét bőrtónus|irodai|sötét bőrtónus
👩‍💼;női irodista;alkalmazott|irodai|női|női irodista
	👩🏻‍💼;női irodista: világos bőrtónus;alkalmazott|irodai|női|női irodista|női irodista: világos bőrtónus|világos bőrtónus
	👩🏼‍💼;női irodista: közepesen világos bőrtónus;alkalmazott|irodai|közepesen világos bőrtónus|női|női irodista|női irodista: közepesen világos bőrtónus
	👩🏽‍💼;női irodista: közepes bőrtónus;alkalmazott|irodai|közepes bőrtónus|női|női irodista|női irodista: közepes bőrtónus
	👩🏾‍💼;női irodista: közepesen sötét bőrtónus;alkalmazott|irodai|közepesen sötét bőrtónus|női|női irodista|női irodista: közepesen sötét bőrtónus
	👩🏿‍💼;női irodista: sötét bőrtónus;alkalmazott|irodai|női|női irodista|női irodista: sötét bőrtónus|sötét bőrtónus
🧑‍🔬;tudás;biológus|fizikus|mérnök|tudás|tudós|vegyész
	🧑🏻‍🔬;tudás: világos bőrtónus;biológus|fizikus|mérnök|tudás|tudás: világos bőrtónus|tudós|vegyész|világos bőrtónus
	🧑🏼‍🔬;tudás: közepesen világos bőrtónus;biológus|fizikus|közepesen világos bőrtónus|mérnök|tudás|tudás: közepesen világos bőrtónus|tudós|vegyész
	🧑🏽‍🔬;tudás: közepes bőrtónus;biológus|fizikus|közepes bőrtónus|mérnök|tudás|tudás: közepes bőrtónus|tudós|vegyész
	🧑🏾‍🔬;tudás: közepesen sötét bőrtónus;biológus|fizikus|közepesen sötét bőrtónus|mérnök|tudás|tudás: közepesen sötét bőrtónus|tudós|vegyész
	🧑🏿‍🔬;tudás: sötét bőrtónus;biológus|fizikus|mérnök|sötét bőrtónus|tudás|tudás: sötét bőrtónus|tudós|vegyész
👨‍🔬;férfi tudós;férfi|férfi tudós|fizikus|kémikus|matematikus
	👨🏻‍🔬;férfi tudós: világos bőrtónus;férfi|férfi tudós|férfi tudós: világos bőrtónus|fizikus|kémikus|matematikus|világos bőrtónus
	👨🏼‍🔬;férfi tudós: közepesen világos bőrtónus;férfi|férfi tudós|férfi tudós: közepesen világos bőrtónus|fizikus|kémikus|közepesen világos bőrtónus|matematikus
	👨🏽‍🔬;férfi tudós: közepes bőrtónus;férfi|férfi tudós|férfi tudós: közepes bőrtónus|fizikus|kémikus|közepes bőrtónus|matematikus
	👨🏾‍🔬;férfi tudós: közepesen sötét bőrtónus;férfi|férfi tudós|férfi tudós: közepesen sötét bőrtónus|fizikus|kémikus|közepesen sötét bőrtónus|matematikus
	👨🏿‍🔬;férfi tudós: sötét bőrtónus;férfi|férfi tudós|férfi tudós: sötét bőrtónus|fizikus|kémikus|matematikus|sötét bőrtónus
👩‍🔬;női tudós;fizikus|kémikus|matematikus|nő|női tudós
	👩🏻‍🔬;női tudós: világos bőrtónus;fizikus|kémikus|matematikus|nő|női tudós|női tudós: világos bőrtónus|világos bőrtónus
	👩🏼‍🔬;női tudós: közepesen világos bőrtónus;fizikus|kémikus|közepesen világos bőrtónus|matematikus|nő|női tudós|női tudós: közepesen világos bőrtónus
	👩🏽‍🔬;női tudós: közepes bőrtónus;fizikus|kémikus|közepes bőrtónus|matematikus|nő|női tudós|női tudós: közepes bőrtónus
	👩🏾‍🔬;női tudós: közepesen sötét bőrtónus;fizikus|kémikus|közepesen sötét bőrtónus|matematikus|nő|női tudós|női tudós: közepesen sötét bőrtónus
	👩🏿‍🔬;női tudós: sötét bőrtónus;fizikus|kémikus|matematikus|nő|női tudós|női tudós: sötét bőrtónus|sötét bőrtónus
🧑‍💻;informatikus;fejlesztő|feltaláló|informatikus|programozó|szoftver
	🧑🏻‍💻;informatikus: világos bőrtónus;fejlesztő|feltaláló|informatikus|informatikus: világos bőrtónus|programozó|szoftver|világos bőrtónus
	🧑🏼‍💻;informatikus: közepesen világos bőrtónus;fejlesztő|feltaláló|informatikus|informatikus: közepesen világos bőrtónus|közepesen világos bőrtónus|programozó|szoftver
	🧑🏽‍💻;informatikus: közepes bőrtónus;fejlesztő|feltaláló|informatikus|informatikus: közepes bőrtónus|közepes bőrtónus|programozó|szoftver
	🧑🏾‍💻;informatikus: közepesen sötét bőrtónus;fejlesztő|feltaláló|informatikus|informatikus: közepesen sötét bőrtónus|közepesen sötét bőrtónus|programozó|szoftver
	🧑🏿‍💻;informatikus: sötét bőrtónus;fejlesztő|feltaláló|informatikus|informatikus: sötét bőrtónus|programozó|sötét bőrtónus|szoftver
👨‍💻;programozó férfi;fejlesztő|feltaláló|férfi|kódoló|programozó|szoftver
	👨🏻‍💻;programozó férfi: világos bőrtónus;fejlesztő|feltaláló|férfi|kódoló|programozó|programozó férfi: világos bőrtónus|szoftver|világos bőrtónus
	👨🏼‍💻;programozó férfi: közepesen világos bőrtónus;fejlesztő|feltaláló|férfi|kódoló|közepesen világos bőrtónus|programozó|programozó férfi: közepesen világos bőrtónus|szoftver
	👨🏽‍💻;programozó férfi: közepes bőrtónus;fejlesztő|feltaláló|férfi|kódoló|közepes bőrtónus|programozó|programozó férfi: közepes bőrtónus|szoftver
	👨🏾‍💻;programozó férfi: közepesen sötét bőrtónus;fejlesztő|feltaláló|férfi|kódoló|közepesen sötét bőrtónus|programozó|programozó férfi: közepesen sötét bőrtónus|szoftver
