# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;کھل کے ہنستا چہرہ;چہرہ|کھل کے ہنستا چہرہ|کھلا|منہ|ہنسی
	🧑🏾‍🦳;شخص: جلد کی درمیانی سیاہ رنگت اور سفید بال;بالغ|جلد کی درمیانی سیاہ رنگت|سفید بال|شخص|شخص: جلد کی درمیانی سیاہ رنگت اور سفید بال|صنفی غیر جانبدار
	🧑🏿‍🦳;شخص: جلد کی سیاہ رنگت اور سفید بال;بالغ|جلد کی سیاہ رنگت|سفید بال|شخص|شخص: جلد کی سیاہ رنگت اور سفید بال|صنفی غیر جانبدار
👩‍🦲;عورت: گنجا;انسان|عورت|عورت: گنجا|گنجا
	👩🏻‍🦲;عورت: جلد کی ہلکی رنگت اور گنجا;انسان|جلد کی ہلکی رنگت|عورت|عورت: جلد کی ہلکی رنگت اور گنجا|گنجا
	👩🏼‍🦲;عورت: جلد کی درمیانی -ہلکی رنگت اور گنجا;انسان|جلد کی درمیانی -ہلکی رنگت|عورت|عورت: جلد کی درمیانی -ہلکی رنگت اور گنجا|گنجا
	👩🏽‍🦲;عورت: جلد کی درمیانی رنگت اور گنجا;انسان|جلد کی درمیانی رنگت|عورت|عورت: جلد کی درمیانی رنگت اور گنجا|گنجا
	👩🏾‍🦲;عورت: جلد کی درمیانی سیاہ رنگت اور گنجا;انسان|جلد کی درمیانی سیاہ رنگت|عورت|عورت: جلد کی درمیانی سیاہ رنگت اور گنجا|گنجا
	👩🏿‍🦲;عورت: جلد کی سیاہ رنگت اور گنجا;انسان|جلد کی سیاہ رنگت|عورت|عورت: جلد کی سیاہ رنگت اور گنجا|گنجا
🧑‍🦲;شخص: گنجا;بالغ|شخص|شخص: گنجا|صنفی غیر جانبدار|گنجا
	🧑🏻‍🦲;شخص: جلد کی ہلکی رنگت اور گنجا;بالغ|جلد کی ہلکی رنگت|شخص|شخص: جلد کی ہلکی رنگت اور گنجا|صنفی غیر جانبدار|گنجا
	🧑🏼‍🦲;شخص: جلد کی درمیانی -ہلکی رنگت اور گنجا;بالغ|جلد کی درمیانی -ہلکی رنگت|شخص|شخص: جلد کی درمیانی -ہلکی رنگت اور گنجا|صنفی غیر جانبدار|گنجا
	🧑🏽‍🦲;شخص: جلد کی درمیانی رنگت اور گنجا;بالغ|جلد کی درمیانی رنگت|شخص|شخص: جلد کی درمیانی رنگت اور گنجا|صنفی غیر جانبدار|گنجا
	🧑🏾‍🦲;شخص: جلد کی درمیانی سیاہ رنگت اور گنجا;بالغ|جلد کی درمیانی سیاہ رنگت|شخص|شخص: جلد کی درمیانی سیاہ رنگت اور گنجا|صنفی غیر جانبدار|گنجا
	🧑🏿‍🦲;شخص: جلد کی سیاہ رنگت اور گنجا;بالغ|جلد کی سیاہ رنگت|شخص|شخص: جلد کی سیاہ رنگت اور گنجا|صنفی غیر جانبدار|گنجا
👱‍♀️;سنہرے بالوں والی عورت;بھورے بال|سنہرے بال|سنہرے بالوں والی عورت|عورت
	👱🏻‍♀️;سنہرے بالوں والی عورت: جلد کی ہلکی رنگت;بھورے بال|جلد کی ہلکی رنگت|سنہرے بال|سنہرے بالوں والی عورت|سنہرے بالوں والی عورت: جلد کی ہلکی رنگت|عورت
	👱🏼‍♀️;سنہرے بالوں والی عورت: جلد کی درمیانی -ہلکی رنگت;بھورے بال|جلد کی درمیانی -ہلکی رنگت|سنہرے بال|سنہرے بالوں والی عورت|سنہرے بالوں والی عورت: جلد کی درمیانی -ہلکی رنگت|عورت
	👱🏽‍♀️;سنہرے بالوں والی عورت: جلد کی درمیانی رنگت;بھورے بال|جلد کی درمیانی رنگت|سنہرے بال|سنہرے بالوں والی عورت|سنہرے بالوں والی عورت: جلد کی درمیانی رنگت|عورت
	👱🏾‍♀️;سنہرے بالوں والی عورت: جلد کی درمیانی سیاہ رنگت;بھورے بال|جلد کی درمیانی سیاہ رنگت|سنہرے بال|سنہرے بالوں والی عورت|سنہرے بالوں والی عورت: جلد کی درمیانی سیاہ رنگت|عورت
	👱🏿‍♀️;سنہرے بالوں والی عورت: جلد کی سیاہ رنگت;بھورے بال|جلد کی سیاہ رنگت|سنہرے بال|سنہرے بالوں والی عورت|سنہرے بالوں والی عورت: جلد کی سیاہ رنگت|عورت
👱‍♂️;سنہرے بالوں والا مرد;بھورے بال|سنہرے بال|سنہرے بالوں والا مرد|مرد
	👱🏻‍♂️;سنہرے بالوں والا مرد: جلد کی ہلکی رنگت;بھورے بال|جلد کی ہلکی رنگت|سنہرے بال|سنہرے بالوں والا مرد|سنہرے بالوں والا مرد: جلد کی ہلکی رنگت|مرد
	👱🏼‍♂️;سنہرے بالوں والا مرد: جلد کی درمیانی -ہلکی رنگت;بھورے بال|جلد کی درمیانی -ہلکی رنگت|سنہرے بال|سنہرے بالوں والا مرد|سنہرے بالوں والا مرد: جلد کی درمیانی -ہلکی رنگت|مرد
	👱🏽‍♂️;سنہرے بالوں والا مرد: جلد کی درمیانی رنگت;بھورے بال|جلد کی درمیانی رنگت|سنہرے بال|سنہرے بالوں والا مرد|سنہرے بالوں والا مرد: جلد کی درمیانی رنگت|مرد
	👱🏾‍♂️;سنہرے بالوں والا مرد: جلد کی درمیانی سیاہ رنگت;بھورے بال|جلد کی درمیانی سیاہ رنگت|سنہرے بال|سنہرے بالوں والا مرد|سنہرے بالوں والا مرد: جلد کی درمیانی سیاہ رنگت|مرد
	👱🏿‍♂️;سنہرے بالوں والا مرد: جلد کی سیاہ رنگت;بھورے بال|جلد کی سیاہ رنگت|سنہرے بال|سنہرے بالوں والا مرد|سنہرے بالوں والا مرد: جلد کی سیاہ رنگت|مرد
🧓;بوڑھا بالغ;بوڑھا|بوڑھا بالغ|صنفی غیر جانبدار
	🧓🏻;بوڑھا بالغ: جلد کی ہلکی رنگت;بوڑھا|بوڑھا بالغ|بوڑھا بالغ: جلد کی ہلکی رنگت|جلد کی ہلکی رنگت|صنفی غیر جانبدار
	🧓🏼;بوڑھا بالغ: جلد کی درمیانی -ہلکی رنگت;بوڑھا|بوڑھا بالغ|بوڑھا بالغ: جلد کی درمیانی -ہلکی رنگت|جلد کی درمیانی -ہلکی رنگت|صنفی غیر جانبدار
	🧓🏽;بوڑھا بالغ: جلد کی درمیانی رنگت;بوڑھا|بوڑھا بالغ|بوڑھا بالغ: جلد کی درمیانی رنگت|جلد کی درمیانی رنگت|صنفی غیر جانبدار
	🧓🏾;بوڑھا بالغ: جلد کی درمیانی سیاہ رنگت;بوڑھا|بوڑھا بالغ|بوڑھا بالغ: جلد کی درمیانی سیاہ رنگت|جلد کی درمیانی سیاہ رنگت|صنفی غیر جانبدار
	🧓🏿;بوڑھا بالغ: جلد کی سیاہ رنگت;بوڑھا|بوڑھا بالغ|بوڑھا بالغ: جلد کی سیاہ رنگت|جلد کی سیاہ رنگت|صنفی غیر جانبدار
👴;بوڑھا آدمی;انسان|بوڑھا|بوڑھا آدمی|مرد
	👴🏻;بوڑھا آدمی: جلد کی ہلکی رنگت;انسان|بوڑھا|بوڑھا آدمی|بوڑھا آدمی: جلد کی ہلکی رنگت|جلد کی ہلکی رنگت|مرد
	👴🏼;بوڑھا آدمی: جلد کی درمیانی -ہلکی رنگت;انسان|بوڑھا|بوڑھا آدمی|بوڑھا آدمی: جلد کی درمیانی -ہلکی رنگت|جلد کی درمیانی -ہلکی رنگت|مرد
	👴🏽;بوڑھا آدمی: جلد کی درمیانی رنگت;انسان|بوڑھا|بوڑھا آدمی|بوڑھا آدمی: جلد کی درمیانی رنگت|جلد کی درمیانی رنگت|مرد
	👴🏾;بوڑھا آدمی: جلد کی درمیانی سیاہ رنگت;انسان|بوڑھا|بوڑھا آدمی|بوڑھا آدمی: جلد کی درمیانی سیاہ رنگت|جلد کی درمیانی سیاہ رنگت|مرد
	👴🏿;بوڑھا آدمی: جلد کی سیاہ رنگت;انسان|بوڑھا|بوڑھا آدمی|بوڑھا آدمی: جلد کی سیاہ رنگت|جلد کی سیاہ رنگت|مرد
👵;بوڑھی عورت;انسان|بوڑھی|عورت
	👵🏻;بوڑھی عورت: جلد کی ہلکی رنگت;انسان|بوڑھی|بوڑھی عورت: جلد کی ہلکی رنگت|جلد کی ہلکی رنگت|عورت
	👵🏼;بوڑھی عورت: جلد کی درمیانی -ہلکی رنگت;انسان|بوڑھی|بوڑھی عورت: جلد کی درمیانی -ہلکی رنگت|جلد کی درمیانی -ہلکی رنگت|عورت
	👵🏽;بوڑھی عورت: جلد کی درمیانی رنگت;انسان|بوڑھی|بوڑھی عورت: جلد کی درمیانی رنگت|جلد کی درمیانی رنگت|عورت
	👵🏾;بوڑھی عورت: جلد کی درمیانی سیاہ رنگت;انسان|بوڑھی|بوڑھی عورت: جلد کی درمیانی سیاہ رنگت|جلد کی درمیانی سیاہ رنگت|عورت
	👵🏿;بوڑھی عورت: جلد کی سیاہ رنگت;انسان|بوڑھی|بوڑھی عورت: جلد کی سیاہ رنگت|جلد کی سیاہ رنگت|عورت
🙍;تیوری چڑھائے شخص;اشارہ|تیوری|تیوری چڑھائے شخص
	🙍🏻;تیوری چڑھائے شخص: جلد کی ہلکی رنگت;اشارہ|تیوری|تیوری چڑھائے شخص|تیوری چڑھائے شخص: جلد کی ہلکی رنگت|جلد کی ہلکی رنگت
	🙍🏼;تیوری چڑھائے شخص: جلد کی درمیانی -ہلکی رنگت;اشارہ|تیوری|تیوری چڑھائے شخص|تیوری چڑھائے شخص: جلد کی درمیانی -ہلکی رنگت|جلد کی درمیانی -ہلکی رنگت
	🙍🏽;تیوری چڑھائے شخص: جلد کی درمیانی رنگت;اشارہ|تیوری|تیوری چڑھائے شخص|تیوری چڑھائے شخص: جلد کی درمیانی رنگت|جلد کی درمیانی رنگت
	🙍🏾;تیوری چڑھائے شخص: جلد کی درمیانی سیاہ رنگت;اشارہ|تیوری|تیوری چڑھائے شخص|تیوری چڑھائے شخص: جلد کی درمیانی سیاہ رنگت|جلد کی درمیانی سیاہ رنگت
	🙍🏿;تیوری چڑھائے شخص: جلد کی سیاہ رنگت;اشارہ|تیوری|تیوری چڑھائے شخص|تیوری چڑھائے شخص: جلد کی سیاہ رنگت|جلد کی سیاہ رنگت
🙍‍♂️;گھورتا ہوا مرد;گھورتا ہوا مرد|گھورنا|مرد|ناراضگی ظاہر کرتا ہوا مرد
	🙍🏻‍♂️;گھورتا ہوا مرد: جلد کی ہلکی رنگت;جلد کی ہلکی رنگت|گھورتا ہوا مرد|گھورتا ہوا مرد: جلد کی ہلکی رنگت|گھورنا|مرد|ناراضگی ظاہر کرتا ہوا مرد
	🙍🏼‍♂️;گھورتا ہوا مرد: جلد کی درمیانی -ہلکی رنگت;جلد کی درمیانی -ہلکی رنگت|گھورتا ہوا مرد|گھورتا ہوا مرد: جلد کی درمیانی -ہلکی رنگت|گھورنا|مرد|ناراضگی ظاہر کرتا ہوا مرد
	🙍🏽‍♂️;گھورتا ہوا مرد: جلد کی درمیانی رنگت;جلد کی درمیانی رنگت|گھورتا ہوا مرد|گھورتا ہوا مرد: جلد کی درمیانی رنگت|گھورنا|مرد|ناراضگی ظاہر کرتا ہوا مرد
	🙍🏾‍♂️;گھورتا ہوا مرد: جلد کی درمیانی سیاہ رنگت;جلد کی درمیانی سیاہ رنگت|گھورتا ہوا مرد|گھورتا ہوا مرد: جلد کی درمیانی سیاہ رنگت|گھورنا|مرد|ناراضگی ظاہر کرتا ہوا مرد
	🙍🏿‍♂️;گھورتا ہوا مرد: جلد کی سیاہ رنگت;جلد کی سیاہ رنگت|گھورتا ہوا مرد|گھورتا ہوا مرد: جلد کی سیاہ رنگت|گھورنا|مرد|ناراضگی ظاہر کرتا ہوا مرد
🙍‍♀️;گھورتی ہوئی عورت;عورت|گھورتی ہوئی عورت|گھورنا|ناراضگی ظاہر کرتی ہوئی عورت
	🙍🏻‍♀️;گھورتی ہوئی عورت: جلد کی ہلکی رنگت;جلد کی ہلکی رنگت|عورت|گھورتی ہوئی عورت|گھورتی ہوئی عورت: جلد کی ہلکی رنگت|گھورنا|ناراضگی ظاہر کرتی ہوئی عورت
	🙍🏼‍♀️;گھورتی ہوئی عورت: جلد کی درمیانی -ہلکی رنگت;جلد کی درمیانی -ہلکی رنگت|عورت|گھورتی ہوئی عورت|گھورتی ہوئی عورت: جلد کی درمیانی -ہلکی رنگت|گھورنا|ناراضگی ظاہر کرتی ہوئی عورت
	🙍🏽‍♀️;گھورتی ہوئی عورت: جلد کی درمیانی رنگت;جلد کی درمیانی رنگت|عورت|گھورتی ہوئی عورت|گھورتی ہوئی عورت: جلد کی درمیانی رنگت|گھورنا|ناراضگی ظاہر کرتی ہوئی عورت
	🙍🏾‍♀️;گھورتی ہوئی عورت: جلد کی درمیانی سیاہ رنگت;جلد کی درمیانی سیاہ رنگت|عورت|گھورتی ہوئی عورت|گھورتی ہوئی عورت: جلد کی درمیانی سیاہ رنگت|گھورنا|ناراضگی ظاہر کرتی ہوئی عورت
	🙍🏿‍♀️;گھورتی ہوئی عورت: جلد کی سیاہ رنگت;جلد کی سیاہ رنگت|عورت|گھورتی ہوئی عورت|گھورتی ہوئی عورت: جلد کی سیاہ رنگت|گھورنا|ناراضگی ظاہر کرتی ہوئی عورت
🙎;نا شاد شخص;اشارہ|نا شاد|نا شاد شخص
	🙎🏻;نا شاد شخص: جلد کی ہلکی رنگت;اشارہ|جلد کی ہلکی رنگت|نا شاد|نا شاد شخص|نا شاد شخص: جلد کی ہلکی رنگت
	🙎🏼;نا شاد شخص: جلد کی درمیانی -ہلکی رنگت;اشارہ|جلد کی درمیانی -ہلکی رنگت|نا شاد|نا شاد شخص|نا شاد شخص: جلد کی درمیانی -ہلکی رنگت
	🙎🏽;نا شاد شخص: جلد کی درمیانی رنگت;اشارہ|جلد کی درمیانی رنگت|نا شاد|نا شاد شخص|نا شاد شخص: جلد کی درمیانی رنگت
	🙎🏾;نا شاد شخص: جلد کی درمیانی سیاہ رنگت;اشارہ|جلد کی درمیانی سیاہ رنگت|نا شاد|نا شاد شخص|نا شاد شخص: جلد کی درمیانی سیاہ رنگت
	🙎🏿;نا شاد شخص: جلد کی سیاہ رنگت;اشارہ|جلد کی سیاہ رنگت|نا شاد|نا شاد شخص|نا شاد شخص: جلد کی سیاہ رنگت
🙎‍♂️;منہ بسورتا ہوا مرد;اداسی ظاہر کرنا|مرد|منھ بسورنا|منہ بسورتا ہوا مرد|ہونٹ دبانا
	🙎🏻‍♂️;منہ بسورتا ہوا مرد: جلد کی ہلکی رنگت;اداسی ظاہر کرنا|جلد کی ہلکی رنگت|مرد|منھ بسورنا|منہ بسورتا ہوا مرد|منہ بسورتا ہوا مرد: جلد کی ہلکی رنگت|ہونٹ دبانا
	🙎🏼‍♂️;منہ بسورتا ہوا مرد: جلد کی درمیانی -ہلکی رنگت;اداسی ظاہر کرنا|جلد کی درمیانی -ہلکی رنگت|مرد|منھ بسورنا|منہ بسورتا ہوا مرد|منہ بسورتا ہوا مرد: جلد کی درمیانی -ہلکی رنگت|ہونٹ دبانا
