# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;рӯи хандон;рӯи хандон|рӯй|фарох табассум кардан
💁‍♀️;зане, ки бо дасташ ишора карда истодааст;густох|дасти ишоракунанда|зан|зане|зане, ки бо дасташ ишора карда истодааст|ки бо дасташ ишора карда истодааст
	💁🏻‍♀️;зане, ки бо дасташ ишора карда истодааст: ранги равшани пӯст;густох|дасти ишоракунанда|зан|зане|зане, ки бо дасташ ишора карда истодааст|зане, ки бо дасташ ишора карда истодааст: ранги равшани пӯст|ки бо дасташ ишора карда истодааст|ранги равшани пӯст
	💁🏼‍♀️;зане, ки бо дасташ ишора карда истодааст: ранги равшании миёнаи пӯст;густох|дасти ишоракунанда|зан|зане|зане, ки бо дасташ ишора карда истодааст|зане, ки бо дасташ ишора карда истодааст: ранги равшании миёнаи пӯст|ки бо дасташ ишора карда истодааст|ранги равшании миёнаи пӯст
	💁🏽‍♀️;зане, ки бо дасташ ишора карда истодааст: ранги миёнаи пӯст;густох|дасти ишоракунанда|зан|зане|зане, ки бо дасташ ишора карда истодааст|зане, ки бо дасташ ишора карда истодааст: ранги миёнаи пӯст|ки бо дасташ ишора карда истодааст|ранги миёнаи пӯст
	💁🏾‍♀️;зане, ки бо дасташ ишора карда истодааст: ранги торики миёнаи пӯст;густох|дасти ишоракунанда|зан|зане|зане, ки бо дасташ ишора карда истодааст|зане, ки бо дасташ ишора карда истодааст: ранги торики миёнаи пӯст|ки бо дасташ ишора карда истодааст|ранги торики миёнаи пӯст
	💁🏿‍♀️;зане, ки бо дасташ ишора карда истодааст: ранги торики пӯст;густох|дасти ишоракунанда|зан|зане|зане, ки бо дасташ ишора карда истодааст|зане, ки бо дасташ ишора карда истодааст: ранги торики пӯст|ки бо дасташ ишора карда истодааст|ранги торики пӯст
🙋;шахсе, ки дасташро бардошта истодааст;бардошта|даст|имову ишора|ки дасташро бардошта истодааст|хурсанд|шахсе|шахсе, ки дасташро бардошта истодааст
	🙋🏻;шахсе, ки дасташро бардошта истодааст: ранги равшани пӯст;бардошта|даст|имову ишора|ки дасташро бардошта истодааст|ранги равшани пӯст|хурсанд|шахсе|шахсе, ки дасташро бардошта истодааст|шахсе, ки дасташро бардошта истодааст: ранги равшани пӯст
	🙋🏼;шахсе, ки дасташро бардошта истодааст: ранги равшании миёнаи пӯст;бардошта|даст|имову ишора|ки дасташро бардошта истодааст|ранги равшании миёнаи пӯст|хурсанд|шахсе|шахсе, ки дасташро бардошта истодааст|шахсе, ки дасташро бардошта истодааст: ранги равшании миёнаи пӯст
	🙋🏽;шахсе, ки дасташро бардошта истодааст: ранги миёнаи пӯст;бардошта|даст|имову ишора|ки дасташро бардошта истодааст|ранги миёнаи пӯст|хурсанд|шахсе|шахсе, ки дасташро бардошта истодааст|шахсе, ки дасташро бардошта истодааст: ранги миёнаи пӯст
	🙋🏾;шахсе, ки дасташро бардошта истодааст: ранги торики миёнаи пӯст;бардошта|даст|имову ишора|ки дасташро бардошта истодааст|ранги торики миёнаи пӯст|хурсанд|шахсе|шахсе, ки дасташро бардошта истодааст|шахсе, ки дасташро бардошта истодааст: ранги торики миёнаи пӯст
	🙋🏿;шахсе, ки дасташро бардошта истодааст: ранги торики пӯст;бардошта|даст|имову ишора|ки дасташро бардошта истодааст|ранги торики пӯст|хурсанд|шахсе|шахсе, ки дасташро бардошта истодааст|шахсе, ки дасташро бардошта истодааст: ранги торики пӯст
