# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;وجه بابتسامة عريضة;ابتسام|ضحك|وجه بابتسامة عريضة|وجه مبتسم
	🧑🏼‍✈️;ربان طائرة: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|ربان|ربان طائرة: بشرة بلون فاتح ومعتدل|طائرة|طيار
	🧑🏽‍✈️;ربان طائرة: بشرة بلون معتدل;بشرة بلون معتدل|ربان|ربان طائرة: بشرة بلون معتدل|طائرة|طيار
	🧑🏾‍✈️;ربان طائرة: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|ربان|ربان طائرة: بشرة بلون معتدل مائل للغامق|طائرة|طيار
	🧑🏿‍✈️;ربان طائرة: بشرة بلون غامق;بشرة بلون غامق|ربان|ربان طائرة: بشرة بلون غامق|طائرة|طيار
👨‍✈️;طيار;ربان طائرة|طيار|قائد طائرة
	👨🏻‍✈️;طيار: بشرة بلون فاتح;بشرة بلون فاتح|ربان طائرة|طيار|طيار: بشرة بلون فاتح|قائد طائرة
	👨🏼‍✈️;طيار: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|ربان طائرة|طيار|طيار: بشرة بلون فاتح ومعتدل|قائد طائرة
	👨🏽‍✈️;طيار: بشرة بلون معتدل;بشرة بلون معتدل|ربان طائرة|طيار|طيار: بشرة بلون معتدل|قائد طائرة
	👨🏾‍✈️;طيار: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|ربان طائرة|طيار|طيار: بشرة بلون معتدل مائل للغامق|قائد طائرة
	👨🏿‍✈️;طيار: بشرة بلون غامق;بشرة بلون غامق|ربان طائرة|طيار|طيار: بشرة بلون غامق|قائد طائرة
👩‍✈️;ربّانة طائرة;ربّانة طائرة|قائدة طائرة
	👩🏻‍✈️;ربّانة طائرة: بشرة بلون فاتح;بشرة بلون فاتح|ربّانة طائرة|ربّانة طائرة: بشرة بلون فاتح|قائدة طائرة
	👩🏼‍✈️;ربّانة طائرة: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|ربّانة طائرة|ربّانة طائرة: بشرة بلون فاتح ومعتدل|قائدة طائرة
	👩🏽‍✈️;ربّانة طائرة: بشرة بلون معتدل;بشرة بلون معتدل|ربّانة طائرة|ربّانة طائرة: بشرة بلون معتدل|قائدة طائرة
	👩🏾‍✈️;ربّانة طائرة: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|ربّانة طائرة|ربّانة طائرة: بشرة بلون معتدل مائل للغامق|قائدة طائرة
	👩🏿‍✈️;ربّانة طائرة: بشرة بلون غامق;بشرة بلون غامق|ربّانة طائرة|ربّانة طائرة: بشرة بلون غامق|قائدة طائرة
🧑‍🚀;رائد الفضاء;رائد الفضاء|رائد فضاء|صاروخ
	🧑🏻‍🚀;رائد الفضاء: بشرة بلون فاتح;بشرة بلون فاتح|رائد الفضاء|رائد الفضاء: بشرة بلون فاتح|رائد فضاء|صاروخ
	🧑🏼‍🚀;رائد الفضاء: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|رائد الفضاء|رائد الفضاء: بشرة بلون فاتح ومعتدل|رائد فضاء|صاروخ
	🧑🏽‍🚀;رائد الفضاء: بشرة بلون معتدل;بشرة بلون معتدل|رائد الفضاء|رائد الفضاء: بشرة بلون معتدل|رائد فضاء|صاروخ
	🧑🏾‍🚀;رائد الفضاء: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|رائد الفضاء|رائد الفضاء: بشرة بلون معتدل مائل للغامق|رائد فضاء|صاروخ
	🧑🏿‍🚀;رائد الفضاء: بشرة بلون غامق;بشرة بلون غامق|رائد الفضاء|رائد الفضاء: بشرة بلون غامق|رائد فضاء|صاروخ
👨‍🚀;رائد فضاء;رائد فضاء|عالم|فضاء|ملاح فضاء
	👨🏻‍🚀;رائد فضاء: بشرة بلون فاتح;بشرة بلون فاتح|رائد فضاء|رائد فضاء: بشرة بلون فاتح|عالم|فضاء|ملاح فضاء
	👨🏼‍🚀;رائد فضاء: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|رائد فضاء|رائد فضاء: بشرة بلون فاتح ومعتدل|عالم|فضاء|ملاح فضاء
	👨🏽‍🚀;رائد فضاء: بشرة بلون معتدل;بشرة بلون معتدل|رائد فضاء|رائد فضاء: بشرة بلون معتدل|عالم|فضاء|ملاح فضاء
	👨🏾‍🚀;رائد فضاء: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|رائد فضاء|رائد فضاء: بشرة بلون معتدل مائل للغامق|عالم|فضاء|ملاح فضاء
	👨🏿‍🚀;رائد فضاء: بشرة بلون غامق;بشرة بلون غامق|رائد فضاء|رائد فضاء: بشرة بلون غامق|عالم|فضاء|ملاح فضاء
👩‍🚀;رائدة فضاء;رائدة فضاء|ملاحة فضاء
	👩🏻‍🚀;رائدة فضاء: بشرة بلون فاتح;بشرة بلون فاتح|رائدة فضاء|رائدة فضاء: بشرة بلون فاتح|ملاحة فضاء
	👩🏼‍🚀;رائدة فضاء: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|رائدة فضاء|رائدة فضاء: بشرة بلون فاتح ومعتدل|ملاحة فضاء
	👩🏽‍🚀;رائدة فضاء: بشرة بلون معتدل;بشرة بلون معتدل|رائدة فضاء|رائدة فضاء: بشرة بلون معتدل|ملاحة فضاء
	👩🏾‍🚀;رائدة فضاء: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|رائدة فضاء|رائدة فضاء: بشرة بلون معتدل مائل للغامق|ملاحة فضاء
	👩🏿‍🚀;رائدة فضاء: بشرة بلون غامق;بشرة بلون غامق|رائدة فضاء|رائدة فضاء: بشرة بلون غامق|ملاحة فضاء
🧑‍🚒;إطفائي;إطفائي|عربة إطفاء
	🧑🏻‍🚒;إطفائي: بشرة بلون فاتح;إطفائي|إطفائي: بشرة بلون فاتح|بشرة بلون فاتح|عربة إطفاء
	🧑🏼‍🚒;إطفائي: بشرة بلون فاتح ومعتدل;إطفائي|إطفائي: بشرة بلون فاتح ومعتدل|بشرة بلون فاتح ومعتدل|عربة إطفاء
	🧑🏽‍🚒;إطفائي: بشرة بلون معتدل;إطفائي|إطفائي: بشرة بلون معتدل|بشرة بلون معتدل|عربة إطفاء
	🧑🏾‍🚒;إطفائي: بشرة بلون معتدل مائل للغامق;إطفائي|إطفائي: بشرة بلون معتدل مائل للغامق|بشرة بلون معتدل مائل للغامق|عربة إطفاء
	🧑🏿‍🚒;إطفائي: بشرة بلون غامق;إطفائي|إطفائي: بشرة بلون غامق|بشرة بلون غامق|عربة إطفاء
👨‍🚒;رجل إطفاء;حريق|رجل إطفاء|عامل إطفاء
	👨🏻‍🚒;رجل إطفاء: بشرة بلون فاتح;بشرة بلون فاتح|حريق|رجل إطفاء|رجل إطفاء: بشرة بلون فاتح|عامل إطفاء
	👨🏼‍🚒;رجل إطفاء: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|حريق|رجل إطفاء|رجل إطفاء: بشرة بلون فاتح ومعتدل|عامل إطفاء
	👨🏽‍🚒;رجل إطفاء: بشرة بلون معتدل;بشرة بلون معتدل|حريق|رجل إطفاء|رجل إطفاء: بشرة بلون معتدل|عامل إطفاء
	👨🏾‍🚒;رجل إطفاء: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|حريق|رجل إطفاء|رجل إطفاء: بشرة بلون معتدل مائل للغامق|عامل إطفاء
	👨🏿‍🚒;رجل إطفاء: بشرة بلون غامق;بشرة بلون غامق|حريق|رجل إطفاء|رجل إطفاء: بشرة بلون غامق|عامل إطفاء
👩‍🚒;سيدة إطفاء;حريق|سيدة إطفاء|عاملة إطفاء
	👩🏻‍🚒;سيدة إطفاء: بشرة بلون فاتح;بشرة بلون فاتح|حريق|سيدة إطفاء|سيدة إطفاء: بشرة بلون فاتح|عاملة إطفاء
	👩🏼‍🚒;سيدة إطفاء: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|حريق|سيدة إطفاء|سيدة إطفاء: بشرة بلون فاتح ومعتدل|عاملة إطفاء
	👩🏽‍🚒;سيدة إطفاء: بشرة بلون معتدل;بشرة بلون معتدل|حريق|سيدة إطفاء|سيدة إطفاء: بشرة بلون معتدل|عاملة إطفاء
	👩🏾‍🚒;سيدة إطفاء: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|حريق|سيدة إطفاء|سيدة إطفاء: بشرة بلون معتدل مائل للغامق|عاملة إطفاء
	👩🏿‍🚒;سيدة إطفاء: بشرة بلون غامق;بشرة بلون غامق|حريق|سيدة إطفاء|سيدة إطفاء: بشرة بلون غامق|عاملة إطفاء
👮;ضابط شرطة;أشخاص|شرطة|شرطي|ضابط شرطة
	👮🏻;ضابط شرطة: بشرة بلون فاتح;أشخاص|بشرة بلون فاتح|شرطة|شرطي|ضابط شرطة|ضابط شرطة: بشرة بلون فاتح
	👮🏼;ضابط شرطة: بشرة بلون فاتح ومعتدل;أشخاص|بشرة بلون فاتح ومعتدل|شرطة|شرطي|ضابط شرطة|ضابط شرطة: بشرة بلون فاتح ومعتدل
	👮🏽;ضابط شرطة: بشرة بلون معتدل;أشخاص|بشرة بلون معتدل|شرطة|شرطي|ضابط شرطة|ضابط شرطة: بشرة بلون معتدل
	👮🏾;ضابط شرطة: بشرة بلون معتدل مائل للغامق;أشخاص|بشرة بلون معتدل مائل للغامق|شرطة|شرطي|ضابط شرطة|ضابط شرطة: بشرة بلون معتدل مائل للغامق
	👮🏿;ضابط شرطة: بشرة بلون غامق;أشخاص|بشرة بلون غامق|شرطة|شرطي|ضابط شرطة|ضابط شرطة: بشرة بلون غامق
👮‍♂️;شرطي;شرطة|شرطي|ضابط
	👮🏻‍♂️;شرطي: بشرة بلون فاتح;بشرة بلون فاتح|شرطة|شرطي|شرطي: بشرة بلون فاتح|ضابط
	👮🏼‍♂️;شرطي: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|شرطة|شرطي|شرطي: بشرة بلون فاتح ومعتدل|ضابط
	👮🏽‍♂️;شرطي: بشرة بلون معتدل;بشرة بلون معتدل|شرطة|شرطي|شرطي: بشرة بلون معتدل|ضابط
	👮🏾‍♂️;شرطي: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|شرطة|شرطي|شرطي: بشرة بلون معتدل مائل للغامق|ضابط
	👮🏿‍♂️;شرطي: بشرة بلون غامق;بشرة بلون غامق|شرطة|شرطي|شرطي: بشرة بلون غامق|ضابط
👮‍♀️;شرطية;شرطة|شرطية|ضابطة
	👮🏻‍♀️;شرطية: بشرة بلون فاتح;بشرة بلون فاتح|شرطة|شرطية|شرطية: بشرة بلون فاتح|ضابطة
	👮🏼‍♀️;شرطية: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|شرطة|شرطية|شرطية: بشرة بلون فاتح ومعتدل|ضابطة
	👮🏽‍♀️;شرطية: بشرة بلون معتدل;بشرة بلون معتدل|شرطة|شرطية|شرطية: بشرة بلون معتدل|ضابطة
	👮🏾‍♀️;شرطية: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|شرطة|شرطية|شرطية: بشرة بلون معتدل مائل للغامق|ضابطة
	👮🏿‍♀️;شرطية: بشرة بلون غامق;بشرة بلون غامق|شرطة|شرطية|شرطية: بشرة بلون غامق|ضابطة
🕵️;شخص يحقّق;جاسوس|شخص يحقّق|مباحث
	🕵🏻;شخص يحقّق: بشرة بلون فاتح;بشرة بلون فاتح|جاسوس|شخص يحقّق|شخص يحقّق: بشرة بلون فاتح|مباحث
	🕵🏼;شخص يحقّق: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|جاسوس|شخص يحقّق|شخص يحقّق: بشرة بلون فاتح ومعتدل|مباحث
	🕵🏽;شخص يحقّق: بشرة بلون معتدل;بشرة بلون معتدل|جاسوس|شخص يحقّق|شخص يحقّق: بشرة بلون معتدل|مباحث
	🕵🏾;شخص يحقّق: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|جاسوس|شخص يحقّق|شخص يحقّق: بشرة بلون معتدل مائل للغامق|مباحث
	🕵🏿;شخص يحقّق: بشرة بلون غامق;بشرة بلون غامق|جاسوس|شخص يحقّق|شخص يحقّق: بشرة بلون غامق|مباحث
🕵️‍♂️;محقّق;تحقيق سري|رجل مباحث|مباحث|محقّق
	🕵🏻‍♂️;محقّق: بشرة بلون فاتح;بشرة بلون فاتح|تحقيق سري|رجل مباحث|مباحث|محقّق|محقّق: بشرة بلون فاتح
	🕵🏼‍♂️;محقّق: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|تحقيق سري|رجل مباحث|مباحث|محقّق|محقّق: بشرة بلون فاتح ومعتدل
	🕵🏽‍♂️;محقّق: بشرة بلون معتدل;بشرة بلون معتدل|تحقيق سري|رجل مباحث|مباحث|محقّق|محقّق: بشرة بلون معتدل
	🕵🏾‍♂️;محقّق: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|تحقيق سري|رجل مباحث|مباحث|محقّق|محقّق: بشرة بلون معتدل مائل للغامق
