# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;چىشلىق كۈلگەن چىراي;چىراي|چىشلىق|چىشلىق كۈلگەن چىراي
	🙅🏾‍♀️;ياق دەپ ئىشارە قىلغان ئايال: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان ئايال
	🙅🏿‍♀️;ياق دەپ ئىشارە قىلغان ئايال: توق تېرە رەڭ;ئايال|ئەمەس|ئىشارە|توسۇش|توق تېرە رەڭ|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان ئايال
🙆;ماقۇل دەپ ئىشارە قىلغان كىشى;ئىشارە|قول|ماقۇل|ماقۇل دەپ ئىشارە قىلغان كىشى
	🙆🏻;ماقۇل دەپ ئىشارە قىلغان كىشى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئىشارە|قول|ماقۇل|ماقۇل دەپ ئىشارە قىلغان كىشى
	🙆🏼;ماقۇل دەپ ئىشارە قىلغان كىشى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئىشارە|قول|ماقۇل|ماقۇل دەپ ئىشارە قىلغان كىشى
	🙆🏽;ماقۇل دەپ ئىشارە قىلغان كىشى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئىشارە|قول|ماقۇل|ماقۇل دەپ ئىشارە قىلغان كىشى
	🙆🏾;ماقۇل دەپ ئىشارە قىلغان كىشى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئىشارە|قول|ماقۇل|ماقۇل دەپ ئىشارە قىلغان كىشى
	🙆🏿;ماقۇل دەپ ئىشارە قىلغان كىشى: توق تېرە رەڭ;ئىشارە|توق تېرە رەڭ|قول|ماقۇل|ماقۇل دەپ ئىشارە قىلغان كىشى
🙆‍♂️;ماقۇل دەپ ئىشارە قىلغان ئەر;ئەر|ئىشارە|قول|ماقۇل|ماقۇل دەپ ئىشارە قىلغان ئەر
	🙆🏻‍♂️;ماقۇل دەپ ئىشارە قىلغان ئەر: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|ئىشارە|قول|ماقۇل|ماقۇل دەپ ئىشارە قىلغان ئەر
	🙆🏼‍♂️;ماقۇل دەپ ئىشارە قىلغان ئەر: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر|ئىشارە|قول|ماقۇل|ماقۇل دەپ ئىشارە قىلغان ئەر
	🙆🏽‍♂️;ماقۇل دەپ ئىشارە قىلغان ئەر: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|ئىشارە|قول|ماقۇل|ماقۇل دەپ ئىشارە قىلغان ئەر
	🙆🏾‍♂️;ماقۇل دەپ ئىشارە قىلغان ئەر: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|ئىشارە|قول|ماقۇل|ماقۇل دەپ ئىشارە قىلغان ئەر
	🙆🏿‍♂️;ماقۇل دەپ ئىشارە قىلغان ئەر: توق تېرە رەڭ;ئەر|ئىشارە|توق تېرە رەڭ|قول|ماقۇل|ماقۇل دەپ ئىشارە قىلغان ئەر
🙆‍♀️;ماقۇل دەپ ئىشارە قىلغان ئايال;ئايال|ئىشارە|قول|ماقۇل|ماقۇل دەپ ئىشارە قىلغان ئايال
	🙆🏻‍♀️;ماقۇل دەپ ئىشارە قىلغان ئايال: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|ئىشارە|قول|ماقۇل|ماقۇل دەپ ئىشارە قىلغان ئايال
	🙆🏼‍♀️;ماقۇل دەپ ئىشارە قىلغان ئايال: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|ئىشارە|قول|ماقۇل|ماقۇل دەپ ئىشارە قىلغان ئايال
	🙆🏽‍♀️;ماقۇل دەپ ئىشارە قىلغان ئايال: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|ئىشارە|قول|ماقۇل|ماقۇل دەپ ئىشارە قىلغان ئايال
	🙆🏾‍♀️;ماقۇل دەپ ئىشارە قىلغان ئايال: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|ئىشارە|قول|ماقۇل|ماقۇل دەپ ئىشارە قىلغان ئايال
	🙆🏿‍♀️;ماقۇل دەپ ئىشارە قىلغان ئايال: توق تېرە رەڭ;ئايال|ئىشارە|توق تېرە رەڭ|قول|ماقۇل|ماقۇل دەپ ئىشارە قىلغان ئايال
💁;تاپان ھەققى بەرگەن كىشى;ئۇچۇر|تاپان ھەققى|تاپان ھەققى بەرگەن كىشى|قوپال|قول|ياردەم
	💁🏻;تاپان ھەققى بەرگەن كىشى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئۇچۇر|تاپان ھەققى|تاپان ھەققى بەرگەن كىشى|قوپال|قول|ياردەم
	💁🏼;تاپان ھەققى بەرگەن كىشى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئۇچۇر|تاپان ھەققى|تاپان ھەققى بەرگەن كىشى|قوپال|قول|ياردەم
	💁🏽;تاپان ھەققى بەرگەن كىشى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئۇچۇر|تاپان ھەققى|تاپان ھەققى بەرگەن كىشى|قوپال|قول|ياردەم
	💁🏾;تاپان ھەققى بەرگەن كىشى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئۇچۇر|تاپان ھەققى|تاپان ھەققى بەرگەن كىشى|قوپال|قول|ياردەم
	💁🏿;تاپان ھەققى بەرگەن كىشى: توق تېرە رەڭ;ئۇچۇر|تاپان ھەققى|تاپان ھەققى بەرگەن كىشى|توق تېرە رەڭ|قوپال|قول|ياردەم
💁‍♂️;تاپان ھەققى بەرگەن ئەر;ئەر|تاپان ھەققى|تاپان ھەققى بەرگەن ئەر|قوپال
	💁🏻‍♂️;تاپان ھەققى بەرگەن ئەر: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|تاپان ھەققى|تاپان ھەققى بەرگەن ئەر|قوپال
	💁🏼‍♂️;تاپان ھەققى بەرگەن ئەر: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر|تاپان ھەققى|تاپان ھەققى بەرگەن ئەر|قوپال
	💁🏽‍♂️;تاپان ھەققى بەرگەن ئەر: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|تاپان ھەققى|تاپان ھەققى بەرگەن ئەر|قوپال
	💁🏾‍♂️;تاپان ھەققى بەرگەن ئەر: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|تاپان ھەققى|تاپان ھەققى بەرگەن ئەر|قوپال
	💁🏿‍♂️;تاپان ھەققى بەرگەن ئەر: توق تېرە رەڭ;ئەر|تاپان ھەققى|تاپان ھەققى بەرگەن ئەر|توق تېرە رەڭ|قوپال
💁‍♀️;تاپان ھەققى بەرگەن ئايال;ئايال|تاپان ھەققى بەرگەن ئايال|تاپان ھەققى بەرگەن قول|قوپال
	💁🏻‍♀️;تاپان ھەققى بەرگەن ئايال: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|تاپان ھەققى بەرگەن ئايال|تاپان ھەققى بەرگەن قول|قوپال
	💁🏼‍♀️;تاپان ھەققى بەرگەن ئايال: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|تاپان ھەققى بەرگەن ئايال|تاپان ھەققى بەرگەن قول|قوپال
	💁🏽‍♀️;تاپان ھەققى بەرگەن ئايال: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|تاپان ھەققى بەرگەن ئايال|تاپان ھەققى بەرگەن قول|قوپال
	💁🏾‍♀️;تاپان ھەققى بەرگەن ئايال: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|تاپان ھەققى بەرگەن ئايال|تاپان ھەققى بەرگەن قول|قوپال
	💁🏿‍♀️;تاپان ھەققى بەرگەن ئايال: توق تېرە رەڭ;ئايال|تاپان ھەققى بەرگەن ئايال|تاپان ھەققى بەرگەن قول|توق تېرە رەڭ|قوپال
🙋;قول كۆتۈرگەن كىشى;ئىشارە|خۇشال|قول|قول كۆتۈرگەن كىشى|كۆتۈرۈش
	🙋🏻;قول كۆتۈرگەن كىشى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئىشارە|خۇشال|قول|قول كۆتۈرگەن كىشى|كۆتۈرۈش
	🙋🏼;قول كۆتۈرگەن كىشى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئىشارە|خۇشال|قول|قول كۆتۈرگەن كىشى|كۆتۈرۈش
	🙋🏽;قول كۆتۈرگەن كىشى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئىشارە|خۇشال|قول|قول كۆتۈرگەن كىشى|كۆتۈرۈش
	🙋🏾;قول كۆتۈرگەن كىشى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئىشارە|خۇشال|قول|قول كۆتۈرگەن كىشى|كۆتۈرۈش
	🙋🏿;قول كۆتۈرگەن كىشى: توق تېرە رەڭ;ئىشارە|توق تېرە رەڭ|خۇشال|قول|قول كۆتۈرگەن كىشى|كۆتۈرۈش
🙋‍♂️;قول كۆتۈرگەن ئەر;ئەر|ئىشارە|قول كۆتۈرگەن ئەر|قول كۆتۈرۈش
	🙋🏻‍♂️;قول كۆتۈرگەن ئەر: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|ئىشارە|قول كۆتۈرگەن ئەر|قول كۆتۈرۈش
	🙋🏼‍♂️;قول كۆتۈرگەن ئەر: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر|ئىشارە|قول كۆتۈرگەن ئەر|قول كۆتۈرۈش
	🙋🏽‍♂️;قول كۆتۈرگەن ئەر: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|ئىشارە|قول كۆتۈرگەن ئەر|قول كۆتۈرۈش
	🙋🏾‍♂️;قول كۆتۈرگەن ئەر: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|ئىشارە|قول كۆتۈرگەن ئەر|قول كۆتۈرۈش
	🙋🏿‍♂️;قول كۆتۈرگەن ئەر: توق تېرە رەڭ;ئەر|ئىشارە|توق تېرە رەڭ|قول كۆتۈرگەن ئەر|قول كۆتۈرۈش
🙋‍♀️;قول كۆتۈرگەن ئايال;ئايال|ئىشارە|قول كۆتۈرگەن ئايال|قول كۆتۈرۈش
	🙋🏻‍♀️;قول كۆتۈرگەن ئايال: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|ئىشارە|قول كۆتۈرگەن ئايال|قول كۆتۈرۈش
	🙋🏼‍♀️;قول كۆتۈرگەن ئايال: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|ئىشارە|قول كۆتۈرگەن ئايال|قول كۆتۈرۈش
	🙋🏽‍♀️;قول كۆتۈرگەن ئايال: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|ئىشارە|قول كۆتۈرگەن ئايال|قول كۆتۈرۈش
	🙋🏾‍♀️;قول كۆتۈرگەن ئايال: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|ئىشارە|قول كۆتۈرگەن ئايال|قول كۆتۈرۈش
	🙋🏿‍♀️;قول كۆتۈرگەن ئايال: توق تېرە رەڭ;ئايال|ئىشارە|توق تېرە رەڭ|قول كۆتۈرگەن ئايال|قول كۆتۈرۈش
🧏;;
	🧏🏻;;
	🧏🏼;;
	🧏🏽;;
	🧏🏾;;
	🧏🏿;;
🧏‍♂️;;
	🧏🏻‍♂️;;
	🧏🏼‍♂️;;
	🧏🏽‍♂️;;
	🧏🏾‍♂️;;
	🧏🏿‍♂️;;
🧏‍♀️;;
	🧏🏻‍♀️;;
	🧏🏼‍♀️;;
	🧏🏽‍♀️;;
	🧏🏾‍♀️;;
	🧏🏿‍♀️;;
🙇;ئېگىلگەن كىشى;ئۆزۈر|ئىشارە|ئېگىلگەن كىشى|ئېگىلىش|كەچۈرۈڭ
	🙇🏻;ئېگىلگەن كىشى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئۆزۈر|ئىشارە|ئېگىلگەن كىشى|ئېگىلىش|كەچۈرۈڭ
	🙇🏼;ئېگىلگەن كىشى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئۆزۈر|ئىشارە|ئېگىلگەن كىشى|ئېگىلىش|كەچۈرۈڭ
	🙇🏽;ئېگىلگەن كىشى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئۆزۈر|ئىشارە|ئېگىلگەن كىشى|ئېگىلىش|كەچۈرۈڭ
	🙇🏾;ئېگىلگەن كىشى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئۆزۈر|ئىشارە|ئېگىلگەن كىشى|ئېگىلىش|كەچۈرۈڭ
	🙇🏿;ئېگىلگەن كىشى: توق تېرە رەڭ;ئۆزۈر|ئىشارە|ئېگىلگەن كىشى|ئېگىلىش|توق تېرە رەڭ|كەچۈرۈڭ
🙇‍♂️;ئېگىلگەن ئەر;ئەر|ئۆتۈنۈش|ئۆزۈر|ئىشارە|ئېگىلگەن ئەر|ئېگىلىش|كەچۈرۈڭ
	🙇🏻‍♂️;ئېگىلگەن ئەر: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|ئۆتۈنۈش|ئۆزۈر|ئىشارە|ئېگىلگەن ئەر|ئېگىلىش|كەچۈرۈڭ
	🙇🏼‍♂️;ئېگىلگەن ئەر: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر|ئۆتۈنۈش|ئۆزۈر|ئىشارە|ئېگىلگەن ئەر|ئېگىلىش|كەچۈرۈڭ
	🙇🏽‍♂️;ئېگىلگەن ئەر: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|ئۆتۈنۈش|ئۆزۈر|ئىشارە|ئېگىلگەن ئەر|ئېگىلىش|كەچۈرۈڭ
	🙇🏾‍♂️;ئېگىلگەن ئەر: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|ئۆتۈنۈش|ئۆزۈر|ئىشارە|ئېگىلگەن ئەر|ئېگىلىش|كەچۈرۈڭ
	🙇🏿‍♂️;ئېگىلگەن ئەر: توق تېرە رەڭ;ئەر|ئۆتۈنۈش|ئۆزۈر|ئىشارە|ئېگىلگەن ئەر|ئېگىلىش|توق تېرە رەڭ|كەچۈرۈڭ
🙇‍♀️;ئېگىلگەن ئايال;ئايال|ئۆتۈنۈش|ئۆزۈر|ئىشارە|ئېگىلگەن ئايال|ئېگىلىش|كەچۈرۈڭ
	🙇🏻‍♀️;ئېگىلگەن ئايال: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|ئۆتۈنۈش|ئۆزۈر|ئىشارە|ئېگىلگەن ئايال|ئېگىلىش|كەچۈرۈڭ
	🙇🏼‍♀️;ئېگىلگەن ئايال: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|ئۆتۈنۈش|ئۆزۈر|ئىشارە|ئېگىلگەن ئايال|ئېگىلىش|كەچۈرۈڭ
	🙇🏽‍♀️;ئېگىلگەن ئايال: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|ئۆتۈنۈش|ئۆزۈر|ئىشارە|ئېگىلگەن ئايال|ئېگىلىش|كەچۈرۈڭ
	🙇🏾‍♀️;ئېگىلگەن ئايال: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|ئۆتۈنۈش|ئۆزۈر|ئىشارە|ئېگىلگەن ئايال|ئېگىلىش|كەچۈرۈڭ
	🙇🏿‍♀️;ئېگىلگەن ئايال: توق تېرە رەڭ;ئايال|ئۆتۈنۈش|ئۆزۈر|ئىشارە|ئېگىلگەن ئايال|ئېگىلىش|توق تېرە رەڭ|كەچۈرۈڭ
🤦;يۈزىنى تۇتقان كىشى;ئىشەنچسىز|تۇتۇش|چىراي|يامان|يۈزىنى تۇتقان كىشى
	🤦🏻;يۈزىنى تۇتقان كىشى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئىشەنچسىز|تۇتۇش|چىراي|يامان|يۈزىنى تۇتقان كىشى
	🤦🏼;يۈزىنى تۇتقان كىشى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئىشەنچسىز|تۇتۇش|چىراي|يامان|يۈزىنى تۇتقان كىشى
	🤦🏽;يۈزىنى تۇتقان كىشى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئىشەنچسىز|تۇتۇش|چىراي|يامان|يۈزىنى تۇتقان كىشى
	🤦🏾;يۈزىنى تۇتقان كىشى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئىشەنچسىز|تۇتۇش|چىراي|يامان|يۈزىنى تۇتقان كىشى
	🤦🏿;يۈزىنى تۇتقان كىشى: توق تېرە رەڭ;ئىشەنچسىز|توق تېرە رەڭ|تۇتۇش|چىراي|يامان|يۈزىنى تۇتقان كىشى
🤦‍♂️;يۈزىنى تۇتقان ئەر;ئەر|ئىشەنچسىز|يامان|يۈزىنى تۇتش|يۈزىنى تۇتقان ئەر
	🤦🏻‍♂️;يۈزىنى تۇتقان ئەر: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|ئىشەنچسىز|يامان|يۈزىنى تۇتش|يۈزىنى تۇتقان ئەر
	🤦🏼‍♂️;يۈزىنى تۇتقان ئەر: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر|ئىشەنچسىز|يامان|يۈزىنى تۇتش|يۈزىنى تۇتقان ئەر
	🤦🏽‍♂️;يۈزىنى تۇتقان ئەر: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|ئىشەنچسىز|يامان|يۈزىنى تۇتش|يۈزىنى تۇتقان ئەر
	🤦🏾‍♂️;يۈزىنى تۇتقان ئەر: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|ئىشەنچسىز|يامان|يۈزىنى تۇتش|يۈزىنى تۇتقان ئەر
	🤦🏿‍♂️;يۈزىنى تۇتقان ئەر: توق تېرە رەڭ;ئەر|ئىشەنچسىز|توق تېرە رەڭ|يامان|يۈزىنى تۇتش|يۈزىنى تۇتقان ئەر
🤦‍♀️;يۈزىنى تۇتقان ئايال;ئايال|ئىشەنچسىز|يامان|يۈزىنى تۇتش|يۈزىنى تۇتقان ئايال
	🤦🏻‍♀️;يۈزىنى تۇتقان ئايال: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|ئىشەنچسىز|يامان|يۈزىنى تۇتش|يۈزىنى تۇتقان ئايال
	🤦🏼‍♀️;يۈزىنى تۇتقان ئايال: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|ئىشەنچسىز|يامان|يۈزىنى تۇتش|يۈزىنى تۇتقان ئايال
	🤦🏽‍♀️;يۈزىنى تۇتقان ئايال: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|ئىشەنچسىز|يامان|يۈزىنى تۇتش|يۈزىنى تۇتقان ئايال
	🤦🏾‍♀️;يۈزىنى تۇتقان ئايال: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|ئىشەنچسىز|يامان|يۈزىنى تۇتش|يۈزىنى تۇتقان ئايال
	🤦🏿‍♀️;يۈزىنى تۇتقان ئايال: توق تېرە رەڭ;ئايال|ئىشەنچسىز|توق تېرە رەڭ|يامان|يۈزىنى تۇتش|يۈزىنى تۇتقان ئايال
🤷;قىسىلغان كىشى;پەرۋاسىز|سوغۇق|قىسىش|قىسىلغان كىشى|گۇمان
	🤷🏻;قىسىلغان كىشى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|پەرۋاسىز|سوغۇق|قىسىش|قىسىلغان كىشى|گۇمان
	🤷🏼;قىسىلغان كىشى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|پەرۋاسىز|سوغۇق|قىسىش|قىسىلغان كىشى|گۇمان
	🤷🏽;قىسىلغان كىشى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|پەرۋاسىز|سوغۇق|قىسىش|قىسىلغان كىشى|گۇمان
	🤷🏾;قىسىلغان كىشى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|پەرۋاسىز|سوغۇق|قىسىش|قىسىلغان كىشى|گۇمان
	🤷🏿;قىسىلغان كىشى: توق تېرە رەڭ;پەرۋاسىز|توق تېرە رەڭ|سوغۇق|قىسىش|قىسىلغان كىشى|گۇمان
🤷‍♂️;قىسىلغان ئەر;ئەر|پەرۋاسىز|سوغۇق|قىسىش|قىسىلغان ئەر|گۇمان
	🤷🏻‍♂️;قىسىلغان ئەر: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|پەرۋاسىز|سوغۇق|قىسىش|قىسىلغان ئەر|گۇمان
	🤷🏼‍♂️;قىسىلغان ئەر: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر|پەرۋاسىز|سوغۇق|قىسىش|قىسىلغان ئەر|گۇمان
	🤷🏽‍♂️;قىسىلغان ئەر: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|پەرۋاسىز|سوغۇق|قىسىش|قىسىلغان ئەر|گۇمان
	🤷🏾‍♂️;قىسىلغان ئەر: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|پەرۋاسىز|سوغۇق|قىسىش|قىسىلغان ئەر|گۇمان
