# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grínandi andlit;andlit|grín|grínandi andlit
⏫;skjótt upp knappur;skjótt|skjótt upp knappur|upp
🔽;niður knappur;niður|niður knappur
⏬;skjótt niður knappur;niður|skjótt|skjótt niður knappur
⏸️;pausaknappur;hvíld|pausa|pausaknappur
⏹️;steðgiknappur;steðgiknappur|stopp|stoppknappur
⏺️;upptøkuknappur;taka upp|upptøka|upptøkuknappur
⏏️;varpa út knappur;út|varpa út|varpa út knappur
🎦;biograf;biograf|filmur|sjónbandsupptakari
🔅;dimma knappur;dimma|dimma knappur|káma|skýma
🔆;ger ljósari knappur;ger ljósari knappur|klárna|ljósari|lýsa
📶;antennstabbar;antenna|antennstabbar|fartelefon|samband|stabbi
🛜;;
📳;vibratiónstøða;fartelefon|støða|vibratión|vibratiónstøða
📴;sløk fartelefonina;fartelefon|sløk|sløk fartelefonina
♀️;konufólkatekin;kona|konufólk|konufólkatekin|kvinna
♂️;mannfólkatekin;maður|mannfólk|mannfólkatekin
⚧️;tvørkyndtekin;tvørkynd|tvørkyndtekin|tvørkyndur
✖️;falda;×|annullera|falda|ganga|x
➕;pluss;+|matematikk|pluss|plussmerki|rokning|støddfrøði
➖;minus;-|−|matematikk|minus|minusmerki|rokning|støddfrøði
➗;deila;÷|býti|deila|matematikk|rokning|støddfrøði
🟰;;
♾️;óendaligt;endaleyst|í allar ævir|óendalig|óendaligt
‼️;dupult rópitekn;dupult|rópitekn|teknseting
⁉️;rópitekn og spurnartekn;rópitekn|rópitekn og spurnartekn|spurnartekn|teknseting
❓;spurnartekn;spurnartekn|spurningur|teknseting
❔;hvítt spurnartekn;greinarmerki|hvítt spurnartekn|spurnartekn|teknseting
❕;hvítt rópitekn;greinarmerki|hvítt rópitekn|rópitekn|teknseting
❗;rópitekn;greinarmerki|rópitekn|teknseting
〰️;aldandi tankastrika;aldandi|greinarmerki|tankastrika|teknseting
💱;gjaldoyraveksil;børs|gjaldoyra|gjaldoyraveksil|veksil
💲;stórt dollartekn;dollarar|dollari|dollartekn|gjaldoyra|pengar|peningur|stórt dollartekn
⚕️;læknavísind symbol;eskulápusarstavur|læknafrøði|læknavísind symbol|læknavísindanna
♻️;endurnýtslasymbol;endurnýtsla|endurnýtslasymbol
⚜️;liljumynd sum skjaldarmerki;liljumynd|liljumynd sum skjaldarmerki|skjaldarmerki|svørðlilja
🔱;trítindað kvísl;kvísl|Poseidon|trítindað kvísl|trítindakvísl|trítindur
📛;navnaspjaldur;navn|navnaspjaldur|spjaldur
🔰;japanskt symbol fyri byrjandi;byrjandi|byrjari|japanskt|japanskt symbol fyri byrjandi
⭕;innanopin reyður sirkul;innanopin reyður sirkul|o|reyður|reytt|ringur|sirkul
✅;hvítt tjúkt flugubein;flugubein|hvítt tjúkt flugubein
☑️;flugubein í fýrakanti;flugubein|flugubein í fýrakanti|fýrakantur
✔️;tjúkt flugubein;flugubein|tjúkt flugubein
❌;kross symbol;annullera|falda|ganga|kross|kross symbol|strika|x
❎;kross symbol knappur;annullera|falda|ganga|kross|kross symbol knappur|strika|x
➰;bukt;bukt|lykkja|sloyfa|snar
➿;dupult bukt;bukt|dupult|lykkja|sloyfa|snar
〽️;umskiftistekn;broytin|frábregði|umskifti|umskiftistekn
✳️;áttatinda stjørna;áttatinda stjørna|stjørna
✴️;áttaspíska stjørna;áttaspíska stjørna|stjørna
❇️;glampi;glampa|glampi|glitra|glógva|ljóma|skyggja|stjørna
©️;upphavsrættur;c|upphavsrætt|upphavsrættur
®️;skrásett;r|skrásett|skrásettur
™️;virkisrættindi;fyritøkumerki|fyritøkurættindi|virkismerki|virkisrættindi|vøruheiti|vørumerki
#️⃣;Knappahetta: #;Knappahetta|Knappahetta: #
*️⃣;Knappahetta: *;Knappahetta|Knappahetta: *
0️⃣;Knappahetta: 0;Knappahetta|Knappahetta: 0
1️⃣;Knappahetta: 1;Knappahetta|Knappahetta: 1
2️⃣;Knappahetta: 2;Knappahetta|Knappahetta: 2
3️⃣;Knappahetta: 3;Knappahetta|Knappahetta: 3
4️⃣;Knappahetta: 4;Knappahetta|Knappahetta: 4
5️⃣;Knappahetta: 5;Knappahetta|Knappahetta: 5
6️⃣;Knappahetta: 6;Knappahetta|Knappahetta: 6
7️⃣;Knappahetta: 7;Knappahetta|Knappahetta: 7
8️⃣;Knappahetta: 8;Knappahetta|Knappahetta: 8
9️⃣;Knappahetta: 9;Knappahetta|Knappahetta: 9
🔟;Knappahetta: 10;Knappahetta|Knappahetta: 10
🔠;stórir bókstavir;ABCD|stórir bókstavir
🔡;smáir bókstavir;abcd|smáir bókstavir
🔢;tøl;1234|tøl
🔣;symbol;〒♪&amp;%|symbol
🔤;bókstavir;abc|alfabet|bókstavarað|bókstavir|stavrað
🅰️;A knappur (blóðflokkur);a|A knappur (blóðflokkur)|blóðflokkur|blóðtypa|knappur|knøttur
🆎;AB knappur (blóðflokkur);ab|AB knappur (blóðflokkur)|blóðflokkur|blóðtypa|knappur|knøttur
🅱️;B knappur (blóðflokkur);b|B knappur (blóðflokkur)|blóðflokkur|blóðtypa|knappur|knøttur
🆑;CL knappur;cl|knappur|knøttur
🆒;COOL knappur;cool|knappur|knøttur
🆓;FREE knappur;free|knappur|knøttur
ℹ️;kunning;i|kunning|kunningarstova|leiðbeining|upplýsing
🆔;ID knappur;id|identitetur|knappur|knøttur|samleiki
Ⓜ️;M í sirkuli;m|M í sirkuli|sirkul
🆕;NEW knappur;knappur|knøttur|new
🆖;NG knappur;knappur|knøttur|ng
🅾️;O knappur (blóðflokkur);blóðflokkur|blóðtypa|knappur|knøttur|o|O knappur (blóðflokkur)
🆗;OK knappur;knappur|knøttur|ok
🅿️;P knappur;knappur|knøttur|ok|P knappur|parkering|parkeringarbásur|parkeringarpláss|parkeringarskiva
🆘;SOS knappur;hjálp|knappur|knøttur|neyðarkall|neyðarróp|sos
🆙;UP! knappur;knappur|knøttur|up!|upp
🆚;VS knappur;ímóti|knappur|knøttur|vs
🈁;japanskur &quot;her&quot; knappur;&quot;her&quot;|japanskur|japanskur &quot;her&quot; knappur|katakana|ココ
🈂️;japanskur &quot;avgreiðslugjald&quot; knappur;&quot;avgreiðslugjald&quot;|&quot;borðreiðingargjald&quot;|japanskur|japanskur &quot;avgreiðslugjald&quot; knappur|katakana|サ
🈷️;japanskur &quot;mánaðarlig upphædd&quot; knappur;&quot;mánaðarlig upphædd&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;mánaðarlig upphædd&quot; knappur|月
🈶;japanskur &quot;ikki ókeypis&quot; knappur;&quot;ikki ókeypis&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;ikki ókeypis&quot; knappur|有
🈯;japanskur &quot;bílagt&quot; knappur;&quot;bílagt&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;bílagt&quot; knappur|指
🉐;japanskur &quot;kvett&quot; knappur;&quot;gott keyp&quot;|&quot;kvett&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;kvett&quot; knappur|得
🈹;japanskur &quot;avsláttur&quot; knappur;&quot;avsláttur&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;avsláttur&quot; knappur|割
🈚;japanskur &quot;ókeypis&quot; knappur;&quot;ókeypis&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;ókeypis&quot; knappur|無
🈲;japanskur &quot;bannað&quot; knappur;&quot;bannað&quot;|&quot;forboð&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;bannað&quot; knappur|禁
🉑;japanskur &quot;hóskandi&quot; knappur;&quot;hóskandi&quot;|&quot;ok&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;hóskandi&quot; knappur|可
🈸;japanskur &quot;umsókn&quot; knappur;&quot;áheitan&quot;|&quot;umsókn&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;umsókn&quot; knappur|申
🈴;japanskur &quot;nøktandi avrik&quot; knappur;&quot;nøktandi avrik&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;nøktandi avrik&quot; knappur|合
🈳;japanskur &quot;leyst&quot; knappur;&quot;leyst&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;leyst&quot; knappur|空
㊗️;japanskur &quot;lukkuynsking&quot; knappur;&quot;lukkuynsking&quot;|&quot;til lukku&quot;|&quot;tillukku&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;lukkuynsking&quot; knappur|祝
㊙️;japanskur &quot;loyndarmál&quot; knappur;&quot;loyndarmál&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;loyndarmál&quot; knappur|秘
🈺;japanskur &quot;opið&quot; knappur;&quot;opið&quot;|&quot;opin&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;opið&quot; knappur|営
🈵;japanskur &quot;einki leyst&quot; knappur;&quot;einki leyst&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;einki leyst&quot; knappur|満
🔴;reyður sirkul;reyður|reytt|sirkul
🟠;appilsingulur sirkul;appilsingult|appilsingulur|sirkul
🟡;gulur sirkul;gult|gulur|sirkul
🟢;grønur sirkul;grønt|grønur|sirkul
🔵;bláur sirkul;blátt|bláur|sirkul
🟣;lillafarvaður sirkul;korkalitt|korkalittur|korkalitur|lillafarva|lillafarvaður|reyðblátt|reyðbláur|sirkul
🟤;brúnur sirkul;brúnt|brúnur|sirkul
⚫;svartur sirkul;mátingarfrøði|sirkul|svartur
⚪;hvítur sirkul;hvítur|mátingarfrøði|sirkul
🟥;reyður fýrakantur;fýrakantur|reyður|reytt
🟧;appilsingulur fýrakantur;appilsingult|appilsingulur|fýrakantur
🟨;gulur fýrakantur;fýrakantur|gult|gulur
🟩;grønur fýrakantur;fýrakantur|grønt|grønur
🟦;blaúr fýrakantur;blátt|bláur|blaúr fýrakantur|fýrakantur
🟪;lillafarvaður fýrakantur;fýrakantur|korkalitt|korkalittur|korkalitur|lillafarva|lillafarvaður|reyðblátt|reyðbláur
🟫;brúnur fýrakantur;brúnt|brúnur|fýrakantur
⬛;stórur svartur fýrakantur;fýrakantur|mátingarfrøðiligur|stórur svartur fýrakantur
⬜;stórur hvítur fýrakantur;fýrakantur|mátingarfrøðiligur|stórur hvítur fýrakantur
◼️;svartur fýrakantur;fýrakantur|mátingarfrøðiligur|svartur fýrakantur
◻️;hvítur fýrakantur;fýrakantur|hvítur fýrakantur|mátingarfrøðiligur
◾;svartur miðalstórur fýrakantur;fýrakantur|mátingarfrøðiligur|svartur miðalstórur fýrakantur
◽;hvítur miðalstórur fýrakantur;fýrakantur|hvítur miðalstórur fýrakantur|mátingarfrøðiligur
▪️;lítil svartur fýrakantur;fýrakantur|lítil svartur fýrakantur|mátingarfrøðiligur
▫️;lítil hvítur fýrakantur;fýrakantur|lítil hvítur fýrakantur|mátingarfrøðiligur
🔶;stórur appilsingulur diamantur;diamantur|mátingarfrøðiligur|stórur appilsingulur diamantur
🔷;stórur bláur diamantur;diamantur|mátingarfrøðiligur|stórur bláur diamantur
🔸;lítil appilsingulur diamantur;diamantur|lítil appilsingulur diamantur|mátingarfrøðiligur
🔹;lítil bláur diamantur;diamantur|lítil bláur diamantur|mátingarfrøðiligur
🔺;reyður tríkantur sum peikar uppeftir;mátingarfrøðiligur|reyður tríkantur sum peikar uppeftir|tríkantur
🔻;reyður tríkantur sum peikar niðureftir;mátingarfrøðiligur|reyður tríkantur sum peikar niðureftir|tríkantur
💠;krossaður diamantur;diamantur|krossaður diamantur|mátingarfrøðiligur
🔘;radioknappur;radioknappur|radioknøttur
🔳;hvítur fýrakantaður karmur;fýrakantur|hvítur fýrakantaður karmur|karmur|mátingarfrøðiligur|rútur
🔲;svartur fýrakantaður karmur;fýrakantur|karmur|mátingarfrøðiligur|rútur|svartur fýrakantaður karmur

[flags]
🏁;puntut flagg;flagg|puntut|rútut
🚩;tríkanta flagg;flagg|tríkanta
🎌;krossa fløgg;fløgg|japan|krossa fløgg
🏴;svart flagg;flagg|svart flagg
🏳️;hvítt flagg;flagg|hvítt flagg
🏳️‍🌈;ælaboga flagg;ælaboga flagg|ælabogi|flagg
🏳️‍⚧️;tvørkynd flagg;blátt|flagg|ljósareytt og hvítt flagg|tvørkyn|tvørkynd|tvørkyndur
🏴‍☠️;sjórænaraflagg;Jolly Roger|rán|sjórænaraflagg|sjórænari|sjórán|skattur
🇦🇨;Flagg: Ascension;Flagg|Flagg: Ascension
🇦🇩;Flagg: Andorra;Flagg|Flagg: Andorra
🇦🇪;Flagg: Sameindu Emirríkini;Flagg|Flagg: Sameindu Emirríkini
🇦🇫;Flagg: Afganistan;Flagg|Flagg: Afganistan
🇦🇬;Flagg: Antigua &amp; Barbuda;Flagg|Flagg: Antigua &amp; Barbuda
🇦🇮;Flagg: Anguilla;Flagg|Flagg: Anguilla
🇦🇱;Flagg: Albania;Flagg|Flagg: Albania
🇦🇲;Flagg: Armenia;Flagg|Flagg: Armenia
🇦🇴;Flagg: Angola;Flagg|Flagg: Angola
🇦🇶;Flagg: Antarktis;Flagg|Flagg: Antarktis
🇦🇷;Flagg: Argentina;Flagg|Flagg: Argentina
🇦🇸;Flagg: Amerikanska Samoa;Flagg|Flagg: Amerikanska Samoa
🇦🇹;Flagg: Eysturríki;Flagg|Flagg: Eysturríki
🇦🇺;Flagg: Avstralia;Flagg|Flagg: Avstralia
🇦🇼;Flagg: Aruba;Flagg|Flagg: Aruba
🇦🇽;Flagg: Áland;Flagg|Flagg: Áland
🇦🇿;Flagg: Aserbadjan;Flagg|Flagg: Aserbadjan
🇧🇦;Flagg: Bosnia-Hersegovina;Flagg|Flagg: Bosnia-Hersegovina
🇧🇧;Flagg: Barbados;Flagg|Flagg: Barbados
🇧🇩;Flagg: Bangladesj;Flagg|Flagg: Bangladesj
🇧🇪;Flagg: Belgia;Flagg|Flagg: Belgia
🇧🇫;Flagg: Burkina Faso;Flagg|Flagg: Burkina Faso
🇧🇬;Flagg: Bulgaria;Flagg|Flagg: Bulgaria
🇧🇭;Flagg: Barein;Flagg|Flagg: Barein
🇧🇮;Flagg: Burundi;Flagg|Flagg: Burundi
🇧🇯;Flagg: Benin;Flagg|Flagg: Benin
🇧🇱;Flagg: St. Barthélemy;Flagg|Flagg: St. Barthélemy
🇧🇲;Flagg: Bermuda;Flagg|Flagg: Bermuda
🇧🇳;Flagg: Brunei;Flagg|Flagg: Brunei
🇧🇴;Flagg: Bolivia;Flagg|Flagg: Bolivia
🇧🇶;Flagg: Niðurlonds Karibia;Flagg|Flagg: Niðurlonds Karibia
🇧🇷;Flagg: Brasil;Flagg|Flagg: Brasil
🇧🇸;Flagg: Bahamaoyggjar;Flagg|Flagg: Bahamaoyggjar
🇧🇹;Flagg: Butan;Flagg|Flagg: Butan
🇧🇻;Flagg: Bouvetoyggj;Flagg|Flagg: Bouvetoyggj
🇧🇼;Flagg: Botsvana;Flagg|Flagg: Botsvana
🇧🇾;Flagg: Hvítarussland;Flagg|Flagg: Hvítarussland
🇧🇿;Flagg: Belis;Flagg|Flagg: Belis
🇨🇦;Flagg: Kanada;Flagg|Flagg: Kanada
🇨🇨;Flagg: Kokosoyggjar;Flagg|Flagg: Kokosoyggjar
🇨🇩;Flagg: Kongo, Dem. Lýðveldið;Flagg|Flagg: Kongo, Dem. Lýðveldið
🇨🇫;Flagg: Miðafrikalýðveldið;Flagg|Flagg: Miðafrikalýðveldið
🇨🇬;Flagg: Kongo;Flagg|Flagg: Kongo
🇨🇭;Flagg: Sveis;Flagg|Flagg: Sveis
🇨🇮;Flagg: Fílabeinsstrondin;Flagg|Flagg: Fílabeinsstrondin
🇨🇰;Flagg: Cooksoyggjar;Flagg|Flagg: Cooksoyggjar
🇨🇱;Flagg: Kili;Flagg|Flagg: Kili
🇨🇲;Flagg: Kamerun;Flagg|Flagg: Kamerun
🇨🇳;Flagg: Kina;Flagg|Flagg: Kina
🇨🇴;Flagg: Kolombia;Flagg|Flagg: Kolombia
🇨🇵;Flagg: Clipperton;Flagg|Flagg: Clipperton
🇨🇷;Flagg: Kosta Rika;Flagg|Flagg: Kosta Rika
🇨🇺;Flagg: Kuba;Flagg|Flagg: Kuba
🇨🇻;Flagg: Grønhøvdaoyggjar;Flagg|Flagg: Grønhøvdaoyggjar
🇨🇼;Flagg: Curaçao;Flagg|Flagg: Curaçao
🇨🇽;Flagg: Jólaoyggjin;Flagg|Flagg: Jólaoyggjin
🇨🇾;Flagg: Kýpros;Flagg|Flagg: Kýpros
🇨🇿;Flagg: Kekkia;Flagg|Flagg: Kekkia
🇩🇪;Flagg: Týskland;Flagg|Flagg: Týskland
🇩🇬;Flagg: Diego Garcia;Flagg|Flagg: Diego Garcia
🇩🇯;Flagg: Djibuti;Flagg|Flagg: Djibuti
🇩🇰;Flagg: Danmark;Flagg|Flagg: Danmark
🇩🇲;Flagg: Dominika;Flagg|Flagg: Dominika
🇩🇴;Flagg: Dominikalýðveldið;Flagg|Flagg: Dominikalýðveldið
🇩🇿;Flagg: Algeria;Flagg|Flagg: Algeria
🇪🇦;Flagg: Ceuta &amp; Melilla;Flagg|Flagg: Ceuta &amp; Melilla
🇪🇨;Flagg: Ekvador;Flagg|Flagg: Ekvador
🇪🇪;Flagg: Estland;Flagg|Flagg: Estland
🇪🇬;Flagg: Egyptaland;Flagg|Flagg: Egyptaland
🇪🇭;Flagg: Vestursahara;Flagg|Flagg: Vestursahara
🇪🇷;Flagg: Eritrea;Flagg|Flagg: Eritrea
🇪🇸;Flagg: Spania;Flagg|Flagg: Spania
🇪🇹;Flagg: Etiopia;Flagg|Flagg: Etiopia
🇪🇺;Flagg: Evropasamveldið;Flagg|Flagg: Evropasamveldið
🇫🇮;Flagg: Finnland;Flagg|Flagg: Finnland
🇫🇯;Flagg: Fiji;Flagg|Flagg: Fiji
🇫🇰;Flagg: Falklandsoyggjar;Flagg|Flagg: Falklandsoyggjar
🇫🇲;Flagg: Mikronesiasamveldið;Flagg|Flagg: Mikronesiasamveldið
🇫🇴;Flagg: Føroyar;Flagg|Flagg: Føroyar
🇫🇷;Flagg: Frakland;Flagg|Flagg: Frakland
🇬🇦;Flagg: Gabon;Flagg|Flagg: Gabon
🇬🇧;Flagg: Stórabretland;Flagg|Flagg: Stórabretland
🇬🇩;Flagg: Grenada;Flagg|Flagg: Grenada
🇬🇪;Flagg: Georgia;Flagg|Flagg: Georgia
🇬🇫;Flagg: Franska Gujana;Flagg|Flagg: Franska Gujana
🇬🇬;Flagg: Guernsey;Flagg|Flagg: Guernsey
🇬🇭;Flagg: Gana;Flagg|Flagg: Gana
🇬🇮;Flagg: Gibraltar;Flagg|Flagg: Gibraltar
🇬🇱;Flagg: Grønland;Flagg|Flagg: Grønland
🇬🇲;Flagg: Gambia;Flagg|Flagg: Gambia
🇬🇳;Flagg: Guinea;Flagg|Flagg: Guinea
🇬🇵;Flagg: Guadeloupe;Flagg|Flagg: Guadeloupe
🇬🇶;Flagg: Ekvatorguinea;Flagg|Flagg: Ekvatorguinea
🇬🇷;Flagg: Grikkaland;Flagg|Flagg: Grikkaland
🇬🇸;Flagg: Suðurgeorgia og Suðursandwichoyggjar;Flagg|Flagg: Suðurgeorgia og Suðursandwichoyggjar
🇬🇹;Flagg: Guatemala;Flagg|Flagg: Guatemala
🇬🇺;Flagg: Guam;Flagg|Flagg: Guam
🇬🇼;Flagg: Guinea-Bissau;Flagg|Flagg: Guinea-Bissau
🇬🇾;Flagg: Gujana;Flagg|Flagg: Gujana
🇭🇰;Flagg: Hong Kong SAR Kina;Flagg|Flagg: Hong Kong SAR Kina
🇭🇲;Flagg: Heard og McDonaldoyggjar;Flagg|Flagg: Heard og McDonaldoyggjar
🇭🇳;Flagg: Honduras;Flagg|Flagg: Honduras
🇭🇷;Flagg: Kroatia;Flagg|Flagg: Kroatia
🇭🇹;Flagg: Haiti;Flagg|Flagg: Haiti
🇭🇺;Flagg: Ungarn;Flagg|Flagg: Ungarn
🇮🇨;Flagg: Kanariuoyggjar;Flagg|Flagg: Kanariuoyggjar
🇮🇩;Flagg: Indonesia;Flagg|Flagg: Indonesia
🇮🇪;Flagg: Írland;Flagg|Flagg: Írland
🇮🇱;Flagg: Ísrael;Flagg|Flagg: Ísrael
🇮🇲;Flagg: Isle of Man;Flagg|Flagg: Isle of Man
🇮🇳;Flagg: India;Flagg|Flagg: India
🇮🇴;Flagg: Stóra Bretlands Indiahavoyggjar;Flagg|Flagg: Stóra Bretlands Indiahavoyggjar
🇮🇶;Flagg: Irak;Flagg|Flagg: Irak
🇮🇷;Flagg: Iran;Flagg|Flagg: Iran
🇮🇸;Flagg: Ísland;Flagg|Flagg: Ísland
🇮🇹;Flagg: Italia;Flagg|Flagg: Italia
🇯🇪;Flagg: Jersey;Flagg|Flagg: Jersey
🇯🇲;Flagg: Jamaika;Flagg|Flagg: Jamaika
🇯🇴;Flagg: Jordan;Flagg|Flagg: Jordan
🇯🇵;Flagg: Japan;Flagg|Flagg: Japan
🇰🇪;Flagg: Kenja;Flagg|Flagg: Kenja
🇰🇬;Flagg: Kirgisia;Flagg|Flagg: Kirgisia
🇰🇭;Flagg: Kambodja;Flagg|Flagg: Kambodja
🇰🇮;Flagg: Kiribati;Flagg|Flagg: Kiribati
🇰🇲;Flagg: Komoroyggjar;Flagg|Flagg: Komoroyggjar
🇰🇳;Flagg: St. Kitts &amp; Nevis;Flagg|Flagg: St. Kitts &amp; Nevis
🇰🇵;Flagg: Norðurkorea;Flagg|Flagg: Norðurkorea
🇰🇷;Flagg: Suðurkorea;Flagg|Flagg: Suðurkorea
🇰🇼;Flagg: Kuvait;Flagg|Flagg: Kuvait
🇰🇾;Flagg: Caymanoyggjar;Flagg|Flagg: Caymanoyggjar
🇰🇿;Flagg: Kasakstan;Flagg|Flagg: Kasakstan
🇱🇦;Flagg: Laos;Flagg|Flagg: Laos
🇱🇧;Flagg: Libanon;Flagg|Flagg: Libanon
🇱🇨;Flagg: St. Lusia;Flagg|Flagg: St. Lusia
🇱🇮;Flagg: Liktinstein;Flagg|Flagg: Liktinstein
🇱🇰;Flagg: Sri Lanka;Flagg|Flagg: Sri Lanka
🇱🇷;Flagg: Liberia;Flagg|Flagg: Liberia
🇱🇸;Flagg: Lesoto;Flagg|Flagg: Lesoto
🇱🇹;Flagg: Litava;Flagg|Flagg: Litava
🇱🇺;Flagg: Luksemborg;Flagg|Flagg: Luksemborg
🇱🇻;Flagg: Lettland;Flagg|Flagg: Lettland
🇱🇾;Flagg: Libya;Flagg|Flagg: Libya
🇲🇦;Flagg: Marokko;Flagg|Flagg: Marokko
🇲🇨;Flagg: Monako;Flagg|Flagg: Monako
🇲🇩;Flagg: Moldova;Flagg|Flagg: Moldova
🇲🇪;Flagg: Montenegro;Flagg|Flagg: Montenegro
🇲🇫;Flagg: St-Martin;Flagg|Flagg: St-Martin
🇲🇬;Flagg: Madagaskar;Flagg|Flagg: Madagaskar
🇲🇭;Flagg: Marshalloyggjar;Flagg|Flagg: Marshalloyggjar
🇲🇰;Flagg: Norður Makedónia;Flagg|Flagg: Norður Makedónia
🇲🇱;Flagg: Mali;Flagg|Flagg: Mali
🇲🇲;Flagg: Myanmar (Burma);Flagg|Flagg: Myanmar (Burma)
🇲🇳;Flagg: Mongolia;Flagg|Flagg: Mongolia
🇲🇴;Flagg: Makao SAR Kina;Flagg|Flagg: Makao SAR Kina
🇲🇵;Flagg: Norðaru Mariuoyggjar;Flagg|Flagg: Norðaru Mariuoyggjar
🇲🇶;Flagg: Martinique;Flagg|Flagg: Martinique
🇲🇷;Flagg: Móritania;Flagg|Flagg: Móritania
🇲🇸;Flagg: Montserrat;Flagg|Flagg: Montserrat
🇲🇹;Flagg: Malta;Flagg|Flagg: Malta
🇲🇺;Flagg: Móritius;Flagg|Flagg: Móritius
🇲🇻;Flagg: Maldivoyggjar;Flagg|Flagg: Maldivoyggjar
🇲🇼;Flagg: Malavi;Flagg|Flagg: Malavi
🇲🇽;Flagg: Meksiko;Flagg|Flagg: Meksiko
🇲🇾;Flagg: Malaisia;Flagg|Flagg: Malaisia
🇲🇿;Flagg: Mosambik;Flagg|Flagg: Mosambik
🇳🇦;Flagg: Namibia;Flagg|Flagg: Namibia
🇳🇨;Flagg: Nýkaledónia;Flagg|Flagg: Nýkaledónia
🇳🇪;Flagg: Niger;Flagg|Flagg: Niger
🇳🇫;Flagg: Norfolksoyggj;Flagg|Flagg: Norfolksoyggj
🇳🇬;Flagg: Nigeria;Flagg|Flagg: Nigeria
🇳🇮;Flagg: Nikaragua;Flagg|Flagg: Nikaragua
🇳🇱;Flagg: Niðurlond;Flagg|Flagg: Niðurlond
🇳🇴;Flagg: Noreg;Flagg|Flagg: Noreg
🇳🇵;Flagg: Nepal;Flagg|Flagg: Nepal
🇳🇷;Flagg: Nauru;Flagg|Flagg: Nauru
🇳🇺;Flagg: Niue;Flagg|Flagg: Niue
🇳🇿;Flagg: Nýsæland;Flagg|Flagg: Nýsæland
🇴🇲;Flagg: Oman;Flagg|Flagg: Oman
🇵🇦;Flagg: Panama;Flagg|Flagg: Panama
🇵🇪;Flagg: Peru;Flagg|Flagg: Peru
🇵🇫;Flagg: Franska Polynesia;Flagg|Flagg: Franska Polynesia
🇵🇬;Flagg: Papua Nýguinea;Flagg|Flagg: Papua Nýguinea
🇵🇭;Flagg: Filipsoyggjar;Flagg|Flagg: Filipsoyggjar
🇵🇰;Flagg: Pakistan;Flagg|Flagg: Pakistan
🇵🇱;Flagg: Pólland;Flagg|Flagg: Pólland
🇵🇲;Flagg: Saint Pierre &amp; Miquelon;Flagg|Flagg: Saint Pierre &amp; Miquelon
