[smileys_emotion]
😀;ಹಾಸ್ಯದ ಮುಖ;ಮುಖ|ಹಾಸ್ಯ|ಹಾಸ್ಯದ ಮುಖ
	👨🏿‍🦱;ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು;ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಗುಂಗುರು ಕೂದಲು|ಪುರುಷ|ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು|ವ್ಯಕ್ತಿ
👨‍🦳;ಪುರುಷ: ಬಿಳಿ ಕೂದಲು;ಪುರುಷ|ಪುರುಷ: ಬಿಳಿ ಕೂದಲು|ಬಿಳಿ ಕೂದಲು|ವ್ಯಕ್ತಿ
	👨🏻‍🦳;ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು;ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ|ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು|ಬಿಳಿ ಕೂದಲು|ವ್ಯಕ್ತಿ
	👨🏼‍🦳;ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು;ಪುರುಷ|ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು|ಬಿಳಿ ಕೂದಲು|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
	👨🏽‍🦳;ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು;ಪುರುಷ|ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು|ಬಿಳಿ ಕೂದಲು|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
	👨🏾‍🦳;ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು;ಪುರುಷ|ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು|ಬಿಳಿ ಕೂದಲು|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
	👨🏿‍🦳;ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು;ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ|ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು|ಬಿಳಿ ಕೂದಲು|ವ್ಯಕ್ತಿ
👨‍🦲;ಪುರುಷ: ಬಕ್ಕ ತಲೆ;ಪುರುಷ|ಪುರುಷ: ಬಕ್ಕ ತಲೆ|ಬಕ್ಕ ತಲೆ|ವ್ಯಕ್ತಿ
	👨🏻‍🦲;ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬಕ್ಕ ತಲೆ;ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ|ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬಕ್ಕ ತಲೆ|ಬಕ್ಕ ತಲೆ|ವ್ಯಕ್ತಿ
	👨🏼‍🦲;ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬಕ್ಕ ತಲೆ;ಪುರುಷ|ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬಕ್ಕ ತಲೆ|ಬಕ್ಕ ತಲೆ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
	👨🏽‍🦲;ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಬಕ್ಕ ತಲೆ;ಪುರುಷ|ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಬಕ್ಕ ತಲೆ|ಬಕ್ಕ ತಲೆ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
	👨🏾‍🦲;ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಬಕ್ಕ ತಲೆ;ಪುರುಷ|ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಬಕ್ಕ ತಲೆ|ಬಕ್ಕ ತಲೆ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
	👨🏿‍🦲;ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಬಕ್ಕ ತಲೆ;ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ|ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಬಕ್ಕ ತಲೆ|ಬಕ್ಕ ತಲೆ|ವ್ಯಕ್ತಿ
👩;ಮಹಿಳೆ;ಮಹಿಳೆ|ಸ್ತ್ರೀ
	👩🏻;ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಸ್ತ್ರೀ
	👩🏼;ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಸ್ತ್ರೀ
	👩🏽;ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಸ್ತ್ರೀ
	👩🏾;ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಸ್ತ್ರೀ
	👩🏿;ಮಹಿಳೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಮಹಿಳೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಸ್ತ್ರೀ
👩‍🦰;ಮಹಿಳೆ: ಕೆಂಪು ಕೂದಲು;ಕೆಂಪು ಕೂದಲು|ಮಹಿಳೆ|ಮಹಿಳೆ: ಕೆಂಪು ಕೂದಲು|ಸ್ತ್ರೀ
	👩🏻‍🦰;ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು;ಕೆಂಪು ಕೂದಲು|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು|ಸ್ತ್ರೀ
	👩🏼‍🦰;ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು;ಕೆಂಪು ಕೂದಲು|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು|ಸ್ತ್ರೀ
	👩🏽‍🦰;ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು;ಕೆಂಪು ಕೂದಲು|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು|ಸ್ತ್ರೀ
	👩🏾‍🦰;ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು;ಕೆಂಪು ಕೂದಲು|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು|ಸ್ತ್ರೀ
	👩🏿‍🦰;ಮಹಿಳೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು;ಕೆಂಪು ಕೂದಲು|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಮಹಿಳೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು|ಸ್ತ್ರೀ
🧑‍🦰;ವ್ಯಕ್ತಿ: ಕೆಂಪು ಕೂದಲು;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಕೆಂಪು ಕೂದಲು|ಲಿಂಗ-ತಟಸ್ಥ|ವಯಸ್ಕ|ವಯಸ್ಕರು|ವ್ಯಕ್ತಿ|ವ್ಯಕ್ತಿ: ಕೆಂಪು ಕೂದಲು
	🧑🏻‍🦰;ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಕೆಂಪು ಕೂದಲು|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಲಿಂಗ-ತಟಸ್ಥ|ವಯಸ್ಕ|ವಯಸ್ಕರು|ವ್ಯಕ್ತಿ|ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು
	🧑🏼‍🦰;ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಕೆಂಪು ಕೂದಲು|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಲಿಂಗ-ತಟಸ್ಥ|ವಯಸ್ಕ|ವಯಸ್ಕರು|ವ್ಯಕ್ತಿ|ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು
	🧑🏽‍🦰;ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಕೆಂಪು ಕೂದಲು|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಲಿಂಗ-ತಟಸ್ಥ|ವಯಸ್ಕ|ವಯಸ್ಕರು|ವ್ಯಕ್ತಿ|ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು
	🧑🏾‍🦰;ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಕೆಂಪು ಕೂದಲು|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಲಿಂಗ-ತಟಸ್ಥ|ವಯಸ್ಕ|ವಯಸ್ಕರು|ವ್ಯಕ್ತಿ|ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು
	🧑🏿‍🦰;ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಕೆಂಪು ಕೂದಲು|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಲಿಂಗ-ತಟಸ್ಥ|ವಯಸ್ಕ|ವಯಸ್ಕರು|ವ್ಯಕ್ತಿ|ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು
👩‍🦱;ಮಹಿಳೆ: ಗುಂಗುರು ಕೂದಲು;ಗುಂಗುರು ಕೂದಲು|ಮಹಿಳೆ|ಮಹಿಳೆ: ಗುಂಗುರು ಕೂದಲು|ಸ್ತ್ರೀ
	👩🏻‍🦱;ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು;ಗುಂಗುರು ಕೂದಲು|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು|ಸ್ತ್ರೀ
	👩🏼‍🦱;ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು;ಗುಂಗುರು ಕೂದಲು|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು|ಸ್ತ್ರೀ
	👩🏽‍🦱;ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು;ಗುಂಗುರು ಕೂದಲು|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು|ಸ್ತ್ರೀ
	👩🏾‍🦱;ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು;ಗುಂಗುರು ಕೂದಲು|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು|ಸ್ತ್ರೀ
	👩🏿‍🦱;ಮಹಿಳೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು;ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಗುಂಗುರು ಕೂದಲು|ಮಹಿಳೆ|ಮಹಿಳೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು|ಸ್ತ್ರೀ
🧑‍🦱;ವ್ಯಕ್ತಿ: ಗುಂಗುರು ಕೂದಲು;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಗುಂಗುರು ಕೂದಲು|ಲಿಂಗ-ತಟಸ್ಥ|ವಯಸ್ಕ|ವಯಸ್ಕರು|ವ್ಯಕ್ತಿ|ವ್ಯಕ್ತಿ: ಗುಂಗುರು ಕೂದಲು
	🧑🏻‍🦱;ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಗುಂಗುರು ಕೂದಲು|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಲಿಂಗ-ತಟಸ್ಥ|ವಯಸ್ಕ|ವಯಸ್ಕರು|ವ್ಯಕ್ತಿ|ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು
	🧑🏼‍🦱;ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಗುಂಗುರು ಕೂದಲು|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಲಿಂಗ-ತಟಸ್ಥ|ವಯಸ್ಕ|ವಯಸ್ಕರು|ವ್ಯಕ್ತಿ|ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು
	🧑🏽‍🦱;ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಗುಂಗುರು ಕೂದಲು|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಲಿಂಗ-ತಟಸ್ಥ|ವಯಸ್ಕ|ವಯಸ್ಕರು|ವ್ಯಕ್ತಿ|ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು
	🧑🏾‍🦱;ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಗುಂಗುರು ಕೂದಲು|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಲಿಂಗ-ತಟಸ್ಥ|ವಯಸ್ಕ|ವಯಸ್ಕರು|ವ್ಯಕ್ತಿ|ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು
	🧑🏿‍🦱;ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಗುಂಗುರು ಕೂದಲು|ಲಿಂಗ-ತಟಸ್ಥ|ವಯಸ್ಕ|ವಯಸ್ಕರು|ವ್ಯಕ್ತಿ|ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು
👩‍🦳;ಮಹಿಳೆ: ಬಿಳಿ ಕೂದಲು;ಬಿಳಿ ಕೂದಲು|ಮಹಿಳೆ|ಮಹಿಳೆ: ಬಿಳಿ ಕೂದಲು|ಸ್ತ್ರೀ
	👩🏻‍🦳;ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು;ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಬಿಳಿ ಕೂದಲು|ಮಹಿಳೆ|ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು|ಸ್ತ್ರೀ
	👩🏼‍🦳;ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು;ಬಿಳಿ ಕೂದಲು|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು|ಸ್ತ್ರೀ
	👩🏽‍🦳;ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು;ಬಿಳಿ ಕೂದಲು|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು|ಸ್ತ್ರೀ
	👩🏾‍🦳;ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು;ಬಿಳಿ ಕೂದಲು|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು|ಸ್ತ್ರೀ
	👩🏿‍🦳;ಮಹಿಳೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು;ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಬಿಳಿ ಕೂದಲು|ಮಹಿಳೆ|ಮಹಿಳೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು|ಸ್ತ್ರೀ
🧑‍🦳;ವ್ಯಕ್ತಿ: ಬಿಳಿ ಕೂದಲು;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಬಿಳಿ ಕೂದಲು|ಲಿಂಗ-ತಟಸ್ಥ|ವಯಸ್ಕ|ವಯಸ್ಕರು|ವ್ಯಕ್ತಿ|ವ್ಯಕ್ತಿ: ಬಿಳಿ ಕೂದಲು
	🧑🏻‍🦳;ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಬಿಳಿ ಕೂದಲು|ಲಿಂಗ-ತಟಸ್ಥ|ವಯಸ್ಕ|ವಯಸ್ಕರು|ವ್ಯಕ್ತಿ|ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು
	🧑🏼‍🦳;ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಬಿಳಿ ಕೂದಲು|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಲಿಂಗ-ತಟಸ್ಥ|ವಯಸ್ಕ|ವಯಸ್ಕರು|ವ್ಯಕ್ತಿ|ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು
	🧑🏽‍🦳;ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಬಿಳಿ ಕೂದಲು|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಲಿಂಗ-ತಟಸ್ಥ|ವಯಸ್ಕ|ವಯಸ್ಕರು|ವ್ಯಕ್ತಿ|ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು
	🧑🏾‍🦳;ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಬಿಳಿ ಕೂದಲು|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಲಿಂಗ-ತಟಸ್ಥ|ವಯಸ್ಕ|ವಯಸ್ಕರು|ವ್ಯಕ್ತಿ|ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು
	🧑🏿‍🦳;ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಬಿಳಿ ಕೂದಲು|ಲಿಂಗ-ತಟಸ್ಥ|ವಯಸ್ಕ|ವಯಸ್ಕರು|ವ್ಯಕ್ತಿ|ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಳಿ ಕೂದಲು
👩‍🦲;ಮಹಿಳೆ: ಬಕ್ಕ ತಲೆ;ಬಕ್ಕ ತಲೆ|ಮಹಿಳೆ|ಮಹಿಳೆ: ಬಕ್ಕ ತಲೆ|ಸ್ತ್ರೀ
	👩🏻‍🦲;ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬಕ್ಕ ತಲೆ;ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಬಕ್ಕ ತಲೆ|ಮಹಿಳೆ|ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬಕ್ಕ ತಲೆ|ಸ್ತ್ರೀ
	👩🏼‍🦲;ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬಕ್ಕ ತಲೆ;ಬಕ್ಕ ತಲೆ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬಕ್ಕ ತಲೆ|ಸ್ತ್ರೀ
