# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;dareenka wajiga;dareenka wajiga|gariir|wajiga
	🏃🏽‍♂️;nin ordaya: jidh nooc dhexe;jidh nooc dhexe|maratoon|nin|nin ordaya|nin ordaya: jidh nooc dhexe|orodka|tartan orod
	🏃🏾‍♂️;nin ordaya: jidh nooc madaw oo dhexe;jidh nooc madaw oo dhexe|maratoon|nin|nin ordaya|nin ordaya: jidh nooc madaw oo dhexe|orodka|tartan orod
	🏃🏿‍♂️;nin ordaya: jidh madaw;jidh madaw|maratoon|nin|nin ordaya|nin ordaya: jidh madaw|orodka|tartan orod
🏃‍♀️;naag ordaysa;maratoon|naag|naag ordaysa|orod|tartan orod
	🏃🏻‍♀️;naag ordaysa: jidh fudud;jidh fudud|maratoon|naag|naag ordaysa|naag ordaysa: jidh fudud|orod|tartan orod
	🏃🏼‍♀️;naag ordaysa: jidh fudud oo dhexe;jidh fudud oo dhexe|maratoon|naag|naag ordaysa|naag ordaysa: jidh fudud oo dhexe|orod|tartan orod
	🏃🏽‍♀️;naag ordaysa: jidh nooc dhexe;jidh nooc dhexe|maratoon|naag|naag ordaysa|naag ordaysa: jidh nooc dhexe|orod|tartan orod
	🏃🏾‍♀️;naag ordaysa: jidh nooc madaw oo dhexe;jidh nooc madaw oo dhexe|maratoon|naag|naag ordaysa|naag ordaysa: jidh nooc madaw oo dhexe|orod|tartan orod
	🏃🏿‍♀️;naag ordaysa: jidh madaw;jidh madaw|maratoon|naag|naag ordaysa|naag ordaysa: jidh madaw|orod|tartan orod
🏃‍➡️;qof ordaya midig u jeeda;maratoon|orodka|qof ordaya|qof ordaya midig u jeeda
	🏃🏻‍➡️;qof ordaya midig u jeeda;maratoon|orodka|qof ordaya|qof ordaya midig u jeeda
	🏃🏼‍➡️;qof ordaya midig u jeeda;maratoon|orodka|qof ordaya|qof ordaya midig u jeeda
	🏃🏽‍➡️;qof ordaya midig u jeeda;maratoon|orodka|qof ordaya|qof ordaya midig u jeeda
	🏃🏾‍➡️;qof ordaya midig u jeeda;maratoon|orodka|qof ordaya|qof ordaya midig u jeeda
	🏃🏿‍➡️;qof ordaya midig u jeeda;maratoon|orodka|qof ordaya|qof ordaya midig u jeeda
🏃‍♀️‍➡️;naag ordaysa midig u jeeda;maratoon|naag|naag ordaysa|naag ordaysa midig u jeeda|orod|tartan orod
	🏃🏻‍♀️‍➡️;naag ordaysa midig u jeeda;maratoon|naag|naag ordaysa|naag ordaysa midig u jeeda|orod|tartan orod
	🏃🏼‍♀️‍➡️;naag ordaysa midig u jeeda;maratoon|naag|naag ordaysa|naag ordaysa midig u jeeda|orod|tartan orod
	🏃🏽‍♀️‍➡️;naag ordaysa midig u jeeda;maratoon|naag|naag ordaysa|naag ordaysa midig u jeeda|orod|tartan orod
	🏃🏾‍♀️‍➡️;naag ordaysa midig u jeeda;maratoon|naag|naag ordaysa|naag ordaysa midig u jeeda|orod|tartan orod
	🏃🏿‍♀️‍➡️;naag ordaysa midig u jeeda;maratoon|naag|naag ordaysa|naag ordaysa midig u jeeda|orod|tartan orod
🏃‍♂️‍➡️;nin ordaya midig u jeeda;maratoon|nin|nin ordaya|nin ordaya midig u jeeda|orodka|tartan orod
	🏃🏻‍♂️‍➡️;nin ordaya midig u jeeda;maratoon|nin|nin ordaya|nin ordaya midig u jeeda|orodka|tartan orod
	🏃🏼‍♂️‍➡️;nin ordaya midig u jeeda;maratoon|nin|nin ordaya|nin ordaya midig u jeeda|orodka|tartan orod
	🏃🏽‍♂️‍➡️;nin ordaya midig u jeeda;maratoon|nin|nin ordaya|nin ordaya midig u jeeda|orodka|tartan orod
	🏃🏾‍♂️‍➡️;nin ordaya midig u jeeda;maratoon|nin|nin ordaya|nin ordaya midig u jeeda|orodka|tartan orod
	🏃🏿‍♂️‍➡️;nin ordaya midig u jeeda;maratoon|nin|nin ordaya|nin ordaya midig u jeeda|orodka|tartan orod
💃;naag qoob-ka-cayaaraysa;naag|naag qoob-ka-cayaaraysa|qoob-ka-cayaaridda
	💃🏻;naag qoob-ka-cayaaraysa: jidh fudud;jidh fudud|naag|naag qoob-ka-cayaaraysa|naag qoob-ka-cayaaraysa: jidh fudud|qoob-ka-cayaaridda
	💃🏼;naag qoob-ka-cayaaraysa: jidh fudud oo dhexe;jidh fudud oo dhexe|naag|naag qoob-ka-cayaaraysa|naag qoob-ka-cayaaraysa: jidh fudud oo dhexe|qoob-ka-cayaaridda
	💃🏽;naag qoob-ka-cayaaraysa: jidh nooc dhexe;jidh nooc dhexe|naag|naag qoob-ka-cayaaraysa|naag qoob-ka-cayaaraysa: jidh nooc dhexe|qoob-ka-cayaaridda
	💃🏾;naag qoob-ka-cayaaraysa: jidh nooc madaw oo dhexe;jidh nooc madaw oo dhexe|naag|naag qoob-ka-cayaaraysa|naag qoob-ka-cayaaraysa: jidh nooc madaw oo dhexe|qoob-ka-cayaaridda
	💃🏿;naag qoob-ka-cayaaraysa: jidh madaw;jidh madaw|naag|naag qoob-ka-cayaaraysa|naag qoob-ka-cayaaraysa: jidh madaw|qoob-ka-cayaaridda
🕺;nin qoob-ka-cayaaraya;nin qoob-ka-cayaaraya|qoob-ka-cayaaridda
	🕺🏻;nin qoob-ka-cayaaraya: jidh fudud;jidh fudud|nin qoob-ka-cayaaraya|nin qoob-ka-cayaaraya: jidh fudud|qoob-ka-cayaaridda
	🕺🏼;nin qoob-ka-cayaaraya: jidh fudud oo dhexe;jidh fudud oo dhexe|nin qoob-ka-cayaaraya|nin qoob-ka-cayaaraya: jidh fudud oo dhexe|qoob-ka-cayaaridda
	🕺🏽;nin qoob-ka-cayaaraya: jidh nooc dhexe;jidh nooc dhexe|nin qoob-ka-cayaaraya|nin qoob-ka-cayaaraya: jidh nooc dhexe|qoob-ka-cayaaridda
	🕺🏾;nin qoob-ka-cayaaraya: jidh nooc madaw oo dhexe;jidh nooc madaw oo dhexe|nin qoob-ka-cayaaraya|nin qoob-ka-cayaaraya: jidh nooc madaw oo dhexe|qoob-ka-cayaaridda
	🕺🏿;nin qoob-ka-cayaaraya: jidh madaw;jidh madaw|nin qoob-ka-cayaaraya|nin qoob-ka-cayaaraya: jidh madaw|qoob-ka-cayaaridda
🕴️;nin suud xiran oo milicsanaya;ganacsi|nin suud xiran oo milicsanaya|suud
	🕴🏻;nin suud xiran oo milicsanaya: jidh fudud;ganacsi|jidh fudud|nin suud xiran oo milicsanaya|nin suud xiran oo milicsanaya: jidh fudud|suud
	🕴🏼;nin suud xiran oo milicsanaya: jidh fudud oo dhexe;ganacsi|jidh fudud oo dhexe|nin suud xiran oo milicsanaya|nin suud xiran oo milicsanaya: jidh fudud oo dhexe|suud
	🕴🏽;nin suud xiran oo milicsanaya: jidh nooc dhexe;ganacsi|jidh nooc dhexe|nin suud xiran oo milicsanaya|nin suud xiran oo milicsanaya: jidh nooc dhexe|suud
	🕴🏾;nin suud xiran oo milicsanaya: jidh nooc madaw oo dhexe;ganacsi|jidh nooc madaw oo dhexe|nin suud xiran oo milicsanaya|nin suud xiran oo milicsanaya: jidh nooc madaw oo dhexe|suud
	🕴🏿;nin suud xiran oo milicsanaya: jidh madaw;ganacsi|jidh madaw|nin suud xiran oo milicsanaya|nin suud xiran oo milicsanaya: jidh madaw|suud
👯;dad leh dhaggo bakayle;dad leh dhaggo bakayle|dhag bakayle|qoob-ka- cayaare|xafladaynta
👯‍♂️;rag leh dhaggo bakayle;dhag bakayle|qoob-ka-cayaare|rag|rag leh dhaggo bakayle|xafladaynta
👯‍♀️;naag leh dhaggo bakayle;dhag bakayle|naag leh dhaggo bakayle|qoob-ka-cayaare|xafladeeye
🧖;qof ku jira qol uummi ah;qof ku jira qol uummi ah|qol hawo kulayl leh|qolka uummigga
	🧖🏻;qof ku jira qol uummi ah: jidh fudud;jidh fudud|qof ku jira qol uummi ah|qof ku jira qol uummi ah: jidh fudud|qol hawo kulayl leh|qolka uummigga
	🧖🏼;qof ku jira qol uummi ah: jidh fudud oo dhexe;jidh fudud oo dhexe|qof ku jira qol uummi ah|qof ku jira qol uummi ah: jidh fudud oo dhexe|qol hawo kulayl leh|qolka uummigga
	🧖🏽;qof ku jira qol uummi ah: jidh nooc dhexe;jidh nooc dhexe|qof ku jira qol uummi ah|qof ku jira qol uummi ah: jidh nooc dhexe|qol hawo kulayl leh|qolka uummigga
	🧖🏾;qof ku jira qol uummi ah: jidh nooc madaw oo dhexe;jidh nooc madaw oo dhexe|qof ku jira qol uummi ah|qof ku jira qol uummi ah: jidh nooc madaw oo dhexe|qol hawo kulayl leh|qolka uummigga
	🧖🏿;qof ku jira qol uummi ah: jidh madaw;jidh madaw|qof ku jira qol uummi ah|qof ku jira qol uummi ah: jidh madaw|qol hawo kulayl leh|qolka uummigga
🧖‍♂️;nin ku jira qol uummi ah;nin ku jira qol uummi ah|qol hawo kulul leh|qolka uummigga
	🧖🏻‍♂️;nin ku jira qol uummi ah: jidh fudud;jidh fudud|nin ku jira qol uummi ah|nin ku jira qol uummi ah: jidh fudud|qol hawo kulul leh|qolka uummigga
	🧖🏼‍♂️;nin ku jira qol uummi ah: jidh fudud oo dhexe;jidh fudud oo dhexe|nin ku jira qol uummi ah|nin ku jira qol uummi ah: jidh fudud oo dhexe|qol hawo kulul leh|qolka uummigga
	🧖🏽‍♂️;nin ku jira qol uummi ah: jidh nooc dhexe;jidh nooc dhexe|nin ku jira qol uummi ah|nin ku jira qol uummi ah: jidh nooc dhexe|qol hawo kulul leh|qolka uummigga
	🧖🏾‍♂️;nin ku jira qol uummi ah: jidh nooc madaw oo dhexe;jidh nooc madaw oo dhexe|nin ku jira qol uummi ah|nin ku jira qol uummi ah: jidh nooc madaw oo dhexe|qol hawo kulul leh|qolka uummigga
	🧖🏿‍♂️;nin ku jira qol uummi ah: jidh madaw;jidh madaw|nin ku jira qol uummi ah|nin ku jira qol uummi ah: jidh madaw|qol hawo kulul leh|qolka uummigga
🧖‍♀️;naag ku jirta qol uummi ah;naag ku jirta qol uummi ah|qolka hawada kulul|qolka uummigga
	🧖🏻‍♀️;naag ku jirta qol uummi ah: jidh fudud;jidh fudud|naag ku jirta qol uummi ah|naag ku jirta qol uummi ah: jidh fudud|qolka hawada kulul|qolka uummigga
	🧖🏼‍♀️;naag ku jirta qol uummi ah: jidh fudud oo dhexe;jidh fudud oo dhexe|naag ku jirta qol uummi ah|naag ku jirta qol uummi ah: jidh fudud oo dhexe|qolka hawada kulul|qolka uummigga
	🧖🏽‍♀️;naag ku jirta qol uummi ah: jidh nooc dhexe;jidh nooc dhexe|naag ku jirta qol uummi ah|naag ku jirta qol uummi ah: jidh nooc dhexe|qolka hawada kulul|qolka uummigga
	🧖🏾‍♀️;naag ku jirta qol uummi ah: jidh nooc madaw oo dhexe;jidh nooc madaw oo dhexe|naag ku jirta qol uummi ah|naag ku jirta qol uummi ah: jidh nooc madaw oo dhexe|qolka hawada kulul|qolka uummigga
	🧖🏿‍♀️;naag ku jirta qol uummi ah: jidh madaw;jidh madaw|naag ku jirta qol uummi ah|naag ku jirta qol uummi ah: jidh madaw|qolka hawada kulul|qolka uummigga
🧗;qof meel fuulaya;fuule|qof meel fuulaya
	🧗🏻;qof meel fuulaya: jidh fudud;fuule|jidh fudud|qof meel fuulaya|qof meel fuulaya: jidh fudud
	🧗🏼;qof meel fuulaya: jidh fudud oo dhexe;fuule|jidh fudud oo dhexe|qof meel fuulaya|qof meel fuulaya: jidh fudud oo dhexe
	🧗🏽;qof meel fuulaya: jidh nooc dhexe;fuule|jidh nooc dhexe|qof meel fuulaya|qof meel fuulaya: jidh nooc dhexe
	🧗🏾;qof meel fuulaya: jidh nooc madaw oo dhexe;fuule|jidh nooc madaw oo dhexe|qof meel fuulaya|qof meel fuulaya: jidh nooc madaw oo dhexe
	🧗🏿;qof meel fuulaya: jidh madaw;fuule|jidh madaw|qof meel fuulaya|qof meel fuulaya: jidh madaw
🧗‍♂️;nin meel fuulaya;fuule|nin meel fuulaya
	🧗🏻‍♂️;nin meel fuulaya: jidh fudud;fuule|jidh fudud|nin meel fuulaya|nin meel fuulaya: jidh fudud
	🧗🏼‍♂️;nin meel fuulaya: jidh fudud oo dhexe;fuule|jidh fudud oo dhexe|nin meel fuulaya|nin meel fuulaya: jidh fudud oo dhexe
	🧗🏽‍♂️;nin meel fuulaya: jidh nooc dhexe;fuule|jidh nooc dhexe|nin meel fuulaya|nin meel fuulaya: jidh nooc dhexe
	🧗🏾‍♂️;nin meel fuulaya: jidh nooc madaw oo dhexe;fuule|jidh nooc madaw oo dhexe|nin meel fuulaya|nin meel fuulaya: jidh nooc madaw oo dhexe
	🧗🏿‍♂️;nin meel fuulaya: jidh madaw;fuule|jidh madaw|nin meel fuulaya|nin meel fuulaya: jidh madaw
🧗‍♀️;naag meel fuulaysa;fuule|naag meel fuulaysa
	🧗🏻‍♀️;naag meel fuulaysa: jidh fudud;fuule|jidh fudud|naag meel fuulaysa|naag meel fuulaysa: jidh fudud
	🧗🏼‍♀️;naag meel fuulaysa: jidh fudud oo dhexe;fuule|jidh fudud oo dhexe|naag meel fuulaysa|naag meel fuulaysa: jidh fudud oo dhexe
	🧗🏽‍♀️;naag meel fuulaysa: jidh nooc dhexe;fuule|jidh nooc dhexe|naag meel fuulaysa|naag meel fuulaysa: jidh nooc dhexe
	🧗🏾‍♀️;naag meel fuulaysa: jidh nooc madaw oo dhexe;fuule|jidh nooc madaw oo dhexe|naag meel fuulaysa|naag meel fuulaysa: jidh nooc madaw oo dhexe
	🧗🏿‍♀️;naag meel fuulaysa: jidh madaw;fuule|jidh madaw|naag meel fuulaysa|naag meel fuulaysa: jidh madaw
🤺;qof ku loolamaya seef;qof ku loolamaya seef|qof ku loollamaya seef|seef ku loollame|seef ku loollamid|seefta
🏇;tartan fardoodka;faras|farddo wade|tartan fardood|tartan fardoodka|tartanka
	🏇🏻;tartan fardoodka: jidh fudud;faras|farddo wade|jidh fudud|tartan fardood|tartan fardoodka|tartan fardoodka: jidh fudud|tartanka
	🏇🏼;tartan fardoodka: jidh fudud oo dhexe;faras|farddo wade|jidh fudud oo dhexe|tartan fardood|tartan fardoodka|tartan fardoodka: jidh fudud oo dhexe|tartanka
	🏇🏽;tartan fardoodka: jidh nooc dhexe;faras|farddo wade|jidh nooc dhexe|tartan fardood|tartan fardoodka|tartan fardoodka: jidh nooc dhexe|tartanka
	🏇🏾;tartan fardoodka: jidh nooc madaw oo dhexe;faras|farddo wade|jidh nooc madaw oo dhexe|tartan fardood|tartan fardoodka|tartan fardoodka: jidh nooc madaw oo dhexe|tartanka
	🏇🏿;tartan fardoodka: jidh madaw;faras|farddo wade|jidh madaw|tartan fardood|tartan fardoodka|tartan fardoodka: jidh madaw|tartanka
⛷️;qof alwaaxa barafka kula socda;alwaax baraf kula socod|baraf|qof alwaaxa barafka kula socda|qofka alwaax baraf kula socda
🏂;qofka alwaaxa barafka kula socda;alwaax kula socod baraf|alwaaxa barafka|baraf|qofka alwaaxa barafka kula socda|qofka yaqaano alwaax baraf kula socosahada
	🏂🏻;qofka alwaaxa barafka kula socda: jidh fudud;alwaax kula socod baraf|alwaaxa barafka|baraf|jidh fudud|qofka alwaaxa barafka kula socda|qofka alwaaxa barafka kula socda: jidh fudud|qofka yaqaano alwaax baraf kula socosahada
	🏂🏼;qofka alwaaxa barafka kula socda: jidh fudud oo dhexe;alwaax kula socod baraf|alwaaxa barafka|baraf|jidh fudud oo dhexe|qofka alwaaxa barafka kula socda|qofka alwaaxa barafka kula socda: jidh fudud oo dhexe|qofka yaqaano alwaax baraf kula socosahada
	🏂🏽;qofka alwaaxa barafka kula socda: jidh nooc dhexe;alwaax kula socod baraf|alwaaxa barafka|baraf|jidh nooc dhexe|qofka alwaaxa barafka kula socda|qofka alwaaxa barafka kula socda: jidh nooc dhexe|qofka yaqaano alwaax baraf kula socosahada
	🏂🏾;qofka alwaaxa barafka kula socda: jidh nooc madaw oo dhexe;alwaax kula socod baraf|alwaaxa barafka|baraf|jidh nooc madaw oo dhexe|qofka alwaaxa barafka kula socda|qofka alwaaxa barafka kula socda: jidh nooc madaw oo dhexe|qofka yaqaano alwaax baraf kula socosahada
	🏂🏿;qofka alwaaxa barafka kula socda: jidh madaw;alwaax kula socod baraf|alwaaxa barafka|baraf|jidh madaw|qofka alwaaxa barafka kula socda|qofka alwaaxa barafka kula socda: jidh madaw|qofka yaqaano alwaax baraf kula socosahada
🏌️;qof cayaaraya goolof;goolof|kubad|qof cayaaraya goolof
	🏌🏻;qof cayaaraya goolof: jidh fudud;goolof|jidh fudud|kubad|qof cayaaraya goolof|qof cayaaraya goolof: jidh fudud
	🏌🏼;qof cayaaraya goolof: jidh fudud oo dhexe;goolof|jidh fudud oo dhexe|kubad|qof cayaaraya goolof|qof cayaaraya goolof: jidh fudud oo dhexe
	🏌🏽;qof cayaaraya goolof: jidh nooc dhexe;goolof|jidh nooc dhexe|kubad|qof cayaaraya goolof|qof cayaaraya goolof: jidh nooc dhexe
	🏌🏾;qof cayaaraya goolof: jidh nooc madaw oo dhexe;goolof|jidh nooc madaw oo dhexe|kubad|qof cayaaraya goolof|qof cayaaraya goolof: jidh nooc madaw oo dhexe
	🏌🏿;qof cayaaraya goolof: jidh madaw;goolof|jidh madaw|kubad|qof cayaaraya goolof|qof cayaaraya goolof: jidh madaw
🏌️‍♂️;nin cayaaraya goolof;goolof|nin|nin cayaaraya goolof
	🏌🏻‍♂️;nin cayaaraya goolof: jidh fudud;goolof|jidh fudud|nin|nin cayaaraya goolof|nin cayaaraya goolof: jidh fudud
	🏌🏼‍♂️;nin cayaaraya goolof: jidh fudud oo dhexe;goolof|jidh fudud oo dhexe|nin|nin cayaaraya goolof|nin cayaaraya goolof: jidh fudud oo dhexe
	🏌🏽‍♂️;nin cayaaraya goolof: jidh nooc dhexe;goolof|jidh nooc dhexe|nin|nin cayaaraya goolof|nin cayaaraya goolof: jidh nooc dhexe
	🏌🏾‍♂️;nin cayaaraya goolof: jidh nooc madaw oo dhexe;goolof|jidh nooc madaw oo dhexe|nin|nin cayaaraya goolof|nin cayaaraya goolof: jidh nooc madaw oo dhexe
	🏌🏿‍♂️;nin cayaaraya goolof: jidh madaw;goolof|jidh madaw|nin|nin cayaaraya goolof|nin cayaaraya goolof: jidh madaw
🏌️‍♀️;naag cayaaraysa goolof;goolof|naag|naag cayaaraysa goolof
	🏌🏻‍♀️;naag cayaaraysa goolof: jidh fudud;goolof|jidh fudud|naag|naag cayaaraysa goolof|naag cayaaraysa goolof: jidh fudud
	🏌🏼‍♀️;naag cayaaraysa goolof: jidh fudud oo dhexe;goolof|jidh fudud oo dhexe|naag|naag cayaaraysa goolof|naag cayaaraysa goolof: jidh fudud oo dhexe
	🏌🏽‍♀️;naag cayaaraysa goolof: jidh nooc dhexe;goolof|jidh nooc dhexe|naag|naag cayaaraysa goolof|naag cayaaraysa goolof: jidh nooc dhexe
	🏌🏾‍♀️;naag cayaaraysa goolof: jidh nooc madaw oo dhexe;goolof|jidh nooc madaw oo dhexe|naag|naag cayaaraysa goolof|naag cayaaraysa goolof: jidh nooc madaw oo dhexe
	🏌🏿‍♀️;naag cayaaraysa goolof: jidh madaw;goolof|jidh madaw|naag|naag cayaaraysa goolof|naag cayaaraysa goolof: jidh madaw
🏄;qof alwaaxa hirka biyaha kula soconaya;kula socoshada alwaaxa hirka biyaha|qof alwaaxa hirka biyaha kula soconaya
	🏄🏻;qof alwaaxa hirka biyaha kula soconaya: jidh fudud;jidh fudud|kula socoshada alwaaxa hirka biyaha|qof alwaaxa hirka biyaha kula soconaya|qof alwaaxa hirka biyaha kula soconaya: jidh fudud
	🏄🏼;qof alwaaxa hirka biyaha kula soconaya: jidh fudud oo dhexe;jidh fudud oo dhexe|kula socoshada alwaaxa hirka biyaha|qof alwaaxa hirka biyaha kula soconaya|qof alwaaxa hirka biyaha kula soconaya: jidh fudud oo dhexe
	🏄🏽;qof alwaaxa hirka biyaha kula soconaya: jidh nooc dhexe;jidh nooc dhexe|kula socoshada alwaaxa hirka biyaha|qof alwaaxa hirka biyaha kula soconaya|qof alwaaxa hirka biyaha kula soconaya: jidh nooc dhexe
	🏄🏾;qof alwaaxa hirka biyaha kula soconaya: jidh nooc madaw oo dhexe;jidh nooc madaw oo dhexe|kula socoshada alwaaxa hirka biyaha|qof alwaaxa hirka biyaha kula soconaya|qof alwaaxa hirka biyaha kula soconaya: jidh nooc madaw oo dhexe
	🏄🏿;qof alwaaxa hirka biyaha kula soconaya: jidh madaw;jidh madaw|kula socoshada alwaaxa hirka biyaha|qof alwaaxa hirka biyaha kula soconaya|qof alwaaxa hirka biyaha kula soconaya: jidh madaw
🏄‍♂️;nin alwaaxa hirka biyaha kula soconaya;kula socoshada alwaaxa hirka biyaha|nin|nin alwaaxa hirka biyaha kula soconaya
	🏄🏻‍♂️;nin alwaaxa hirka biyaha kula soconaya: jidh fudud;jidh fudud|kula socoshada alwaaxa hirka biyaha|nin|nin alwaaxa hirka biyaha kula soconaya|nin alwaaxa hirka biyaha kula soconaya: jidh fudud
	🏄🏼‍♂️;nin alwaaxa hirka biyaha kula soconaya: jidh fudud oo dhexe;jidh fudud oo dhexe|kula socoshada alwaaxa hirka biyaha|nin|nin alwaaxa hirka biyaha kula soconaya|nin alwaaxa hirka biyaha kula soconaya: jidh fudud oo dhexe
	🏄🏽‍♂️;nin alwaaxa hirka biyaha kula soconaya: jidh nooc dhexe;jidh nooc dhexe|kula socoshada alwaaxa hirka biyaha|nin|nin alwaaxa hirka biyaha kula soconaya|nin alwaaxa hirka biyaha kula soconaya: jidh nooc dhexe
	🏄🏾‍♂️;nin alwaaxa hirka biyaha kula soconaya: jidh nooc madaw oo dhexe;jidh nooc madaw oo dhexe|kula socoshada alwaaxa hirka biyaha|nin|nin alwaaxa hirka biyaha kula soconaya|nin alwaaxa hirka biyaha kula soconaya: jidh nooc madaw oo dhexe
	🏄🏿‍♂️;nin alwaaxa hirka biyaha kula soconaya: jidh madaw;jidh madaw|kula socoshada alwaaxa hirka biyaha|nin|nin alwaaxa hirka biyaha kula soconaya|nin alwaaxa hirka biyaha kula soconaya: jidh madaw
🏄‍♀️;naag alwaaxa hirka biyaha kula soconaysa;kula socoshada alwaaxa hirka biyaha|naag|naag alwaaxa hirka biyaha kula soconaysa
	🏄🏻‍♀️;naag alwaaxa hirka biyaha kula soconaysa: jidh fudud;jidh fudud|kula socoshada alwaaxa hirka biyaha|naag|naag alwaaxa hirka biyaha kula soconaysa|naag alwaaxa hirka biyaha kula soconaysa: jidh fudud
	🏄🏼‍♀️;naag alwaaxa hirka biyaha kula soconaysa: jidh fudud oo dhexe;jidh fudud oo dhexe|kula socoshada alwaaxa hirka biyaha|naag|naag alwaaxa hirka biyaha kula soconaysa|naag alwaaxa hirka biyaha kula soconaysa: jidh fudud oo dhexe
	🏄🏽‍♀️;naag alwaaxa hirka biyaha kula soconaysa: jidh nooc dhexe;jidh nooc dhexe|kula socoshada alwaaxa hirka biyaha|naag|naag alwaaxa hirka biyaha kula soconaysa|naag alwaaxa hirka biyaha kula soconaysa: jidh nooc dhexe
	🏄🏾‍♀️;naag alwaaxa hirka biyaha kula soconaysa: jidh nooc madaw oo dhexe;jidh nooc madaw oo dhexe|kula socoshada alwaaxa hirka biyaha|naag|naag alwaaxa hirka biyaha kula soconaysa|naag alwaaxa hirka biyaha kula soconaysa: jidh nooc madaw oo dhexe
	🏄🏿‍♀️;naag alwaaxa hirka biyaha kula soconaysa: jidh madaw;jidh madaw|kula socoshada alwaaxa hirka biyaha|naag|naag alwaaxa hirka biyaha kula soconaysa|naag alwaaxa hirka biyaha kula soconaysa: jidh madaw
🚣;qof doon wada;doon|huuri|qof doon wada
	🚣🏻;qof doon wada: jidh fudud;doon|huuri|jidh fudud|qof doon wada|qof doon wada: jidh fudud
	🚣🏼;qof doon wada: jidh fudud oo dhexe;doon|huuri|jidh fudud oo dhexe|qof doon wada|qof doon wada: jidh fudud oo dhexe
	🚣🏽;qof doon wada: jidh nooc dhexe;doon|huuri|jidh nooc dhexe|qof doon wada|qof doon wada: jidh nooc dhexe
