[smileys_emotion]
😀;ծիծաղող դեմք;դեմք|ծիծաղող դեմք|քմծիծաղել
	🙅🏾‍♀️;կինը դեմ է․ միջին մուգ գույնի մաշկ;արգելված|դեմ|ժեստ|կին|կինը դեմ է|կինը դեմ է․ միջին մուգ գույնի մաշկ|միջին մուգ գույնի մաշկ
	🙅🏿‍♀️;կինը դեմ է․ մուգ գույնի մաշկ;արգելված|դեմ|ժեստ|կին|կինը դեմ է|կինը դեմ է․ մուգ գույնի մաշկ|մուգ գույնի մաշկ
🙆;ok ցույց տվող;ok|ok ցույց տվող|ժեստ|ձեռք
	🙆🏻;ok ցույց տվող․ բաց գույնի մաշկ;ok|ok ցույց տվող|ok ցույց տվող․ բաց գույնի մաշկ|բաց գույնի մաշկ|ժեստ|ձեռք
	🙆🏼;ok ցույց տվող․ միջին բաց գույնի մաշկ;ok|ok ցույց տվող|ok ցույց տվող․ միջին բաց գույնի մաշկ|ժեստ|ձեռք|միջին բաց գույնի մաշկ
	🙆🏽;ok ցույց տվող․ միջին գույնի մաշկ;ok|ok ցույց տվող|ok ցույց տվող․ միջին գույնի մաշկ|ժեստ|ձեռք|միջին գույնի մաշկ
	🙆🏾;ok ցույց տվող․ միջին մուգ գույնի մաշկ;ok|ok ցույց տվող|ok ցույց տվող․ միջին մուգ գույնի մաշկ|ժեստ|ձեռք|միջին մուգ գույնի մաշկ
	🙆🏿;ok ցույց տվող․ մուգ գույնի մաշկ;ok|ok ցույց տվող|ok ցույց տվող․ մուգ գույնի մաշկ|ժեստ|ձեռք|մուգ գույնի մաշկ
🙆‍♂️;տղամարդը կողմ է;ժեստ|կողմ|ձեռք|տղամարդ|տղամարդը կողմ է
	🙆🏻‍♂️;տղամարդը կողմ է․ բաց գույնի մաշկ;բաց գույնի մաշկ|ժեստ|կողմ|ձեռք|տղամարդ|տղամարդը կողմ է|տղամարդը կողմ է․ բաց գույնի մաշկ
	🙆🏼‍♂️;տղամարդը կողմ է․ միջին բաց գույնի մաշկ;ժեստ|կողմ|ձեռք|միջին բաց գույնի մաշկ|տղամարդ|տղամարդը կողմ է|տղամարդը կողմ է․ միջին բաց գույնի մաշկ
	🙆🏽‍♂️;տղամարդը կողմ է․ միջին գույնի մաշկ;ժեստ|կողմ|ձեռք|միջին գույնի մաշկ|տղամարդ|տղամարդը կողմ է|տղամարդը կողմ է․ միջին գույնի մաշկ
	🙆🏾‍♂️;տղամարդը կողմ է․ միջին մուգ գույնի մաշկ;ժեստ|կողմ|ձեռք|միջին մուգ գույնի մաշկ|տղամարդ|տղամարդը կողմ է|տղամարդը կողմ է․ միջին մուգ գույնի մաշկ
	🙆🏿‍♂️;տղամարդը կողմ է․ մուգ գույնի մաշկ;ժեստ|կողմ|ձեռք|մուգ գույնի մաշկ|տղամարդ|տղամարդը կողմ է|տղամարդը կողմ է․ մուգ գույնի մաշկ
🙆‍♀️;կինը կողմ է;ժեստ|կին|կինը կողմ է|կողմ|ձեռք
	🙆🏻‍♀️;կինը կողմ է․ բաց գույնի մաշկ;բաց գույնի մաշկ|ժեստ|կին|կինը կողմ է|կինը կողմ է․ բաց գույնի մաշկ|կողմ|ձեռք
	🙆🏼‍♀️;կինը կողմ է․ միջին բաց գույնի մաշկ;ժեստ|կին|կինը կողմ է|կինը կողմ է․ միջին բաց գույնի մաշկ|կողմ|ձեռք|միջին բաց գույնի մաշկ
	🙆🏽‍♀️;կինը կողմ է․ միջին գույնի մաշկ;ժեստ|կին|կինը կողմ է|կինը կողմ է․ միջին գույնի մաշկ|կողմ|ձեռք|միջին գույնի մաշկ
	🙆🏾‍♀️;կինը կողմ է․ միջին մուգ գույնի մաշկ;ժեստ|կին|կինը կողմ է|կինը կողմ է․ միջին մուգ գույնի մաշկ|կողմ|ձեռք|միջին մուգ գույնի մաշկ
	🙆🏿‍♀️;կինը կողմ է․ մուգ գույնի մաշկ;ժեստ|կին|կինը կողմ է|կինը կողմ է․ մուգ գույնի մաշկ|կողմ|ձեռք|մուգ գույնի մաշկ
💁;ձեռքը թեքած անձ;հանդուգն|ձեռձեռքը թեքած անձ|ձեռքը թեքած անձ|տեղեկատվություն|օգնել
	💁🏻;ձեռքը թեքած անձ․ բաց գույնի մաշկ;բաց գույնի մաշկ|հանդուգն|ձեռձեռքը թեքած անձ|ձեռքը թեքած անձ|ձեռքը թեքած անձ․ բաց գույնի մաշկ|տեղեկատվություն|օգնել
	💁🏼;ձեռքը թեքած անձ․ միջին բաց գույնի մաշկ;հանդուգն|ձեռձեռքը թեքած անձ|ձեռքը թեքած անձ|ձեռքը թեքած անձ․ միջին բաց գույնի մաշկ|միջին բաց գույնի մաշկ|տեղեկատվություն|օգնել
	💁🏽;ձեռքը թեքած անձ․ միջին գույնի մաշկ;հանդուգն|ձեռձեռքը թեքած անձ|ձեռքը թեքած անձ|ձեռքը թեքած անձ․ միջին գույնի մաշկ|միջին գույնի մաշկ|տեղեկատվություն|օգնել
	💁🏾;ձեռքը թեքած անձ․ միջին մուգ գույնի մաշկ;հանդուգն|ձեռձեռքը թեքած անձ|ձեռքը թեքած անձ|ձեռքը թեքած անձ․ միջին մուգ գույնի մաշկ|միջին մուգ գույնի մաշկ|տեղեկատվություն|օգնել
	💁🏿;ձեռքը թեքած անձ․ մուգ գույնի մաշկ;հանդուգն|ձեռձեռքը թեքած անձ|ձեռքը թեքած անձ|ձեռքը թեքած անձ․ մուգ գույնի մաշկ|մուգ գույնի մաշկ|տեղեկատվություն|օգնել
💁‍♂️;տղամարդը բացում է իր մտադրությունները;հանդուգն|տղամարդ|տղամարդը բացում է իր մտադրությունները
	💁🏻‍♂️;տղամարդը բացում է իր մտադրությունները․ բաց գույնի մաշկ;բաց գույնի մաշկ|հանդուգն|տղամարդ|տղամարդը բացում է իր մտադրությունները|տղամարդը բացում է իր մտադրությունները․ բաց գույնի մաշկ
	💁🏼‍♂️;տղամարդը բացում է իր մտադրությունները․ միջին բաց գույնի մաշկ;հանդուգն|միջին բաց գույնի մաշկ|տղամարդ|տղամարդը բացում է իր մտադրությունները|տղամարդը բացում է իր մտադրությունները․ միջին բաց գույնի մաշկ
	💁🏽‍♂️;տղամարդը բացում է իր մտադրությունները․ միջին գույնի մաշկ;հանդուգն|միջին գույնի մաշկ|տղամարդ|տղամարդը բացում է իր մտադրությունները|տղամարդը բացում է իր մտադրությունները․ միջին գույնի մաշկ
	💁🏾‍♂️;տղամարդը բացում է իր մտադրությունները․ միջին մուգ գույնի մաշկ;հանդուգն|միջին մուգ գույնի մաշկ|տղամարդ|տղամարդը բացում է իր մտադրությունները|տղամարդը բացում է իր մտադրությունները․ միջին մուգ գույնի մաշկ
	💁🏿‍♂️;տղամարդը բացում է իր մտադրությունները․ մուգ գույնի մաշկ;հանդուգն|մուգ գույնի մաշկ|տղամարդ|տղամարդը բացում է իր մտադրությունները|տղամարդը բացում է իր մտադրությունները․ մուգ գույնի մաշկ
💁‍♀️;կինը բացում է իր մտադրությունները;կին|կինը բացում է իր մտադրությունները|հանդուգն
	💁🏻‍♀️;կինը բացում է իր մտադրությունները․ բաց գույնի մաշկ;բաց գույնի մաշկ|կին|կինը բացում է իր մտադրությունները|կինը բացում է իր մտադրությունները․ բաց գույնի մաշկ|հանդուգն
	💁🏼‍♀️;կինը բացում է իր մտադրությունները․ միջին բաց գույնի մաշկ;կին|կինը բացում է իր մտադրությունները|կինը բացում է իր մտադրությունները․ միջին բաց գույնի մաշկ|հանդուգն|միջին բաց գույնի մաշկ
	💁🏽‍♀️;կինը բացում է իր մտադրությունները․ միջին գույնի մաշկ;կին|կինը բացում է իր մտադրությունները|կինը բացում է իր մտադրությունները․ միջին գույնի մաշկ|հանդուգն|միջին գույնի մաշկ
	💁🏾‍♀️;կինը բացում է իր մտադրությունները․ միջին մուգ գույնի մաշկ;կին|կինը բացում է իր մտադրությունները|կինը բացում է իր մտադրությունները․ միջին մուգ գույնի մաշկ|հանդուգն|միջին մուգ գույնի մաշկ
	💁🏿‍♀️;կինը բացում է իր մտադրությունները․ մուգ գույնի մաշկ;կին|կինը բացում է իր մտադրությունները|կինը բացում է իր մտադրությունները․ մուգ գույնի մաշկ|հանդուգն|մուգ գույնի մաշկ
🙋;ձեռքը բարձրացրած անձ;բարձրացված|երջանիկ|ժեստ|ձեռք|ձեռքը բարձրացրած անձ
	🙋🏻;ձեռքը բարձրացրած անձ․ բաց գույնի մաշկ;բարձրացված|բաց գույնի մաշկ|երջանիկ|ժեստ|ձեռք|ձեռքը բարձրացրած անձ|ձեռքը բարձրացրած անձ․ բաց գույնի մաշկ
	🙋🏼;ձեռքը բարձրացրած անձ․ միջին բաց գույնի մաշկ;բարձրացված|երջանիկ|ժեստ|ձեռք|ձեռքը բարձրացրած անձ|ձեռքը բարձրացրած անձ․ միջին բաց գույնի մաշկ|միջին բաց գույնի մաշկ
	🙋🏽;ձեռքը բարձրացրած անձ․ միջին գույնի մաշկ;բարձրացված|երջանիկ|ժեստ|ձեռք|ձեռքը բարձրացրած անձ|ձեռքը բարձրացրած անձ․ միջին գույնի մաշկ|միջին գույնի մաշկ
	🙋🏾;ձեռքը բարձրացրած անձ․ միջին մուգ գույնի մաշկ;բարձրացված|երջանիկ|ժեստ|ձեռք|ձեռքը բարձրացրած անձ|ձեռքը բարձրացրած անձ․ միջին մուգ գույնի մաշկ|միջին մուգ գույնի մաշկ
	🙋🏿;ձեռքը բարձրացրած անձ․ մուգ գույնի մաշկ;բարձրացված|երջանիկ|ժեստ|ձեռք|ձեռքը բարձրացրած անձ|ձեռքը բարձրացրած անձ․ մուգ գույնի մաշկ|մուգ գույնի մաշկ
🙋‍♂️;ձեռքը բարձրացրած տղամարդ;ժեստ|ձեռքը բարձրացնել|ձեռքը բարձրացրած տղամարդ|մարդ|տղամարդ
	🙋🏻‍♂️;ձեռքը բարձրացրած տղամարդ․ բաց գույնի մաշկ;բաց գույնի մաշկ|ժեստ|ձեռքը բարձրացնել|ձեռքը բարձրացրած տղամարդ|ձեռքը բարձրացրած տղամարդ․ բաց գույնի մաշկ|մարդ|տղամարդ
	🙋🏼‍♂️;ձեռքը բարձրացրած տղամարդ․ միջին բաց գույնի մաշկ;ժեստ|ձեռքը բարձրացնել|ձեռքը բարձրացրած տղամարդ|ձեռքը բարձրացրած տղամարդ․ միջին բաց գույնի մաշկ|մարդ|միջին բաց գույնի մաշկ|տղամարդ
	🙋🏽‍♂️;ձեռքը բարձրացրած տղամարդ․ միջին գույնի մաշկ;ժեստ|ձեռքը բարձրացնել|ձեռքը բարձրացրած տղամարդ|ձեռքը բարձրացրած տղամարդ․ միջին գույնի մաշկ|մարդ|միջին գույնի մաշկ|տղամարդ
	🙋🏾‍♂️;ձեռքը բարձրացրած տղամարդ․ միջին մուգ գույնի մաշկ;ժեստ|ձեռքը բարձրացնել|ձեռքը բարձրացրած տղամարդ|ձեռքը բարձրացրած տղամարդ․ միջին մուգ գույնի մաշկ|մարդ|միջին մուգ գույնի մաշկ|տղամարդ
	🙋🏿‍♂️;ձեռքը բարձրացրած տղամարդ․ մուգ գույնի մաշկ;ժեստ|ձեռքը բարձրացնել|ձեռքը բարձրացրած տղամարդ|ձեռքը բարձրացրած տղամարդ․ մուգ գույնի մաշկ|մարդ|մուգ գույնի մաշկ|տղամարդ
🙋‍♀️;ձեռքը բարձրացրած կին;ժեստ|կին|ձեռքը բարձրացնել|ձեռքը բարձրացրած կին
	🙋🏻‍♀️;ձեռքը բարձրացրած կին․ բաց գույնի մաշկ;բաց գույնի մաշկ|ժեստ|կին|ձեռքը բարձրացնել|ձեռքը բարձրացրած կին|ձեռքը բարձրացրած կին․ բաց գույնի մաշկ
	🙋🏼‍♀️;ձեռքը բարձրացրած կին․ միջին բաց գույնի մաշկ;ժեստ|կին|ձեռքը բարձրացնել|ձեռքը բարձրացրած կին|ձեռքը բարձրացրած կին․ միջին բաց գույնի մաշկ|միջին բաց գույնի մաշկ
	🙋🏽‍♀️;ձեռքը բարձրացրած կին․ միջին գույնի մաշկ;ժեստ|կին|ձեռքը բարձրացնել|ձեռքը բարձրացրած կին|ձեռքը բարձրացրած կին․ միջին գույնի մաշկ|միջին գույնի մաշկ
	🙋🏾‍♀️;ձեռքը բարձրացրած կին․ միջին մուգ գույնի մաշկ;ժեստ|կին|ձեռքը բարձրացնել|ձեռքը բարձրացրած կին|ձեռքը բարձրացրած կին․ միջին մուգ գույնի մաշկ|միջին մուգ գույնի մաշկ
