[smileys_emotion]
😀;ubuso obusinekile;osinekile|ubuso obusinekile
	🙋🏾;umuntu ophakamisa isandla: uhlobo-5;isandla|uhlobo-5|ukujabula|ukuphakamisa|umuntu ophakamisa isandla|umuntu ophakamisa isandla: uhlobo-5|uphawu
	🙋🏿;umuntu ophakamisa isandla: uhlobo-6;isandla|uhlobo-6|ukujabula|ukuphakamisa|umuntu ophakamisa isandla|umuntu ophakamisa isandla: uhlobo-6|uphawu
🙋‍♂️;indoda ephakamise isandla;indoda|indoda ephakamise isandla|isandla|ukujabula|ukuphakamisa|uphawu
	🙋🏻‍♂️;indoda ephakamise isandla: uhlobo-1-2;indoda|indoda ephakamise isandla|indoda ephakamise isandla: uhlobo-1-2|isandla|uhlobo-1-2|ukujabula|ukuphakamisa|uphawu
	🙋🏼‍♂️;indoda ephakamise isandla: uhlobo-3;indoda|indoda ephakamise isandla|indoda ephakamise isandla: uhlobo-3|isandla|uhlobo-3|ukujabula|ukuphakamisa|uphawu
	🙋🏽‍♂️;indoda ephakamise isandla: uhlobo-4;indoda|indoda ephakamise isandla|indoda ephakamise isandla: uhlobo-4|isandla|uhlobo-4|ukujabula|ukuphakamisa|uphawu
	🙋🏾‍♂️;indoda ephakamise isandla: uhlobo-5;indoda|indoda ephakamise isandla|indoda ephakamise isandla: uhlobo-5|isandla|uhlobo-5|ukujabula|ukuphakamisa|uphawu
	🙋🏿‍♂️;indoda ephakamise isandla: uhlobo-6;indoda|indoda ephakamise isandla|indoda ephakamise isandla: uhlobo-6|isandla|uhlobo-6|ukujabula|ukuphakamisa|uphawu
🙋‍♀️;owesimame ophakamise isandla;isandla|owesimame|owesimame ophakamise isandla|ukujabula|ukuphakamisa|uphawu
	🙋🏻‍♀️;owesimame ophakamise isandla: uhlobo-1-2;isandla|owesimame|owesimame ophakamise isandla|owesimame ophakamise isandla: uhlobo-1-2|uhlobo-1-2|ukujabula|ukuphakamisa|uphawu
	🙋🏼‍♀️;owesimame ophakamise isandla: uhlobo-3;isandla|owesimame|owesimame ophakamise isandla|owesimame ophakamise isandla: uhlobo-3|uhlobo-3|ukujabula|ukuphakamisa|uphawu
	🙋🏽‍♀️;owesimame ophakamise isandla: uhlobo-4;isandla|owesimame|owesimame ophakamise isandla|owesimame ophakamise isandla: uhlobo-4|uhlobo-4|ukujabula|ukuphakamisa|uphawu
	🙋🏾‍♀️;owesimame ophakamise isandla: uhlobo-5;isandla|owesimame|owesimame ophakamise isandla|owesimame ophakamise isandla: uhlobo-5|uhlobo-5|ukujabula|ukuphakamisa|uphawu
	🙋🏿‍♀️;owesimame ophakamise isandla: uhlobo-6;isandla|owesimame|owesimame ophakamise isandla|owesimame ophakamise isandla: uhlobo-6|uhlobo-6|ukujabula|ukuphakamisa|uphawu
🧏;umuntu ongezwa;indlebe|ukufinyelela|ukungezwa|ukuzwa|umuntu ongezwa
	🧏🏻;umuntu ongezwa: uhlobo-1-2;indlebe|uhlobo-1-2|ukufinyelela|ukungezwa|ukuzwa|umuntu ongezwa|umuntu ongezwa: uhlobo-1-2
	🧏🏼;umuntu ongezwa: uhlobo-3;indlebe|uhlobo-3|ukufinyelela|ukungezwa|ukuzwa|umuntu ongezwa|umuntu ongezwa: uhlobo-3
	🧏🏽;umuntu ongezwa: uhlobo-4;indlebe|uhlobo-4|ukufinyelela|ukungezwa|ukuzwa|umuntu ongezwa|umuntu ongezwa: uhlobo-4
	🧏🏾;umuntu ongezwa: uhlobo-5;indlebe|uhlobo-5|ukufinyelela|ukungezwa|ukuzwa|umuntu ongezwa|umuntu ongezwa: uhlobo-5
	🧏🏿;umuntu ongezwa: uhlobo-6;indlebe|uhlobo-6|ukufinyelela|ukungezwa|ukuzwa|umuntu ongezwa|umuntu ongezwa: uhlobo-6
🧏‍♂️;indoda engezwa;indoda|indoda engezwa|ongezwa
	🧏🏻‍♂️;indoda engezwa: uhlobo-1-2;indoda|indoda engezwa|indoda engezwa: uhlobo-1-2|ongezwa|uhlobo-1-2
	🧏🏼‍♂️;indoda engezwa: uhlobo-3;indoda|indoda engezwa|indoda engezwa: uhlobo-3|ongezwa|uhlobo-3
	🧏🏽‍♂️;indoda engezwa: uhlobo-4;indoda|indoda engezwa|indoda engezwa: uhlobo-4|ongezwa|uhlobo-4
	🧏🏾‍♂️;indoda engezwa: uhlobo-5;indoda|indoda engezwa|indoda engezwa: uhlobo-5|ongezwa|uhlobo-5
	🧏🏿‍♂️;indoda engezwa: uhlobo-6;indoda|indoda engezwa|indoda engezwa: uhlobo-6|ongezwa|uhlobo-6
🧏‍♀️;umama ongezwa;ongezwa|umama
	🧏🏻‍♀️;umama ongezwa: uhlobo-1-2;ongezwa|uhlobo-1-2|umama|umama ongezwa: uhlobo-1-2
	🧏🏼‍♀️;umama ongezwa: uhlobo-3;ongezwa|uhlobo-3|umama|umama ongezwa: uhlobo-3
	🧏🏽‍♀️;umama ongezwa: uhlobo-4;ongezwa|uhlobo-4|umama|umama ongezwa: uhlobo-4
	🧏🏾‍♀️;umama ongezwa: uhlobo-5;ongezwa|uhlobo-5|umama|umama ongezwa: uhlobo-5
	🧏🏿‍♀️;umama ongezwa: uhlobo-6;ongezwa|uhlobo-6|umama|umama ongezwa: uhlobo-6
🙇;umuntu othobile;ukuthoba|ukuxolisa|umuntu othobile|uphawu
	🙇🏻;umuntu othobile: uhlobo-1-2;uhlobo-1-2|ukuthoba|ukuxolisa|umuntu othobile|umuntu othobile: uhlobo-1-2|uphawu
	🙇🏼;umuntu othobile: uhlobo-3;uhlobo-3|ukuthoba|ukuxolisa|umuntu othobile|umuntu othobile: uhlobo-3|uphawu
	🙇🏽;umuntu othobile: uhlobo-4;uhlobo-4|ukuthoba|ukuxolisa|umuntu othobile|umuntu othobile: uhlobo-4|uphawu
	🙇🏾;umuntu othobile: uhlobo-5;uhlobo-5|ukuthoba|ukuxolisa|umuntu othobile|umuntu othobile: uhlobo-5|uphawu
	🙇🏿;umuntu othobile: uhlobo-6;uhlobo-6|ukuthoba|ukuxolisa|umuntu othobile|umuntu othobile: uhlobo-6|uphawu
🙇‍♂️;indoda ethobe kakhulu;indoda|indoda ethobe kakhulu|ukuthoba|ukuxolisa|uphawu
	🙇🏻‍♂️;indoda ethobe kakhulu: uhlobo-1-2;indoda|indoda ethobe kakhulu|indoda ethobe kakhulu: uhlobo-1-2|uhlobo-1-2|ukuthoba|ukuxolisa|uphawu
	🙇🏼‍♂️;indoda ethobe kakhulu: uhlobo-3;indoda|indoda ethobe kakhulu|indoda ethobe kakhulu: uhlobo-3|uhlobo-3|ukuthoba|ukuxolisa|uphawu
	🙇🏽‍♂️;indoda ethobe kakhulu: uhlobo-4;indoda|indoda ethobe kakhulu|indoda ethobe kakhulu: uhlobo-4|uhlobo-4|ukuthoba|ukuxolisa|uphawu
	🙇🏾‍♂️;indoda ethobe kakhulu: uhlobo-5;indoda|indoda ethobe kakhulu|indoda ethobe kakhulu: uhlobo-5|uhlobo-5|ukuthoba|ukuxolisa|uphawu
	🙇🏿‍♂️;indoda ethobe kakhulu: uhlobo-6;indoda|indoda ethobe kakhulu|indoda ethobe kakhulu: uhlobo-6|uhlobo-6|ukuthoba|ukuxolisa|uphawu
🙇‍♀️;owesimame othobe kakhulu;owesimame|owesimame othobe kakhulu|ukuthoba|ukuxolisa|uphawu
	🙇🏻‍♀️;owesimame othobe kakhulu: uhlobo-1-2;owesimame|owesimame othobe kakhulu|owesimame othobe kakhulu: uhlobo-1-2|uhlobo-1-2|ukuthoba|ukuxolisa|uphawu
	🙇🏼‍♀️;owesimame othobe kakhulu: uhlobo-3;owesimame|owesimame othobe kakhulu|owesimame othobe kakhulu: uhlobo-3|uhlobo-3|ukuthoba|ukuxolisa|uphawu
	🙇🏽‍♀️;owesimame othobe kakhulu: uhlobo-4;owesimame|owesimame othobe kakhulu|owesimame othobe kakhulu: uhlobo-4|uhlobo-4|ukuthoba|ukuxolisa|uphawu
	🙇🏾‍♀️;owesimame othobe kakhulu: uhlobo-5;owesimame|owesimame othobe kakhulu|owesimame othobe kakhulu: uhlobo-5|uhlobo-5|ukuthoba|ukuxolisa|uphawu
	🙇🏿‍♀️;owesimame othobe kakhulu: uhlobo-6;owesimame|owesimame othobe kakhulu|owesimame othobe kakhulu: uhlobo-6|uhlobo-6|ukuthoba|ukuxolisa|uphawu
🤦;ukuzifihla;intende yesandla|ubuso|ukucikeka|ukungakholwa|ukuzifihla
	🤦🏻;ukuzifihla: uhlobo-1-2;intende yesandla|ubuso|uhlobo-1-2|ukucikeka|ukungakholwa|ukuzifihla|ukuzifihla: uhlobo-1-2
	🤦🏼;ukuzifihla: uhlobo-3;intende yesandla|ubuso|uhlobo-3|ukucikeka|ukungakholwa|ukuzifihla|ukuzifihla: uhlobo-3
	🤦🏽;ukuzifihla: uhlobo-4;intende yesandla|ubuso|uhlobo-4|ukucikeka|ukungakholwa|ukuzifihla|ukuzifihla: uhlobo-4
	🤦🏾;ukuzifihla: uhlobo-5;intende yesandla|ubuso|uhlobo-5|ukucikeka|ukungakholwa|ukuzifihla|ukuzifihla: uhlobo-5
	🤦🏿;ukuzifihla: uhlobo-6;intende yesandla|ubuso|uhlobo-6|ukucikeka|ukungakholwa|ukuzifihla|ukuzifihla: uhlobo-6
🤦‍♂️;ukuzifihla kowesilisa;intende yesandla|ubuso|ukucikeka|ukungakholwa|ukuzifihla kowesilisa
	🤦🏻‍♂️;ukuzifihla kowesilisa: uhlobo-1-2;intende yesandla|ubuso|uhlobo-1-2|ukucikeka|ukungakholwa|ukuzifihla kowesilisa|ukuzifihla kowesilisa: uhlobo-1-2
	🤦🏼‍♂️;ukuzifihla kowesilisa: uhlobo-3;intende yesandla|ubuso|uhlobo-3|ukucikeka|ukungakholwa|ukuzifihla kowesilisa|ukuzifihla kowesilisa: uhlobo-3
	🤦🏽‍♂️;ukuzifihla kowesilisa: uhlobo-4;intende yesandla|ubuso|uhlobo-4|ukucikeka|ukungakholwa|ukuzifihla kowesilisa|ukuzifihla kowesilisa: uhlobo-4
	🤦🏾‍♂️;ukuzifihla kowesilisa: uhlobo-5;intende yesandla|ubuso|uhlobo-5|ukucikeka|ukungakholwa|ukuzifihla kowesilisa|ukuzifihla kowesilisa: uhlobo-5
	🤦🏿‍♂️;ukuzifihla kowesilisa: uhlobo-6;intende yesandla|ubuso|uhlobo-6|ukucikeka|ukungakholwa|ukuzifihla kowesilisa|ukuzifihla kowesilisa: uhlobo-6
🤦‍♀️;ukuzifihla kowesimame;intende yesandla|ubuso|ukucikeka|ukungakholwa|ukuzifihla kowesimame
	🤦🏻‍♀️;ukuzifihla kowesimame: uhlobo-1-2;intende yesandla|ubuso|uhlobo-1-2|ukucikeka|ukungakholwa|ukuzifihla kowesimame|ukuzifihla kowesimame: uhlobo-1-2
	🤦🏼‍♀️;ukuzifihla kowesimame: uhlobo-3;intende yesandla|ubuso|uhlobo-3|ukucikeka|ukungakholwa|ukuzifihla kowesimame|ukuzifihla kowesimame: uhlobo-3
	🤦🏽‍♀️;ukuzifihla kowesimame: uhlobo-4;intende yesandla|ubuso|uhlobo-4|ukucikeka|ukungakholwa|ukuzifihla kowesimame|ukuzifihla kowesimame: uhlobo-4
	🤦🏾‍♀️;ukuzifihla kowesimame: uhlobo-5;intende yesandla|ubuso|uhlobo-5|ukucikeka|ukungakholwa|ukuzifihla kowesimame|ukuzifihla kowesimame: uhlobo-5
	🤦🏿‍♀️;ukuzifihla kowesimame: uhlobo-6;intende yesandla|ubuso|uhlobo-6|ukucikeka|ukungakholwa|ukuzifihla kowesimame|ukuzifihla kowesimame: uhlobo-6
🤷;shukuza amahlombe;shukuza amahlombe|ukungabaza|ukungabi nandaba|ukunganaki|ukunyakazisa amahlombe
	🤷🏻;shukuza amahlombe: uhlobo-1-2;shukuza amahlombe|shukuza amahlombe: uhlobo-1-2|uhlobo-1-2|ukungabaza|ukungabi nandaba|ukunganaki|ukunyakazisa amahlombe
	🤷🏼;shukuza amahlombe: uhlobo-3;shukuza amahlombe|shukuza amahlombe: uhlobo-3|uhlobo-3|ukungabaza|ukungabi nandaba|ukunganaki|ukunyakazisa amahlombe
	🤷🏽;shukuza amahlombe: uhlobo-4;shukuza amahlombe|shukuza amahlombe: uhlobo-4|uhlobo-4|ukungabaza|ukungabi nandaba|ukunganaki|ukunyakazisa amahlombe
	🤷🏾;shukuza amahlombe: uhlobo-5;shukuza amahlombe|shukuza amahlombe: uhlobo-5|uhlobo-5|ukungabaza|ukungabi nandaba|ukunganaki|ukunyakazisa amahlombe
	🤷🏿;shukuza amahlombe: uhlobo-6;shukuza amahlombe|shukuza amahlombe: uhlobo-6|uhlobo-6|ukungabaza|ukungabi nandaba|ukunganaki|ukunyakazisa amahlombe
🤷‍♂️;ukushukuza amahlombe kowesilisa;ukungabaza|ukungabi nandaba|ukunganaki|ukunyakazisa amahlombe|ukushukuza amahlombe kowesilisa
	🤷🏻‍♂️;ukushukuza amahlombe kowesilisa: uhlobo-1-2;uhlobo-1-2|ukungabaza|ukungabi nandaba|ukunganaki|ukunyakazisa amahlombe|ukushukuza amahlombe kowesilisa|ukushukuza amahlombe kowesilisa: uhlobo-1-2
	🤷🏼‍♂️;ukushukuza amahlombe kowesilisa: uhlobo-3;uhlobo-3|ukungabaza|ukungabi nandaba|ukunganaki|ukunyakazisa amahlombe|ukushukuza amahlombe kowesilisa|ukushukuza amahlombe kowesilisa: uhlobo-3
	🤷🏽‍♂️;ukushukuza amahlombe kowesilisa: uhlobo-4;uhlobo-4|ukungabaza|ukungabi nandaba|ukunganaki|ukunyakazisa amahlombe|ukushukuza amahlombe kowesilisa|ukushukuza amahlombe kowesilisa: uhlobo-4
	🤷🏾‍♂️;ukushukuza amahlombe kowesilisa: uhlobo-5;uhlobo-5|ukungabaza|ukungabi nandaba|ukunganaki|ukunyakazisa amahlombe|ukushukuza amahlombe kowesilisa|ukushukuza amahlombe kowesilisa: uhlobo-5
	🤷🏿‍♂️;ukushukuza amahlombe kowesilisa: uhlobo-6;uhlobo-6|ukungabaza|ukungabi nandaba|ukunganaki|ukunyakazisa amahlombe|ukushukuza amahlombe kowesilisa|ukushukuza amahlombe kowesilisa: uhlobo-6
🤷‍♀️;ukushukuza amahlombe kowesimame;ukungabaza|ukungabi nandaba|ukunganaki|ukunyakazisa amahlombe|ukushukuza amahlombe kowesimame
	🤷🏻‍♀️;ukushukuza amahlombe kowesimame: uhlobo-1-2;uhlobo-1-2|ukungabaza|ukungabi nandaba|ukunganaki|ukunyakazisa amahlombe|ukushukuza amahlombe kowesimame|ukushukuza amahlombe kowesimame: uhlobo-1-2
	🤷🏼‍♀️;ukushukuza amahlombe kowesimame: uhlobo-3;uhlobo-3|ukungabaza|ukungabi nandaba|ukunganaki|ukunyakazisa amahlombe|ukushukuza amahlombe kowesimame|ukushukuza amahlombe kowesimame: uhlobo-3
	🤷🏽‍♀️;ukushukuza amahlombe kowesimame: uhlobo-4;uhlobo-4|ukungabaza|ukungabi nandaba|ukunganaki|ukunyakazisa amahlombe|ukushukuza amahlombe kowesimame|ukushukuza amahlombe kowesimame: uhlobo-4
	🤷🏾‍♀️;ukushukuza amahlombe kowesimame: uhlobo-5;uhlobo-5|ukungabaza|ukungabi nandaba|ukunganaki|ukunyakazisa amahlombe|ukushukuza amahlombe kowesimame|ukushukuza amahlombe kowesimame: uhlobo-5
	🤷🏿‍♀️;ukushukuza amahlombe kowesimame: uhlobo-6;uhlobo-6|ukungabaza|ukungabi nandaba|ukunganaki|ukunyakazisa amahlombe|ukushukuza amahlombe kowesimame|ukushukuza amahlombe kowesimame: uhlobo-6
🧑‍⚕️;umsebenzi wezempilo;uchwepheshe|udokotela|ukunakekela kwezempilo|umsebenzi wezempilo|unesi
	🧑🏻‍⚕️;umsebenzi wezempilo: uhlobo-1-2;uchwepheshe|udokotela|uhlobo-1-2|ukunakekela kwezempilo|umsebenzi wezempilo|umsebenzi wezempilo: uhlobo-1-2|unesi
	🧑🏼‍⚕️;umsebenzi wezempilo: uhlobo-3;uchwepheshe|udokotela|uhlobo-3|ukunakekela kwezempilo|umsebenzi wezempilo|umsebenzi wezempilo: uhlobo-3|unesi
	🧑🏽‍⚕️;umsebenzi wezempilo: uhlobo-4;uchwepheshe|udokotela|uhlobo-4|ukunakekela kwezempilo|umsebenzi wezempilo|umsebenzi wezempilo: uhlobo-4|unesi
	🧑🏾‍⚕️;umsebenzi wezempilo: uhlobo-5;uchwepheshe|udokotela|uhlobo-5|ukunakekela kwezempilo|umsebenzi wezempilo|umsebenzi wezempilo: uhlobo-5|unesi
	🧑🏿‍⚕️;umsebenzi wezempilo: uhlobo-6;uchwepheshe|udokotela|uhlobo-6|ukunakekela kwezempilo|umsebenzi wezempilo|umsebenzi wezempilo: uhlobo-6|unesi
👨‍⚕️;unesi wesilisa;indoda|udokotela|unesi|unesi wendoda|unesi wesilisa
	👨🏻‍⚕️;unesi wesilisa: uhlobo-1-2;indoda|udokotela|uhlobo-1-2|unesi|unesi wendoda|unesi wesilisa|unesi wesilisa: uhlobo-1-2
	👨🏼‍⚕️;unesi wesilisa: uhlobo-3;indoda|udokotela|uhlobo-3|unesi|unesi wendoda|unesi wesilisa|unesi wesilisa: uhlobo-3
	👨🏽‍⚕️;unesi wesilisa: uhlobo-4;indoda|udokotela|uhlobo-4|unesi|unesi wendoda|unesi wesilisa|unesi wesilisa: uhlobo-4
	👨🏾‍⚕️;unesi wesilisa: uhlobo-5;indoda|udokotela|uhlobo-5|unesi|unesi wendoda|unesi wesilisa|unesi wesilisa: uhlobo-5
	👨🏿‍⚕️;unesi wesilisa: uhlobo-6;indoda|udokotela|uhlobo-6|unesi|unesi wendoda|unesi wesilisa|unesi wesilisa: uhlobo-6
👩‍⚕️;unesi wesifazane;owesifazane|udokotela|unesi|unesi wesifazane
	👩🏻‍⚕️;unesi wesifazane: uhlobo-1-2;owesifazane|udokotela|uhlobo-1-2|unesi|unesi wesifazane|unesi wesifazane: uhlobo-1-2
	👩🏼‍⚕️;unesi wesifazane: uhlobo-3;owesifazane|udokotela|uhlobo-3|unesi|unesi wesifazane|unesi wesifazane: uhlobo-3
	👩🏽‍⚕️;unesi wesifazane: uhlobo-4;owesifazane|udokotela|uhlobo-4|unesi|unesi wesifazane|unesi wesifazane: uhlobo-4
	👩🏾‍⚕️;unesi wesifazane: uhlobo-5;owesifazane|udokotela|uhlobo-5|unesi|unesi wesifazane|unesi wesifazane: uhlobo-5
	👩🏿‍⚕️;unesi wesifazane: uhlobo-6;owesifazane|udokotela|uhlobo-6|unesi|unesi wesifazane|unesi wesifazane: uhlobo-6
🧑‍🎓;umfundi;ophothulile|umfundi
	🧑🏻‍🎓;umfundi: uhlobo-1-2;ophothulile|uhlobo-1-2|umfundi|umfundi: uhlobo-1-2
	🧑🏼‍🎓;umfundi: uhlobo-3;ophothulile|uhlobo-3|umfundi|umfundi: uhlobo-3
	🧑🏽‍🎓;umfundi: uhlobo-4;ophothulile|uhlobo-4|umfundi|umfundi: uhlobo-4
	🧑🏾‍🎓;umfundi: uhlobo-5;ophothulile|uhlobo-5|umfundi|umfundi: uhlobo-5
	🧑🏿‍🎓;umfundi: uhlobo-6;ophothulile|uhlobo-6|umfundi|umfundi: uhlobo-6
👨‍🎓;umfundi wesilisa;indoda|isifundiswa|umfundi|umfundi wesilisa
	👨🏻‍🎓;umfundi wesilisa: uhlobo-1-2;indoda|isifundiswa|uhlobo-1-2|umfundi|umfundi wesilisa|umfundi wesilisa: uhlobo-1-2
	👨🏼‍🎓;umfundi wesilisa: uhlobo-3;indoda|isifundiswa|uhlobo-3|umfundi|umfundi wesilisa|umfundi wesilisa: uhlobo-3
	👨🏽‍🎓;umfundi wesilisa: uhlobo-4;indoda|isifundiswa|uhlobo-4|umfundi|umfundi wesilisa|umfundi wesilisa: uhlobo-4
	👨🏾‍🎓;umfundi wesilisa: uhlobo-5;indoda|isifundiswa|uhlobo-5|umfundi|umfundi wesilisa|umfundi wesilisa: uhlobo-5
	👨🏿‍🎓;umfundi wesilisa: uhlobo-6;indoda|isifundiswa|uhlobo-6|umfundi|umfundi wesilisa|umfundi wesilisa: uhlobo-6
👩‍🎓;umfundi wesifazane;isifundiswa|owesimame|umfundi|umfundi wesifazane
	👩🏻‍🎓;umfundi wesifazane: uhlobo-1-2;isifundiswa|owesimame|uhlobo-1-2|umfundi|umfundi wesifazane|umfundi wesifazane: uhlobo-1-2
	👩🏼‍🎓;umfundi wesifazane: uhlobo-3;isifundiswa|owesimame|uhlobo-3|umfundi|umfundi wesifazane|umfundi wesifazane: uhlobo-3
	👩🏽‍🎓;umfundi wesifazane: uhlobo-4;isifundiswa|owesimame|uhlobo-4|umfundi|umfundi wesifazane|umfundi wesifazane: uhlobo-4
	👩🏾‍🎓;umfundi wesifazane: uhlobo-5;isifundiswa|owesimame|uhlobo-5|umfundi|umfundi wesifazane|umfundi wesifazane: uhlobo-5
	👩🏿‍🎓;umfundi wesifazane: uhlobo-6;isifundiswa|owesimame|uhlobo-6|umfundi|umfundi wesifazane|umfundi wesifazane: uhlobo-6
🧑‍🏫;uthisha;umqondisi|uprofesa|uthisha
	🧑🏻‍🏫;uthisha: uhlobo-1-2;uhlobo-1-2|umqondisi|uprofesa|uthisha|uthisha: uhlobo-1-2
	🧑🏼‍🏫;uthisha: uhlobo-3;uhlobo-3|umqondisi|uprofesa|uthisha|uthisha: uhlobo-3
	🧑🏽‍🏫;uthisha: uhlobo-4;uhlobo-4|umqondisi|uprofesa|uthisha|uthisha: uhlobo-4
	🧑🏾‍🏫;uthisha: uhlobo-5;uhlobo-5|umqondisi|uprofesa|uthisha|uthisha: uhlobo-5
	🧑🏿‍🏫;uthisha: uhlobo-6;uhlobo-6|umqondisi|uprofesa|uthisha|uthisha: uhlobo-6
👨‍🏫;uthisha wesilisa;indoda|umyaleli|usolwazi|uthisha|uthisha wesilisa
	👨🏻‍🏫;uthisha wesilisa: uhlobo-1-2;indoda|uhlobo-1-2|umyaleli|usolwazi|uthisha|uthisha wesilisa|uthisha wesilisa: uhlobo-1-2
	👨🏼‍🏫;uthisha wesilisa: uhlobo-3;indoda|uhlobo-3|umyaleli|usolwazi|uthisha|uthisha wesilisa|uthisha wesilisa: uhlobo-3
	👨🏽‍🏫;uthisha wesilisa: uhlobo-4;indoda|uhlobo-4|umyaleli|usolwazi|uthisha|uthisha wesilisa|uthisha wesilisa: uhlobo-4
	👨🏾‍🏫;uthisha wesilisa: uhlobo-5;indoda|uhlobo-5|umyaleli|usolwazi|uthisha|uthisha wesilisa|uthisha wesilisa: uhlobo-5
	👨🏿‍🏫;uthisha wesilisa: uhlobo-6;indoda|uhlobo-6|umyaleli|usolwazi|uthisha|uthisha wesilisa|uthisha wesilisa: uhlobo-6
👩‍🏫;uthisha wesifazane;owesimame|umyaleli|usolwazi|uthisha|uthisha wesifazane
	👩🏻‍🏫;uthisha wesifazane: uhlobo-1-2;owesimame|uhlobo-1-2|umyaleli|usolwazi|uthisha|uthisha wesifazane|uthisha wesifazane: uhlobo-1-2
	👩🏼‍🏫;uthisha wesifazane: uhlobo-3;owesimame|uhlobo-3|umyaleli|usolwazi|uthisha|uthisha wesifazane|uthisha wesifazane: uhlobo-3
	👩🏽‍🏫;uthisha wesifazane: uhlobo-4;owesimame|uhlobo-4|umyaleli|usolwazi|uthisha|uthisha wesifazane|uthisha wesifazane: uhlobo-4
	👩🏾‍🏫;uthisha wesifazane: uhlobo-5;owesimame|uhlobo-5|umyaleli|usolwazi|uthisha|uthisha wesifazane|uthisha wesifazane: uhlobo-5
	👩🏿‍🏫;uthisha wesifazane: uhlobo-6;owesimame|uhlobo-6|umyaleli|usolwazi|uthisha|uthisha wesifazane|uthisha wesifazane: uhlobo-6
🧑‍⚖️;umahluleli;izikali|umahluleli
	🧑🏻‍⚖️;umahluleli: uhlobo-1-2;izikali|uhlobo-1-2|umahluleli|umahluleli: uhlobo-1-2
	🧑🏼‍⚖️;umahluleli: uhlobo-3;izikali|uhlobo-3|umahluleli|umahluleli: uhlobo-3
	🧑🏽‍⚖️;umahluleli: uhlobo-4;izikali|uhlobo-4|umahluleli|umahluleli: uhlobo-4
	🧑🏾‍⚖️;umahluleli: uhlobo-5;izikali|uhlobo-5|umahluleli|umahluleli: uhlobo-5
	🧑🏿‍⚖️;umahluleli: uhlobo-6;izikali|uhlobo-6|umahluleli|umahluleli: uhlobo-6
👨‍⚖️;ijaji lesilisa;ijaji lesilisa|indoda|owesilisa|ubulungiswa
	👨🏻‍⚖️;ijaji lesilisa: uhlobo-1-2;ijaji lesilisa|ijaji lesilisa: uhlobo-1-2|indoda|owesilisa|ubulungiswa|uhlobo-1-2
	👨🏼‍⚖️;ijaji lesilisa: uhlobo-3;ijaji lesilisa|ijaji lesilisa: uhlobo-3|indoda|owesilisa|ubulungiswa|uhlobo-3
	👨🏽‍⚖️;ijaji lesilisa: uhlobo-4;ijaji lesilisa|ijaji lesilisa: uhlobo-4|indoda|owesilisa|ubulungiswa|uhlobo-4
	👨🏾‍⚖️;ijaji lesilisa: uhlobo-5;ijaji lesilisa|ijaji lesilisa: uhlobo-5|indoda|owesilisa|ubulungiswa|uhlobo-5
	👨🏿‍⚖️;ijaji lesilisa: uhlobo-6;ijaji lesilisa|ijaji lesilisa: uhlobo-6|indoda|owesilisa|ubulungiswa|uhlobo-6
👩‍⚖️;ijaji lesifazane;ijaji|ijaji lesifazane|owesmame
	👩🏻‍⚖️;ijaji lesifazane: uhlobo-1-2;ijaji|ijaji lesifazane|ijaji lesifazane: uhlobo-1-2|owesmame|uhlobo-1-2
	👩🏼‍⚖️;ijaji lesifazane: uhlobo-3;ijaji|ijaji lesifazane|ijaji lesifazane: uhlobo-3|owesmame|uhlobo-3
	👩🏽‍⚖️;ijaji lesifazane: uhlobo-4;ijaji|ijaji lesifazane|ijaji lesifazane: uhlobo-4|owesmame|uhlobo-4
	👩🏾‍⚖️;ijaji lesifazane: uhlobo-5;ijaji|ijaji lesifazane|ijaji lesifazane: uhlobo-5|owesmame|uhlobo-5
	👩🏿‍⚖️;ijaji lesifazane: uhlobo-6;ijaji|ijaji lesifazane|ijaji lesifazane: uhlobo-6|owesmame|uhlobo-6
🧑‍🌾;umlimi;osika izihlahla|umlimi|uwasengadini
	🧑🏻‍🌾;umlimi: uhlobo-1-2;osika izihlahla|uhlobo-1-2|umlimi|umlimi: uhlobo-1-2|uwasengadini
	🧑🏼‍🌾;umlimi: uhlobo-3;osika izihlahla|uhlobo-3|umlimi|umlimi: uhlobo-3|uwasengadini
	🧑🏽‍🌾;umlimi: uhlobo-4;osika izihlahla|uhlobo-4|umlimi|umlimi: uhlobo-4|uwasengadini
	🧑🏾‍🌾;umlimi: uhlobo-5;osika izihlahla|uhlobo-5|umlimi|umlimi: uhlobo-5|uwasengadini
	🧑🏿‍🌾;umlimi: uhlobo-6;osika izihlahla|uhlobo-6|umlimi|umlimi: uhlobo-6|uwasengadini
👨‍🌾;umlimi wesilisa;indoda|umlimi|umlimi wesilisa
	👨🏻‍🌾;umlimi wesilisa: uhlobo-1-2;indoda|uhlobo-1-2|umlimi|umlimi wesilisa|umlimi wesilisa: uhlobo-1-2
	👨🏼‍🌾;umlimi wesilisa: uhlobo-3;indoda|uhlobo-3|umlimi|umlimi wesilisa|umlimi wesilisa: uhlobo-3
	👨🏽‍🌾;umlimi wesilisa: uhlobo-4;indoda|uhlobo-4|umlimi|umlimi wesilisa|umlimi wesilisa: uhlobo-4
	👨🏾‍🌾;umlimi wesilisa: uhlobo-5;indoda|uhlobo-5|umlimi|umlimi wesilisa|umlimi wesilisa: uhlobo-5
