[smileys_emotion]
😀;шырока ўсміхаецца;зубы|усмешка|шырока ўсміхаецца
🧓;у гадах;няпэўнага полу|у гадах|чалавек сталага ўзросту
	🧓🏻;у гадах: светлы тон скуры;няпэўнага полу|светлы тон скуры|у гадах|у гадах: светлы тон скуры|чалавек сталага ўзросту
	🧓🏼;у гадах: сярэднясветлы тон скуры;няпэўнага полу|сярэднясветлы тон скуры|у гадах|у гадах: сярэднясветлы тон скуры|чалавек сталага ўзросту
	🧓🏽;у гадах: сярэдні тон скуры;няпэўнага полу|сярэдні тон скуры|у гадах|у гадах: сярэдні тон скуры|чалавек сталага ўзросту
	🧓🏾;у гадах: сярэдняцёмны тон скуры;няпэўнага полу|сярэдняцёмны тон скуры|у гадах|у гадах: сярэдняцёмны тон скуры|чалавек сталага ўзросту
	🧓🏿;у гадах: цёмны тон скуры;няпэўнага полу|у гадах|у гадах: цёмны тон скуры|цёмны тон скуры|чалавек сталага ўзросту
👴;дзядуля;дзядуля|мужчына|стары
	👴🏻;дзядуля: светлы тон скуры;дзядуля|дзядуля: светлы тон скуры|мужчына|светлы тон скуры|стары
	👴🏼;дзядуля: сярэднясветлы тон скуры;дзядуля|дзядуля: сярэднясветлы тон скуры|мужчына|стары|сярэднясветлы тон скуры
	👴🏽;дзядуля: сярэдні тон скуры;дзядуля|дзядуля: сярэдні тон скуры|мужчына|стары|сярэдні тон скуры
	👴🏾;дзядуля: сярэдняцёмны тон скуры;дзядуля|дзядуля: сярэдняцёмны тон скуры|мужчына|стары|сярэдняцёмны тон скуры
	👴🏿;дзядуля: цёмны тон скуры;дзядуля|дзядуля: цёмны тон скуры|мужчына|стары|цёмны тон скуры
👵;бабуля;бабуля|жанчына|старая
	👵🏻;бабуля: светлы тон скуры;бабуля|бабуля: светлы тон скуры|жанчына|светлы тон скуры|старая
	👵🏼;бабуля: сярэднясветлы тон скуры;бабуля|бабуля: сярэднясветлы тон скуры|жанчына|старая|сярэднясветлы тон скуры
	👵🏽;бабуля: сярэдні тон скуры;бабуля|бабуля: сярэдні тон скуры|жанчына|старая|сярэдні тон скуры
	👵🏾;бабуля: сярэдняцёмны тон скуры;бабуля|бабуля: сярэдняцёмны тон скуры|жанчына|старая|сярэдняцёмны тон скуры
	👵🏿;бабуля: цёмны тон скуры;бабуля|бабуля: цёмны тон скуры|жанчына|старая|цёмны тон скуры
🙍;засмучаны чалавек;жэст|засмуціцца|засмучаны чалавек
	🙍🏻;засмучаны чалавек: светлы тон скуры;жэст|засмуціцца|засмучаны чалавек|засмучаны чалавек: светлы тон скуры|светлы тон скуры
	🙍🏼;засмучаны чалавек: сярэднясветлы тон скуры;жэст|засмуціцца|засмучаны чалавек|засмучаны чалавек: сярэднясветлы тон скуры|сярэднясветлы тон скуры
	🙍🏽;засмучаны чалавек: сярэдні тон скуры;жэст|засмуціцца|засмучаны чалавек|засмучаны чалавек: сярэдні тон скуры|сярэдні тон скуры
	🙍🏾;засмучаны чалавек: сярэдняцёмны тон скуры;жэст|засмуціцца|засмучаны чалавек|засмучаны чалавек: сярэдняцёмны тон скуры|сярэдняцёмны тон скуры
	🙍🏿;засмучаны чалавек: цёмны тон скуры;жэст|засмуціцца|засмучаны чалавек|засмучаны чалавек: цёмны тон скуры|цёмны тон скуры
🙍‍♂️;засмучаны мужчына;жэст|засмучаны|мужчына
	🙍🏻‍♂️;засмучаны мужчына: светлы тон скуры;жэст|засмучаны|засмучаны мужчына: светлы тон скуры|мужчына|светлы тон скуры
