[smileys_emotion]
😀;સ્મિત કરતો ચહેરો;ચહેરો|સ્મિત|સ્મિત કરતો ચહેરો
🦿;મશીનથી બનેલો પગ;ઍક્સેસિબિલિટી|કૃત્રિમ|મશીનથી બનેલો પગ
🦵;પગ;અંગ|કિક મારવી|પગ
	🦵🏻;પગ: ચામડીનો આછો રંગ;અંગ|કિક મારવી|ચામડીનો આછો રંગ|પગ|પગ: ચામડીનો આછો રંગ
	🦵🏼;પગ: ચામડીનો મધ્યમ આછો રંગ;અંગ|કિક મારવી|ચામડીનો મધ્યમ આછો રંગ|પગ|પગ: ચામડીનો મધ્યમ આછો રંગ
	🦵🏽;પગ: મધ્યમ ચામડીનો રંગ;અંગ|કિક મારવી|પગ|પગ: મધ્યમ ચામડીનો રંગ|મધ્યમ ચામડીનો રંગ
	🦵🏾;પગ: મધ્યમ ઘેરો ચામડીનો રંગ;અંગ|કિક મારવી|પગ|પગ: મધ્યમ ઘેરો ચામડીનો રંગ|મધ્યમ ઘેરો ચામડીનો રંગ
	🦵🏿;પગ: ઘેરો ચામડીનો રંગ;અંગ|કિક મારવી|ઘેરો ચામડીનો રંગ|પગ|પગ: ઘેરો ચામડીનો રંગ
🦶;પંજો;કિક મારવી|જોરથી પગ પછાડવો|પગ|પંજો
	🦶🏻;પંજો: ચામડીનો આછો રંગ;કિક મારવી|ચામડીનો આછો રંગ|જોરથી પગ પછાડવો|પગ|પંજો|પંજો: ચામડીનો આછો રંગ
	🦶🏼;પંજો: ચામડીનો મધ્યમ આછો રંગ;કિક મારવી|ચામડીનો મધ્યમ આછો રંગ|જોરથી પગ પછાડવો|પગ|પંજો|પંજો: ચામડીનો મધ્યમ આછો રંગ
	🦶🏽;પંજો: મધ્યમ ચામડીનો રંગ;કિક મારવી|જોરથી પગ પછાડવો|પગ|પંજો|પંજો: મધ્યમ ચામડીનો રંગ|મધ્યમ ચામડીનો રંગ
	🦶🏾;પંજો: મધ્યમ ઘેરો ચામડીનો રંગ;કિક મારવી|જોરથી પગ પછાડવો|પગ|પંજો|પંજો: મધ્યમ ઘેરો ચામડીનો રંગ|મધ્યમ ઘેરો ચામડીનો રંગ
	🦶🏿;પંજો: ઘેરો ચામડીનો રંગ;કિક મારવી|ઘેરો ચામડીનો રંગ|જોરથી પગ પછાડવો|પગ|પંજો|પંજો: ઘેરો ચામડીનો રંગ
👂;કાન;કાન|શરીર
	👂🏻;કાન: ચામડીનો આછો રંગ;કાન|કાન: ચામડીનો આછો રંગ|ચામડીનો આછો રંગ|શરીર
	👂🏼;કાન: ચામડીનો મધ્યમ આછો રંગ;કાન|કાન: ચામડીનો મધ્યમ આછો રંગ|ચામડીનો મધ્યમ આછો રંગ|શરીર
	👂🏽;કાન: મધ્યમ ચામડીનો રંગ;કાન|કાન: મધ્યમ ચામડીનો રંગ|મધ્યમ ચામડીનો રંગ|શરીર
	👂🏾;કાન: મધ્યમ ઘેરો ચામડીનો રંગ;કાન|કાન: મધ્યમ ઘેરો ચામડીનો રંગ|મધ્યમ ઘેરો ચામડીનો રંગ|શરીર
	👂🏿;કાન: ઘેરો ચામડીનો રંગ;કાન|કાન: ઘેરો ચામડીનો રંગ|ઘેરો ચામડીનો રંગ|શરીર
🦻;શ્રવણ યંત્રની સાથે કાન;ઍક્સેસિબિલિટી|ઓછું સાંભળનારું|શ્રવણ યંત્રની સાથે કાન
	🦻🏻;શ્રવણ યંત્રની સાથે કાન: ચામડીનો આછો રંગ;ઍક્સેસિબિલિટી|ઓછું સાંભળનારું|ચામડીનો આછો રંગ|શ્રવણ યંત્રની સાથે કાન|શ્રવણ યંત્રની સાથે કાન: ચામડીનો આછો રંગ
	🦻🏼;શ્રવણ યંત્રની સાથે કાન: ચામડીનો મધ્યમ આછો રંગ;ઍક્સેસિબિલિટી|ઓછું સાંભળનારું|ચામડીનો મધ્યમ આછો રંગ|શ્રવણ યંત્રની સાથે કાન|શ્રવણ યંત્રની સાથે કાન: ચામડીનો મધ્યમ આછો રંગ
	🦻🏽;શ્રવણ યંત્રની સાથે કાન: મધ્યમ ચામડીનો રંગ;ઍક્સેસિબિલિટી|ઓછું સાંભળનારું|મધ્યમ ચામડીનો રંગ|શ્રવણ યંત્રની સાથે કાન|શ્રવણ યંત્રની સાથે કાન: મધ્યમ ચામડીનો રંગ
	🦻🏾;શ્રવણ યંત્રની સાથે કાન: મધ્યમ ઘેરો ચામડીનો રંગ;ઍક્સેસિબિલિટી|ઓછું સાંભળનારું|મધ્યમ ઘેરો ચામડીનો રંગ|શ્રવણ યંત્રની સાથે કાન|શ્રવણ યંત્રની સાથે કાન: મધ્યમ ઘેરો ચામડીનો રંગ
	🦻🏿;શ્રવણ યંત્રની સાથે કાન: ઘેરો ચામડીનો રંગ;ઍક્સેસિબિલિટી|ઓછું સાંભળનારું|ઘેરો ચામડીનો રંગ|શ્રવણ યંત્રની સાથે કાન|શ્રવણ યંત્રની સાથે કાન: ઘેરો ચામડીનો રંગ
👃;નાક;ચહેરો|નાક|શરીર
	👃🏻;નાક: ચામડીનો આછો રંગ;ચહેરો|ચામડીનો આછો રંગ|નાક|નાક: ચામડીનો આછો રંગ|શરીર
	👃🏼;નાક: ચામડીનો મધ્યમ આછો રંગ;ચહેરો|ચામડીનો મધ્યમ આછો રંગ|નાક|નાક: ચામડીનો મધ્યમ આછો રંગ|શરીર
	👃🏽;નાક: મધ્યમ ચામડીનો રંગ;ચહેરો|નાક|નાક: મધ્યમ ચામડીનો રંગ|મધ્યમ ચામડીનો રંગ|શરીર
	👃🏾;નાક: મધ્યમ ઘેરો ચામડીનો રંગ;ચહેરો|નાક|નાક: મધ્યમ ઘેરો ચામડીનો રંગ|મધ્યમ ઘેરો ચામડીનો રંગ|શરીર
	👃🏿;નાક: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|ચહેરો|નાક|નાક: ઘેરો ચામડીનો રંગ|શરીર
🧠;મગજ;મગજ
🫀;હૃદય અંગ;અંગ|કાર્ડિયોલોજી|કેંદ્ર|ધબકારા|નાડી|હૃદય
🫁;ફેફ્સાં;અંગ|ફેફ્સાં|શ્વાસ|શ્વાસ બહાર કાઢવો|શ્વાસ લેવો|શ્વાસોચ્છ્વાસની પ્રક્રિયા
🦷;દાંત;દાંત
🦴;હાડકાં;હાડકાં
👀;આંખો;આંખો|ચહેરો|શરીર
👁️;આંખ;આંખ|શરીર
👅;જીભ;ચહેરો|જીભ|શરીર
👄;મોઢું;ચહેરો|મોઢું|શરીર|હોઠ
🫦;કરડતા હોઠ;અસ્વસ્થતા|આતુર|કરડતા હોઠ|ચિંતાતુર|ડર|નર્વસ|ફ્લર્ટિંગ
👶;શિશુ;લોકો|શિશુ
	👶🏻;શિશુ: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|લોકો|શિશુ|શિશુ: ચામડીનો આછો રંગ
	👶🏼;શિશુ: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|લોકો|શિશુ|શિશુ: ચામડીનો મધ્યમ આછો રંગ
	👶🏽;શિશુ: મધ્યમ ચામડીનો રંગ;મધ્યમ ચામડીનો રંગ|લોકો|શિશુ|શિશુ: મધ્યમ ચામડીનો રંગ
	👶🏾;શિશુ: મધ્યમ ઘેરો ચામડીનો રંગ;મધ્યમ ઘેરો ચામડીનો રંગ|લોકો|શિશુ|શિશુ: મધ્યમ ઘેરો ચામડીનો રંગ
	👶🏿;શિશુ: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|લોકો|શિશુ|શિશુ: ઘેરો ચામડીનો રંગ
🧒;બાળક;અનિર્દિષ્ટ લિંગ|બાળક|યુવાન|લિંગ તટસ્થ
	🧒🏻;બાળક: ચામડીનો આછો રંગ;અનિર્દિષ્ટ લિંગ|ચામડીનો આછો રંગ|બાળક|બાળક: ચામડીનો આછો રંગ|યુવાન|લિંગ તટસ્થ
	🧒🏼;બાળક: ચામડીનો મધ્યમ આછો રંગ;અનિર્દિષ્ટ લિંગ|ચામડીનો મધ્યમ આછો રંગ|બાળક|બાળક: ચામડીનો મધ્યમ આછો રંગ|યુવાન|લિંગ તટસ્થ
	🧒🏽;બાળક: મધ્યમ ચામડીનો રંગ;અનિર્દિષ્ટ લિંગ|બાળક|બાળક: મધ્યમ ચામડીનો રંગ|મધ્યમ ચામડીનો રંગ|યુવાન|લિંગ તટસ્થ
	🧒🏾;બાળક: મધ્યમ ઘેરો ચામડીનો રંગ;અનિર્દિષ્ટ લિંગ|બાળક|બાળક: મધ્યમ ઘેરો ચામડીનો રંગ|મધ્યમ ઘેરો ચામડીનો રંગ|યુવાન|લિંગ તટસ્થ
	🧒🏿;બાળક: ઘેરો ચામડીનો રંગ;અનિર્દિષ્ટ લિંગ|ઘેરો ચામડીનો રંગ|બાળક|બાળક: ઘેરો ચામડીનો રંગ|યુવાન|લિંગ તટસ્થ
