[smileys_emotion]
😀;tirjaygan yuz;tirjaygan yuz|tirjayish|yuz
	👨🏻‍💻;erkak texnolog: 1–2-teri turi;1–2-teri turi|dastur|dasturchi|erkak|erkak texnolog: 1–2-teri turi|ishlab chiquvchi|ixtirochi|texnolog
	👨🏼‍💻;erkak texnolog: 3-teri turi;3-teri turi|dastur|dasturchi|erkak|erkak texnolog: 3-teri turi|ishlab chiquvchi|ixtirochi|texnolog
	👨🏽‍💻;erkak texnolog: 4-teri turi;4-teri turi|dastur|dasturchi|erkak|erkak texnolog: 4-teri turi|ishlab chiquvchi|ixtirochi|texnolog
	👨🏾‍💻;erkak texnolog: 5-teri turi;5-teri turi|dastur|dasturchi|erkak|erkak texnolog: 5-teri turi|ishlab chiquvchi|ixtirochi|texnolog
	👨🏿‍💻;erkak texnolog: 6-teri turi;6-teri turi|dastur|dasturchi|erkak|erkak texnolog: 6-teri turi|ishlab chiquvchi|ixtirochi|texnolog
👩‍💻;ayol texnolog;ayol|dastur|dasturchi|ishlab chiquvchi|ixtirochi|texnolog
	👩🏻‍💻;ayol texnolog: 1–2-teri turi;1–2-teri turi|ayol|ayol texnolog: 1–2-teri turi|dastur|dasturchi|ishlab chiquvchi|ixtirochi|texnolog
	👩🏼‍💻;ayol texnolog: 3-teri turi;3-teri turi|ayol|ayol texnolog: 3-teri turi|dastur|dasturchi|ishlab chiquvchi|ixtirochi|texnolog
	👩🏽‍💻;ayol texnolog: 4-teri turi;4-teri turi|ayol|ayol texnolog: 4-teri turi|dastur|dasturchi|ishlab chiquvchi|ixtirochi|texnolog
	👩🏾‍💻;ayol texnolog: 5-teri turi;5-teri turi|ayol|ayol texnolog: 5-teri turi|dastur|dasturchi|ishlab chiquvchi|ixtirochi|texnolog
	👩🏿‍💻;ayol texnolog: 6-teri turi;6-teri turi|ayol|ayol texnolog: 6-teri turi|dastur|dasturchi|ishlab chiquvchi|ixtirochi|texnolog
🧑‍🎤;qoʻshiqchi;aktyor|artist|qoʻshiqchi|rok|sanʼatkor|yulduz
	🧑🏻‍🎤;qoʻshiqchi: 1–2-teri turi;1–2-teri turi|aktyor|artist|qoʻshiqchi|qoʻshiqchi: 1–2-teri turi|rok|sanʼatkor|yulduz
	🧑🏼‍🎤;qoʻshiqchi: 3-teri turi;3-teri turi|aktyor|artist|qoʻshiqchi|qoʻshiqchi: 3-teri turi|rok|sanʼatkor|yulduz
	🧑🏽‍🎤;qoʻshiqchi: 4-teri turi;4-teri turi|aktyor|artist|qoʻshiqchi|qoʻshiqchi: 4-teri turi|rok|sanʼatkor|yulduz
	🧑🏾‍🎤;qoʻshiqchi: 5-teri turi;5-teri turi|aktyor|artist|qoʻshiqchi|qoʻshiqchi: 5-teri turi|rok|sanʼatkor|yulduz
	🧑🏿‍🎤;qoʻshiqchi: 6-teri turi;6-teri turi|aktyor|artist|qoʻshiqchi|qoʻshiqchi: 6-teri turi|rok|sanʼatkor|yulduz
👨‍🎤;erkak qo‘shiqchi;aktyor|erkak|erkak qo‘shiqchi|estrada artisti|qoʻshiqchi|rok|yulduz
	👨🏻‍🎤;erkak qo‘shiqchi: 1–2-teri turi;1–2-teri turi|aktyor|erkak|erkak qo‘shiqchi|erkak qo‘shiqchi: 1–2-teri turi|estrada artisti|qoʻshiqchi|rok|yulduz
	👨🏼‍🎤;erkak qo‘shiqchi: 3-teri turi;3-teri turi|aktyor|erkak|erkak qo‘shiqchi|erkak qo‘shiqchi: 3-teri turi|estrada artisti|qoʻshiqchi|rok|yulduz
	👨🏽‍🎤;erkak qo‘shiqchi: 4-teri turi;4-teri turi|aktyor|erkak|erkak qo‘shiqchi|erkak qo‘shiqchi: 4-teri turi|estrada artisti|qoʻshiqchi|rok|yulduz
	👨🏾‍🎤;erkak qo‘shiqchi: 5-teri turi;5-teri turi|aktyor|erkak|erkak qo‘shiqchi|erkak qo‘shiqchi: 5-teri turi|estrada artisti|qoʻshiqchi|rok|yulduz
	👨🏿‍🎤;erkak qo‘shiqchi: 6-teri turi;6-teri turi|aktyor|erkak|erkak qo‘shiqchi|erkak qo‘shiqchi: 6-teri turi|estrada artisti|qoʻshiqchi|rok|yulduz
👩‍🎤;ayol qo‘shiqchi;aktyor|ayol|ayol qo‘shiqchi|estrada artisti|qoʻshiqchi|rok|yulduz
	👩🏻‍🎤;ayol qo‘shiqchi: 1–2-teri turi;1–2-teri turi|aktyor|ayol|ayol qo‘shiqchi|ayol qo‘shiqchi: 1–2-teri turi|estrada artisti|qoʻshiqchi|rok|yulduz
	👩🏼‍🎤;ayol qo‘shiqchi: 3-teri turi;3-teri turi|aktyor|ayol|ayol qo‘shiqchi|ayol qo‘shiqchi: 3-teri turi|estrada artisti|qoʻshiqchi|rok|yulduz
	👩🏽‍🎤;ayol qo‘shiqchi: 4-teri turi;4-teri turi|aktyor|ayol|ayol qo‘shiqchi|ayol qo‘shiqchi: 4-teri turi|estrada artisti|qoʻshiqchi|rok|yulduz
	👩🏾‍🎤;ayol qo‘shiqchi: 5-teri turi;5-teri turi|aktyor|ayol|ayol qo‘shiqchi|ayol qo‘shiqchi: 5-teri turi|estrada artisti|qoʻshiqchi|rok|yulduz
	👩🏿‍🎤;ayol qo‘shiqchi: 6-teri turi;6-teri turi|aktyor|ayol|ayol qo‘shiqchi|ayol qo‘shiqchi: 6-teri turi|estrada artisti|qoʻshiqchi|rok|yulduz
🧑‍🎨;rassom;musavvir|palitra|rassom
	🧑🏻‍🎨;rassom: 1–2-teri turi;1–2-teri turi|musavvir|palitra|rassom|rassom: 1–2-teri turi
	🧑🏼‍🎨;rassom: 3-teri turi;3-teri turi|musavvir|palitra|rassom|rassom: 3-teri turi
	🧑🏽‍🎨;rassom: 4-teri turi;4-teri turi|musavvir|palitra|rassom|rassom: 4-teri turi
	🧑🏾‍🎨;rassom: 5-teri turi;5-teri turi|musavvir|palitra|rassom|rassom: 5-teri turi
	🧑🏿‍🎨;rassom: 6-teri turi;6-teri turi|musavvir|palitra|rassom|rassom: 6-teri turi
👨‍🎨;erkak rassom;erkak|palitra|rassom
	👨🏻‍🎨;erkak rassom: 1–2-teri turi;1–2-teri turi|erkak|erkak rassom: 1–2-teri turi|palitra|rassom
	👨🏼‍🎨;erkak rassom: 3-teri turi;3-teri turi|erkak|erkak rassom: 3-teri turi|palitra|rassom
	👨🏽‍🎨;erkak rassom: 4-teri turi;4-teri turi|erkak|erkak rassom: 4-teri turi|palitra|rassom
	👨🏾‍🎨;erkak rassom: 5-teri turi;5-teri turi|erkak|erkak rassom: 5-teri turi|palitra|rassom
	👨🏿‍🎨;erkak rassom: 6-teri turi;6-teri turi|erkak|erkak rassom: 6-teri turi|palitra|rassom
👩‍🎨;ayol rassom;ayol|palitra|rassom
	👩🏻‍🎨;ayol rassom: 1–2-teri turi;1–2-teri turi|ayol|ayol rassom: 1–2-teri turi|palitra|rassom
	👩🏼‍🎨;ayol rassom: 3-teri turi;3-teri turi|ayol|ayol rassom: 3-teri turi|palitra|rassom
	👩🏽‍🎨;ayol rassom: 4-teri turi;4-teri turi|ayol|ayol rassom: 4-teri turi|palitra|rassom
	👩🏾‍🎨;ayol rassom: 5-teri turi;5-teri turi|ayol|ayol rassom: 5-teri turi|palitra|rassom
	👩🏿‍🎨;ayol rassom: 6-teri turi;6-teri turi|ayol|ayol rassom: 6-teri turi|palitra|rassom
🧑‍✈️;uchuvchi;samolyot|uchuvchi
	🧑🏻‍✈️;uchuvchi: 1–2-teri turi;1–2-teri turi|samolyot|uchuvchi|uchuvchi: 1–2-teri turi
	🧑🏼‍✈️;uchuvchi: 3-teri turi;3-teri turi|samolyot|uchuvchi|uchuvchi: 3-teri turi
	🧑🏽‍✈️;uchuvchi: 4-teri turi;4-teri turi|samolyot|uchuvchi|uchuvchi: 4-teri turi
	🧑🏾‍✈️;uchuvchi: 5-teri turi;5-teri turi|samolyot|uchuvchi|uchuvchi: 5-teri turi
	🧑🏿‍✈️;uchuvchi: 6-teri turi;6-teri turi|samolyot|uchuvchi|uchuvchi: 6-teri turi
👨‍✈️;erkak uchuvchi;erkak|kishi|samolyot|uchuvchi
	👨🏻‍✈️;erkak uchuvchi: 1–2-teri turi;1–2-teri turi|erkak|erkak uchuvchi: 1–2-teri turi|kishi|samolyot|uchuvchi
	👨🏼‍✈️;erkak uchuvchi: 3-teri turi;3-teri turi|erkak|erkak uchuvchi: 3-teri turi|kishi|samolyot|uchuvchi
	👨🏽‍✈️;erkak uchuvchi: 4-teri turi;4-teri turi|erkak|erkak uchuvchi: 4-teri turi|kishi|samolyot|uchuvchi
	👨🏾‍✈️;erkak uchuvchi: 5-teri turi;5-teri turi|erkak|erkak uchuvchi: 5-teri turi|kishi|samolyot|uchuvchi
	👨🏿‍✈️;erkak uchuvchi: 6-teri turi;6-teri turi|erkak|erkak uchuvchi: 6-teri turi|kishi|samolyot|uchuvchi
👩‍✈️;ayol uchuvchi;ayol|samolyot|uchuvchi|xotin
	👩🏻‍✈️;ayol uchuvchi: 1–2-teri turi;1–2-teri turi|ayol|ayol uchuvchi: 1–2-teri turi|samolyot|uchuvchi|xotin
	👩🏼‍✈️;ayol uchuvchi: 3-teri turi;3-teri turi|ayol|ayol uchuvchi: 3-teri turi|samolyot|uchuvchi|xotin
	👩🏽‍✈️;ayol uchuvchi: 4-teri turi;4-teri turi|ayol|ayol uchuvchi: 4-teri turi|samolyot|uchuvchi|xotin
	👩🏾‍✈️;ayol uchuvchi: 5-teri turi;5-teri turi|ayol|ayol uchuvchi: 5-teri turi|samolyot|uchuvchi|xotin
	👩🏿‍✈️;ayol uchuvchi: 6-teri turi;6-teri turi|ayol|ayol uchuvchi: 6-teri turi|samolyot|uchuvchi|xotin
🧑‍🚀;astronavt;astronavt|raketa
	🧑🏻‍🚀;astronavt: 1–2-teri turi;1–2-teri turi|astronavt|astronavt: 1–2-teri turi|raketa
	🧑🏼‍🚀;astronavt: 3-teri turi;3-teri turi|astronavt|astronavt: 3-teri turi|raketa
	🧑🏽‍🚀;astronavt: 4-teri turi;4-teri turi|astronavt|astronavt: 4-teri turi|raketa
	🧑🏾‍🚀;astronavt: 5-teri turi;5-teri turi|astronavt|astronavt: 5-teri turi|raketa
	🧑🏿‍🚀;astronavt: 6-teri turi;6-teri turi|astronavt|astronavt: 6-teri turi|raketa
👨‍🚀;erkak kosmonavt;erkak|fazo|kosmonavt|raketa
	👨🏻‍🚀;erkak kosmonavt: 1–2-teri turi;1–2-teri turi|erkak|erkak kosmonavt: 1–2-teri turi|fazo|kosmonavt|raketa
	👨🏼‍🚀;erkak kosmonavt: 3-teri turi;3-teri turi|erkak|erkak kosmonavt: 3-teri turi|fazo|kosmonavt|raketa
	👨🏽‍🚀;erkak kosmonavt: 4-teri turi;4-teri turi|erkak|erkak kosmonavt: 4-teri turi|fazo|kosmonavt|raketa
	👨🏾‍🚀;erkak kosmonavt: 5-teri turi;5-teri turi|erkak|erkak kosmonavt: 5-teri turi|fazo|kosmonavt|raketa
	👨🏿‍🚀;erkak kosmonavt: 6-teri turi;6-teri turi|erkak|erkak kosmonavt: 6-teri turi|fazo|kosmonavt|raketa
👩‍🚀;ayol kosmonavt;ayol|fazo|kosmonavt|raketa
	👩🏻‍🚀;ayol kosmonavt: 1–2-teri turi;1–2-teri turi|ayol|ayol kosmonavt: 1–2-teri turi|fazo|kosmonavt|raketa
	👩🏼‍🚀;ayol kosmonavt: 3-teri turi;3-teri turi|ayol|ayol kosmonavt: 3-teri turi|fazo|kosmonavt|raketa
	👩🏽‍🚀;ayol kosmonavt: 4-teri turi;4-teri turi|ayol|ayol kosmonavt: 4-teri turi|fazo|kosmonavt|raketa
	👩🏾‍🚀;ayol kosmonavt: 5-teri turi;5-teri turi|ayol|ayol kosmonavt: 5-teri turi|fazo|kosmonavt|raketa
	👩🏿‍🚀;ayol kosmonavt: 6-teri turi;6-teri turi|ayol|ayol kosmonavt: 6-teri turi|fazo|kosmonavt|raketa
🧑‍🚒;oʻt oʻchiruvchi;oʻt oʻchirish mashinasi|oʻt oʻchiruvchi
	🧑🏻‍🚒;oʻt oʻchiruvchi: 1–2-teri turi;1–2-teri turi|oʻt oʻchirish mashinasi|oʻt oʻchiruvchi|oʻt oʻchiruvchi: 1–2-teri turi
	🧑🏼‍🚒;oʻt oʻchiruvchi: 3-teri turi;3-teri turi|oʻt oʻchirish mashinasi|oʻt oʻchiruvchi|oʻt oʻchiruvchi: 3-teri turi
	🧑🏽‍🚒;oʻt oʻchiruvchi: 4-teri turi;4-teri turi|oʻt oʻchirish mashinasi|oʻt oʻchiruvchi|oʻt oʻchiruvchi: 4-teri turi
	🧑🏾‍🚒;oʻt oʻchiruvchi: 5-teri turi;5-teri turi|oʻt oʻchirish mashinasi|oʻt oʻchiruvchi|oʻt oʻchiruvchi: 5-teri turi
	🧑🏿‍🚒;oʻt oʻchiruvchi: 6-teri turi;6-teri turi|oʻt oʻchirish mashinasi|oʻt oʻchiruvchi|oʻt oʻchiruvchi: 6-teri turi
👨‍🚒;erkak o‘t o‘chiruvchi;erkak|erkak o‘t o‘chiruvchi|oʻt o‘chiruvchi|oʻt oʻchirish mashinasi
	👨🏻‍🚒;erkak o‘t o‘chiruvchi: 1–2-teri turi;1–2-teri turi|erkak|erkak o‘t o‘chiruvchi|erkak o‘t o‘chiruvchi: 1–2-teri turi|oʻt o‘chiruvchi|oʻt oʻchirish mashinasi
	👨🏼‍🚒;erkak o‘t o‘chiruvchi: 3-teri turi;3-teri turi|erkak|erkak o‘t o‘chiruvchi|erkak o‘t o‘chiruvchi: 3-teri turi|oʻt o‘chiruvchi|oʻt oʻchirish mashinasi
	👨🏽‍🚒;erkak o‘t o‘chiruvchi: 4-teri turi;4-teri turi|erkak|erkak o‘t o‘chiruvchi|erkak o‘t o‘chiruvchi: 4-teri turi|oʻt o‘chiruvchi|oʻt oʻchirish mashinasi
	👨🏾‍🚒;erkak o‘t o‘chiruvchi: 5-teri turi;5-teri turi|erkak|erkak o‘t o‘chiruvchi|erkak o‘t o‘chiruvchi: 5-teri turi|oʻt o‘chiruvchi|oʻt oʻchirish mashinasi
	👨🏿‍🚒;erkak o‘t o‘chiruvchi: 6-teri turi;6-teri turi|erkak|erkak o‘t o‘chiruvchi|erkak o‘t o‘chiruvchi: 6-teri turi|oʻt o‘chiruvchi|oʻt oʻchirish mashinasi
👩‍🚒;ayol o‘t o‘chiruvchi;ayol|ayol o‘t o‘chiruvchi|oʻt o‘chiruvchi|oʻt oʻchirish mashinasi
	👩🏻‍🚒;ayol o‘t o‘chiruvchi: 1–2-teri turi;1–2-teri turi|ayol|ayol o‘t o‘chiruvchi|ayol o‘t o‘chiruvchi: 1–2-teri turi|oʻt o‘chiruvchi|oʻt oʻchirish mashinasi
	👩🏼‍🚒;ayol o‘t o‘chiruvchi: 3-teri turi;3-teri turi|ayol|ayol o‘t o‘chiruvchi|ayol o‘t o‘chiruvchi: 3-teri turi|oʻt o‘chiruvchi|oʻt oʻchirish mashinasi
	👩🏽‍🚒;ayol o‘t o‘chiruvchi: 4-teri turi;4-teri turi|ayol|ayol o‘t o‘chiruvchi|ayol o‘t o‘chiruvchi: 4-teri turi|oʻt o‘chiruvchi|oʻt oʻchirish mashinasi
	👩🏾‍🚒;ayol o‘t o‘chiruvchi: 5-teri turi;5-teri turi|ayol|ayol o‘t o‘chiruvchi|ayol o‘t o‘chiruvchi: 5-teri turi|oʻt o‘chiruvchi|oʻt oʻchirish mashinasi
	👩🏿‍🚒;ayol o‘t o‘chiruvchi: 6-teri turi;6-teri turi|ayol|ayol o‘t o‘chiruvchi|ayol o‘t o‘chiruvchi: 6-teri turi|oʻt o‘chiruvchi|oʻt oʻchirish mashinasi
👮;politsiya xodimi;ofitser|politsiya|politsiya xodimi|politsiyachi
	👮🏻;politsiya xodimi: 1–2-teri turi;1–2-teri turi|ofitser|politsiya|politsiya xodimi|politsiya xodimi: 1–2-teri turi|politsiyachi
	👮🏼;politsiya xodimi: 3-teri turi;3-teri turi|ofitser|politsiya|politsiya xodimi|politsiya xodimi: 3-teri turi|politsiyachi
	👮🏽;politsiya xodimi: 4-teri turi;4-teri turi|ofitser|politsiya|politsiya xodimi|politsiya xodimi: 4-teri turi|politsiyachi
	👮🏾;politsiya xodimi: 5-teri turi;5-teri turi|ofitser|politsiya|politsiya xodimi|politsiya xodimi: 5-teri turi|politsiyachi
	👮🏿;politsiya xodimi: 6-teri turi;6-teri turi|ofitser|politsiya|politsiya xodimi|politsiya xodimi: 6-teri turi|politsiyachi
👮‍♂️;erkak politsiyachi;erkak|politsiya|politsiyachi
	👮🏻‍♂️;erkak politsiyachi: 1–2-teri turi;1–2-teri turi|erkak|erkak politsiyachi: 1–2-teri turi|politsiya|politsiyachi
	👮🏼‍♂️;erkak politsiyachi: 3-teri turi;3-teri turi|erkak|erkak politsiyachi: 3-teri turi|politsiya|politsiyachi
	👮🏽‍♂️;erkak politsiyachi: 4-teri turi;4-teri turi|erkak|erkak politsiyachi: 4-teri turi|politsiya|politsiyachi
	👮🏾‍♂️;erkak politsiyachi: 5-teri turi;5-teri turi|erkak|erkak politsiyachi: 5-teri turi|politsiya|politsiyachi
	👮🏿‍♂️;erkak politsiyachi: 6-teri turi;6-teri turi|erkak|erkak politsiyachi: 6-teri turi|politsiya|politsiyachi
👮‍♀️;ayol politsiyachi;ayol|politsiya|politsiyachi
	👮🏻‍♀️;ayol politsiyachi: 1–2-teri turi;1–2-teri turi|ayol|ayol politsiyachi: 1–2-teri turi|politsiya|politsiyachi
	👮🏼‍♀️;ayol politsiyachi: 3-teri turi;3-teri turi|ayol|ayol politsiyachi: 3-teri turi|politsiya|politsiyachi
	👮🏽‍♀️;ayol politsiyachi: 4-teri turi;4-teri turi|ayol|ayol politsiyachi: 4-teri turi|politsiya|politsiyachi
	👮🏾‍♀️;ayol politsiyachi: 5-teri turi;5-teri turi|ayol|ayol politsiyachi: 5-teri turi|politsiya|politsiyachi
	👮🏿‍♀️;ayol politsiyachi: 6-teri turi;6-teri turi|ayol|ayol politsiyachi: 6-teri turi|politsiya|politsiyachi
🕵️;izquvar;izquvar|josus
	🕵🏻;izquvar: 1–2-teri turi;1–2-teri turi|izquvar|izquvar: 1–2-teri turi|josus
	🕵🏼;izquvar: 3-teri turi;3-teri turi|izquvar|izquvar: 3-teri turi|josus
	🕵🏽;izquvar: 4-teri turi;4-teri turi|izquvar|izquvar: 4-teri turi|josus
	🕵🏾;izquvar: 5-teri turi;5-teri turi|izquvar|izquvar: 5-teri turi|josus
	🕵🏿;izquvar: 6-teri turi;6-teri turi|izquvar|izquvar: 6-teri turi|josus
🕵️‍♂️;erkak izquvar;detektiv|erkak|izquvar|josus
	🕵🏻‍♂️;erkak izquvar: 1–2-teri turi;1–2-teri turi|detektiv|erkak|erkak izquvar: 1–2-teri turi|izquvar|josus
	🕵🏼‍♂️;erkak izquvar: 3-teri turi;3-teri turi|detektiv|erkak|erkak izquvar: 3-teri turi|izquvar|josus
	🕵🏽‍♂️;erkak izquvar: 4-teri turi;4-teri turi|detektiv|erkak|erkak izquvar: 4-teri turi|izquvar|josus
	🕵🏾‍♂️;erkak izquvar: 5-teri turi;5-teri turi|detektiv|erkak|erkak izquvar: 5-teri turi|izquvar|josus
	🕵🏿‍♂️;erkak izquvar: 6-teri turi;6-teri turi|detektiv|erkak|erkak izquvar: 6-teri turi|izquvar|josus
🕵️‍♀️;ayol izquvar;ayol|detektiv|izquvar|josus
	🕵🏻‍♀️;ayol izquvar: 1–2-teri turi;1–2-teri turi|ayol|ayol izquvar: 1–2-teri turi|detektiv|izquvar|josus
	🕵🏼‍♀️;ayol izquvar: 3-teri turi;3-teri turi|ayol|ayol izquvar: 3-teri turi|detektiv|izquvar|josus
	🕵🏽‍♀️;ayol izquvar: 4-teri turi;4-teri turi|ayol|ayol izquvar: 4-teri turi|detektiv|izquvar|josus
	🕵🏾‍♀️;ayol izquvar: 5-teri turi;5-teri turi|ayol|ayol izquvar: 5-teri turi|detektiv|izquvar|josus
	🕵🏿‍♀️;ayol izquvar: 6-teri turi;6-teri turi|ayol|ayol izquvar: 6-teri turi|detektiv|izquvar|josus
💂;qo‘riqchi;qo‘riqchi|soqchi
	💂🏻;qo‘riqchi: 1–2-teri turi;1–2-teri turi|qo‘riqchi|qo‘riqchi: 1–2-teri turi|soqchi
	💂🏼;qo‘riqchi: 3-teri turi;3-teri turi|qo‘riqchi|qo‘riqchi: 3-teri turi|soqchi
	💂🏽;qo‘riqchi: 4-teri turi;4-teri turi|qo‘riqchi|qo‘riqchi: 4-teri turi|soqchi
	💂🏾;qo‘riqchi: 5-teri turi;5-teri turi|qo‘riqchi|qo‘riqchi: 5-teri turi|soqchi
	💂🏿;qo‘riqchi: 6-teri turi;6-teri turi|qo‘riqchi|qo‘riqchi: 6-teri turi|soqchi
💂‍♂️;erkak qo‘riqchi;erkak|qo‘riqchi
	💂🏻‍♂️;erkak qo‘riqchi: 1–2-teri turi;1–2-teri turi|erkak|erkak qo‘riqchi: 1–2-teri turi|qo‘riqchi
	💂🏼‍♂️;erkak qo‘riqchi: 3-teri turi;3-teri turi|erkak|erkak qo‘riqchi: 3-teri turi|qo‘riqchi
	💂🏽‍♂️;erkak qo‘riqchi: 4-teri turi;4-teri turi|erkak|erkak qo‘riqchi: 4-teri turi|qo‘riqchi
	💂🏾‍♂️;erkak qo‘riqchi: 5-teri turi;5-teri turi|erkak|erkak qo‘riqchi: 5-teri turi|qo‘riqchi
	💂🏿‍♂️;erkak qo‘riqchi: 6-teri turi;6-teri turi|erkak|erkak qo‘riqchi: 6-teri turi|qo‘riqchi
💂‍♀️;ayol qo‘riqchi;ayol|qo‘riqchi
	💂🏻‍♀️;ayol qo‘riqchi: 1–2-teri turi;1–2-teri turi|ayol|ayol qo‘riqchi: 1–2-teri turi|qo‘riqchi
	💂🏼‍♀️;ayol qo‘riqchi: 3-teri turi;3-teri turi|ayol|ayol qo‘riqchi: 3-teri turi|qo‘riqchi
	💂🏽‍♀️;ayol qo‘riqchi: 4-teri turi;4-teri turi|ayol|ayol qo‘riqchi: 4-teri turi|qo‘riqchi
	💂🏾‍♀️;ayol qo‘riqchi: 5-teri turi;5-teri turi|ayol|ayol qo‘riqchi: 5-teri turi|qo‘riqchi
	💂🏿‍♀️;ayol qo‘riqchi: 6-teri turi;6-teri turi|ayol|ayol qo‘riqchi: 6-teri turi|qo‘riqchi
🥷;ninza;jangchi|koʻrinmas|ninza|yashirin
	🥷🏻;ninza: 1–2-teri turi;1–2-teri turi|jangchi|koʻrinmas|ninza|ninza: 1–2-teri turi|yashirin
	🥷🏼;ninza: 3-teri turi;3-teri turi|jangchi|koʻrinmas|ninza|ninza: 3-teri turi|yashirin
	🥷🏽;ninza: 4-teri turi;4-teri turi|jangchi|koʻrinmas|ninza|ninza: 4-teri turi|yashirin
	🥷🏾;ninza: 5-teri turi;5-teri turi|jangchi|koʻrinmas|ninza|ninza: 5-teri turi|yashirin
	🥷🏿;ninza: 6-teri turi;6-teri turi|jangchi|koʻrinmas|ninza|ninza: 6-teri turi|yashirin
👷;quruvchi;bosh kiyim|ishchi|qurilish|quruvchi
	👷🏻;quruvchi: 1–2-teri turi;1–2-teri turi|bosh kiyim|ishchi|qurilish|quruvchi|quruvchi: 1–2-teri turi
	👷🏼;quruvchi: 3-teri turi;3-teri turi|bosh kiyim|ishchi|qurilish|quruvchi|quruvchi: 3-teri turi
	👷🏽;quruvchi: 4-teri turi;4-teri turi|bosh kiyim|ishchi|qurilish|quruvchi|quruvchi: 4-teri turi
	👷🏾;quruvchi: 5-teri turi;5-teri turi|bosh kiyim|ishchi|qurilish|quruvchi|quruvchi: 5-teri turi
	👷🏿;quruvchi: 6-teri turi;6-teri turi|bosh kiyim|ishchi|qurilish|quruvchi|quruvchi: 6-teri turi
👷‍♂️;erkak quruvchi;erkak|qurilish|quruvchi
	👷🏻‍♂️;erkak quruvchi: 1–2-teri turi;1–2-teri turi|erkak|erkak quruvchi: 1–2-teri turi|qurilish|quruvchi
	👷🏼‍♂️;erkak quruvchi: 3-teri turi;3-teri turi|erkak|erkak quruvchi: 3-teri turi|qurilish|quruvchi
	👷🏽‍♂️;erkak quruvchi: 4-teri turi;4-teri turi|erkak|erkak quruvchi: 4-teri turi|qurilish|quruvchi
	👷🏾‍♂️;erkak quruvchi: 5-teri turi;5-teri turi|erkak|erkak quruvchi: 5-teri turi|qurilish|quruvchi
	👷🏿‍♂️;erkak quruvchi: 6-teri turi;6-teri turi|erkak|erkak quruvchi: 6-teri turi|qurilish|quruvchi
👷‍♀️;ayol quruvchi;ayol|qurilish|quruvchi
	👷🏻‍♀️;ayol quruvchi: 1–2-teri turi;1–2-teri turi|ayol|ayol quruvchi: 1–2-teri turi|qurilish|quruvchi
	👷🏼‍♀️;ayol quruvchi: 3-teri turi;3-teri turi|ayol|ayol quruvchi: 3-teri turi|qurilish|quruvchi
	👷🏽‍♀️;ayol quruvchi: 4-teri turi;4-teri turi|ayol|ayol quruvchi: 4-teri turi|qurilish|quruvchi
	👷🏾‍♀️;ayol quruvchi: 5-teri turi;5-teri turi|ayol|ayol quruvchi: 5-teri turi|qurilish|quruvchi
	👷🏿‍♀️;ayol quruvchi: 6-teri turi;6-teri turi|ayol|ayol quruvchi: 6-teri turi|qurilish|quruvchi
🫅;tojli odam;monarx|olijanob|qirollik|shohona|tojli odam
	🫅🏻;tojli odam: 1–2-teri turi;1–2-teri turi|monarx|olijanob|qirollik|shohona|tojli odam|tojli odam: 1–2-teri turi
	🫅🏼;tojli odam: 3-teri turi;3-teri turi|monarx|olijanob|qirollik|shohona|tojli odam|tojli odam: 3-teri turi
	🫅🏽;tojli odam: 4-teri turi;4-teri turi|monarx|olijanob|qirollik|shohona|tojli odam|tojli odam: 4-teri turi
	🫅🏾;tojli odam: 5-teri turi;5-teri turi|monarx|olijanob|qirollik|shohona|tojli odam|tojli odam: 5-teri turi
	🫅🏿;tojli odam: 6-teri turi;6-teri turi|monarx|olijanob|qirollik|shohona|tojli odam|tojli odam: 6-teri turi
🤴;shahzoda;shahzoda
	🤴🏻;shahzoda: 1–2-teri turi;1–2-teri turi|shahzoda|shahzoda: 1–2-teri turi
	🤴🏼;shahzoda: 3-teri turi;3-teri turi|shahzoda|shahzoda: 3-teri turi
	🤴🏽;shahzoda: 4-teri turi;4-teri turi|shahzoda|shahzoda: 4-teri turi
	🤴🏾;shahzoda: 5-teri turi;5-teri turi|shahzoda|shahzoda: 5-teri turi
	🤴🏿;shahzoda: 6-teri turi;6-teri turi|shahzoda|shahzoda: 6-teri turi
👸;malika;ertak|fantaziya|malika
	👸🏻;malika: 1–2-teri turi;1–2-teri turi|ertak|fantaziya|malika|malika: 1–2-teri turi
	👸🏼;malika: 3-teri turi;3-teri turi|ertak|fantaziya|malika|malika: 3-teri turi
	👸🏽;malika: 4-teri turi;4-teri turi|ertak|fantaziya|malika|malika: 4-teri turi
	👸🏾;malika: 5-teri turi;5-teri turi|ertak|fantaziya|malika|malika: 5-teri turi
	👸🏿;malika: 6-teri turi;6-teri turi|ertak|fantaziya|malika|malika: 6-teri turi
👳;salla kiygan erkak;erkak|salla|salla kiygan erkak
	👳🏻;salla kiygan erkak: 1–2-teri turi;1–2-teri turi|erkak|salla|salla kiygan erkak|salla kiygan erkak: 1–2-teri turi
	👳🏼;salla kiygan erkak: 3-teri turi;3-teri turi|erkak|salla|salla kiygan erkak|salla kiygan erkak: 3-teri turi
	👳🏽;salla kiygan erkak: 4-teri turi;4-teri turi|erkak|salla|salla kiygan erkak|salla kiygan erkak: 4-teri turi
	👳🏾;salla kiygan erkak: 5-teri turi;5-teri turi|erkak|salla|salla kiygan erkak|salla kiygan erkak: 5-teri turi
