[smileys_emotion]
😀;glottandi andlit;andlit|glott|glottandi andlit
	👨🏼‍⚕️;karlkyns heilbrigðisstarfsmaður: meðalljós húðlitur;heilsa|hjúkrunarfræðingur|karl|karlkyns heilbrigðisstarfsmaður|karlkyns heilbrigðisstarfsmaður: meðalljós húðlitur|læknir|meðalljós húðlitur
	👨🏽‍⚕️;karlkyns heilbrigðisstarfsmaður: millihúðlitur;heilsa|hjúkrunarfræðingur|karl|karlkyns heilbrigðisstarfsmaður|karlkyns heilbrigðisstarfsmaður: millihúðlitur|læknir|millihúðlitur
	👨🏾‍⚕️;karlkyns heilbrigðisstarfsmaður: meðaldökkur húðlitur;heilsa|hjúkrunarfræðingur|karl|karlkyns heilbrigðisstarfsmaður|karlkyns heilbrigðisstarfsmaður: meðaldökkur húðlitur|læknir|meðaldökkur húðlitur
	👨🏿‍⚕️;karlkyns heilbrigðisstarfsmaður: dökkur húðlitur;dökkur húðlitur|heilsa|hjúkrunarfræðingur|karl|karlkyns heilbrigðisstarfsmaður|karlkyns heilbrigðisstarfsmaður: dökkur húðlitur|læknir
👩‍⚕️;kvenkyns heilbrigðisstarfsmaður;heilsa|hjúkrunarfræðingur|kona|kvenkyns heilbrigðisstarfsmaður|læknir
	👩🏻‍⚕️;kvenkyns heilbrigðisstarfsmaður: ljós húðlitur;heilsa|hjúkrunarfræðingur|kona|kvenkyns heilbrigðisstarfsmaður|kvenkyns heilbrigðisstarfsmaður: ljós húðlitur|læknir|ljós húðlitur
	👩🏼‍⚕️;kvenkyns heilbrigðisstarfsmaður: meðalljós húðlitur;heilsa|hjúkrunarfræðingur|kona|kvenkyns heilbrigðisstarfsmaður|kvenkyns heilbrigðisstarfsmaður: meðalljós húðlitur|læknir|meðalljós húðlitur
	👩🏽‍⚕️;kvenkyns heilbrigðisstarfsmaður: millihúðlitur;heilsa|hjúkrunarfræðingur|kona|kvenkyns heilbrigðisstarfsmaður|kvenkyns heilbrigðisstarfsmaður: millihúðlitur|læknir|millihúðlitur
	👩🏾‍⚕️;kvenkyns heilbrigðisstarfsmaður: meðaldökkur húðlitur;heilsa|hjúkrunarfræðingur|kona|kvenkyns heilbrigðisstarfsmaður|kvenkyns heilbrigðisstarfsmaður: meðaldökkur húðlitur|læknir|meðaldökkur húðlitur
	👩🏿‍⚕️;kvenkyns heilbrigðisstarfsmaður: dökkur húðlitur;dökkur húðlitur|heilsa|hjúkrunarfræðingur|kona|kvenkyns heilbrigðisstarfsmaður|kvenkyns heilbrigðisstarfsmaður: dökkur húðlitur|læknir
🧑‍🎓;nemi;nemi|útskrift
	🧑🏻‍🎓;nemi: ljós húðlitur;ljós húðlitur|nemi|nemi: ljós húðlitur|útskrift
	🧑🏼‍🎓;nemi: meðalljós húðlitur;meðalljós húðlitur|nemi|nemi: meðalljós húðlitur|útskrift
	🧑🏽‍🎓;nemi: millihúðlitur;millihúðlitur|nemi|nemi: millihúðlitur|útskrift
	🧑🏾‍🎓;nemi: meðaldökkur húðlitur;meðaldökkur húðlitur|nemi|nemi: meðaldökkur húðlitur|útskrift
	🧑🏿‍🎓;nemi: dökkur húðlitur;dökkur húðlitur|nemi|nemi: dökkur húðlitur|útskrift
👨‍🎓;karlkyns námsmaður;karl|karlkyns námsmaður|námsmaður|nemandi|útskrift
	👨🏻‍🎓;karlkyns námsmaður: ljós húðlitur;karl|karlkyns námsmaður|karlkyns námsmaður: ljós húðlitur|ljós húðlitur|námsmaður|nemandi|útskrift
	👨🏼‍🎓;karlkyns námsmaður: meðalljós húðlitur;karl|karlkyns námsmaður|karlkyns námsmaður: meðalljós húðlitur|meðalljós húðlitur|námsmaður|nemandi|útskrift
	👨🏽‍🎓;karlkyns námsmaður: millihúðlitur;karl|karlkyns námsmaður|karlkyns námsmaður: millihúðlitur|millihúðlitur|námsmaður|nemandi|útskrift
	👨🏾‍🎓;karlkyns námsmaður: meðaldökkur húðlitur;karl|karlkyns námsmaður|karlkyns námsmaður: meðaldökkur húðlitur|meðaldökkur húðlitur|námsmaður|nemandi|útskrift
	👨🏿‍🎓;karlkyns námsmaður: dökkur húðlitur;dökkur húðlitur|karl|karlkyns námsmaður|karlkyns námsmaður: dökkur húðlitur|námsmaður|nemandi|útskrift
👩‍🎓;kvenkyns námsmaður;kona|kvenkyns námsmaður|námsmaður|nemandi|útskrift
	👩🏻‍🎓;kvenkyns námsmaður: ljós húðlitur;kona|kvenkyns námsmaður|kvenkyns námsmaður: ljós húðlitur|ljós húðlitur|námsmaður|nemandi|útskrift
	👩🏼‍🎓;kvenkyns námsmaður: meðalljós húðlitur;kona|kvenkyns námsmaður|kvenkyns námsmaður: meðalljós húðlitur|meðalljós húðlitur|námsmaður|nemandi|útskrift
	👩🏽‍🎓;kvenkyns námsmaður: millihúðlitur;kona|kvenkyns námsmaður|kvenkyns námsmaður: millihúðlitur|millihúðlitur|námsmaður|nemandi|útskrift
	👩🏾‍🎓;kvenkyns námsmaður: meðaldökkur húðlitur;kona|kvenkyns námsmaður|kvenkyns námsmaður: meðaldökkur húðlitur|meðaldökkur húðlitur|námsmaður|nemandi|útskrift
	👩🏿‍🎓;kvenkyns námsmaður: dökkur húðlitur;dökkur húðlitur|kona|kvenkyns námsmaður|kvenkyns námsmaður: dökkur húðlitur|námsmaður|nemandi|útskrift
🧑‍🏫;kennari;kennari|leiðbeinandi|prófessor
	🧑🏻‍🏫;kennari: ljós húðlitur;kennari|kennari: ljós húðlitur|leiðbeinandi|ljós húðlitur|prófessor
	🧑🏼‍🏫;kennari: meðalljós húðlitur;kennari|kennari: meðalljós húðlitur|leiðbeinandi|meðalljós húðlitur|prófessor
	🧑🏽‍🏫;kennari: millihúðlitur;kennari|kennari: millihúðlitur|leiðbeinandi|millihúðlitur|prófessor
	🧑🏾‍🏫;kennari: meðaldökkur húðlitur;kennari|kennari: meðaldökkur húðlitur|leiðbeinandi|meðaldökkur húðlitur|prófessor
	🧑🏿‍🏫;kennari: dökkur húðlitur;dökkur húðlitur|kennari|kennari: dökkur húðlitur|leiðbeinandi|prófessor
👨‍🏫;karlkyns kennari;karl|karlkyns kennari|kennari|leiðbeinandi|skóli
	👨🏻‍🏫;karlkyns kennari: ljós húðlitur;karl|karlkyns kennari|karlkyns kennari: ljós húðlitur|kennari|leiðbeinandi|ljós húðlitur|skóli
	👨🏼‍🏫;karlkyns kennari: meðalljós húðlitur;karl|karlkyns kennari|karlkyns kennari: meðalljós húðlitur|kennari|leiðbeinandi|meðalljós húðlitur|skóli
	👨🏽‍🏫;karlkyns kennari: millihúðlitur;karl|karlkyns kennari|karlkyns kennari: millihúðlitur|kennari|leiðbeinandi|millihúðlitur|skóli
	👨🏾‍🏫;karlkyns kennari: meðaldökkur húðlitur;karl|karlkyns kennari|karlkyns kennari: meðaldökkur húðlitur|kennari|leiðbeinandi|meðaldökkur húðlitur|skóli
	👨🏿‍🏫;karlkyns kennari: dökkur húðlitur;dökkur húðlitur|karl|karlkyns kennari|karlkyns kennari: dökkur húðlitur|kennari|leiðbeinandi|skóli
👩‍🏫;kvenkyns kennari;kennari|kona|kvenkyns kennari|leiðbeinandi|skóli
	👩🏻‍🏫;kvenkyns kennari: ljós húðlitur;kennari|kona|kvenkyns kennari|kvenkyns kennari: ljós húðlitur|leiðbeinandi|ljós húðlitur|skóli
	👩🏼‍🏫;kvenkyns kennari: meðalljós húðlitur;kennari|kona|kvenkyns kennari|kvenkyns kennari: meðalljós húðlitur|leiðbeinandi|meðalljós húðlitur|skóli
	👩🏽‍🏫;kvenkyns kennari: millihúðlitur;kennari|kona|kvenkyns kennari|kvenkyns kennari: millihúðlitur|leiðbeinandi|millihúðlitur|skóli
	👩🏾‍🏫;kvenkyns kennari: meðaldökkur húðlitur;kennari|kona|kvenkyns kennari|kvenkyns kennari: meðaldökkur húðlitur|leiðbeinandi|meðaldökkur húðlitur|skóli
	👩🏿‍🏫;kvenkyns kennari: dökkur húðlitur;dökkur húðlitur|kennari|kona|kvenkyns kennari|kvenkyns kennari: dökkur húðlitur|leiðbeinandi|skóli
🧑‍⚖️;dómari;dómari|vog
	🧑🏻‍⚖️;dómari: ljós húðlitur;dómari|dómari: ljós húðlitur|ljós húðlitur|vog
	🧑🏼‍⚖️;dómari: meðalljós húðlitur;dómari|dómari: meðalljós húðlitur|meðalljós húðlitur|vog
	🧑🏽‍⚖️;dómari: millihúðlitur;dómari|dómari: millihúðlitur|millihúðlitur|vog
	🧑🏾‍⚖️;dómari: meðaldökkur húðlitur;dómari|dómari: meðaldökkur húðlitur|meðaldökkur húðlitur|vog
	🧑🏿‍⚖️;dómari: dökkur húðlitur;dökkur húðlitur|dómari|dómari: dökkur húðlitur|vog
👨‍⚖️;karlkyns dómari;dómari|dómur|karl|karlkyns dómari|réttur
	👨🏻‍⚖️;karlkyns dómari: ljós húðlitur;dómari|dómur|karl|karlkyns dómari|karlkyns dómari: ljós húðlitur|ljós húðlitur|réttur
	👨🏼‍⚖️;karlkyns dómari: meðalljós húðlitur;dómari|dómur|karl|karlkyns dómari|karlkyns dómari: meðalljós húðlitur|meðalljós húðlitur|réttur
	👨🏽‍⚖️;karlkyns dómari: millihúðlitur;dómari|dómur|karl|karlkyns dómari|karlkyns dómari: millihúðlitur|millihúðlitur|réttur
	👨🏾‍⚖️;karlkyns dómari: meðaldökkur húðlitur;dómari|dómur|karl|karlkyns dómari|karlkyns dómari: meðaldökkur húðlitur|meðaldökkur húðlitur|réttur
	👨🏿‍⚖️;karlkyns dómari: dökkur húðlitur;dökkur húðlitur|dómari|dómur|karl|karlkyns dómari|karlkyns dómari: dökkur húðlitur|réttur
👩‍⚖️;kvenkyns dómari;dómari|dómur|kona|kvenkyns dómari|réttur
	👩🏻‍⚖️;kvenkyns dómari: ljós húðlitur;dómari|dómur|kona|kvenkyns dómari|kvenkyns dómari: ljós húðlitur|ljós húðlitur|réttur
	👩🏼‍⚖️;kvenkyns dómari: meðalljós húðlitur;dómari|dómur|kona|kvenkyns dómari|kvenkyns dómari: meðalljós húðlitur|meðalljós húðlitur|réttur
	👩🏽‍⚖️;kvenkyns dómari: millihúðlitur;dómari|dómur|kona|kvenkyns dómari|kvenkyns dómari: millihúðlitur|millihúðlitur|réttur
	👩🏾‍⚖️;kvenkyns dómari: meðaldökkur húðlitur;dómari|dómur|kona|kvenkyns dómari|kvenkyns dómari: meðaldökkur húðlitur|meðaldökkur húðlitur|réttur
	👩🏿‍⚖️;kvenkyns dómari: dökkur húðlitur;dökkur húðlitur|dómari|dómur|kona|kvenkyns dómari|kvenkyns dómari: dökkur húðlitur|réttur
🧑‍🌾;bóndi;bóndi|garðyrkjumaður|stórbóndi
	🧑🏻‍🌾;bóndi: ljós húðlitur;bóndi|bóndi: ljós húðlitur|garðyrkjumaður|ljós húðlitur|stórbóndi
	🧑🏼‍🌾;bóndi: meðalljós húðlitur;bóndi|bóndi: meðalljós húðlitur|garðyrkjumaður|meðalljós húðlitur|stórbóndi
	🧑🏽‍🌾;bóndi: millihúðlitur;bóndi|bóndi: millihúðlitur|garðyrkjumaður|millihúðlitur|stórbóndi
	🧑🏾‍🌾;bóndi: meðaldökkur húðlitur;bóndi|bóndi: meðaldökkur húðlitur|garðyrkjumaður|meðaldökkur húðlitur|stórbóndi
	🧑🏿‍🌾;bóndi: dökkur húðlitur;bóndi|bóndi: dökkur húðlitur|dökkur húðlitur|garðyrkjumaður|stórbóndi
👨‍🌾;karlkyns bóndi;bóndi|garðyrkjumaður|karl|karlkyns bóndi
	👨🏻‍🌾;karlkyns bóndi: ljós húðlitur;bóndi|garðyrkjumaður|karl|karlkyns bóndi|karlkyns bóndi: ljós húðlitur|ljós húðlitur
	👨🏼‍🌾;karlkyns bóndi: meðalljós húðlitur;bóndi|garðyrkjumaður|karl|karlkyns bóndi|karlkyns bóndi: meðalljós húðlitur|meðalljós húðlitur
	👨🏽‍🌾;karlkyns bóndi: millihúðlitur;bóndi|garðyrkjumaður|karl|karlkyns bóndi|karlkyns bóndi: millihúðlitur|millihúðlitur
	👨🏾‍🌾;karlkyns bóndi: meðaldökkur húðlitur;bóndi|garðyrkjumaður|karl|karlkyns bóndi|karlkyns bóndi: meðaldökkur húðlitur|meðaldökkur húðlitur
	👨🏿‍🌾;karlkyns bóndi: dökkur húðlitur;bóndi|dökkur húðlitur|garðyrkjumaður|karl|karlkyns bóndi|karlkyns bóndi: dökkur húðlitur
👩‍🌾;kvenkyns bóndi;bóndi|garðyrkjumaður|kona|kvenkyns bóndi
	👩🏻‍🌾;kvenkyns bóndi: ljós húðlitur;bóndi|garðyrkjumaður|kona|kvenkyns bóndi|kvenkyns bóndi: ljós húðlitur|ljós húðlitur
	👩🏼‍🌾;kvenkyns bóndi: meðalljós húðlitur;bóndi|garðyrkjumaður|kona|kvenkyns bóndi|kvenkyns bóndi: meðalljós húðlitur|meðalljós húðlitur
	👩🏽‍🌾;kvenkyns bóndi: millihúðlitur;bóndi|garðyrkjumaður|kona|kvenkyns bóndi|kvenkyns bóndi: millihúðlitur|millihúðlitur
	👩🏾‍🌾;kvenkyns bóndi: meðaldökkur húðlitur;bóndi|garðyrkjumaður|kona|kvenkyns bóndi|kvenkyns bóndi: meðaldökkur húðlitur|meðaldökkur húðlitur
	👩🏿‍🌾;kvenkyns bóndi: dökkur húðlitur;bóndi|dökkur húðlitur|garðyrkjumaður|kona|kvenkyns bóndi|kvenkyns bóndi: dökkur húðlitur
🧑‍🍳;kokkur;kokkur|matreiðslumaður
	🧑🏻‍🍳;kokkur: ljós húðlitur;kokkur|kokkur: ljós húðlitur|ljós húðlitur|matreiðslumaður
	🧑🏼‍🍳;kokkur: meðalljós húðlitur;kokkur|kokkur: meðalljós húðlitur|matreiðslumaður|meðalljós húðlitur
	🧑🏽‍🍳;kokkur: millihúðlitur;kokkur|kokkur: millihúðlitur|matreiðslumaður|millihúðlitur
	🧑🏾‍🍳;kokkur: meðaldökkur húðlitur;kokkur|kokkur: meðaldökkur húðlitur|matreiðslumaður|meðaldökkur húðlitur
	🧑🏿‍🍳;kokkur: dökkur húðlitur;dökkur húðlitur|kokkur|kokkur: dökkur húðlitur|matreiðslumaður
👨‍🍳;karlkyns kokkur;elda|karl|karlkyns kokkur|kokkur|matreiðsla
	👨🏻‍🍳;karlkyns kokkur: ljós húðlitur;elda|karl|karlkyns kokkur|karlkyns kokkur: ljós húðlitur|kokkur|ljós húðlitur|matreiðsla
	👨🏼‍🍳;karlkyns kokkur: meðalljós húðlitur;elda|karl|karlkyns kokkur|karlkyns kokkur: meðalljós húðlitur|kokkur|matreiðsla|meðalljós húðlitur
	👨🏽‍🍳;karlkyns kokkur: millihúðlitur;elda|karl|karlkyns kokkur|karlkyns kokkur: millihúðlitur|kokkur|matreiðsla|millihúðlitur
	👨🏾‍🍳;karlkyns kokkur: meðaldökkur húðlitur;elda|karl|karlkyns kokkur|karlkyns kokkur: meðaldökkur húðlitur|kokkur|matreiðsla|meðaldökkur húðlitur
	👨🏿‍🍳;karlkyns kokkur: dökkur húðlitur;dökkur húðlitur|elda|karl|karlkyns kokkur|karlkyns kokkur: dökkur húðlitur|kokkur|matreiðsla
👩‍🍳;kvenkyns kokkur;elda|kokkur|kona|kvenkyns kokkur|matreiðsla
	👩🏻‍🍳;kvenkyns kokkur: ljós húðlitur;elda|kokkur|kona|kvenkyns kokkur|kvenkyns kokkur: ljós húðlitur|ljós húðlitur|matreiðsla
	👩🏼‍🍳;kvenkyns kokkur: meðalljós húðlitur;elda|kokkur|kona|kvenkyns kokkur|kvenkyns kokkur: meðalljós húðlitur|matreiðsla|meðalljós húðlitur
	👩🏽‍🍳;kvenkyns kokkur: millihúðlitur;elda|kokkur|kona|kvenkyns kokkur|kvenkyns kokkur: millihúðlitur|matreiðsla|millihúðlitur
	👩🏾‍🍳;kvenkyns kokkur: meðaldökkur húðlitur;elda|kokkur|kona|kvenkyns kokkur|kvenkyns kokkur: meðaldökkur húðlitur|matreiðsla|meðaldökkur húðlitur
	👩🏿‍🍳;kvenkyns kokkur: dökkur húðlitur;dökkur húðlitur|elda|kokkur|kona|kvenkyns kokkur|kvenkyns kokkur: dökkur húðlitur|matreiðsla
🧑‍🔧;vélvirki;iðnverkamaður|pípulagningarmaður|rafvirki|vélvirki
	🧑🏻‍🔧;vélvirki: ljós húðlitur;iðnverkamaður|ljós húðlitur|pípulagningarmaður|rafvirki|vélvirki|vélvirki: ljós húðlitur
	🧑🏼‍🔧;vélvirki: meðalljós húðlitur;iðnverkamaður|meðalljós húðlitur|pípulagningarmaður|rafvirki|vélvirki|vélvirki: meðalljós húðlitur
	🧑🏽‍🔧;vélvirki: millihúðlitur;iðnverkamaður|millihúðlitur|pípulagningarmaður|rafvirki|vélvirki|vélvirki: millihúðlitur
	🧑🏾‍🔧;vélvirki: meðaldökkur húðlitur;iðnverkamaður|meðaldökkur húðlitur|pípulagningarmaður|rafvirki|vélvirki|vélvirki: meðaldökkur húðlitur
	🧑🏿‍🔧;vélvirki: dökkur húðlitur;dökkur húðlitur|iðnverkamaður|pípulagningarmaður|rafvirki|vélvirki|vélvirki: dökkur húðlitur
👨‍🔧;karl með skiptilykil;karl|karl með skiptilykil|verkfæri|viðgerð|viðhald
	👨🏻‍🔧;karl með skiptilykil: ljós húðlitur;karl|karl með skiptilykil|karl með skiptilykil: ljós húðlitur|ljós húðlitur|verkfæri|viðgerð|viðhald
	👨🏼‍🔧;karl með skiptilykil: meðalljós húðlitur;karl|karl með skiptilykil|karl með skiptilykil: meðalljós húðlitur|meðalljós húðlitur|verkfæri|viðgerð|viðhald
	👨🏽‍🔧;karl með skiptilykil: millihúðlitur;karl|karl með skiptilykil|karl með skiptilykil: millihúðlitur|millihúðlitur|verkfæri|viðgerð|viðhald
	👨🏾‍🔧;karl með skiptilykil: meðaldökkur húðlitur;karl|karl með skiptilykil|karl með skiptilykil: meðaldökkur húðlitur|meðaldökkur húðlitur|verkfæri|viðgerð|viðhald
	👨🏿‍🔧;karl með skiptilykil: dökkur húðlitur;dökkur húðlitur|karl|karl með skiptilykil|karl með skiptilykil: dökkur húðlitur|verkfæri|viðgerð|viðhald
👩‍🔧;kona með skiptilykil;kona|kona með skiptilykil|verkfæri|viðgerð|viðhald
	👩🏻‍🔧;kona með skiptilykil: ljós húðlitur;kona|kona með skiptilykil|kona með skiptilykil: ljós húðlitur|ljós húðlitur|verkfæri|viðgerð|viðhald
	👩🏼‍🔧;kona með skiptilykil: meðalljós húðlitur;kona|kona með skiptilykil|kona með skiptilykil: meðalljós húðlitur|meðalljós húðlitur|verkfæri|viðgerð|viðhald
	👩🏽‍🔧;kona með skiptilykil: millihúðlitur;kona|kona með skiptilykil|kona með skiptilykil: millihúðlitur|millihúðlitur|verkfæri|viðgerð|viðhald
	👩🏾‍🔧;kona með skiptilykil: meðaldökkur húðlitur;kona|kona með skiptilykil|kona með skiptilykil: meðaldökkur húðlitur|meðaldökkur húðlitur|verkfæri|viðgerð|viðhald
	👩🏿‍🔧;kona með skiptilykil: dökkur húðlitur;dökkur húðlitur|kona|kona með skiptilykil|kona með skiptilykil: dökkur húðlitur|verkfæri|viðgerð|viðhald
🧑‍🏭;verksmiðjustarfsmaður;fjöldaframleiðsla|iðnaður|starfsmaður|verksmiðja|verksmiðjustarfsmaður
	🧑🏻‍🏭;verksmiðjustarfsmaður: ljós húðlitur;fjöldaframleiðsla|iðnaður|ljós húðlitur|starfsmaður|verksmiðja|verksmiðjustarfsmaður|verksmiðjustarfsmaður: ljós húðlitur
	🧑🏼‍🏭;verksmiðjustarfsmaður: meðalljós húðlitur;fjöldaframleiðsla|iðnaður|meðalljós húðlitur|starfsmaður|verksmiðja|verksmiðjustarfsmaður|verksmiðjustarfsmaður: meðalljós húðlitur
	🧑🏽‍🏭;verksmiðjustarfsmaður: millihúðlitur;fjöldaframleiðsla|iðnaður|millihúðlitur|starfsmaður|verksmiðja|verksmiðjustarfsmaður|verksmiðjustarfsmaður: millihúðlitur
	🧑🏾‍🏭;verksmiðjustarfsmaður: meðaldökkur húðlitur;fjöldaframleiðsla|iðnaður|meðaldökkur húðlitur|starfsmaður|verksmiðja|verksmiðjustarfsmaður|verksmiðjustarfsmaður: meðaldökkur húðlitur
	🧑🏿‍🏭;verksmiðjustarfsmaður: dökkur húðlitur;dökkur húðlitur|fjöldaframleiðsla|iðnaður|starfsmaður|verksmiðja|verksmiðjustarfsmaður|verksmiðjustarfsmaður: dökkur húðlitur
👨‍🏭;karlkyns verksmiðjustarfsmaður;iðnaður|karl|karlkyns verksmiðjustarfsmaður|verkfæri|verksmiðja
	👨🏻‍🏭;karlkyns verksmiðjustarfsmaður: ljós húðlitur;iðnaður|karl|karlkyns verksmiðjustarfsmaður|karlkyns verksmiðjustarfsmaður: ljós húðlitur|ljós húðlitur|verkfæri|verksmiðja
	👨🏼‍🏭;karlkyns verksmiðjustarfsmaður: meðalljós húðlitur;iðnaður|karl|karlkyns verksmiðjustarfsmaður|karlkyns verksmiðjustarfsmaður: meðalljós húðlitur|meðalljós húðlitur|verkfæri|verksmiðja
	👨🏽‍🏭;karlkyns verksmiðjustarfsmaður: millihúðlitur;iðnaður|karl|karlkyns verksmiðjustarfsmaður|karlkyns verksmiðjustarfsmaður: millihúðlitur|millihúðlitur|verkfæri|verksmiðja
	👨🏾‍🏭;karlkyns verksmiðjustarfsmaður: meðaldökkur húðlitur;iðnaður|karl|karlkyns verksmiðjustarfsmaður|karlkyns verksmiðjustarfsmaður: meðaldökkur húðlitur|meðaldökkur húðlitur|verkfæri|verksmiðja
	👨🏿‍🏭;karlkyns verksmiðjustarfsmaður: dökkur húðlitur;dökkur húðlitur|iðnaður|karl|karlkyns verksmiðjustarfsmaður|karlkyns verksmiðjustarfsmaður: dökkur húðlitur|verkfæri|verksmiðja
