[smileys_emotion]
😀;ፈገግ ያለ ፊት;ፈገግ ያለ ፊት|ፈገግታ|ፊት
	👨🏽‍🍳;ወንድ አብሳይ: የቆዳ ዓይነት-4;ማብሰል|ሰው|አብሳይ|ወንድ|ወንድ አብሳይ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	👨🏾‍🍳;ወንድ አብሳይ: የቆዳ ዓይነት-5;ማብሰል|ሰው|አብሳይ|ወንድ|ወንድ አብሳይ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	👨🏿‍🍳;ወንድ አብሳይ: የቆዳ ዓይነት-6;ማብሰል|ሰው|አብሳይ|ወንድ|ወንድ አብሳይ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
👩‍🍳;ሴት አብሳይ;ማብሰል|ሴት|አብሳይ
	👩🏻‍🍳;ሴት አብሳይ: የቆዳ ዓይነት-1-2;ማብሰል|ሴት|ሴት አብሳይ: የቆዳ ዓይነት-1-2|አብሳይ|የቆዳ ዓይነት-1-2
	👩🏼‍🍳;ሴት አብሳይ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ማብሰል|ሴት|ሴት አብሳይ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|አብሳይ
	👩🏽‍🍳;ሴት አብሳይ: የቆዳ ዓይነት-4;ማብሰል|ሴት|ሴት አብሳይ: የቆዳ ዓይነት-4|አብሳይ|የቆዳ ዓይነት-4
	👩🏾‍🍳;ሴት አብሳይ: የቆዳ ዓይነት-5;ማብሰል|ሴት|ሴት አብሳይ: የቆዳ ዓይነት-5|አብሳይ|የቆዳ ዓይነት-5
	👩🏿‍🍳;ሴት አብሳይ: የቆዳ ዓይነት-6;ማብሰል|ሴት|ሴት አብሳይ: የቆዳ ዓይነት-6|አብሳይ|የቆዳ ዓይነት-6
🧑‍🔧;ሜካኒክ;ሜካኒክ
	🧑🏻‍🔧;ሜካኒክ: የቆዳ ዓይነት-1-2;ሜካኒክ|ሜካኒክ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	🧑🏼‍🔧;ሜካኒክ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሜካኒክ|ሜካኒክ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🧑🏽‍🔧;ሜካኒክ: የቆዳ ዓይነት-4;ሜካኒክ|ሜካኒክ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	🧑🏾‍🔧;ሜካኒክ: የቆዳ ዓይነት-5;ሜካኒክ|ሜካኒክ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	🧑🏿‍🔧;ሜካኒክ: የቆዳ ዓይነት-6;ሜካኒክ|ሜካኒክ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
👨‍🔧;ወንድ ሜካኒክ;ሜካኒክ|ሰው|ወንድ|የቧንቧ ሰራተኛ|የኤሊክትሪክ ሰራተኛ
	👨🏻‍🔧;ወንድ ሜካኒክ: የቆዳ ዓይነት-1-2;ሜካኒክ|ሰው|ወንድ|ወንድ ሜካኒክ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2|የቧንቧ ሰራተኛ|የኤሊክትሪክ ሰራተኛ
	👨🏼‍🔧;ወንድ ሜካኒክ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሜካኒክ|ሰው|ወንድ|ወንድ ሜካኒክ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|የቧንቧ ሰራተኛ|የኤሊክትሪክ ሰራተኛ
	👨🏽‍🔧;ወንድ ሜካኒክ: የቆዳ ዓይነት-4;ሜካኒክ|ሰው|ወንድ|ወንድ ሜካኒክ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4|የቧንቧ ሰራተኛ|የኤሊክትሪክ ሰራተኛ
	👨🏾‍🔧;ወንድ ሜካኒክ: የቆዳ ዓይነት-5;ሜካኒክ|ሰው|ወንድ|ወንድ ሜካኒክ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5|የቧንቧ ሰራተኛ|የኤሊክትሪክ ሰራተኛ
	👨🏿‍🔧;ወንድ ሜካኒክ: የቆዳ ዓይነት-6;ሜካኒክ|ሰው|ወንድ|ወንድ ሜካኒክ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6|የቧንቧ ሰራተኛ|የኤሊክትሪክ ሰራተኛ
👩‍🔧;ሴት ሜካኒክ;ሜካኒክ|ሰው|ሴት|የቧንቧ ሰራተኛ|የኤሊክትሪክ ሰራተኛ
	👩🏻‍🔧;ሴት ሜካኒክ: የቆዳ ዓይነት-1-2;ሜካኒክ|ሰው|ሴት|ሴት ሜካኒክ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2|የቧንቧ ሰራተኛ|የኤሊክትሪክ ሰራተኛ
	👩🏼‍🔧;ሴት ሜካኒክ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሜካኒክ|ሰው|ሴት|ሴት ሜካኒክ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|የቧንቧ ሰራተኛ|የኤሊክትሪክ ሰራተኛ
	👩🏽‍🔧;ሴት ሜካኒክ: የቆዳ ዓይነት-4;ሜካኒክ|ሰው|ሴት|ሴት ሜካኒክ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4|የቧንቧ ሰራተኛ|የኤሊክትሪክ ሰራተኛ
	👩🏾‍🔧;ሴት ሜካኒክ: የቆዳ ዓይነት-5;ሜካኒክ|ሰው|ሴት|ሴት ሜካኒክ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5|የቧንቧ ሰራተኛ|የኤሊክትሪክ ሰራተኛ
	👩🏿‍🔧;ሴት ሜካኒክ: የቆዳ ዓይነት-6;ሜካኒክ|ሰው|ሴት|ሴት ሜካኒክ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6|የቧንቧ ሰራተኛ|የኤሊክትሪክ ሰራተኛ
🧑‍🏭;የፋብሪካ ሰራተኛ;የፋብሪካ ሰራተኛ
	🧑🏻‍🏭;የፋብሪካ ሰራተኛ: የቆዳ ዓይነት-1-2;የቆዳ ዓይነት-1-2|የፋብሪካ ሰራተኛ|የፋብሪካ ሰራተኛ: የቆዳ ዓይነት-1-2
	🧑🏼‍🏭;የፋብሪካ ሰራተኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|የፋብሪካ ሰራተኛ|የፋብሪካ ሰራተኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🧑🏽‍🏭;የፋብሪካ ሰራተኛ: የቆዳ ዓይነት-4;የቆዳ ዓይነት-4|የፋብሪካ ሰራተኛ|የፋብሪካ ሰራተኛ: የቆዳ ዓይነት-4
	🧑🏾‍🏭;የፋብሪካ ሰራተኛ: የቆዳ ዓይነት-5;የቆዳ ዓይነት-5|የፋብሪካ ሰራተኛ|የፋብሪካ ሰራተኛ: የቆዳ ዓይነት-5
	🧑🏿‍🏭;የፋብሪካ ሰራተኛ: የቆዳ ዓይነት-6;የቆዳ ዓይነት-6|የፋብሪካ ሰራተኛ|የፋብሪካ ሰራተኛ: የቆዳ ዓይነት-6
👨‍🏭;ወንድ የፋብሪካ ሰራተኛ;መገጣጠሚያ|ሰራተኛ|ኢንዱስትሪ|ወንድ|ወንድ የፋብሪካ ሰራተኛ|ፋብሪካ
	👨🏻‍🏭;ወንድ የፋብሪካ ሰራተኛ: የቆዳ ዓይነት-1-2;መገጣጠሚያ|ሰራተኛ|ኢንዱስትሪ|ወንድ|ወንድ የፋብሪካ ሰራተኛ|ወንድ የፋብሪካ ሰራተኛ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2|ፋብሪካ
	👨🏼‍🏭;ወንድ የፋብሪካ ሰራተኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|መገጣጠሚያ|ሰራተኛ|ኢንዱስትሪ|ወንድ|ወንድ የፋብሪካ ሰራተኛ|ወንድ የፋብሪካ ሰራተኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ፋብሪካ
	👨🏽‍🏭;ወንድ የፋብሪካ ሰራተኛ: የቆዳ ዓይነት-4;መገጣጠሚያ|ሰራተኛ|ኢንዱስትሪ|ወንድ|ወንድ የፋብሪካ ሰራተኛ|ወንድ የፋብሪካ ሰራተኛ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4|ፋብሪካ
	👨🏾‍🏭;ወንድ የፋብሪካ ሰራተኛ: የቆዳ ዓይነት-5;መገጣጠሚያ|ሰራተኛ|ኢንዱስትሪ|ወንድ|ወንድ የፋብሪካ ሰራተኛ|ወንድ የፋብሪካ ሰራተኛ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5|ፋብሪካ
	👨🏿‍🏭;ወንድ የፋብሪካ ሰራተኛ: የቆዳ ዓይነት-6;መገጣጠሚያ|ሰራተኛ|ኢንዱስትሪ|ወንድ|ወንድ የፋብሪካ ሰራተኛ|ወንድ የፋብሪካ ሰራተኛ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6|ፋብሪካ
👩‍🏭;ሴት የፋብሪካ ሰራተኛ;መገጣጠሚያ|ሰራተኛ|ሴት የፋብሪካ ሰራተኛ|ኢንዱስትሪ|ፋብሪካ
	👩🏻‍🏭;ሴት የፋብሪካ ሰራተኛ: የቆዳ ዓይነት-1-2;መገጣጠሚያ|ሰራተኛ|ሴት የፋብሪካ ሰራተኛ|ሴት የፋብሪካ ሰራተኛ: የቆዳ ዓይነት-1-2|ኢንዱስትሪ|የቆዳ ዓይነት-1-2|ፋብሪካ
	👩🏼‍🏭;ሴት የፋብሪካ ሰራተኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|መገጣጠሚያ|ሰራተኛ|ሴት የፋብሪካ ሰራተኛ|ሴት የፋብሪካ ሰራተኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ኢንዱስትሪ|ፋብሪካ
	👩🏽‍🏭;ሴት የፋብሪካ ሰራተኛ: የቆዳ ዓይነት-4;መገጣጠሚያ|ሰራተኛ|ሴት የፋብሪካ ሰራተኛ|ሴት የፋብሪካ ሰራተኛ: የቆዳ ዓይነት-4|ኢንዱስትሪ|የቆዳ ዓይነት-4|ፋብሪካ
	👩🏾‍🏭;ሴት የፋብሪካ ሰራተኛ: የቆዳ ዓይነት-5;መገጣጠሚያ|ሰራተኛ|ሴት የፋብሪካ ሰራተኛ|ሴት የፋብሪካ ሰራተኛ: የቆዳ ዓይነት-5|ኢንዱስትሪ|የቆዳ ዓይነት-5|ፋብሪካ
	👩🏿‍🏭;ሴት የፋብሪካ ሰራተኛ: የቆዳ ዓይነት-6;መገጣጠሚያ|ሰራተኛ|ሴት የፋብሪካ ሰራተኛ|ሴት የፋብሪካ ሰራተኛ: የቆዳ ዓይነት-6|ኢንዱስትሪ|የቆዳ ዓይነት-6|ፋብሪካ
🧑‍💼;የቤሮ ሰራተኛ;የቤሮ ሰራተኛ
	🧑🏻‍💼;የቤሮ ሰራተኛ: የቆዳ ዓይነት-1-2;የቆዳ ዓይነት-1-2|የቤሮ ሰራተኛ|የቤሮ ሰራተኛ: የቆዳ ዓይነት-1-2
	🧑🏼‍💼;የቤሮ ሰራተኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|የቤሮ ሰራተኛ|የቤሮ ሰራተኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🧑🏽‍💼;የቤሮ ሰራተኛ: የቆዳ ዓይነት-4;የቆዳ ዓይነት-4|የቤሮ ሰራተኛ|የቤሮ ሰራተኛ: የቆዳ ዓይነት-4
	🧑🏾‍💼;የቤሮ ሰራተኛ: የቆዳ ዓይነት-5;የቆዳ ዓይነት-5|የቤሮ ሰራተኛ|የቤሮ ሰራተኛ: የቆዳ ዓይነት-5
	🧑🏿‍💼;የቤሮ ሰራተኛ: የቆዳ ዓይነት-6;የቆዳ ዓይነት-6|የቤሮ ሰራተኛ|የቤሮ ሰራተኛ: የቆዳ ዓይነት-6
👨‍💼;ወንድ የቢሮ ሰራተኛ;መሐንዲስ|ንግድ|አስተዳዳሪ|ወንድ|ወንድ የቢሮ ሰራተኛ
	👨🏻‍💼;ወንድ የቢሮ ሰራተኛ: የቆዳ ዓይነት-1-2;መሐንዲስ|ንግድ|አስተዳዳሪ|ወንድ|ወንድ የቢሮ ሰራተኛ|ወንድ የቢሮ ሰራተኛ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	👨🏼‍💼;ወንድ የቢሮ ሰራተኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|መሐንዲስ|ንግድ|አስተዳዳሪ|ወንድ|ወንድ የቢሮ ሰራተኛ|ወንድ የቢሮ ሰራተኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	👨🏽‍💼;ወንድ የቢሮ ሰራተኛ: የቆዳ ዓይነት-4;መሐንዲስ|ንግድ|አስተዳዳሪ|ወንድ|ወንድ የቢሮ ሰራተኛ|ወንድ የቢሮ ሰራተኛ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	👨🏾‍💼;ወንድ የቢሮ ሰራተኛ: የቆዳ ዓይነት-5;መሐንዲስ|ንግድ|አስተዳዳሪ|ወንድ|ወንድ የቢሮ ሰራተኛ|ወንድ የቢሮ ሰራተኛ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	👨🏿‍💼;ወንድ የቢሮ ሰራተኛ: የቆዳ ዓይነት-6;መሐንዲስ|ንግድ|አስተዳዳሪ|ወንድ|ወንድ የቢሮ ሰራተኛ|ወንድ የቢሮ ሰራተኛ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
👩‍💼;ሴት የቢሮ ሰራተኛ;መሐንዲስ|ሴት|ሴት የቢሮ ሰራተኛ|ንግድ|አስተዳዳሪ
	👩🏻‍💼;ሴት የቢሮ ሰራተኛ: የቆዳ ዓይነት-1-2;መሐንዲስ|ሴት|ሴት የቢሮ ሰራተኛ|ሴት የቢሮ ሰራተኛ: የቆዳ ዓይነት-1-2|ንግድ|አስተዳዳሪ|የቆዳ ዓይነት-1-2
	👩🏼‍💼;ሴት የቢሮ ሰራተኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|መሐንዲስ|ሴት|ሴት የቢሮ ሰራተኛ|ሴት የቢሮ ሰራተኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ንግድ|አስተዳዳሪ
	👩🏽‍💼;ሴት የቢሮ ሰራተኛ: የቆዳ ዓይነት-4;መሐንዲስ|ሴት|ሴት የቢሮ ሰራተኛ|ሴት የቢሮ ሰራተኛ: የቆዳ ዓይነት-4|ንግድ|አስተዳዳሪ|የቆዳ ዓይነት-4
	👩🏾‍💼;ሴት የቢሮ ሰራተኛ: የቆዳ ዓይነት-5;መሐንዲስ|ሴት|ሴት የቢሮ ሰራተኛ|ሴት የቢሮ ሰራተኛ: የቆዳ ዓይነት-5|ንግድ|አስተዳዳሪ|የቆዳ ዓይነት-5
	👩🏿‍💼;ሴት የቢሮ ሰራተኛ: የቆዳ ዓይነት-6;መሐንዲስ|ሴት|ሴት የቢሮ ሰራተኛ|ሴት የቢሮ ሰራተኛ: የቆዳ ዓይነት-6|ንግድ|አስተዳዳሪ|የቆዳ ዓይነት-6
🧑‍🔬;ሳይንቲስት;ሳይንቲስት
	🧑🏻‍🔬;ሳይንቲስት: የቆዳ ዓይነት-1-2;ሳይንቲስት|ሳይንቲስት: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	🧑🏼‍🔬;ሳይንቲስት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሳይንቲስት|ሳይንቲስት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🧑🏽‍🔬;ሳይንቲስት: የቆዳ ዓይነት-4;ሳይንቲስት|ሳይንቲስት: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	🧑🏾‍🔬;ሳይንቲስት: የቆዳ ዓይነት-5;ሳይንቲስት|ሳይንቲስት: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	🧑🏿‍🔬;ሳይንቲስት: የቆዳ ዓይነት-6;ሳይንቲስት|ሳይንቲስት: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
👨‍🔬;ወንድ ሳይንቲስት;ሳይንቲስት|ባዮሎጂስት|ኢንጂነር|ኬሚስት|ወንድ
	👨🏻‍🔬;ወንድ ሳይንቲስት: የቆዳ ዓይነት-1-2;ሳይንቲስት|ባዮሎጂስት|ኢንጂነር|ኬሚስት|ወንድ|ወንድ ሳይንቲስት: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	👨🏼‍🔬;ወንድ ሳይንቲስት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሳይንቲስት|ባዮሎጂስት|ኢንጂነር|ኬሚስት|ወንድ|ወንድ ሳይንቲስት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	👨🏽‍🔬;ወንድ ሳይንቲስት: የቆዳ ዓይነት-4;ሳይንቲስት|ባዮሎጂስት|ኢንጂነር|ኬሚስት|ወንድ|ወንድ ሳይንቲስት: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	👨🏾‍🔬;ወንድ ሳይንቲስት: የቆዳ ዓይነት-5;ሳይንቲስት|ባዮሎጂስት|ኢንጂነር|ኬሚስት|ወንድ|ወንድ ሳይንቲስት: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	👨🏿‍🔬;ወንድ ሳይንቲስት: የቆዳ ዓይነት-6;ሳይንቲስት|ባዮሎጂስት|ኢንጂነር|ኬሚስት|ወንድ|ወንድ ሳይንቲስት: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
👩‍🔬;ሴት ሳይንቲስት;ሳይንቲስት|ሴት|ባዮሎጂስት|ኢንጂነር|ኬሚስት
	👩🏻‍🔬;ሴት ሳይንቲስት: የቆዳ ዓይነት-1-2;ሳይንቲስት|ሴት|ሴት ሳይንቲስት: የቆዳ ዓይነት-1-2|ባዮሎጂስት|ኢንጂነር|ኬሚስት|የቆዳ ዓይነት-1-2
	👩🏼‍🔬;ሴት ሳይንቲስት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሳይንቲስት|ሴት|ሴት ሳይንቲስት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ባዮሎጂስት|ኢንጂነር|ኬሚስት
	👩🏽‍🔬;ሴት ሳይንቲስት: የቆዳ ዓይነት-4;ሳይንቲስት|ሴት|ሴት ሳይንቲስት: የቆዳ ዓይነት-4|ባዮሎጂስት|ኢንጂነር|ኬሚስት|የቆዳ ዓይነት-4
	👩🏾‍🔬;ሴት ሳይንቲስት: የቆዳ ዓይነት-5;ሳይንቲስት|ሴት|ሴት ሳይንቲስት: የቆዳ ዓይነት-5|ባዮሎጂስት|ኢንጂነር|ኬሚስት|የቆዳ ዓይነት-5
	👩🏿‍🔬;ሴት ሳይንቲስት: የቆዳ ዓይነት-6;ሳይንቲስት|ሴት|ሴት ሳይንቲስት: የቆዳ ዓይነት-6|ባዮሎጂስት|ኢንጂነር|ኬሚስት|የቆዳ ዓይነት-6
🧑‍💻;ቴክኖሎጂስት;ቴክኖሎጂስት
	🧑🏻‍💻;ቴክኖሎጂስት: የቆዳ ዓይነት-1-2;ቴክኖሎጂስት|ቴክኖሎጂስት: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	🧑🏼‍💻;ቴክኖሎጂስት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ቴክኖሎጂስት|ቴክኖሎጂስት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🧑🏽‍💻;ቴክኖሎጂስት: የቆዳ ዓይነት-4;ቴክኖሎጂስት|ቴክኖሎጂስት: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	🧑🏾‍💻;ቴክኖሎጂስት: የቆዳ ዓይነት-5;ቴክኖሎጂስት|ቴክኖሎጂስት: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	🧑🏿‍💻;ቴክኖሎጂስት: የቆዳ ዓይነት-6;ቴክኖሎጂስት|ቴክኖሎጂስት: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
👨‍💻;ወንድ ቴክኖሎጂ አዋቂ;ሶፍትዌር|ቴክኖሎጂ አዋቂ|ወንድ|ወንድ ቴክኖሎጂ አዋቂ|ፈጣሪ
	👨🏻‍💻;ወንድ ቴክኖሎጂ አዋቂ: የቆዳ ዓይነት-1-2;ሶፍትዌር|ቴክኖሎጂ አዋቂ|ወንድ|ወንድ ቴክኖሎጂ አዋቂ|ወንድ ቴክኖሎጂ አዋቂ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2|ፈጣሪ
	👨🏼‍💻;ወንድ ቴክኖሎጂ አዋቂ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሶፍትዌር|ቴክኖሎጂ አዋቂ|ወንድ|ወንድ ቴክኖሎጂ አዋቂ|ወንድ ቴክኖሎጂ አዋቂ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ፈጣሪ
	👨🏽‍💻;ወንድ ቴክኖሎጂ አዋቂ: የቆዳ ዓይነት-4;ሶፍትዌር|ቴክኖሎጂ አዋቂ|ወንድ|ወንድ ቴክኖሎጂ አዋቂ|ወንድ ቴክኖሎጂ አዋቂ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4|ፈጣሪ
	👨🏾‍💻;ወንድ ቴክኖሎጂ አዋቂ: የቆዳ ዓይነት-5;ሶፍትዌር|ቴክኖሎጂ አዋቂ|ወንድ|ወንድ ቴክኖሎጂ አዋቂ|ወንድ ቴክኖሎጂ አዋቂ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5|ፈጣሪ
	👨🏿‍💻;ወንድ ቴክኖሎጂ አዋቂ: የቆዳ ዓይነት-6;ሶፍትዌር|ቴክኖሎጂ አዋቂ|ወንድ|ወንድ ቴክኖሎጂ አዋቂ|ወንድ ቴክኖሎጂ አዋቂ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6|ፈጣሪ
👩‍💻;ሴት ቴክኖሎጂ አዋቂ;ሴት|ሴት ቴክኖሎጂ አዋቂ|ሶፍትዌር|ቴክኖሎጂ አዋቂ|ፈጣሪ
	👩🏻‍💻;ሴት ቴክኖሎጂ አዋቂ: የቆዳ ዓይነት-1-2;ሴት|ሴት ቴክኖሎጂ አዋቂ|ሴት ቴክኖሎጂ አዋቂ: የቆዳ ዓይነት-1-2|ሶፍትዌር|ቴክኖሎጂ አዋቂ|የቆዳ ዓይነት-1-2|ፈጣሪ
	👩🏼‍💻;ሴት ቴክኖሎጂ አዋቂ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሴት|ሴት ቴክኖሎጂ አዋቂ|ሴት ቴክኖሎጂ አዋቂ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሶፍትዌር|ቴክኖሎጂ አዋቂ|ፈጣሪ
	👩🏽‍💻;ሴት ቴክኖሎጂ አዋቂ: የቆዳ ዓይነት-4;ሴት|ሴት ቴክኖሎጂ አዋቂ|ሴት ቴክኖሎጂ አዋቂ: የቆዳ ዓይነት-4|ሶፍትዌር|ቴክኖሎጂ አዋቂ|የቆዳ ዓይነት-4|ፈጣሪ
	👩🏾‍💻;ሴት ቴክኖሎጂ አዋቂ: የቆዳ ዓይነት-5;ሴት|ሴት ቴክኖሎጂ አዋቂ|ሴት ቴክኖሎጂ አዋቂ: የቆዳ ዓይነት-5|ሶፍትዌር|ቴክኖሎጂ አዋቂ|የቆዳ ዓይነት-5|ፈጣሪ
	👩🏿‍💻;ሴት ቴክኖሎጂ አዋቂ: የቆዳ ዓይነት-6;ሴት|ሴት ቴክኖሎጂ አዋቂ|ሴት ቴክኖሎጂ አዋቂ: የቆዳ ዓይነት-6|ሶፍትዌር|ቴክኖሎጂ አዋቂ|የቆዳ ዓይነት-6|ፈጣሪ
🧑‍🎤;ዘፋኝ;ዘፋኝ
	🧑🏻‍🎤;ዘፋኝ: የቆዳ ዓይነት-1-2;ዘፋኝ|ዘፋኝ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	🧑🏼‍🎤;ዘፋኝ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ዘፋኝ|ዘፋኝ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🧑🏽‍🎤;ዘፋኝ: የቆዳ ዓይነት-4;ዘፋኝ|ዘፋኝ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	🧑🏾‍🎤;ዘፋኝ: የቆዳ ዓይነት-5;ዘፋኝ|ዘፋኝ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	🧑🏿‍🎤;ዘፋኝ: የቆዳ ዓይነት-6;ዘፋኝ|ዘፋኝ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
👨‍🎤;ወንድ ዘፋኝ;ተዋናይ|አዝናኝ|ኮከብ|ወንድ|ዘፋኝ
	👨🏻‍🎤;ወንድ ዘፋኝ: የቆዳ ዓይነት-1-2;ተዋናይ|አዝናኝ|ኮከብ|ወንድ|ወንድ ዘፋኝ: የቆዳ ዓይነት-1-2|ዘፋኝ|የቆዳ ዓይነት-1-2
