# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;wiċċ jidħak ħafna;jidħaq ħafna|wiċċ|wiċċ jidħak ħafna
	🙆🏻‍♂️;raġel jagħmel sinjal ta’ OK: ton ċar tal-ġilda;bl-idejn|ġesti|OK|raġel|raġel jagħmel sinjal ta’ OK|raġel jagħmel sinjal ta’ OK: ton ċar tal-ġilda|ton ċar tal-ġilda
	🙆🏼‍♂️;raġel jagħmel sinjal ta’ OK: ton medju-ċar tal-ġilda;bl-idejn|ġesti|OK|raġel|raġel jagħmel sinjal ta’ OK|raġel jagħmel sinjal ta’ OK: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🙆🏽‍♂️;raġel jagħmel sinjal ta’ OK: ton medju tal-ġilda;bl-idejn|ġesti|OK|raġel|raġel jagħmel sinjal ta’ OK|raġel jagħmel sinjal ta’ OK: ton medju tal-ġilda|ton medju tal-ġilda
	🙆🏾‍♂️;raġel jagħmel sinjal ta’ OK: ton medju-skur tal-ġilda;bl-idejn|ġesti|OK|raġel|raġel jagħmel sinjal ta’ OK|raġel jagħmel sinjal ta’ OK: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🙆🏿‍♂️;raġel jagħmel sinjal ta’ OK: ton skur tal-ġilda;bl-idejn|ġesti|OK|raġel|raġel jagħmel sinjal ta’ OK|raġel jagħmel sinjal ta’ OK: ton skur tal-ġilda|ton skur tal-ġilda
🙆‍♀️;mara tagħmel sinjal ta’ OK;bl-idejn|ġesti|mara|mara tagħmel sinjal ta’ OK|OK
	🙆🏻‍♀️;mara tagħmel sinjal ta’ OK: ton ċar tal-ġilda;bl-idejn|ġesti|mara|mara tagħmel sinjal ta’ OK|mara tagħmel sinjal ta’ OK: ton ċar tal-ġilda|OK|ton ċar tal-ġilda
	🙆🏼‍♀️;mara tagħmel sinjal ta’ OK: ton medju-ċar tal-ġilda;bl-idejn|ġesti|mara|mara tagħmel sinjal ta’ OK|mara tagħmel sinjal ta’ OK: ton medju-ċar tal-ġilda|OK|ton medju-ċar tal-ġilda
	🙆🏽‍♀️;mara tagħmel sinjal ta’ OK: ton medju tal-ġilda;bl-idejn|ġesti|mara|mara tagħmel sinjal ta’ OK|mara tagħmel sinjal ta’ OK: ton medju tal-ġilda|OK|ton medju tal-ġilda
	🙆🏾‍♀️;mara tagħmel sinjal ta’ OK: ton medju-skur tal-ġilda;bl-idejn|ġesti|mara|mara tagħmel sinjal ta’ OK|mara tagħmel sinjal ta’ OK: ton medju-skur tal-ġilda|OK|ton medju-skur tal-ġilda
	🙆🏿‍♀️;mara tagħmel sinjal ta’ OK: ton skur tal-ġilda;bl-idejn|ġesti|mara|mara tagħmel sinjal ta’ OK|mara tagħmel sinjal ta’ OK: ton skur tal-ġilda|OK|ton skur tal-ġilda
💁;persuna tbaxxi idha;għajnuna|idha|l-informazzjoni|persuna tbaxxi idha|tbaxxi|tost
	💁🏻;persuna tbaxxi idha: ton ċar tal-ġilda;għajnuna|idha|l-informazzjoni|persuna tbaxxi idha|persuna tbaxxi idha: ton ċar tal-ġilda|tbaxxi|ton ċar tal-ġilda|tost
	💁🏼;persuna tbaxxi idha: ton medju-ċar tal-ġilda;għajnuna|idha|l-informazzjoni|persuna tbaxxi idha|persuna tbaxxi idha: ton medju-ċar tal-ġilda|tbaxxi|ton medju-ċar tal-ġilda|tost
	💁🏽;persuna tbaxxi idha: ton medju tal-ġilda;għajnuna|idha|l-informazzjoni|persuna tbaxxi idha|persuna tbaxxi idha: ton medju tal-ġilda|tbaxxi|ton medju tal-ġilda|tost
	💁🏾;persuna tbaxxi idha: ton medju-skur tal-ġilda;għajnuna|idha|l-informazzjoni|persuna tbaxxi idha|persuna tbaxxi idha: ton medju-skur tal-ġilda|tbaxxi|ton medju-skur tal-ġilda|tost
	💁🏿;persuna tbaxxi idha: ton skur tal-ġilda;għajnuna|idha|l-informazzjoni|persuna tbaxxi idha|persuna tbaxxi idha: ton skur tal-ġilda|tbaxxi|ton skur tal-ġilda|tost
💁‍♂️;raġel ibaxxi idejh;raġel|raġel ibaxxi idejh|tbaxxija tal-idejn|tost
	💁🏻‍♂️;raġel ibaxxi idejh: ton ċar tal-ġilda;raġel|raġel ibaxxi idejh|raġel ibaxxi idejh: ton ċar tal-ġilda|tbaxxija tal-idejn|ton ċar tal-ġilda|tost
	💁🏼‍♂️;raġel ibaxxi idejh: ton medju-ċar tal-ġilda;raġel|raġel ibaxxi idejh|raġel ibaxxi idejh: ton medju-ċar tal-ġilda|tbaxxija tal-idejn|ton medju-ċar tal-ġilda|tost
	💁🏽‍♂️;raġel ibaxxi idejh: ton medju tal-ġilda;raġel|raġel ibaxxi idejh|raġel ibaxxi idejh: ton medju tal-ġilda|tbaxxija tal-idejn|ton medju tal-ġilda|tost
	💁🏾‍♂️;raġel ibaxxi idejh: ton medju-skur tal-ġilda;raġel|raġel ibaxxi idejh|raġel ibaxxi idejh: ton medju-skur tal-ġilda|tbaxxija tal-idejn|ton medju-skur tal-ġilda|tost
	💁🏿‍♂️;raġel ibaxxi idejh: ton skur tal-ġilda;raġel|raġel ibaxxi idejh|raġel ibaxxi idejh: ton skur tal-ġilda|tbaxxija tal-idejn|ton skur tal-ġilda|tost
💁‍♀️;mara tbaxxi idha;mara|mara tbaxxi idha|tbaxxija tal-idejn|tost
	💁🏻‍♀️;mara tbaxxi idha: ton ċar tal-ġilda;mara|mara tbaxxi idha|mara tbaxxi idha: ton ċar tal-ġilda|tbaxxija tal-idejn|ton ċar tal-ġilda|tost
	💁🏼‍♀️;mara tbaxxi idha: ton medju-ċar tal-ġilda;mara|mara tbaxxi idha|mara tbaxxi idha: ton medju-ċar tal-ġilda|tbaxxija tal-idejn|ton medju-ċar tal-ġilda|tost
	💁🏽‍♀️;mara tbaxxi idha: ton medju tal-ġilda;mara|mara tbaxxi idha|mara tbaxxi idha: ton medju tal-ġilda|tbaxxija tal-idejn|ton medju tal-ġilda|tost
	💁🏾‍♀️;mara tbaxxi idha: ton medju-skur tal-ġilda;mara|mara tbaxxi idha|mara tbaxxi idha: ton medju-skur tal-ġilda|tbaxxija tal-idejn|ton medju-skur tal-ġilda|tost
	💁🏿‍♀️;mara tbaxxi idha: ton skur tal-ġilda;mara|mara tbaxxi idha|mara tbaxxi idha: ton skur tal-ġilda|tbaxxija tal-idejn|ton skur tal-ġilda|tost
🙋;persuna tgħolli idha;bl-idejn|ġesti|għolli|kuntentizza|persuna tgħolli idha
	🙋🏻;persuna tgħolli idha: ton ċar tal-ġilda;bl-idejn|ġesti|għolli|kuntentizza|persuna tgħolli idha|persuna tgħolli idha: ton ċar tal-ġilda|ton ċar tal-ġilda
	🙋🏼;persuna tgħolli idha: ton medju-ċar tal-ġilda;bl-idejn|ġesti|għolli|kuntentizza|persuna tgħolli idha|persuna tgħolli idha: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🙋🏽;persuna tgħolli idha: ton medju tal-ġilda;bl-idejn|ġesti|għolli|kuntentizza|persuna tgħolli idha|persuna tgħolli idha: ton medju tal-ġilda|ton medju tal-ġilda
	🙋🏾;persuna tgħolli idha: ton medju-skur tal-ġilda;bl-idejn|ġesti|għolli|kuntentizza|persuna tgħolli idha|persuna tgħolli idha: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🙋🏿;persuna tgħolli idha: ton skur tal-ġilda;bl-idejn|ġesti|għolli|kuntentizza|persuna tgħolli idha|persuna tgħolli idha: ton skur tal-ġilda|ton skur tal-ġilda
🙋‍♂️;raġel jgħolli idejh;ġesti|jgħolli l-idejn|raġel|raġel jgħolli idejh
	🙋🏻‍♂️;raġel jgħolli idejh: ton ċar tal-ġilda;ġesti|jgħolli l-idejn|raġel|raġel jgħolli idejh|raġel jgħolli idejh: ton ċar tal-ġilda|ton ċar tal-ġilda
	🙋🏼‍♂️;raġel jgħolli idejh: ton medju-ċar tal-ġilda;ġesti|jgħolli l-idejn|raġel|raġel jgħolli idejh|raġel jgħolli idejh: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🙋🏽‍♂️;raġel jgħolli idejh: ton medju tal-ġilda;ġesti|jgħolli l-idejn|raġel|raġel jgħolli idejh|raġel jgħolli idejh: ton medju tal-ġilda|ton medju tal-ġilda
	🙋🏾‍♂️;raġel jgħolli idejh: ton medju-skur tal-ġilda;ġesti|jgħolli l-idejn|raġel|raġel jgħolli idejh|raġel jgħolli idejh: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🙋🏿‍♂️;raġel jgħolli idejh: ton skur tal-ġilda;ġesti|jgħolli l-idejn|raġel|raġel jgħolli idejh|raġel jgħolli idejh: ton skur tal-ġilda|ton skur tal-ġilda
🙋‍♀️;mara tgħolli idha;ġesti|għolli l-idejn|mara|mara tgħolli idha
	🙋🏻‍♀️;mara tgħolli idha: ton ċar tal-ġilda;ġesti|għolli l-idejn|mara|mara tgħolli idha|mara tgħolli idha: ton ċar tal-ġilda|ton ċar tal-ġilda
	🙋🏼‍♀️;mara tgħolli idha: ton medju-ċar tal-ġilda;ġesti|għolli l-idejn|mara|mara tgħolli idha|mara tgħolli idha: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🙋🏽‍♀️;mara tgħolli idha: ton medju tal-ġilda;ġesti|għolli l-idejn|mara|mara tgħolli idha|mara tgħolli idha: ton medju tal-ġilda|ton medju tal-ġilda
	🙋🏾‍♀️;mara tgħolli idha: ton medju-skur tal-ġilda;ġesti|għolli l-idejn|mara|mara tgħolli idha|mara tgħolli idha: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🙋🏿‍♀️;mara tgħolli idha: ton skur tal-ġilda;ġesti|għolli l-idejn|mara|mara tgħolli idha|mara tgħolli idha: ton skur tal-ġilda|ton skur tal-ġilda
🧏;;
	🧏🏻;;
	🧏🏼;;
	🧏🏽;;
	🧏🏾;;
	🧏🏿;;
🧏‍♂️;;
	🧏🏻‍♂️;;
	🧏🏼‍♂️;;
	🧏🏽‍♂️;;
	🧏🏾‍♂️;;
	🧏🏿‍♂️;;
🧏‍♀️;;
	🧏🏻‍♀️;;
	🧏🏼‍♀️;;
	🧏🏽‍♀️;;
	🧏🏾‍♀️;;
	🧏🏿‍♀️;;
🙇;persuna tinkina;apoloġija|ġesti|inkina|jiddispjaċina|persuna tinkina
	🙇🏻;persuna tinkina: ton ċar tal-ġilda;apoloġija|ġesti|inkina|jiddispjaċina|persuna tinkina|persuna tinkina: ton ċar tal-ġilda|ton ċar tal-ġilda
	🙇🏼;persuna tinkina: ton medju-ċar tal-ġilda;apoloġija|ġesti|inkina|jiddispjaċina|persuna tinkina|persuna tinkina: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🙇🏽;persuna tinkina: ton medju tal-ġilda;apoloġija|ġesti|inkina|jiddispjaċina|persuna tinkina|persuna tinkina: ton medju tal-ġilda|ton medju tal-ġilda
	🙇🏾;persuna tinkina: ton medju-skur tal-ġilda;apoloġija|ġesti|inkina|jiddispjaċina|persuna tinkina|persuna tinkina: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🙇🏿;persuna tinkina: ton skur tal-ġilda;apoloġija|ġesti|inkina|jiddispjaċina|persuna tinkina|persuna tinkina: ton skur tal-ġilda|ton skur tal-ġilda
🙇‍♂️;raġel jikina;apoloġija|favur|ġesti|inkina|jiddispjaċih|raġel jikina|reġel
	🙇🏻‍♂️;raġel jikina: ton ċar tal-ġilda;apoloġija|favur|ġesti|inkina|jiddispjaċih|raġel jikina|raġel jikina: ton ċar tal-ġilda|reġel|ton ċar tal-ġilda
	🙇🏼‍♂️;raġel jikina: ton medju-ċar tal-ġilda;apoloġija|favur|ġesti|inkina|jiddispjaċih|raġel jikina|raġel jikina: ton medju-ċar tal-ġilda|reġel|ton medju-ċar tal-ġilda
	🙇🏽‍♂️;raġel jikina: ton medju tal-ġilda;apoloġija|favur|ġesti|inkina|jiddispjaċih|raġel jikina|raġel jikina: ton medju tal-ġilda|reġel|ton medju tal-ġilda
	🙇🏾‍♂️;raġel jikina: ton medju-skur tal-ġilda;apoloġija|favur|ġesti|inkina|jiddispjaċih|raġel jikina|raġel jikina: ton medju-skur tal-ġilda|reġel|ton medju-skur tal-ġilda
	🙇🏿‍♂️;raġel jikina: ton skur tal-ġilda;apoloġija|favur|ġesti|inkina|jiddispjaċih|raġel jikina|raġel jikina: ton skur tal-ġilda|reġel|ton skur tal-ġilda
🙇‍♀️;mara tikina;apoloġija|favur|ġesti|inkina|jiddispjaċih|mara|mara tikina
	🙇🏻‍♀️;mara tikina: ton ċar tal-ġilda;apoloġija|favur|ġesti|inkina|jiddispjaċih|mara|mara tikina|mara tikina: ton ċar tal-ġilda|ton ċar tal-ġilda
	🙇🏼‍♀️;mara tikina: ton medju-ċar tal-ġilda;apoloġija|favur|ġesti|inkina|jiddispjaċih|mara|mara tikina|mara tikina: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🙇🏽‍♀️;mara tikina: ton medju tal-ġilda;apoloġija|favur|ġesti|inkina|jiddispjaċih|mara|mara tikina|mara tikina: ton medju tal-ġilda|ton medju tal-ġilda
	🙇🏾‍♀️;mara tikina: ton medju-skur tal-ġilda;apoloġija|favur|ġesti|inkina|jiddispjaċih|mara|mara tikina|mara tikina: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🙇🏿‍♀️;mara tikina: ton skur tal-ġilda;apoloġija|favur|ġesti|inkina|jiddispjaċih|mara|mara tikina|mara tikina: ton skur tal-ġilda|ton skur tal-ġilda
🤦;persuna tagħmel facepalm;eżasperazzjoni|ma jitwemminx|pala|persuna tagħmel facepalm|wiċċ
	🤦🏻;persuna tagħmel facepalm: ton ċar tal-ġilda;eżasperazzjoni|ma jitwemminx|pala|persuna tagħmel facepalm|persuna tagħmel facepalm: ton ċar tal-ġilda|ton ċar tal-ġilda|wiċċ
	🤦🏼;persuna tagħmel facepalm: ton medju-ċar tal-ġilda;eżasperazzjoni|ma jitwemminx|pala|persuna tagħmel facepalm|persuna tagħmel facepalm: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda|wiċċ
	🤦🏽;persuna tagħmel facepalm: ton medju tal-ġilda;eżasperazzjoni|ma jitwemminx|pala|persuna tagħmel facepalm|persuna tagħmel facepalm: ton medju tal-ġilda|ton medju tal-ġilda|wiċċ
	🤦🏾;persuna tagħmel facepalm: ton medju-skur tal-ġilda;eżasperazzjoni|ma jitwemminx|pala|persuna tagħmel facepalm|persuna tagħmel facepalm: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda|wiċċ
	🤦🏿;persuna tagħmel facepalm: ton skur tal-ġilda;eżasperazzjoni|ma jitwemminx|pala|persuna tagħmel facepalm|persuna tagħmel facepalm: ton skur tal-ġilda|ton skur tal-ġilda|wiċċ
🤦‍♂️;raġel jagħmel facepalming;eżasperazzjoni|facepalm|ma jitwemminx|raġel|raġel jagħmel facepalming
	🤦🏻‍♂️;raġel jagħmel facepalming: ton ċar tal-ġilda;eżasperazzjoni|facepalm|ma jitwemminx|raġel|raġel jagħmel facepalming|raġel jagħmel facepalming: ton ċar tal-ġilda|ton ċar tal-ġilda
	🤦🏼‍♂️;raġel jagħmel facepalming: ton medju-ċar tal-ġilda;eżasperazzjoni|facepalm|ma jitwemminx|raġel|raġel jagħmel facepalming|raġel jagħmel facepalming: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🤦🏽‍♂️;raġel jagħmel facepalming: ton medju tal-ġilda;eżasperazzjoni|facepalm|ma jitwemminx|raġel|raġel jagħmel facepalming|raġel jagħmel facepalming: ton medju tal-ġilda|ton medju tal-ġilda
	🤦🏾‍♂️;raġel jagħmel facepalming: ton medju-skur tal-ġilda;eżasperazzjoni|facepalm|ma jitwemminx|raġel|raġel jagħmel facepalming|raġel jagħmel facepalming: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🤦🏿‍♂️;raġel jagħmel facepalming: ton skur tal-ġilda;eżasperazzjoni|facepalm|ma jitwemminx|raġel|raġel jagħmel facepalming|raġel jagħmel facepalming: ton skur tal-ġilda|ton skur tal-ġilda
🤦‍♀️;mara tagħmel facepalming;eżasperazzjoni|facepalm|ma jitwemminx|mara|mara tagħmel facepalming
	🤦🏻‍♀️;mara tagħmel facepalming: ton ċar tal-ġilda;eżasperazzjoni|facepalm|ma jitwemminx|mara|mara tagħmel facepalming|mara tagħmel facepalming: ton ċar tal-ġilda|ton ċar tal-ġilda
	🤦🏼‍♀️;mara tagħmel facepalming: ton medju-ċar tal-ġilda;eżasperazzjoni|facepalm|ma jitwemminx|mara|mara tagħmel facepalming|mara tagħmel facepalming: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🤦🏽‍♀️;mara tagħmel facepalming: ton medju tal-ġilda;eżasperazzjoni|facepalm|ma jitwemminx|mara|mara tagħmel facepalming|mara tagħmel facepalming: ton medju tal-ġilda|ton medju tal-ġilda
	🤦🏾‍♀️;mara tagħmel facepalming: ton medju-skur tal-ġilda;eżasperazzjoni|facepalm|ma jitwemminx|mara|mara tagħmel facepalming|mara tagħmel facepalming: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🤦🏿‍♀️;mara tagħmel facepalming: ton skur tal-ġilda;eżasperazzjoni|facepalm|ma jitwemminx|mara|mara tagħmel facepalming|mara tagħmel facepalming: ton skur tal-ġilda|ton skur tal-ġilda
🤷;persuna xxengel spallejha;dubju|indifferenza|injoranza|persuna xxengel spallejha|xengel spallejn
	🤷🏻;persuna xxengel spallejha: ton ċar tal-ġilda;dubju|indifferenza|injoranza|persuna xxengel spallejha|persuna xxengel spallejha: ton ċar tal-ġilda|ton ċar tal-ġilda|xengel spallejn
	🤷🏼;persuna xxengel spallejha: ton medju-ċar tal-ġilda;dubju|indifferenza|injoranza|persuna xxengel spallejha|persuna xxengel spallejha: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda|xengel spallejn
	🤷🏽;persuna xxengel spallejha: ton medju tal-ġilda;dubju|indifferenza|injoranza|persuna xxengel spallejha|persuna xxengel spallejha: ton medju tal-ġilda|ton medju tal-ġilda|xengel spallejn
	🤷🏾;persuna xxengel spallejha: ton medju-skur tal-ġilda;dubju|indifferenza|injoranza|persuna xxengel spallejha|persuna xxengel spallejha: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda|xengel spallejn
	🤷🏿;persuna xxengel spallejha: ton skur tal-ġilda;dubju|indifferenza|injoranza|persuna xxengel spallejha|persuna xxengel spallejha: ton skur tal-ġilda|ton skur tal-ġilda|xengel spallejn
🤷‍♂️;raġel ixengel spallejh;dubju|għolli spallejn|indifferenzi|injoranza|raġel|raġel ixengel spallejh
	🤷🏻‍♂️;raġel ixengel spallejh: ton ċar tal-ġilda;dubju|għolli spallejn|indifferenzi|injoranza|raġel|raġel ixengel spallejh|raġel ixengel spallejh: ton ċar tal-ġilda|ton ċar tal-ġilda
	🤷🏼‍♂️;raġel ixengel spallejh: ton medju-ċar tal-ġilda;dubju|għolli spallejn|indifferenzi|injoranza|raġel|raġel ixengel spallejh|raġel ixengel spallejh: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🤷🏽‍♂️;raġel ixengel spallejh: ton medju tal-ġilda;dubju|għolli spallejn|indifferenzi|injoranza|raġel|raġel ixengel spallejh|raġel ixengel spallejh: ton medju tal-ġilda|ton medju tal-ġilda
	🤷🏾‍♂️;raġel ixengel spallejh: ton medju-skur tal-ġilda;dubju|għolli spallejn|indifferenzi|injoranza|raġel|raġel ixengel spallejh|raġel ixengel spallejh: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🤷🏿‍♂️;raġel ixengel spallejh: ton skur tal-ġilda;dubju|għolli spallejn|indifferenzi|injoranza|raġel|raġel ixengel spallejh|raġel ixengel spallejh: ton skur tal-ġilda|ton skur tal-ġilda
🤷‍♀️;mara xxengel spallejha;dubju|għolli spallejn|indifferenzi|injoranza|mara|mara xxengel spallejha
	🤷🏻‍♀️;mara xxengel spallejha: ton ċar tal-ġilda;dubju|għolli spallejn|indifferenzi|injoranza|mara|mara xxengel spallejha|mara xxengel spallejha: ton ċar tal-ġilda|ton ċar tal-ġilda
	🤷🏼‍♀️;mara xxengel spallejha: ton medju-ċar tal-ġilda;dubju|għolli spallejn|indifferenzi|injoranza|mara|mara xxengel spallejha|mara xxengel spallejha: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🤷🏽‍♀️;mara xxengel spallejha: ton medju tal-ġilda;dubju|għolli spallejn|indifferenzi|injoranza|mara|mara xxengel spallejha|mara xxengel spallejha: ton medju tal-ġilda|ton medju tal-ġilda
	🤷🏾‍♀️;mara xxengel spallejha: ton medju-skur tal-ġilda;dubju|għolli spallejn|indifferenzi|injoranza|mara|mara xxengel spallejha|mara xxengel spallejha: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🤷🏿‍♀️;mara xxengel spallejha: ton skur tal-ġilda;dubju|għolli spallejn|indifferenzi|injoranza|mara|mara xxengel spallejha|mara xxengel spallejha: ton skur tal-ġilda|ton skur tal-ġilda
🧑‍⚕️;;
	🧑🏻‍⚕️;;
	🧑🏼‍⚕️;;
	🧑🏽‍⚕️;;
	🧑🏾‍⚕️;;
	🧑🏿‍⚕️;;
👨‍⚕️;ħaddiem fil-kura tal-bniedem;bniedem|ħaddiem fil-kura tal-bniedem|infermiera|kura tas-saħħa|tabib|terapista
	👨🏻‍⚕️;ħaddiem fil-kura tal-bniedem: ton ċar tal-ġilda;bniedem|ħaddiem fil-kura tal-bniedem|ħaddiem fil-kura tal-bniedem: ton ċar tal-ġilda|infermiera|kura tas-saħħa|tabib|terapista|ton ċar tal-ġilda
	👨🏼‍⚕️;ħaddiem fil-kura tal-bniedem: ton medju-ċar tal-ġilda;bniedem|ħaddiem fil-kura tal-bniedem|ħaddiem fil-kura tal-bniedem: ton medju-ċar tal-ġilda|infermiera|kura tas-saħħa|tabib|terapista|ton medju-ċar tal-ġilda
	👨🏽‍⚕️;ħaddiem fil-kura tal-bniedem: ton medju tal-ġilda;bniedem|ħaddiem fil-kura tal-bniedem|ħaddiem fil-kura tal-bniedem: ton medju tal-ġilda|infermiera|kura tas-saħħa|tabib|terapista|ton medju tal-ġilda
	👨🏾‍⚕️;ħaddiem fil-kura tal-bniedem: ton medju-skur tal-ġilda;bniedem|ħaddiem fil-kura tal-bniedem|ħaddiem fil-kura tal-bniedem: ton medju-skur tal-ġilda|infermiera|kura tas-saħħa|tabib|terapista|ton medju-skur tal-ġilda
	👨🏿‍⚕️;ħaddiem fil-kura tal-bniedem: ton skur tal-ġilda;bniedem|ħaddiem fil-kura tal-bniedem|ħaddiem fil-kura tal-bniedem: ton skur tal-ġilda|infermiera|kura tas-saħħa|tabib|terapista|ton skur tal-ġilda
👩‍⚕️;mara fil-kura tas-saħħa;infermiera|kura tas-saħħa|mara|mara fil-kura tas-saħħa|tabib|terapista
	👩🏻‍⚕️;mara fil-kura tas-saħħa: ton ċar tal-ġilda;infermiera|kura tas-saħħa|mara|mara fil-kura tas-saħħa|mara fil-kura tas-saħħa: ton ċar tal-ġilda|tabib|terapista|ton ċar tal-ġilda
	👩🏼‍⚕️;mara fil-kura tas-saħħa: ton medju-ċar tal-ġilda;infermiera|kura tas-saħħa|mara|mara fil-kura tas-saħħa|mara fil-kura tas-saħħa: ton medju-ċar tal-ġilda|tabib|terapista|ton medju-ċar tal-ġilda
	👩🏽‍⚕️;mara fil-kura tas-saħħa: ton medju tal-ġilda;infermiera|kura tas-saħħa|mara|mara fil-kura tas-saħħa|mara fil-kura tas-saħħa: ton medju tal-ġilda|tabib|terapista|ton medju tal-ġilda
	👩🏾‍⚕️;mara fil-kura tas-saħħa: ton medju-skur tal-ġilda;infermiera|kura tas-saħħa|mara|mara fil-kura tas-saħħa|mara fil-kura tas-saħħa: ton medju-skur tal-ġilda|tabib|terapista|ton medju-skur tal-ġilda
	👩🏿‍⚕️;mara fil-kura tas-saħħa: ton skur tal-ġilda;infermiera|kura tas-saħħa|mara|mara fil-kura tas-saħħa|mara fil-kura tas-saħħa: ton skur tal-ġilda|tabib|terapista|ton skur tal-ġilda
🧑‍🎓;;
	🧑🏻‍🎓;;
	🧑🏼‍🎓;;
	🧑🏽‍🎓;;
	🧑🏾‍🎓;;
	🧑🏿‍🎓;;
👨‍🎓;student maskil;gradwat|raġel|student|student maskil
	👨🏻‍🎓;student maskil: ton ċar tal-ġilda;gradwat|raġel|student|student maskil|student maskil: ton ċar tal-ġilda|ton ċar tal-ġilda
	👨🏼‍🎓;student maskil: ton medju-ċar tal-ġilda;gradwat|raġel|student|student maskil|student maskil: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	👨🏽‍🎓;student maskil: ton medju tal-ġilda;gradwat|raġel|student|student maskil|student maskil: ton medju tal-ġilda|ton medju tal-ġilda
	👨🏾‍🎓;student maskil: ton medju-skur tal-ġilda;gradwat|raġel|student|student maskil|student maskil: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	👨🏿‍🎓;student maskil: ton skur tal-ġilda;gradwat|raġel|student|student maskil|student maskil: ton skur tal-ġilda|ton skur tal-ġilda
👩‍🎓;student femminil;gradwat|mara|student|student femminil
	👩🏻‍🎓;student femminil: ton ċar tal-ġilda;gradwat|mara|student|student femminil|student femminil: ton ċar tal-ġilda|ton ċar tal-ġilda
	👩🏼‍🎓;student femminil: ton medju-ċar tal-ġilda;gradwat|mara|student|student femminil|student femminil: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	👩🏽‍🎓;student femminil: ton medju tal-ġilda;gradwat|mara|student|student femminil|student femminil: ton medju tal-ġilda|ton medju tal-ġilda
	👩🏾‍🎓;student femminil: ton medju-skur tal-ġilda;gradwat|mara|student|student femminil|student femminil: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	👩🏿‍🎓;student femminil: ton skur tal-ġilda;gradwat|mara|student|student femminil|student femminil: ton skur tal-ġilda|ton skur tal-ġilda
