[smileys_emotion]
😀;față încântată;față|față încântată|încântare
	👩🏻‍🦳;femeie: ton deschis al pielii, păr alb;adultă|femeie|femeie: ton deschis al pielii, păr alb|păr alb|ton deschis al pielii
	👩🏼‍🦳;femeie: ton semi‑deschis al pielii, păr alb;adultă|femeie|femeie: ton semi‑deschis al pielii, păr alb|păr alb|ton semi‑deschis al pielii
	👩🏽‍🦳;femeie: ton mediu al pielii, păr alb;adultă|femeie|femeie: ton mediu al pielii, păr alb|păr alb|ton mediu al pielii
	👩🏾‍🦳;femeie: ton semi‑închis al pielii, păr alb;adultă|femeie|femeie: ton semi‑închis al pielii, păr alb|păr alb|ton semi‑închis al pielii
	👩🏿‍🦳;femeie: ton închis al pielii, păr alb;adultă|femeie|femeie: ton închis al pielii, păr alb|păr alb|ton închis al pielii
🧑‍🦳;adult: păr alb;adult|adult: păr alb|neutru|păr alb|persoană
	🧑🏻‍🦳;adult: ton deschis al pielii, păr alb;adult|adult: ton deschis al pielii, păr alb|neutru|păr alb|persoană|ton deschis al pielii
	🧑🏼‍🦳;adult: ton semi‑deschis al pielii, păr alb;adult|adult: ton semi‑deschis al pielii, păr alb|neutru|păr alb|persoană|ton semi‑deschis al pielii
	🧑🏽‍🦳;adult: ton mediu al pielii, păr alb;adult|adult: ton mediu al pielii, păr alb|neutru|păr alb|persoană|ton mediu al pielii
	🧑🏾‍🦳;adult: ton semi‑închis al pielii, păr alb;adult|adult: ton semi‑închis al pielii, păr alb|neutru|păr alb|persoană|ton semi‑închis al pielii
	🧑🏿‍🦳;adult: ton închis al pielii, păr alb;adult|adult: ton închis al pielii, păr alb|neutru|păr alb|persoană|ton închis al pielii
👩‍🦲;femeie: chelie;adultă|chelie|femeie|femeie: chelie
	👩🏻‍🦲;femeie: ton deschis al pielii, chelie;adultă|chelie|femeie|femeie: ton deschis al pielii, chelie|ton deschis al pielii
	👩🏼‍🦲;femeie: ton semi‑deschis al pielii, chelie;adultă|chelie|femeie|femeie: ton semi‑deschis al pielii, chelie|ton semi‑deschis al pielii
	👩🏽‍🦲;femeie: ton mediu al pielii, chelie;adultă|chelie|femeie|femeie: ton mediu al pielii, chelie|ton mediu al pielii
	👩🏾‍🦲;femeie: ton semi‑închis al pielii, chelie;adultă|chelie|femeie|femeie: ton semi‑închis al pielii, chelie|ton semi‑închis al pielii
	👩🏿‍🦲;femeie: ton închis al pielii, chelie;adultă|chelie|femeie|femeie: ton închis al pielii, chelie|ton închis al pielii
🧑‍🦲;adult: chelie;adult|adult: chelie|chelie|neutru|persoană
	🧑🏻‍🦲;adult: ton deschis al pielii, chelie;adult|adult: ton deschis al pielii, chelie|chelie|neutru|persoană|ton deschis al pielii
	🧑🏼‍🦲;adult: ton semi‑deschis al pielii, chelie;adult|adult: ton semi‑deschis al pielii, chelie|chelie|neutru|persoană|ton semi‑deschis al pielii
	🧑🏽‍🦲;adult: ton mediu al pielii, chelie;adult|adult: ton mediu al pielii, chelie|chelie|neutru|persoană|ton mediu al pielii
	🧑🏾‍🦲;adult: ton semi‑închis al pielii, chelie;adult|adult: ton semi‑închis al pielii, chelie|chelie|neutru|persoană|ton semi‑închis al pielii
	🧑🏿‍🦲;adult: ton închis al pielii, chelie;adult|adult: ton închis al pielii, chelie|chelie|neutru|persoană|ton închis al pielii
👱‍♀️;femeie blondă;blondă|femeie|femeie cu păr blond|păr
	👱🏻‍♀️;femeie blondă: ton deschis al pielii;blondă|femeie|femeie blondă: ton deschis al pielii|femeie cu păr blond|păr|ton deschis al pielii
	👱🏼‍♀️;femeie blondă: ton semi‑deschis al pielii;blondă|femeie|femeie blondă: ton semi‑deschis al pielii|femeie cu păr blond|păr|ton semi‑deschis al pielii
	👱🏽‍♀️;femeie blondă: ton mediu al pielii;blondă|femeie|femeie blondă: ton mediu al pielii|femeie cu păr blond|păr|ton mediu al pielii
	👱🏾‍♀️;femeie blondă: ton semi‑închis al pielii;blondă|femeie|femeie blondă: ton semi‑închis al pielii|femeie cu păr blond|păr|ton semi‑închis al pielii
	👱🏿‍♀️;femeie blondă: ton închis al pielii;blondă|femeie|femeie blondă: ton închis al pielii|femeie cu păr blond|păr|ton închis al pielii
👱‍♂️;bărbat blond;bărbat|bărbat cu păr blond|blond|păr
	👱🏻‍♂️;bărbat blond: ton deschis al pielii;bărbat|bărbat blond: ton deschis al pielii|bărbat cu păr blond|blond|păr|ton deschis al pielii
	👱🏼‍♂️;bărbat blond: ton semi‑deschis al pielii;bărbat|bărbat blond: ton semi‑deschis al pielii|bărbat cu păr blond|blond|păr|ton semi‑deschis al pielii
	👱🏽‍♂️;bărbat blond: ton mediu al pielii;bărbat|bărbat blond: ton mediu al pielii|bărbat cu păr blond|blond|păr|ton mediu al pielii
	👱🏾‍♂️;bărbat blond: ton semi‑închis al pielii;bărbat|bărbat blond: ton semi‑închis al pielii|bărbat cu păr blond|blond|păr|ton semi‑închis al pielii
	👱🏿‍♂️;bărbat blond: ton închis al pielii;bărbat|bărbat blond: ton închis al pielii|bărbat cu păr blond|blond|păr|ton închis al pielii
🧓;persoană în vârstă;adult|bătrân|neutru|persoană în vârstă|vârstnic
	🧓🏻;persoană în vârstă: ton deschis al pielii;adult|bătrân|neutru|persoană în vârstă|persoană în vârstă: ton deschis al pielii|ton deschis al pielii|vârstnic
	🧓🏼;persoană în vârstă: ton semi‑deschis al pielii;adult|bătrân|neutru|persoană în vârstă|persoană în vârstă: ton semi‑deschis al pielii|ton semi‑deschis al pielii|vârstnic
	🧓🏽;persoană în vârstă: ton mediu al pielii;adult|bătrân|neutru|persoană în vârstă|persoană în vârstă: ton mediu al pielii|ton mediu al pielii|vârstnic
	🧓🏾;persoană în vârstă: ton semi‑închis al pielii;adult|bătrân|neutru|persoană în vârstă|persoană în vârstă: ton semi‑închis al pielii|ton semi‑închis al pielii|vârstnic
	🧓🏿;persoană în vârstă: ton închis al pielii;adult|bătrân|neutru|persoană în vârstă|persoană în vârstă: ton închis al pielii|ton închis al pielii|vârstnic
👴;bătrân;adult|bărbat|bătrân
	👴🏻;bătrân: ton deschis al pielii;adult|bărbat|bătrân|bătrân: ton deschis al pielii|ton deschis al pielii
	👴🏼;bătrân: ton semi‑deschis al pielii;adult|bărbat|bătrân|bătrân: ton semi‑deschis al pielii|ton semi‑deschis al pielii
	👴🏽;bătrân: ton mediu al pielii;adult|bărbat|bătrân|bătrân: ton mediu al pielii|ton mediu al pielii
	👴🏾;bătrân: ton semi‑închis al pielii;adult|bărbat|bătrân|bătrân: ton semi‑închis al pielii|ton semi‑închis al pielii
	👴🏿;bătrân: ton închis al pielii;adult|bărbat|bătrân|bătrân: ton închis al pielii|ton închis al pielii
👵;bătrână;adultă|bătrână|femeie
	👵🏻;bătrână: ton deschis al pielii;adultă|bătrână|bătrână: ton deschis al pielii|femeie|ton deschis al pielii
	👵🏼;bătrână: ton semi‑deschis al pielii;adultă|bătrână|bătrână: ton semi‑deschis al pielii|femeie|ton semi‑deschis al pielii
	👵🏽;bătrână: ton mediu al pielii;adultă|bătrână|bătrână: ton mediu al pielii|femeie|ton mediu al pielii
	👵🏾;bătrână: ton semi‑închis al pielii;adultă|bătrână|bătrână: ton semi‑închis al pielii|femeie|ton semi‑închis al pielii
	👵🏿;bătrână: ton închis al pielii;adultă|bătrână|bătrână: ton închis al pielii|femeie|ton închis al pielii
🙍;persoană întristată;gest|întristare|persoană întristată|supărare
	🙍🏻;persoană întristată: ton deschis al pielii;gest|întristare|persoană întristată|persoană întristată: ton deschis al pielii|supărare|ton deschis al pielii
	🙍🏼;persoană întristată: ton semi‑deschis al pielii;gest|întristare|persoană întristată|persoană întristată: ton semi‑deschis al pielii|supărare|ton semi‑deschis al pielii
	🙍🏽;persoană întristată: ton mediu al pielii;gest|întristare|persoană întristată|persoană întristată: ton mediu al pielii|supărare|ton mediu al pielii
	🙍🏾;persoană întristată: ton semi‑închis al pielii;gest|întristare|persoană întristată|persoană întristată: ton semi‑închis al pielii|supărare|ton semi‑închis al pielii
	🙍🏿;persoană întristată: ton închis al pielii;gest|întristare|persoană întristată|persoană întristată: ton închis al pielii|supărare|ton închis al pielii
🙍‍♂️;bărbat întristat;bărbat întristat|gest|întristare|supărare
	🙍🏻‍♂️;bărbat întristat: ton deschis al pielii;bărbat întristat|bărbat întristat: ton deschis al pielii|gest|întristare|supărare|ton deschis al pielii
	🙍🏼‍♂️;bărbat întristat: ton semi‑deschis al pielii;bărbat întristat|bărbat întristat: ton semi‑deschis al pielii|gest|întristare|supărare|ton semi‑deschis al pielii
	🙍🏽‍♂️;bărbat întristat: ton mediu al pielii;bărbat întristat|bărbat întristat: ton mediu al pielii|gest|întristare|supărare|ton mediu al pielii
	🙍🏾‍♂️;bărbat întristat: ton semi‑închis al pielii;bărbat întristat|bărbat întristat: ton semi‑închis al pielii|gest|întristare|supărare|ton semi‑închis al pielii
	🙍🏿‍♂️;bărbat întristat: ton închis al pielii;bărbat întristat|bărbat întristat: ton închis al pielii|gest|întristare|supărare|ton închis al pielii
🙍‍♀️;femeie întristată;femeie întristată|gest|întristare|supărare
	🙍🏻‍♀️;femeie întristată: ton deschis al pielii;femeie întristată|femeie întristată: ton deschis al pielii|gest|întristare|supărare|ton deschis al pielii
	🙍🏼‍♀️;femeie întristată: ton semi‑deschis al pielii;femeie întristată|femeie întristată: ton semi‑deschis al pielii|gest|întristare|supărare|ton semi‑deschis al pielii
	🙍🏽‍♀️;femeie întristată: ton mediu al pielii;femeie întristată|femeie întristată: ton mediu al pielii|gest|întristare|supărare|ton mediu al pielii
	🙍🏾‍♀️;femeie întristată: ton semi‑închis al pielii;femeie întristată|femeie întristată: ton semi‑închis al pielii|gest|întristare|supărare|ton semi‑închis al pielii
	🙍🏿‍♀️;femeie întristată: ton închis al pielii;femeie întristată|femeie întristată: ton închis al pielii|gest|întristare|supărare|ton închis al pielii
🙎;persoană bosumflată;expresie facială|îmbufnare|persoană bosumflată
	🙎🏻;persoană bosumflată: ton deschis al pielii;expresie facială|îmbufnare|persoană bosumflată|persoană bosumflată: ton deschis al pielii|ton deschis al pielii
	🙎🏼;persoană bosumflată: ton semi‑deschis al pielii;expresie facială|îmbufnare|persoană bosumflată|persoană bosumflată: ton semi‑deschis al pielii|ton semi‑deschis al pielii
	🙎🏽;persoană bosumflată: ton mediu al pielii;expresie facială|îmbufnare|persoană bosumflată|persoană bosumflată: ton mediu al pielii|ton mediu al pielii
	🙎🏾;persoană bosumflată: ton semi‑închis al pielii;expresie facială|îmbufnare|persoană bosumflată|persoană bosumflată: ton semi‑închis al pielii|ton semi‑închis al pielii
	🙎🏿;persoană bosumflată: ton închis al pielii;expresie facială|îmbufnare|persoană bosumflată|persoană bosumflată: ton închis al pielii|ton închis al pielii
🙎‍♂️;bărbat bosumflat;bărbat|bărbat bosumflat|bosumflare|gest|îmbufnare
	🙎🏻‍♂️;bărbat bosumflat: ton deschis al pielii;bărbat|bărbat bosumflat|bărbat bosumflat: ton deschis al pielii|bosumflare|gest|îmbufnare|ton deschis al pielii
	🙎🏼‍♂️;bărbat bosumflat: ton semi‑deschis al pielii;bărbat|bărbat bosumflat|bărbat bosumflat: ton semi‑deschis al pielii|bosumflare|gest|îmbufnare|ton semi‑deschis al pielii
	🙎🏽‍♂️;bărbat bosumflat: ton mediu al pielii;bărbat|bărbat bosumflat|bărbat bosumflat: ton mediu al pielii|bosumflare|gest|îmbufnare|ton mediu al pielii
	🙎🏾‍♂️;bărbat bosumflat: ton semi‑închis al pielii;bărbat|bărbat bosumflat|bărbat bosumflat: ton semi‑închis al pielii|bosumflare|gest|îmbufnare|ton semi‑închis al pielii
	🙎🏿‍♂️;bărbat bosumflat: ton închis al pielii;bărbat|bărbat bosumflat|bărbat bosumflat: ton închis al pielii|bosumflare|gest|îmbufnare|ton închis al pielii
🙎‍♀️;femeie bosumflată;bosumflare|femeie|femeie bosumflată|gest|îmbufnare
	🙎🏻‍♀️;femeie bosumflată: ton deschis al pielii;bosumflare|femeie|femeie bosumflată|femeie bosumflată: ton deschis al pielii|gest|îmbufnare|ton deschis al pielii
	🙎🏼‍♀️;femeie bosumflată: ton semi‑deschis al pielii;bosumflare|femeie|femeie bosumflată|femeie bosumflată: ton semi‑deschis al pielii|gest|îmbufnare|ton semi‑deschis al pielii
	🙎🏽‍♀️;femeie bosumflată: ton mediu al pielii;bosumflare|femeie|femeie bosumflată|femeie bosumflată: ton mediu al pielii|gest|îmbufnare|ton mediu al pielii
	🙎🏾‍♀️;femeie bosumflată: ton semi‑închis al pielii;bosumflare|femeie|femeie bosumflată|femeie bosumflată: ton semi‑închis al pielii|gest|îmbufnare|ton semi‑închis al pielii
	🙎🏿‍♀️;femeie bosumflată: ton închis al pielii;bosumflare|femeie|femeie bosumflată|femeie bosumflată: ton închis al pielii|gest|îmbufnare|ton închis al pielii
🙅;persoană făcând un gest de negație;gest|interzis|mâini|nu|persoană făcând un gest de negație
	🙅🏻;persoană făcând un gest de negație: ton deschis al pielii;gest|interzis|mâini|nu|persoană făcând un gest de negație|persoană făcând un gest de negație: ton deschis al pielii|ton deschis al pielii
	🙅🏼;persoană făcând un gest de negație: ton semi‑deschis al pielii;gest|interzis|mâini|nu|persoană făcând un gest de negație|persoană făcând un gest de negație: ton semi‑deschis al pielii|ton semi‑deschis al pielii
	🙅🏽;persoană făcând un gest de negație: ton mediu al pielii;gest|interzis|mâini|nu|persoană făcând un gest de negație|persoană făcând un gest de negație: ton mediu al pielii|ton mediu al pielii
	🙅🏾;persoană făcând un gest de negație: ton semi‑închis al pielii;gest|interzis|mâini|nu|persoană făcând un gest de negație|persoană făcând un gest de negație: ton semi‑închis al pielii|ton semi‑închis al pielii
	🙅🏿;persoană făcând un gest de negație: ton închis al pielii;gest|interzis|mâini|nu|persoană făcând un gest de negație|persoană făcând un gest de negație: ton închis al pielii|ton închis al pielii
🙅‍♂️;bărbat făcând un gest de negație;bărbat|bărbat făcând un gest de negație|gest|interzis|mâini|nu
	🙅🏻‍♂️;bărbat făcând un gest de negație: ton deschis al pielii;bărbat|bărbat făcând un gest de negație|bărbat făcând un gest de negație: ton deschis al pielii|gest|interzis|mâini|nu|ton deschis al pielii
	🙅🏼‍♂️;bărbat făcând un gest de negație: ton semi‑deschis al pielii;bărbat|bărbat făcând un gest de negație|bărbat făcând un gest de negație: ton semi‑deschis al pielii|gest|interzis|mâini|nu|ton semi‑deschis al pielii
	🙅🏽‍♂️;bărbat făcând un gest de negație: ton mediu al pielii;bărbat|bărbat făcând un gest de negație|bărbat făcând un gest de negație: ton mediu al pielii|gest|interzis|mâini|nu|ton mediu al pielii
	🙅🏾‍♂️;bărbat făcând un gest de negație: ton semi‑închis al pielii;bărbat|bărbat făcând un gest de negație|bărbat făcând un gest de negație: ton semi‑închis al pielii|gest|interzis|mâini|nu|ton semi‑închis al pielii
	🙅🏿‍♂️;bărbat făcând un gest de negație: ton închis al pielii;bărbat|bărbat făcând un gest de negație|bărbat făcând un gest de negație: ton închis al pielii|gest|interzis|mâini|nu|ton închis al pielii
🙅‍♀️;femeie făcând un gest de negație;femeie|femeie făcând un gest de negație|gest|interzis|mâini|nu
	🙅🏻‍♀️;femeie făcând un gest de negație: ton deschis al pielii;femeie|femeie făcând un gest de negație|femeie făcând un gest de negație: ton deschis al pielii|gest|interzis|mâini|nu|ton deschis al pielii
	🙅🏼‍♀️;femeie făcând un gest de negație: ton semi‑deschis al pielii;femeie|femeie făcând un gest de negație|femeie făcând un gest de negație: ton semi‑deschis al pielii|gest|interzis|mâini|nu|ton semi‑deschis al pielii
	🙅🏽‍♀️;femeie făcând un gest de negație: ton mediu al pielii;femeie|femeie făcând un gest de negație|femeie făcând un gest de negație: ton mediu al pielii|gest|interzis|mâini|nu|ton mediu al pielii
	🙅🏾‍♀️;femeie făcând un gest de negație: ton semi‑închis al pielii;femeie|femeie făcând un gest de negație|femeie făcând un gest de negație: ton semi‑închis al pielii|gest|interzis|mâini|nu|ton semi‑închis al pielii
