[smileys_emotion]
😀;išsišiepęs veidas;išsišiepęs veidas|išsišiepti|veidas
	🤦🏿;o varge: itin tamsios odos;beviltiškumas|itin tamsios odos|neįtikėtinumas|o varge|o varge: itin tamsios odos|susierzinimas|veidas
🤦‍♂️;susierzinęs vyras;netikėjimas|susierzinęs vyras|susierzinimas|vyras
	🤦🏻‍♂️;susierzinęs vyras: šviesios odos;netikėjimas|susierzinęs vyras|susierzinęs vyras: šviesios odos|susierzinimas|šviesios odos|vyras
	🤦🏼‍♂️;susierzinęs vyras: vidutinio gymio;netikėjimas|susierzinęs vyras|susierzinęs vyras: vidutinio gymio|susierzinimas|vidutinio gymio|vyras
	🤦🏽‍♂️;susierzinęs vyras: rusvos odos;netikėjimas|rusvos odos|susierzinęs vyras|susierzinęs vyras: rusvos odos|susierzinimas|vyras
	🤦🏾‍♂️;susierzinęs vyras: tamsios odos;netikėjimas|susierzinęs vyras|susierzinęs vyras: tamsios odos|susierzinimas|tamsios odos|vyras
	🤦🏿‍♂️;susierzinęs vyras: itin tamsios odos;itin tamsios odos|netikėjimas|susierzinęs vyras|susierzinęs vyras: itin tamsios odos|susierzinimas|vyras
🤦‍♀️;susierzinusi moteris;moteris|netikėjimas|susierzinimas|susierzinusi moteris
	🤦🏻‍♀️;susierzinusi moteris: šviesios odos;moteris|netikėjimas|susierzinimas|susierzinusi moteris|susierzinusi moteris: šviesios odos|šviesios odos
	🤦🏼‍♀️;susierzinusi moteris: vidutinio gymio;moteris|netikėjimas|susierzinimas|susierzinusi moteris|susierzinusi moteris: vidutinio gymio|vidutinio gymio
	🤦🏽‍♀️;susierzinusi moteris: rusvos odos;moteris|netikėjimas|rusvos odos|susierzinimas|susierzinusi moteris|susierzinusi moteris: rusvos odos
	🤦🏾‍♀️;susierzinusi moteris: tamsios odos;moteris|netikėjimas|susierzinimas|susierzinusi moteris|susierzinusi moteris: tamsios odos|tamsios odos
	🤦🏿‍♀️;susierzinusi moteris: itin tamsios odos;itin tamsios odos|moteris|netikėjimas|susierzinimas|susierzinusi moteris|susierzinusi moteris: itin tamsios odos
🤷;gūžtelėjimas pečiais;abejonė|gūžtelėjimas|gūžtelėjimas pečiais|nežinojimas
	🤷🏻;gūžtelėjimas pečiais: šviesios odos;abejonė|gūžtelėjimas|gūžtelėjimas pečiais|gūžtelėjimas pečiais: šviesios odos|nežinojimas|šviesios odos
	🤷🏼;gūžtelėjimas pečiais: vidutinio gymio;abejonė|gūžtelėjimas|gūžtelėjimas pečiais|gūžtelėjimas pečiais: vidutinio gymio|nežinojimas|vidutinio gymio
	🤷🏽;gūžtelėjimas pečiais: rusvos odos;abejonė|gūžtelėjimas|gūžtelėjimas pečiais|gūžtelėjimas pečiais: rusvos odos|nežinojimas|rusvos odos
	🤷🏾;gūžtelėjimas pečiais: tamsios odos;abejonė|gūžtelėjimas|gūžtelėjimas pečiais|gūžtelėjimas pečiais: tamsios odos|nežinojimas|tamsios odos
	🤷🏿;gūžtelėjimas pečiais: itin tamsios odos;abejonė|gūžtelėjimas|gūžtelėjimas pečiais|gūžtelėjimas pečiais: itin tamsios odos|itin tamsios odos|nežinojimas
🤷‍♂️;abejojantis vyras;abejingumas|abejojantis vyras|abejonė|nežinojimas|trūkčioti pečiais|vyras
	🤷🏻‍♂️;abejojantis vyras: šviesios odos;abejingumas|abejojantis vyras|abejojantis vyras: šviesios odos|abejonė|nežinojimas|šviesios odos|trūkčioti pečiais|vyras
	🤷🏼‍♂️;abejojantis vyras: vidutinio gymio;abejingumas|abejojantis vyras|abejojantis vyras: vidutinio gymio|abejonė|nežinojimas|trūkčioti pečiais|vidutinio gymio|vyras
	🤷🏽‍♂️;abejojantis vyras: rusvos odos;abejingumas|abejojantis vyras|abejojantis vyras: rusvos odos|abejonė|nežinojimas|rusvos odos|trūkčioti pečiais|vyras
	🤷🏾‍♂️;abejojantis vyras: tamsios odos;abejingumas|abejojantis vyras|abejojantis vyras: tamsios odos|abejonė|nežinojimas|tamsios odos|trūkčioti pečiais|vyras
	🤷🏿‍♂️;abejojantis vyras: itin tamsios odos;abejingumas|abejojantis vyras|abejojantis vyras: itin tamsios odos|abejonė|itin tamsios odos|nežinojimas|trūkčioti pečiais|vyras
🤷‍♀️;abejojanti moteris;abejingumas|abejojanti moteris|abejonė|moteris|nežinojimas|trūkčioti pečiais
	🤷🏻‍♀️;abejojanti moteris: šviesios odos;abejingumas|abejojanti moteris|abejojanti moteris: šviesios odos|abejonė|moteris|nežinojimas|šviesios odos|trūkčioti pečiais
	🤷🏼‍♀️;abejojanti moteris: vidutinio gymio;abejingumas|abejojanti moteris|abejojanti moteris: vidutinio gymio|abejonė|moteris|nežinojimas|trūkčioti pečiais|vidutinio gymio
	🤷🏽‍♀️;abejojanti moteris: rusvos odos;abejingumas|abejojanti moteris|abejojanti moteris: rusvos odos|abejonė|moteris|nežinojimas|rusvos odos|trūkčioti pečiais
	🤷🏾‍♀️;abejojanti moteris: tamsios odos;abejingumas|abejojanti moteris|abejojanti moteris: tamsios odos|abejonė|moteris|nežinojimas|tamsios odos|trūkčioti pečiais
	🤷🏿‍♀️;abejojanti moteris: itin tamsios odos;abejingumas|abejojanti moteris|abejojanti moteris: itin tamsios odos|abejonė|itin tamsios odos|moteris|nežinojimas|trūkčioti pečiais
🧑‍⚕️;sveikatos darbuotojas;gydytojas|slaugymas|sveikatos darbuotojas|sveikatos priežiūra|terapistas
	🧑🏻‍⚕️;sveikatos darbuotojas: šviesios odos;gydytojas|slaugymas|sveikatos darbuotojas|sveikatos darbuotojas: šviesios odos|sveikatos priežiūra|šviesios odos|terapistas
	🧑🏼‍⚕️;sveikatos darbuotojas: vidutinio gymio;gydytojas|slaugymas|sveikatos darbuotojas|sveikatos darbuotojas: vidutinio gymio|sveikatos priežiūra|terapistas|vidutinio gymio
	🧑🏽‍⚕️;sveikatos darbuotojas: rusvos odos;gydytojas|rusvos odos|slaugymas|sveikatos darbuotojas|sveikatos darbuotojas: rusvos odos|sveikatos priežiūra|terapistas
	🧑🏾‍⚕️;sveikatos darbuotojas: tamsios odos;gydytojas|slaugymas|sveikatos darbuotojas|sveikatos darbuotojas: tamsios odos|sveikatos priežiūra|tamsios odos|terapistas
	🧑🏿‍⚕️;sveikatos darbuotojas: itin tamsios odos;gydytojas|itin tamsios odos|slaugymas|sveikatos darbuotojas|sveikatos darbuotojas: itin tamsios odos|sveikatos priežiūra|terapistas
👨‍⚕️;medikas;gydytojas|medikas|slaugytojas|sveikata|terapeutas|vyras
	👨🏻‍⚕️;medikas: šviesios odos;gydytojas|medikas|medikas: šviesios odos|slaugytojas|sveikata|šviesios odos|terapeutas|vyras
	👨🏼‍⚕️;medikas: vidutinio gymio;gydytojas|medikas|medikas: vidutinio gymio|slaugytojas|sveikata|terapeutas|vidutinio gymio|vyras
	👨🏽‍⚕️;medikas: rusvos odos;gydytojas|medikas|medikas: rusvos odos|rusvos odos|slaugytojas|sveikata|terapeutas|vyras
	👨🏾‍⚕️;medikas: tamsios odos;gydytojas|medikas|medikas: tamsios odos|slaugytojas|sveikata|tamsios odos|terapeutas|vyras
	👨🏿‍⚕️;medikas: itin tamsios odos;gydytojas|itin tamsios odos|medikas|medikas: itin tamsios odos|slaugytojas|sveikata|terapeutas|vyras
👩‍⚕️;medikė;gydytoja|medikė|moteris|seselė|sveikata|terapeutė
	👩🏻‍⚕️;medikė: šviesios odos;gydytoja|medikė|medikė: šviesios odos|moteris|seselė|sveikata|šviesios odos|terapeutė
	👩🏼‍⚕️;medikė: vidutinio gymio;gydytoja|medikė|medikė: vidutinio gymio|moteris|seselė|sveikata|terapeutė|vidutinio gymio
	👩🏽‍⚕️;medikė: rusvos odos;gydytoja|medikė|medikė: rusvos odos|moteris|rusvos odos|seselė|sveikata|terapeutė
	👩🏾‍⚕️;medikė: tamsios odos;gydytoja|medikė|medikė: tamsios odos|moteris|seselė|sveikata|tamsios odos|terapeutė
	👩🏿‍⚕️;medikė: itin tamsios odos;gydytoja|itin tamsios odos|medikė|medikė: itin tamsios odos|moteris|seselė|sveikata|terapeutė
🧑‍🎓;paskutinio kurso studentas;baigimas|paskutinio kurso studentas|studentas
	🧑🏻‍🎓;paskutinio kurso studentas: šviesios odos;baigimas|paskutinio kurso studentas|paskutinio kurso studentas: šviesios odos|studentas|šviesios odos
	🧑🏼‍🎓;paskutinio kurso studentas: vidutinio gymio;baigimas|paskutinio kurso studentas|paskutinio kurso studentas: vidutinio gymio|studentas|vidutinio gymio
	🧑🏽‍🎓;paskutinio kurso studentas: rusvos odos;baigimas|paskutinio kurso studentas|paskutinio kurso studentas: rusvos odos|rusvos odos|studentas
	🧑🏾‍🎓;paskutinio kurso studentas: tamsios odos;baigimas|paskutinio kurso studentas|paskutinio kurso studentas: tamsios odos|studentas|tamsios odos
	🧑🏿‍🎓;paskutinio kurso studentas: itin tamsios odos;baigimas|itin tamsios odos|paskutinio kurso studentas|paskutinio kurso studentas: itin tamsios odos|studentas
👨‍🎓;studentas;absolventas|studentas|vyras
	👨🏻‍🎓;studentas: šviesios odos;absolventas|studentas|studentas: šviesios odos|šviesios odos|vyras
	👨🏼‍🎓;studentas: vidutinio gymio;absolventas|studentas|studentas: vidutinio gymio|vidutinio gymio|vyras
	👨🏽‍🎓;studentas: rusvos odos;absolventas|rusvos odos|studentas|studentas: rusvos odos|vyras
	👨🏾‍🎓;studentas: tamsios odos;absolventas|studentas|studentas: tamsios odos|tamsios odos|vyras
	👨🏿‍🎓;studentas: itin tamsios odos;absolventas|itin tamsios odos|studentas|studentas: itin tamsios odos|vyras
👩‍🎓;studentė;absolventė|moteris|studentė
	👩🏻‍🎓;studentė: šviesios odos;absolventė|moteris|studentė|studentė: šviesios odos|šviesios odos
	👩🏼‍🎓;studentė: vidutinio gymio;absolventė|moteris|studentė|studentė: vidutinio gymio|vidutinio gymio
	👩🏽‍🎓;studentė: rusvos odos;absolventė|moteris|rusvos odos|studentė|studentė: rusvos odos
	👩🏾‍🎓;studentė: tamsios odos;absolventė|moteris|studentė|studentė: tamsios odos|tamsios odos
	👩🏿‍🎓;studentė: itin tamsios odos;absolventė|itin tamsios odos|moteris|studentė|studentė: itin tamsios odos
🧑‍🏫;mokantis žmogus;dėstytojas|instruktorius|mokantis žmogus|mokytojas
	🧑🏻‍🏫;mokantis žmogus: šviesios odos;dėstytojas|instruktorius|mokantis žmogus|mokantis žmogus: šviesios odos|mokytojas|šviesios odos
	🧑🏼‍🏫;mokantis žmogus: vidutinio gymio;dėstytojas|instruktorius|mokantis žmogus|mokantis žmogus: vidutinio gymio|mokytojas|vidutinio gymio
	🧑🏽‍🏫;mokantis žmogus: rusvos odos;dėstytojas|instruktorius|mokantis žmogus|mokantis žmogus: rusvos odos|mokytojas|rusvos odos
	🧑🏾‍🏫;mokantis žmogus: tamsios odos;dėstytojas|instruktorius|mokantis žmogus|mokantis žmogus: tamsios odos|mokytojas|tamsios odos
	🧑🏿‍🏫;mokantis žmogus: itin tamsios odos;dėstytojas|instruktorius|itin tamsios odos|mokantis žmogus|mokantis žmogus: itin tamsios odos|mokytojas
👨‍🏫;mokytojas;dėstytojas|mokytojas|profesorius|vyras
	👨🏻‍🏫;mokytojas: šviesios odos;dėstytojas|mokytojas|mokytojas: šviesios odos|profesorius|šviesios odos|vyras
	👨🏼‍🏫;mokytojas: vidutinio gymio;dėstytojas|mokytojas|mokytojas: vidutinio gymio|profesorius|vidutinio gymio|vyras
	👨🏽‍🏫;mokytojas: rusvos odos;dėstytojas|mokytojas|mokytojas: rusvos odos|profesorius|rusvos odos|vyras
	👨🏾‍🏫;mokytojas: tamsios odos;dėstytojas|mokytojas|mokytojas: tamsios odos|profesorius|tamsios odos|vyras
	👨🏿‍🏫;mokytojas: itin tamsios odos;dėstytojas|itin tamsios odos|mokytojas|mokytojas: itin tamsios odos|profesorius|vyras
👩‍🏫;mokytoja;dėstytoja|mokytoja|moteris|profesorė
	👩🏻‍🏫;mokytoja: šviesios odos;dėstytoja|mokytoja|mokytoja: šviesios odos|moteris|profesorė|šviesios odos
	👩🏼‍🏫;mokytoja: vidutinio gymio;dėstytoja|mokytoja|mokytoja: vidutinio gymio|moteris|profesorė|vidutinio gymio
	👩🏽‍🏫;mokytoja: rusvos odos;dėstytoja|mokytoja|mokytoja: rusvos odos|moteris|profesorė|rusvos odos
	👩🏾‍🏫;mokytoja: tamsios odos;dėstytoja|mokytoja|mokytoja: tamsios odos|moteris|profesorė|tamsios odos
	👩🏿‍🏫;mokytoja: itin tamsios odos;dėstytoja|itin tamsios odos|mokytoja|mokytoja: itin tamsios odos|moteris|profesorė
🧑‍⚖️;teisiantis žmogus;svarstyklės|teisėjas|teisiantis žmogus
	🧑🏻‍⚖️;teisiantis žmogus: šviesios odos;svarstyklės|šviesios odos|teisėjas|teisiantis žmogus|teisiantis žmogus: šviesios odos
	🧑🏼‍⚖️;teisiantis žmogus: vidutinio gymio;svarstyklės|teisėjas|teisiantis žmogus|teisiantis žmogus: vidutinio gymio|vidutinio gymio
	🧑🏽‍⚖️;teisiantis žmogus: rusvos odos;rusvos odos|svarstyklės|teisėjas|teisiantis žmogus|teisiantis žmogus: rusvos odos
	🧑🏾‍⚖️;teisiantis žmogus: tamsios odos;svarstyklės|tamsios odos|teisėjas|teisiantis žmogus|teisiantis žmogus: tamsios odos
	🧑🏿‍⚖️;teisiantis žmogus: itin tamsios odos;itin tamsios odos|svarstyklės|teisėjas|teisiantis žmogus|teisiantis žmogus: itin tamsios odos
👨‍⚖️;teisėjas;svarstyklės|teisėjas|teisingumas|vyras
	👨🏻‍⚖️;teisėjas: šviesios odos;svarstyklės|šviesios odos|teisėjas|teisėjas: šviesios odos|teisingumas|vyras
	👨🏼‍⚖️;teisėjas: vidutinio gymio;svarstyklės|teisėjas|teisėjas: vidutinio gymio|teisingumas|vidutinio gymio|vyras
	👨🏽‍⚖️;teisėjas: rusvos odos;rusvos odos|svarstyklės|teisėjas|teisėjas: rusvos odos|teisingumas|vyras
	👨🏾‍⚖️;teisėjas: tamsios odos;svarstyklės|tamsios odos|teisėjas|teisėjas: tamsios odos|teisingumas|vyras
	👨🏿‍⚖️;teisėjas: itin tamsios odos;itin tamsios odos|svarstyklės|teisėjas|teisėjas: itin tamsios odos|teisingumas|vyras
👩‍⚖️;teisėja;moteris|svarstyklės|teisėja|teisingumas
	👩🏻‍⚖️;teisėja: šviesios odos;moteris|svarstyklės|šviesios odos|teisėja|teisėja: šviesios odos|teisingumas
	👩🏼‍⚖️;teisėja: vidutinio gymio;moteris|svarstyklės|teisėja|teisėja: vidutinio gymio|teisingumas|vidutinio gymio
	👩🏽‍⚖️;teisėja: rusvos odos;moteris|rusvos odos|svarstyklės|teisėja|teisėja: rusvos odos|teisingumas
	👩🏾‍⚖️;teisėja: tamsios odos;moteris|svarstyklės|tamsios odos|teisėja|teisėja: tamsios odos|teisingumas
	👩🏿‍⚖️;teisėja: itin tamsios odos;itin tamsios odos|moteris|svarstyklės|teisėja|teisėja: itin tamsios odos|teisingumas
🧑‍🌾;ūkininkaujantis žmogus;sodininkas|ūkininkas|ūkininkaujantis žmogus
	🧑🏻‍🌾;ūkininkaujantis žmogus: šviesios odos;sodininkas|šviesios odos|ūkininkas|ūkininkaujantis žmogus|ūkininkaujantis žmogus: šviesios odos
	🧑🏼‍🌾;ūkininkaujantis žmogus: vidutinio gymio;sodininkas|ūkininkas|ūkininkaujantis žmogus|ūkininkaujantis žmogus: vidutinio gymio|vidutinio gymio
	🧑🏽‍🌾;ūkininkaujantis žmogus: rusvos odos;rusvos odos|sodininkas|ūkininkas|ūkininkaujantis žmogus|ūkininkaujantis žmogus: rusvos odos
	🧑🏾‍🌾;ūkininkaujantis žmogus: tamsios odos;sodininkas|tamsios odos|ūkininkas|ūkininkaujantis žmogus|ūkininkaujantis žmogus: tamsios odos
	🧑🏿‍🌾;ūkininkaujantis žmogus: itin tamsios odos;itin tamsios odos|sodininkas|ūkininkas|ūkininkaujantis žmogus|ūkininkaujantis žmogus: itin tamsios odos
👨‍🌾;ūkininkas;darbininkas|sodininkas|ūkininkas|vyras
	👨🏻‍🌾;ūkininkas: šviesios odos;darbininkas|sodininkas|šviesios odos|ūkininkas|ūkininkas: šviesios odos|vyras
	👨🏼‍🌾;ūkininkas: vidutinio gymio;darbininkas|sodininkas|ūkininkas|ūkininkas: vidutinio gymio|vidutinio gymio|vyras
	👨🏽‍🌾;ūkininkas: rusvos odos;darbininkas|rusvos odos|sodininkas|ūkininkas|ūkininkas: rusvos odos|vyras
	👨🏾‍🌾;ūkininkas: tamsios odos;darbininkas|sodininkas|tamsios odos|ūkininkas|ūkininkas: tamsios odos|vyras
	👨🏿‍🌾;ūkininkas: itin tamsios odos;darbininkas|itin tamsios odos|sodininkas|ūkininkas|ūkininkas: itin tamsios odos|vyras
👩‍🌾;ūkininkė;darbininkė|moteris|sodininkė|ūkininkė
	👩🏻‍🌾;ūkininkė: šviesios odos;darbininkė|moteris|sodininkė|šviesios odos|ūkininkė|ūkininkė: šviesios odos
	👩🏼‍🌾;ūkininkė: vidutinio gymio;darbininkė|moteris|sodininkė|ūkininkė|ūkininkė: vidutinio gymio|vidutinio gymio
	👩🏽‍🌾;ūkininkė: rusvos odos;darbininkė|moteris|rusvos odos|sodininkė|ūkininkė|ūkininkė: rusvos odos
	👩🏾‍🌾;ūkininkė: tamsios odos;darbininkė|moteris|sodininkė|tamsios odos|ūkininkė|ūkininkė: tamsios odos
	👩🏿‍🌾;ūkininkė: itin tamsios odos;darbininkė|itin tamsios odos|moteris|sodininkė|ūkininkė|ūkininkė: itin tamsios odos
🧑‍🍳;gaminantis žmogus;gaminantis žmogus|šefas|virėjas
	🧑🏻‍🍳;gaminantis žmogus: šviesios odos;gaminantis žmogus|gaminantis žmogus: šviesios odos|šefas|šviesios odos|virėjas
	🧑🏼‍🍳;gaminantis žmogus: vidutinio gymio;gaminantis žmogus|gaminantis žmogus: vidutinio gymio|šefas|vidutinio gymio|virėjas
	🧑🏽‍🍳;gaminantis žmogus: rusvos odos;gaminantis žmogus|gaminantis žmogus: rusvos odos|rusvos odos|šefas|virėjas
	🧑🏾‍🍳;gaminantis žmogus: tamsios odos;gaminantis žmogus|gaminantis žmogus: tamsios odos|šefas|tamsios odos|virėjas
	🧑🏿‍🍳;gaminantis žmogus: itin tamsios odos;gaminantis žmogus|gaminantis žmogus: itin tamsios odos|itin tamsios odos|šefas|virėjas
👨‍🍳;virėjas;šefas|virėjas|vyras
	👨🏻‍🍳;virėjas: šviesios odos;šefas|šviesios odos|virėjas|virėjas: šviesios odos|vyras
	👨🏼‍🍳;virėjas: vidutinio gymio;šefas|vidutinio gymio|virėjas|virėjas: vidutinio gymio|vyras
	👨🏽‍🍳;virėjas: rusvos odos;rusvos odos|šefas|virėjas|virėjas: rusvos odos|vyras
	👨🏾‍🍳;virėjas: tamsios odos;šefas|tamsios odos|virėjas|virėjas: tamsios odos|vyras
	👨🏿‍🍳;virėjas: itin tamsios odos;itin tamsios odos|šefas|virėjas|virėjas: itin tamsios odos|vyras
👩‍🍳;virėja;moteris|šefė|virėja
	👩🏻‍🍳;virėja: šviesios odos;moteris|šefė|šviesios odos|virėja|virėja: šviesios odos
	👩🏼‍🍳;virėja: vidutinio gymio;moteris|šefė|vidutinio gymio|virėja|virėja: vidutinio gymio
	👩🏽‍🍳;virėja: rusvos odos;moteris|rusvos odos|šefė|virėja|virėja: rusvos odos
	👩🏾‍🍳;virėja: tamsios odos;moteris|šefė|tamsios odos|virėja|virėja: tamsios odos
	👩🏿‍🍳;virėja: itin tamsios odos;itin tamsios odos|moteris|šefė|virėja|virėja: itin tamsios odos
🧑‍🔧;remontuojantis žmogus;elektrikas|mechanikas|remontuojantis žmogus|santechnikas
	🧑🏻‍🔧;remontuojantis žmogus: šviesios odos;elektrikas|mechanikas|remontuojantis žmogus|remontuojantis žmogus: šviesios odos|santechnikas|šviesios odos
	🧑🏼‍🔧;remontuojantis žmogus: vidutinio gymio;elektrikas|mechanikas|remontuojantis žmogus|remontuojantis žmogus: vidutinio gymio|santechnikas|vidutinio gymio
	🧑🏽‍🔧;remontuojantis žmogus: rusvos odos;elektrikas|mechanikas|remontuojantis žmogus|remontuojantis žmogus: rusvos odos|rusvos odos|santechnikas
	🧑🏾‍🔧;remontuojantis žmogus: tamsios odos;elektrikas|mechanikas|remontuojantis žmogus|remontuojantis žmogus: tamsios odos|santechnikas|tamsios odos
	🧑🏿‍🔧;remontuojantis žmogus: itin tamsios odos;elektrikas|itin tamsios odos|mechanikas|remontuojantis žmogus|remontuojantis žmogus: itin tamsios odos|santechnikas
👨‍🔧;mechanikas;elektrikas|mechanikas|prekybininkas|santechnikas|vyras
	👨🏻‍🔧;mechanikas: šviesios odos;elektrikas|mechanikas|mechanikas: šviesios odos|prekybininkas|santechnikas|šviesios odos|vyras
	👨🏼‍🔧;mechanikas: vidutinio gymio;elektrikas|mechanikas|mechanikas: vidutinio gymio|prekybininkas|santechnikas|vidutinio gymio|vyras
	👨🏽‍🔧;mechanikas: rusvos odos;elektrikas|mechanikas|mechanikas: rusvos odos|prekybininkas|rusvos odos|santechnikas|vyras
	👨🏾‍🔧;mechanikas: tamsios odos;elektrikas|mechanikas|mechanikas: tamsios odos|prekybininkas|santechnikas|tamsios odos|vyras
