[smileys_emotion]
😀;инээсэн царай;инээсэн царай|инээх|царай
	👧🏿;эмэгтэй хүүхэд: бор;бор|хүүхэд|эмэгтэй|эмэгтэй хүүхэд: бор
🧑;том хүн;жендер-саармаг|том хүн
	🧑🏻;том хүн: цайвар;жендер-саармаг|том хүн|том хүн: цайвар|цайвар
	🧑🏼;том хүн: бага зэргийн цайвар;бага зэргийн цайвар|жендер-саармаг|том хүн|том хүн: бага зэргийн цайвар
	🧑🏽;том хүн: дунд зэргийн;дунд зэргийн|жендер-саармаг|том хүн|том хүн: дунд зэргийн
	🧑🏾;том хүн: бордуу;бордуу|жендер-саармаг|том хүн|том хүн: бордуу
	🧑🏿;том хүн: бор;бор|жендер-саармаг|том хүн|том хүн: бор
👱;шаргал үстэй хүн;үс|хүн|шаргал|шаргал үстэй хүн
	👱🏻;шаргал үстэй хүн: цайвар;үс|хүн|цайвар|шаргал|шаргал үстэй хүн|шаргал үстэй хүн: цайвар
	👱🏼;шаргал үстэй хүн: бага зэргийн цайвар;бага зэргийн цайвар|үс|хүн|шаргал|шаргал үстэй хүн|шаргал үстэй хүн: бага зэргийн цайвар
	👱🏽;шаргал үстэй хүн: дунд зэргийн;дунд зэргийн|үс|хүн|шаргал|шаргал үстэй хүн|шаргал үстэй хүн: дунд зэргийн
	👱🏾;шаргал үстэй хүн: бордуу;бордуу|үс|хүн|шаргал|шаргал үстэй хүн|шаргал үстэй хүн: бордуу
	👱🏿;шаргал үстэй хүн: бор;бор|үс|хүн|шаргал|шаргал үстэй хүн|шаргал үстэй хүн: бор
👨;эрэгтэй хүн;хүн|эрэгтэй
	👨🏻;эрэгтэй хүн: цайвар;хүн|цайвар|эрэгтэй|эрэгтэй хүн: цайвар
	👨🏼;эрэгтэй хүн: бага зэргийн цайвар;бага зэргийн цайвар|хүн|эрэгтэй|эрэгтэй хүн: бага зэргийн цайвар
	👨🏽;эрэгтэй хүн: дунд зэргийн;дунд зэргийн|хүн|эрэгтэй|эрэгтэй хүн: дунд зэргийн
	👨🏾;эрэгтэй хүн: бордуу;бордуу|хүн|эрэгтэй|эрэгтэй хүн: бордуу
	👨🏿;эрэгтэй хүн: бор;бор|хүн|эрэгтэй|эрэгтэй хүн: бор
🧔;сахалтай хүн;сахал|сахалтай хүн
	🧔🏻;сахалтай хүн: цайвар;сахал|сахалтай хүн|сахалтай хүн: цайвар|цайвар
	🧔🏼;сахалтай хүн: бага зэргийн цайвар;бага зэргийн цайвар|сахал|сахалтай хүн|сахалтай хүн: бага зэргийн цайвар
	🧔🏽;сахалтай хүн: дунд зэргийн;дунд зэргийн|сахал|сахалтай хүн|сахалтай хүн: дунд зэргийн
	🧔🏾;сахалтай хүн: бордуу;бордуу|сахал|сахалтай хүн|сахалтай хүн: бордуу
	🧔🏿;сахалтай хүн: бор;бор|сахал|сахалтай хүн|сахалтай хүн: бор
🧔‍♂️;эрэгтэй: сахал;сахал|эрэгтэй|эрэгтэй: сахал
	🧔🏻‍♂️;эрэгтэй: цайвар сахал;сахал|цайвар|эрэгтэй|эрэгтэй: сахал|эрэгтэй: цайвар сахал
	🧔🏼‍♂️;эрэгтэй: бага зэргийн цайвар сахал;бага зэргийн цайвар|сахал|эрэгтэй|эрэгтэй: бага зэргийн цайвар сахал|эрэгтэй: сахал
	🧔🏽‍♂️;эрэгтэй: дунд зэргийн сахал;дунд зэргийн|сахал|эрэгтэй|эрэгтэй: дунд зэргийн сахал|эрэгтэй: сахал
	🧔🏾‍♂️;эрэгтэй: бордуу сахал;бордуу|сахал|эрэгтэй|эрэгтэй: бордуу сахал|эрэгтэй: сахал
	🧔🏿‍♂️;эрэгтэй: бор сахал;бор|сахал|эрэгтэй|эрэгтэй: бор сахал|эрэгтэй: сахал
🧔‍♀️;эмэгтэй: сахал;сахал|эмэгтэй|эмэгтэй: сахал
	🧔🏻‍♀️;эмэгтэй: цайвар сахал;сахал|цайвар|эмэгтэй|эмэгтэй: сахал|эмэгтэй: цайвар сахал
	🧔🏼‍♀️;эмэгтэй: бага зэргийн цайвар сахал;бага зэргийн цайвар|сахал|эмэгтэй|эмэгтэй: бага зэргийн цайвар сахал|эмэгтэй: сахал
	🧔🏽‍♀️;эмэгтэй: дунд зэргийн сахал;дунд зэргийн|сахал|эмэгтэй|эмэгтэй: дунд зэргийн сахал|эмэгтэй: сахал
	🧔🏾‍♀️;эмэгтэй: бордуу сахал;бордуу|сахал|эмэгтэй|эмэгтэй: бордуу сахал|эмэгтэй: сахал
	🧔🏿‍♀️;эмэгтэй: бор сахал;бор|сахал|эмэгтэй|эмэгтэй: бор сахал|эмэгтэй: сахал
👨‍🦰;эрэгтэй хүн: улаан үс;улаан үс|хүн|эрэгтэй|эрэгтэй хүн: улаан үс
	👨🏻‍🦰;эрэгтэй хүн: цайвар улаан үс;улаан үс|хүн|цайвар|эрэгтэй|эрэгтэй хүн: цайвар улаан үс
	👨🏼‍🦰;эрэгтэй хүн: бага зэргийн цайвар улаан үс;бага зэргийн цайвар|улаан үс|хүн|эрэгтэй|эрэгтэй хүн: бага зэргийн цайвар улаан үс
	👨🏽‍🦰;эрэгтэй хүн: дунд зэргийн улаан үс;дунд зэргийн|улаан үс|хүн|эрэгтэй|эрэгтэй хүн: дунд зэргийн улаан үс
	👨🏾‍🦰;эрэгтэй хүн: бордуу улаан үс;бордуу|улаан үс|хүн|эрэгтэй|эрэгтэй хүн: бордуу улаан үс
	👨🏿‍🦰;эрэгтэй хүн: бор улаан үс;бор|улаан үс|хүн|эрэгтэй|эрэгтэй хүн: бор улаан үс
👨‍🦱;эрэгтэй хүн: буржгар үс;буржгар үс|хүн|эрэгтэй|эрэгтэй хүн: буржгар үс
	👨🏻‍🦱;эрэгтэй хүн: цайвар буржгар үс;буржгар үс|хүн|цайвар|эрэгтэй|эрэгтэй хүн: цайвар буржгар үс
	👨🏼‍🦱;эрэгтэй хүн: бага зэргийн цайвар буржгар үс;бага зэргийн цайвар|буржгар үс|хүн|эрэгтэй|эрэгтэй хүн: бага зэргийн цайвар буржгар үс
	👨🏽‍🦱;эрэгтэй хүн: дунд зэргийн буржгар үс;буржгар үс|дунд зэргийн|хүн|эрэгтэй|эрэгтэй хүн: дунд зэргийн буржгар үс
	👨🏾‍🦱;эрэгтэй хүн: бордуу буржгар үс;бордуу|буржгар үс|хүн|эрэгтэй|эрэгтэй хүн: бордуу буржгар үс
	👨🏿‍🦱;эрэгтэй хүн: бор буржгар үс;бор|буржгар үс|хүн|эрэгтэй|эрэгтэй хүн: бор буржгар үс
👨‍🦳;эрэгтэй хүн: цагаан үс;хүн|цагаан үс|эрэгтэй|эрэгтэй хүн: цагаан үс
	👨🏻‍🦳;эрэгтэй хүн: цайвар цагаан үс;хүн|цагаан үс|цайвар|эрэгтэй|эрэгтэй хүн: цайвар цагаан үс
	👨🏼‍🦳;эрэгтэй хүн: бага зэргийн цайвар цагаан үс;бага зэргийн цайвар|хүн|цагаан үс|эрэгтэй|эрэгтэй хүн: бага зэргийн цайвар цагаан үс
	👨🏽‍🦳;эрэгтэй хүн: дунд зэргийн цагаан үс;дунд зэргийн|хүн|цагаан үс|эрэгтэй|эрэгтэй хүн: дунд зэргийн цагаан үс
