[smileys_emotion]
😀;Grinsgesiicht;Gesiicht|Grinsen|Grinsgesiicht
	👮🏼‍♀️;Polizistin: mëttelhell Hautfaarf;Flick|Fra|mëttelhell Hautfaarf|Police|Polizistin|Polizistin: mëttelhell Hautfaarf
	👮🏽‍♀️;Polizistin: mëttel Hautfaarf;Flick|Fra|mëttel Hautfaarf|Police|Polizistin|Polizistin: mëttel Hautfaarf
	👮🏾‍♀️;Polizistin: mëtteldäischter Hautfaarf;Flick|Fra|mëtteldäischter Hautfaarf|Police|Polizistin|Polizistin: mëtteldäischter Hautfaarf
	👮🏿‍♀️;Polizistin: däischter Hautfaarf;däischter Hautfaarf|Flick|Fra|Police|Polizistin|Polizistin: däischter Hautfaarf
🕵️;Detektiv(in);Detektiv|Detektiv(in)|Spioun
	🕵🏻;Detektiv(in): hell Hautfaarf;Detektiv|Detektiv(in)|Detektiv(in): hell Hautfaarf|hell Hautfaarf|Spioun
	🕵🏼;Detektiv(in): mëttelhell Hautfaarf;Detektiv|Detektiv(in)|Detektiv(in): mëttelhell Hautfaarf|mëttelhell Hautfaarf|Spioun
	🕵🏽;Detektiv(in): mëttel Hautfaarf;Detektiv|Detektiv(in)|Detektiv(in): mëttel Hautfaarf|mëttel Hautfaarf|Spioun
	🕵🏾;Detektiv(in): mëtteldäischter Hautfaarf;Detektiv|Detektiv(in)|Detektiv(in): mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf|Spioun
	🕵🏿;Detektiv(in): däischter Hautfaarf;däischter Hautfaarf|Detektiv|Detektiv(in)|Detektiv(in): däischter Hautfaarf|Spioun
🕵️‍♂️;Detektiv;Detektiv|Mann|Spioun
	🕵🏻‍♂️;Detektiv: hell Hautfaarf;Detektiv|Detektiv: hell Hautfaarf|hell Hautfaarf|Mann|Spioun
	🕵🏼‍♂️;Detektiv: mëttelhell Hautfaarf;Detektiv|Detektiv: mëttelhell Hautfaarf|Mann|mëttelhell Hautfaarf|Spioun
	🕵🏽‍♂️;Detektiv: mëttel Hautfaarf;Detektiv|Detektiv: mëttel Hautfaarf|Mann|mëttel Hautfaarf|Spioun
	🕵🏾‍♂️;Detektiv: mëtteldäischter Hautfaarf;Detektiv|Detektiv: mëtteldäischter Hautfaarf|Mann|mëtteldäischter Hautfaarf|Spioun
	🕵🏿‍♂️;Detektiv: däischter Hautfaarf;däischter Hautfaarf|Detektiv|Detektiv: däischter Hautfaarf|Mann|Spioun
🕵️‍♀️;Detektivin;Detektivin|Fra|Spiounin
	🕵🏻‍♀️;Detektivin: hell Hautfaarf;Detektivin|Detektivin: hell Hautfaarf|Fra|hell Hautfaarf|Spiounin
	🕵🏼‍♀️;Detektivin: mëttelhell Hautfaarf;Detektivin|Detektivin: mëttelhell Hautfaarf|Fra|mëttelhell Hautfaarf|Spiounin
	🕵🏽‍♀️;Detektivin: mëttel Hautfaarf;Detektivin|Detektivin: mëttel Hautfaarf|Fra|mëttel Hautfaarf|Spiounin
	🕵🏾‍♀️;Detektivin: mëtteldäischter Hautfaarf;Detektivin|Detektivin: mëtteldäischter Hautfaarf|Fra|mëtteldäischter Hautfaarf|Spiounin
	🕵🏿‍♀️;Detektivin: däischter Hautfaarf;däischter Hautfaarf|Detektivin|Detektivin: däischter Hautfaarf|Fra|Spiounin
💂;Wiechter(in);Wiechter(in)
	💂🏻;Wiechter(in): hell Hautfaarf;hell Hautfaarf|Wiechter(in)|Wiechter(in): hell Hautfaarf
	💂🏼;Wiechter(in): mëttelhell Hautfaarf;mëttelhell Hautfaarf|Wiechter(in)|Wiechter(in): mëttelhell Hautfaarf
	💂🏽;Wiechter(in): mëttel Hautfaarf;mëttel Hautfaarf|Wiechter(in)|Wiechter(in): mëttel Hautfaarf
	💂🏾;Wiechter(in): mëtteldäischter Hautfaarf;mëtteldäischter Hautfaarf|Wiechter(in)|Wiechter(in): mëtteldäischter Hautfaarf
	💂🏿;Wiechter(in): däischter Hautfaarf;däischter Hautfaarf|Wiechter(in)|Wiechter(in): däischter Hautfaarf
💂‍♂️;Wiechter;Mann|Wiechter
	💂🏻‍♂️;Wiechter: hell Hautfaarf;hell Hautfaarf|Mann|Wiechter|Wiechter: hell Hautfaarf
	💂🏼‍♂️;Wiechter: mëttelhell Hautfaarf;Mann|mëttelhell Hautfaarf|Wiechter|Wiechter: mëttelhell Hautfaarf
	💂🏽‍♂️;Wiechter: mëttel Hautfaarf;Mann|mëttel Hautfaarf|Wiechter|Wiechter: mëttel Hautfaarf
	💂🏾‍♂️;Wiechter: mëtteldäischter Hautfaarf;Mann|mëtteldäischter Hautfaarf|Wiechter|Wiechter: mëtteldäischter Hautfaarf
	💂🏿‍♂️;Wiechter: däischter Hautfaarf;däischter Hautfaarf|Mann|Wiechter|Wiechter: däischter Hautfaarf
💂‍♀️;Wiechterin;Fra|Wiechterin
	💂🏻‍♀️;Wiechterin: hell Hautfaarf;Fra|hell Hautfaarf|Wiechterin|Wiechterin: hell Hautfaarf
	💂🏼‍♀️;Wiechterin: mëttelhell Hautfaarf;Fra|mëttelhell Hautfaarf|Wiechterin|Wiechterin: mëttelhell Hautfaarf
	💂🏽‍♀️;Wiechterin: mëttel Hautfaarf;Fra|mëttel Hautfaarf|Wiechterin|Wiechterin: mëttel Hautfaarf
	💂🏾‍♀️;Wiechterin: mëtteldäischter Hautfaarf;Fra|mëtteldäischter Hautfaarf|Wiechterin|Wiechterin: mëtteldäischter Hautfaarf
	💂🏿‍♀️;Wiechterin: däischter Hautfaarf;däischter Hautfaarf|Fra|Wiechterin|Wiechterin: däischter Hautfaarf
🥷;;
	🥷🏻;;
	🥷🏼;;
	🥷🏽;;
	🥷🏾;;
	🥷🏿;;
👷;Bauaarbechter(in) mat Helm;Aarbechter|Bau|Bauaarbechter(in) mat Helm|Hutt
	👷🏻;Bauaarbechter(in) mat Helm: hell Hautfaarf;Aarbechter|Bau|Bauaarbechter(in) mat Helm|Bauaarbechter(in) mat Helm: hell Hautfaarf|hell Hautfaarf|Hutt
	👷🏼;Bauaarbechter(in) mat Helm: mëttelhell Hautfaarf;Aarbechter|Bau|Bauaarbechter(in) mat Helm|Bauaarbechter(in) mat Helm: mëttelhell Hautfaarf|Hutt|mëttelhell Hautfaarf
	👷🏽;Bauaarbechter(in) mat Helm: mëttel Hautfaarf;Aarbechter|Bau|Bauaarbechter(in) mat Helm|Bauaarbechter(in) mat Helm: mëttel Hautfaarf|Hutt|mëttel Hautfaarf
	👷🏾;Bauaarbechter(in) mat Helm: mëtteldäischter Hautfaarf;Aarbechter|Bau|Bauaarbechter(in) mat Helm|Bauaarbechter(in) mat Helm: mëtteldäischter Hautfaarf|Hutt|mëtteldäischter Hautfaarf
	👷🏿;Bauaarbechter(in) mat Helm: däischter Hautfaarf;Aarbechter|Bau|Bauaarbechter(in) mat Helm|Bauaarbechter(in) mat Helm: däischter Hautfaarf|däischter Hautfaarf|Hutt
👷‍♂️;Bauaarbechter;Aarbechter|Bau|Bauaarbechter|Mann
	👷🏻‍♂️;Bauaarbechter: hell Hautfaarf;Aarbechter|Bau|Bauaarbechter|Bauaarbechter: hell Hautfaarf|hell Hautfaarf|Mann
	👷🏼‍♂️;Bauaarbechter: mëttelhell Hautfaarf;Aarbechter|Bau|Bauaarbechter|Bauaarbechter: mëttelhell Hautfaarf|Mann|mëttelhell Hautfaarf
	👷🏽‍♂️;Bauaarbechter: mëttel Hautfaarf;Aarbechter|Bau|Bauaarbechter|Bauaarbechter: mëttel Hautfaarf|Mann|mëttel Hautfaarf
	👷🏾‍♂️;Bauaarbechter: mëtteldäischter Hautfaarf;Aarbechter|Bau|Bauaarbechter|Bauaarbechter: mëtteldäischter Hautfaarf|Mann|mëtteldäischter Hautfaarf
	👷🏿‍♂️;Bauaarbechter: däischter Hautfaarf;Aarbechter|Bau|Bauaarbechter|Bauaarbechter: däischter Hautfaarf|däischter Hautfaarf|Mann
👷‍♀️;Bauaarbechterin;Aarbechterin|Bau|Bauaarbechterin|Fra
	👷🏻‍♀️;Bauaarbechterin: hell Hautfaarf;Aarbechterin|Bau|Bauaarbechterin|Bauaarbechterin: hell Hautfaarf|Fra|hell Hautfaarf
	👷🏼‍♀️;Bauaarbechterin: mëttelhell Hautfaarf;Aarbechterin|Bau|Bauaarbechterin|Bauaarbechterin: mëttelhell Hautfaarf|Fra|mëttelhell Hautfaarf
	👷🏽‍♀️;Bauaarbechterin: mëttel Hautfaarf;Aarbechterin|Bau|Bauaarbechterin|Bauaarbechterin: mëttel Hautfaarf|Fra|mëttel Hautfaarf
	👷🏾‍♀️;Bauaarbechterin: mëtteldäischter Hautfaarf;Aarbechterin|Bau|Bauaarbechterin|Bauaarbechterin: mëtteldäischter Hautfaarf|Fra|mëtteldäischter Hautfaarf
	👷🏿‍♀️;Bauaarbechterin: däischter Hautfaarf;Aarbechterin|Bau|Bauaarbechterin|Bauaarbechterin: däischter Hautfaarf|däischter Hautfaarf|Fra
🫅;;
	🫅🏻;;
	🫅🏼;;
	🫅🏽;;
	🫅🏾;;
	🫅🏿;;
🤴;Prënz;Prënz
	🤴🏻;Prënz: hell Hautfaarf;hell Hautfaarf|Prënz|Prënz: hell Hautfaarf
	🤴🏼;Prënz: mëttelhell Hautfaarf;mëttelhell Hautfaarf|Prënz|Prënz: mëttelhell Hautfaarf
	🤴🏽;Prënz: mëttel Hautfaarf;mëttel Hautfaarf|Prënz|Prënz: mëttel Hautfaarf
	🤴🏾;Prënz: mëtteldäischter Hautfaarf;mëtteldäischter Hautfaarf|Prënz|Prënz: mëtteldäischter Hautfaarf
	🤴🏿;Prënz: däischter Hautfaarf;däischter Hautfaarf|Prënz|Prënz: däischter Hautfaarf
👸;Prinzessin;Fantasie|Mäerchen|Prinzessin
	👸🏻;Prinzessin: hell Hautfaarf;Fantasie|hell Hautfaarf|Mäerchen|Prinzessin|Prinzessin: hell Hautfaarf
	👸🏼;Prinzessin: mëttelhell Hautfaarf;Fantasie|Mäerchen|mëttelhell Hautfaarf|Prinzessin|Prinzessin: mëttelhell Hautfaarf
	👸🏽;Prinzessin: mëttel Hautfaarf;Fantasie|Mäerchen|mëttel Hautfaarf|Prinzessin|Prinzessin: mëttel Hautfaarf
	👸🏾;Prinzessin: mëtteldäischter Hautfaarf;Fantasie|Mäerchen|mëtteldäischter Hautfaarf|Prinzessin|Prinzessin: mëtteldäischter Hautfaarf
	👸🏿;Prinzessin: däischter Hautfaarf;däischter Hautfaarf|Fantasie|Mäerchen|Prinzessin|Prinzessin: däischter Hautfaarf
👳;Persoun mat Turban;Persoun mat Turban|Turban
	👳🏻;Persoun mat Turban: hell Hautfaarf;hell Hautfaarf|Persoun mat Turban|Persoun mat Turban: hell Hautfaarf|Turban
	👳🏼;Persoun mat Turban: mëttelhell Hautfaarf;mëttelhell Hautfaarf|Persoun mat Turban|Persoun mat Turban: mëttelhell Hautfaarf|Turban
	👳🏽;Persoun mat Turban: mëttel Hautfaarf;mëttel Hautfaarf|Persoun mat Turban|Persoun mat Turban: mëttel Hautfaarf|Turban
	👳🏾;Persoun mat Turban: mëtteldäischter Hautfaarf;mëtteldäischter Hautfaarf|Persoun mat Turban|Persoun mat Turban: mëtteldäischter Hautfaarf|Turban
	👳🏿;Persoun mat Turban: däischter Hautfaarf;däischter Hautfaarf|Persoun mat Turban|Persoun mat Turban: däischter Hautfaarf|Turban
👳‍♂️;Mann mat Turban;Mann|Mann mat Turban|Turban
	👳🏻‍♂️;Mann mat Turban: hell Hautfaarf;hell Hautfaarf|Mann|Mann mat Turban|Mann mat Turban: hell Hautfaarf|Turban
	👳🏼‍♂️;Mann mat Turban: mëttelhell Hautfaarf;Mann|Mann mat Turban|Mann mat Turban: mëttelhell Hautfaarf|mëttelhell Hautfaarf|Turban
	👳🏽‍♂️;Mann mat Turban: mëttel Hautfaarf;Mann|Mann mat Turban|Mann mat Turban: mëttel Hautfaarf|mëttel Hautfaarf|Turban
	👳🏾‍♂️;Mann mat Turban: mëtteldäischter Hautfaarf;Mann|Mann mat Turban|Mann mat Turban: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf|Turban
	👳🏿‍♂️;Mann mat Turban: däischter Hautfaarf;däischter Hautfaarf|Mann|Mann mat Turban|Mann mat Turban: däischter Hautfaarf|Turban
👳‍♀️;Fra mat Turban;Fra|Fra mat Turban|Turban
	👳🏻‍♀️;Fra mat Turban: hell Hautfaarf;Fra|Fra mat Turban|Fra mat Turban: hell Hautfaarf|hell Hautfaarf|Turban
	👳🏼‍♀️;Fra mat Turban: mëttelhell Hautfaarf;Fra|Fra mat Turban|Fra mat Turban: mëttelhell Hautfaarf|mëttelhell Hautfaarf|Turban
	👳🏽‍♀️;Fra mat Turban: mëttel Hautfaarf;Fra|Fra mat Turban|Fra mat Turban: mëttel Hautfaarf|mëttel Hautfaarf|Turban
	👳🏾‍♀️;Fra mat Turban: mëtteldäischter Hautfaarf;Fra|Fra mat Turban|Fra mat Turban: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf|Turban
	👳🏿‍♀️;Fra mat Turban: däischter Hautfaarf;däischter Hautfaarf|Fra|Fra mat Turban|Fra mat Turban: däischter Hautfaarf|Turban
👲;Mann mat chineseschem Hutt;gua pi mao|Hutt|Mann|Mann mat chineseschem Hutt
	👲🏻;Mann mat chineseschem Hutt: hell Hautfaarf;gua pi mao|hell Hautfaarf|Hutt|Mann|Mann mat chineseschem Hutt|Mann mat chineseschem Hutt: hell Hautfaarf
	👲🏼;Mann mat chineseschem Hutt: mëttelhell Hautfaarf;gua pi mao|Hutt|Mann|Mann mat chineseschem Hutt|Mann mat chineseschem Hutt: mëttelhell Hautfaarf|mëttelhell Hautfaarf
	👲🏽;Mann mat chineseschem Hutt: mëttel Hautfaarf;gua pi mao|Hutt|Mann|Mann mat chineseschem Hutt|Mann mat chineseschem Hutt: mëttel Hautfaarf|mëttel Hautfaarf
	👲🏾;Mann mat chineseschem Hutt: mëtteldäischter Hautfaarf;gua pi mao|Hutt|Mann|Mann mat chineseschem Hutt|Mann mat chineseschem Hutt: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf
	👲🏿;Mann mat chineseschem Hutt: däischter Hautfaarf;däischter Hautfaarf|gua pi mao|Hutt|Mann|Mann mat chineseschem Hutt|Mann mat chineseschem Hutt: däischter Hautfaarf
🧕;Fra mat Schleier;Fra mat Schleier|Hijab|Kappduch|Schleier|Voile
	🧕🏻;Fra mat Schleier: hell Hautfaarf;Fra mat Schleier|Fra mat Schleier: hell Hautfaarf|hell Hautfaarf|Hijab|Kappduch|Schleier|Voile
	🧕🏼;Fra mat Schleier: mëttelhell Hautfaarf;Fra mat Schleier|Fra mat Schleier: mëttelhell Hautfaarf|Hijab|Kappduch|mëttelhell Hautfaarf|Schleier|Voile
	🧕🏽;Fra mat Schleier: mëttel Hautfaarf;Fra mat Schleier|Fra mat Schleier: mëttel Hautfaarf|Hijab|Kappduch|mëttel Hautfaarf|Schleier|Voile
	🧕🏾;Fra mat Schleier: mëtteldäischter Hautfaarf;Fra mat Schleier|Fra mat Schleier: mëtteldäischter Hautfaarf|Hijab|Kappduch|mëtteldäischter Hautfaarf|Schleier|Voile
	🧕🏿;Fra mat Schleier: däischter Hautfaarf;däischter Hautfaarf|Fra mat Schleier|Fra mat Schleier: däischter Hautfaarf|Hijab|Kappduch|Schleier|Voile
🤵;Mann am Kostüm;Bräitchemann|Kostüm|Mann|Mann am Kostüm
	🤵🏻;Mann am Kostüm: hell Hautfaarf;Bräitchemann|hell Hautfaarf|Kostüm|Mann|Mann am Kostüm|Mann am Kostüm: hell Hautfaarf
	🤵🏼;Mann am Kostüm: mëttelhell Hautfaarf;Bräitchemann|Kostüm|Mann|Mann am Kostüm|Mann am Kostüm: mëttelhell Hautfaarf|mëttelhell Hautfaarf
	🤵🏽;Mann am Kostüm: mëttel Hautfaarf;Bräitchemann|Kostüm|Mann|Mann am Kostüm|Mann am Kostüm: mëttel Hautfaarf|mëttel Hautfaarf
	🤵🏾;Mann am Kostüm: mëtteldäischter Hautfaarf;Bräitchemann|Kostüm|Mann|Mann am Kostüm|Mann am Kostüm: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf
	🤵🏿;Mann am Kostüm: däischter Hautfaarf;Bräitchemann|däischter Hautfaarf|Kostüm|Mann|Mann am Kostüm|Mann am Kostüm: däischter Hautfaarf
🤵‍♂️;;
	🤵🏻‍♂️;;
	🤵🏼‍♂️;;
	🤵🏽‍♂️;;
	🤵🏾‍♂️;;
	🤵🏿‍♂️;;
🤵‍♀️;;
	🤵🏻‍♀️;;
	🤵🏼‍♀️;;
	🤵🏽‍♀️;;
	🤵🏾‍♀️;;
	🤵🏿‍♀️;;
👰;Braut mat Schleier;Braut|Braut mat Schleier|Hochzäit|Schleier
	👰🏻;Braut mat Schleier: hell Hautfaarf;Braut|Braut mat Schleier|Braut mat Schleier: hell Hautfaarf|hell Hautfaarf|Hochzäit|Schleier
	👰🏼;Braut mat Schleier: mëttelhell Hautfaarf;Braut|Braut mat Schleier|Braut mat Schleier: mëttelhell Hautfaarf|Hochzäit|mëttelhell Hautfaarf|Schleier
	👰🏽;Braut mat Schleier: mëttel Hautfaarf;Braut|Braut mat Schleier|Braut mat Schleier: mëttel Hautfaarf|Hochzäit|mëttel Hautfaarf|Schleier
	👰🏾;Braut mat Schleier: mëtteldäischter Hautfaarf;Braut|Braut mat Schleier|Braut mat Schleier: mëtteldäischter Hautfaarf|Hochzäit|mëtteldäischter Hautfaarf|Schleier
	👰🏿;Braut mat Schleier: däischter Hautfaarf;Braut|Braut mat Schleier|Braut mat Schleier: däischter Hautfaarf|däischter Hautfaarf|Hochzäit|Schleier
👰‍♂️;;
	👰🏻‍♂️;;
	👰🏼‍♂️;;
	👰🏽‍♂️;;
	👰🏾‍♂️;;
	👰🏿‍♂️;;
👰‍♀️;;
	👰🏻‍♀️;;
	👰🏼‍♀️;;
	👰🏽‍♀️;;
	👰🏾‍♀️;;
	👰🏿‍♀️;;
🤰;schwanger Fra;Fra|schwanger
	🤰🏻;schwanger Fra: hell Hautfaarf;Fra|hell Hautfaarf|schwanger|schwanger Fra: hell Hautfaarf
	🤰🏼;schwanger Fra: mëttelhell Hautfaarf;Fra|mëttelhell Hautfaarf|schwanger|schwanger Fra: mëttelhell Hautfaarf
	🤰🏽;schwanger Fra: mëttel Hautfaarf;Fra|mëttel Hautfaarf|schwanger|schwanger Fra: mëttel Hautfaarf
	🤰🏾;schwanger Fra: mëtteldäischter Hautfaarf;Fra|mëtteldäischter Hautfaarf|schwanger|schwanger Fra: mëtteldäischter Hautfaarf
	🤰🏿;schwanger Fra: däischter Hautfaarf;däischter Hautfaarf|Fra|schwanger|schwanger Fra: däischter Hautfaarf
🫃;;
	🫃🏻;;
	🫃🏼;;
	🫃🏽;;
	🫃🏾;;
	🫃🏿;;
🫄;;
	🫄🏻;;
	🫄🏼;;
	🫄🏽;;
	🫄🏾;;
	🫄🏿;;
🤱;stëllend Fra;Bëbee|Broscht|fleegen|stëllend Fra
	🤱🏻;stëllend Fra: hell Hautfaarf;Bëbee|Broscht|fleegen|hell Hautfaarf|stëllend Fra|stëllend Fra: hell Hautfaarf
	🤱🏼;stëllend Fra: mëttelhell Hautfaarf;Bëbee|Broscht|fleegen|mëttelhell Hautfaarf|stëllend Fra|stëllend Fra: mëttelhell Hautfaarf
	🤱🏽;stëllend Fra: mëttel Hautfaarf;Bëbee|Broscht|fleegen|mëttel Hautfaarf|stëllend Fra|stëllend Fra: mëttel Hautfaarf
	🤱🏾;stëllend Fra: mëtteldäischter Hautfaarf;Bëbee|Broscht|fleegen|mëtteldäischter Hautfaarf|stëllend Fra|stëllend Fra: mëtteldäischter Hautfaarf
	🤱🏿;stëllend Fra: däischter Hautfaarf;Bëbee|Broscht|däischter Hautfaarf|fleegen|stëllend Fra|stëllend Fra: däischter Hautfaarf
👩‍🍼;;
	👩🏻‍🍼;;
	👩🏼‍🍼;;
	👩🏽‍🍼;;
	👩🏾‍🍼;;
	👩🏿‍🍼;;
👨‍🍼;;
	👨🏻‍🍼;;
	👨🏼‍🍼;;
	👨🏽‍🍼;;
	👨🏾‍🍼;;
	👨🏿‍🍼;;
🧑‍🍼;;
	🧑🏻‍🍼;;
	🧑🏼‍🍼;;
	🧑🏽‍🍼;;
	🧑🏾‍🍼;;
	🧑🏿‍🍼;;
👼;Engelchen;Bëbee|Engel|Engelchen|Fantasie|Gesiicht|Mäerchen|Puppelchen
	👼🏻;Engelchen: hell Hautfaarf;Bëbee|Engel|Engelchen|Engelchen: hell Hautfaarf|Fantasie|Gesiicht|hell Hautfaarf|Mäerchen|Puppelchen
	👼🏼;Engelchen: mëttelhell Hautfaarf;Bëbee|Engel|Engelchen|Engelchen: mëttelhell Hautfaarf|Fantasie|Gesiicht|Mäerchen|mëttelhell Hautfaarf|Puppelchen
	👼🏽;Engelchen: mëttel Hautfaarf;Bëbee|Engel|Engelchen|Engelchen: mëttel Hautfaarf|Fantasie|Gesiicht|Mäerchen|mëttel Hautfaarf|Puppelchen
	👼🏾;Engelchen: mëtteldäischter Hautfaarf;Bëbee|Engel|Engelchen|Engelchen: mëtteldäischter Hautfaarf|Fantasie|Gesiicht|Mäerchen|mëtteldäischter Hautfaarf|Puppelchen
	👼🏿;Engelchen: däischter Hautfaarf;Bëbee|däischter Hautfaarf|Engel|Engelchen|Engelchen: däischter Hautfaarf|Fantasie|Gesiicht|Mäerchen|Puppelchen
🎅;Kleeschen;Chrëschtdag|Feier|Kleeschen|Papp
	🎅🏻;Kleeschen: hell Hautfaarf;Chrëschtdag|Feier|hell Hautfaarf|Kleeschen|Kleeschen: hell Hautfaarf|Papp
	🎅🏼;Kleeschen: mëttelhell Hautfaarf;Chrëschtdag|Feier|Kleeschen|Kleeschen: mëttelhell Hautfaarf|mëttelhell Hautfaarf|Papp
	🎅🏽;Kleeschen: mëttel Hautfaarf;Chrëschtdag|Feier|Kleeschen|Kleeschen: mëttel Hautfaarf|mëttel Hautfaarf|Papp
	🎅🏾;Kleeschen: mëtteldäischter Hautfaarf;Chrëschtdag|Feier|Kleeschen|Kleeschen: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf|Papp
	🎅🏿;Kleeschen: däischter Hautfaarf;Chrëschtdag|däischter Hautfaarf|Feier|Kleeschen|Kleeschen: däischter Hautfaarf|Papp
🤶;Dem Kleesche seng Fra;Chrëschtdag|Dem Kleesche seng Fra|Feier|Fra|Kleeschen|Mamm
	🤶🏻;Dem Kleesche seng Fra: hell Hautfaarf;Chrëschtdag|Dem Kleesche seng Fra|Dem Kleesche seng Fra: hell Hautfaarf|Feier|Fra|hell Hautfaarf|Kleeschen|Mamm
	🤶🏼;Dem Kleesche seng Fra: mëttelhell Hautfaarf;Chrëschtdag|Dem Kleesche seng Fra|Dem Kleesche seng Fra: mëttelhell Hautfaarf|Feier|Fra|Kleeschen|Mamm|mëttelhell Hautfaarf
	🤶🏽;Dem Kleesche seng Fra: mëttel Hautfaarf;Chrëschtdag|Dem Kleesche seng Fra|Dem Kleesche seng Fra: mëttel Hautfaarf|Feier|Fra|Kleeschen|Mamm|mëttel Hautfaarf
	🤶🏾;Dem Kleesche seng Fra: mëtteldäischter Hautfaarf;Chrëschtdag|Dem Kleesche seng Fra|Dem Kleesche seng Fra: mëtteldäischter Hautfaarf|Feier|Fra|Kleeschen|Mamm|mëtteldäischter Hautfaarf
	🤶🏿;Dem Kleesche seng Fra: däischter Hautfaarf;Chrëschtdag|däischter Hautfaarf|Dem Kleesche seng Fra|Dem Kleesche seng Fra: däischter Hautfaarf|Feier|Fra|Kleeschen|Mamm
🧑‍🎄;;
	🧑🏻‍🎄;;
	🧑🏼‍🎄;;
	🧑🏽‍🎄;;
	🧑🏾‍🎄;;
	🧑🏿‍🎄;;
🦸;;
	🦸🏻;;
	🦸🏼;;
	🦸🏽;;
	🦸🏾;;
	🦸🏿;;
🦸‍♂️;;
	🦸🏻‍♂️;;
	🦸🏼‍♂️;;
	🦸🏽‍♂️;;
	🦸🏾‍♂️;;
	🦸🏿‍♂️;;
🦸‍♀️;;
	🦸🏻‍♀️;;
	🦸🏼‍♀️;;
	🦸🏽‍♀️;;
	🦸🏾‍♀️;;
	🦸🏿‍♀️;;
🦹;;
	🦹🏻;;
	🦹🏼;;
	🦹🏽;;
	🦹🏾;;
	🦹🏿;;
🦹‍♂️;;
	🦹🏻‍♂️;;
	🦹🏼‍♂️;;
	🦹🏽‍♂️;;
	🦹🏾‍♂️;;
	🦹🏿‍♂️;;
🦹‍♀️;;
	🦹🏻‍♀️;;
	🦹🏼‍♀️;;
	🦹🏽‍♀️;;
	🦹🏾‍♀️;;
	🦹🏿‍♀️;;
🧙;Zauberer(in);Hex|Hexemeeschter|Zauberer|Zauberer(in)
	🧙🏻;Zauberer(in): hell Hautfaarf;hell Hautfaarf|Hex|Hexemeeschter|Zauberer|Zauberer(in)|Zauberer(in): hell Hautfaarf
	🧙🏼;Zauberer(in): mëttelhell Hautfaarf;Hex|Hexemeeschter|mëttelhell Hautfaarf|Zauberer|Zauberer(in)|Zauberer(in): mëttelhell Hautfaarf
	🧙🏽;Zauberer(in): mëttel Hautfaarf;Hex|Hexemeeschter|mëttel Hautfaarf|Zauberer|Zauberer(in)|Zauberer(in): mëttel Hautfaarf
	🧙🏾;Zauberer(in): mëtteldäischter Hautfaarf;Hex|Hexemeeschter|mëtteldäischter Hautfaarf|Zauberer|Zauberer(in)|Zauberer(in): mëtteldäischter Hautfaarf
	🧙🏿;Zauberer(in): däischter Hautfaarf;däischter Hautfaarf|Hex|Hexemeeschter|Zauberer|Zauberer(in)|Zauberer(in): däischter Hautfaarf
🧙‍♂️;Zauberer;Hexemeeschter|Zauberer
	🧙🏻‍♂️;Zauberer: hell Hautfaarf;hell Hautfaarf|Hexemeeschter|Zauberer|Zauberer: hell Hautfaarf
	🧙🏼‍♂️;Zauberer: mëttelhell Hautfaarf;Hexemeeschter|mëttelhell Hautfaarf|Zauberer|Zauberer: mëttelhell Hautfaarf
	🧙🏽‍♂️;Zauberer: mëttel Hautfaarf;Hexemeeschter|mëttel Hautfaarf|Zauberer|Zauberer: mëttel Hautfaarf
	🧙🏾‍♂️;Zauberer: mëtteldäischter Hautfaarf;Hexemeeschter|mëtteldäischter Hautfaarf|Zauberer|Zauberer: mëtteldäischter Hautfaarf
	🧙🏿‍♂️;Zauberer: däischter Hautfaarf;däischter Hautfaarf|Hexemeeschter|Zauberer|Zauberer: däischter Hautfaarf
🧙‍♀️;Hex;Hex
	🧙🏻‍♀️;Hex: hell Hautfaarf;hell Hautfaarf|Hex|Hex: hell Hautfaarf
	🧙🏼‍♀️;Hex: mëttelhell Hautfaarf;Hex|Hex: mëttelhell Hautfaarf|mëttelhell Hautfaarf
	🧙🏽‍♀️;Hex: mëttel Hautfaarf;Hex|Hex: mëttel Hautfaarf|mëttel Hautfaarf
	🧙🏾‍♀️;Hex: mëtteldäischter Hautfaarf;Hex|Hex: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf
	🧙🏿‍♀️;Hex: däischter Hautfaarf;däischter Hautfaarf|Hex|Hex: däischter Hautfaarf
🧚;Fee;Fee|Oberon|Puck|Titania
	🧚🏻;Fee: hell Hautfaarf;Fee|Fee: hell Hautfaarf|hell Hautfaarf|Oberon|Puck|Titania
	🧚🏼;Fee: mëttelhell Hautfaarf;Fee|Fee: mëttelhell Hautfaarf|mëttelhell Hautfaarf|Oberon|Puck|Titania
	🧚🏽;Fee: mëttel Hautfaarf;Fee|Fee: mëttel Hautfaarf|mëttel Hautfaarf|Oberon|Puck|Titania
